# c0 + a0 * (surf_bond_length_std / lattice_param_gamma) + a1 * surf_bond_length_sum
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.578625042672582; Max AE: 1.6501546238212
# Coefficients
# Task   a0                      a1                      c0
# all , -8.326104128280032e-02,  7.292727221284565e-01, -4.170415067123254e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         33|5|div; (surf_bond_length_std / lattice_param_gamma); $\left(\frac{ surf_{bond, length, std} }{ lattice_{param, gamma} } \right)$; (surf_bond_length_std ./ lattice_param_gamma); surf_bond_length_std,lattice_param_gamma
# 1;  0; Unitless;                                         28; surf_bond_length_sum; $surf_{bond, length, sum}$; surf_bond_length_sum; surf_bond_length_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    , -6.786936110508210e-02, -2.774725295851225e-01,  1.120571481548758e+01,  9.560636011542687e-01
sample_1    ,  5.170489600965991e-01,  7.420176122868303e-01, -5.212045426160916e+00,  4.796030661092519e-01
sample_2    , -8.424432995226028e-02, -3.914326591061844e-02,  2.851825808550869e+00,  3.291044130064799e-01
sample_3    ,  3.870884909923769e-01, -2.482400577427350e-01,  4.230404960044543e+00,  1.997771348481437e-01
sample_4    , -3.064802267653849e-01,  5.421492769953378e-01, -3.067440010861159e+00,  4.503873082365072e-01
sample_5    ,  9.084282131303049e-01,  8.350431089502365e-01, -3.383533575750136e+00,  8.159234711981799e-01
sample_6    , -3.372731447832425e-01,  6.739486866412689e-01, -1.224329939655815e+00,  8.415423106349900e-01
sample_7    , -1.223306809623438e-01, -5.002374113135921e-01,  4.416772514758033e-01, -5.783278874638464e-01
sample_8    ,  9.505429496916736e-01,  9.170412786573335e-01, -2.950840111342053e+00,  9.777623478333972e-01
sample_9    , -2.722343139012212e-01,  1.577645679185228e-01, -2.353076410198156e+00,  4.866665584727488e-03
sample_10   ,  1.033922593120234e+00,  5.728405192710837e-01, -7.207338257701024e+00,  1.981999503091125e-02
sample_11   ,  8.655043105153030e-01,  7.565776112488572e-02, -1.881021456159795e+00, -5.382608196899118e-02
sample_12   , -1.974351437895262e+00, -1.339692532093198e+00, -1.502623914505359e+00, -1.951393998457342e+00
sample_13   ,  1.127745069540050e+00,  1.009335003562107e+00, -4.495150434036685e+00,  9.280043361520455e-01
sample_14   ,  1.173303732952369e+00,  9.260390763082644e-01, -8.009047188320091e+00,  4.126050642874318e-01
