# c0 + a0 * (site_bond_length_min + surf_bond_length_min) + a1 * (surf_bond_length_std / lattice_param_gamma) + a2 * surf_bond_length_sum
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.534966389467989; Max AE: 1.5190827808918
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.526189801144803e-01, -8.815706826320148e-02,  7.360375849675030e-01, -4.415649385281187e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         23|12|add; (site_bond_length_min + surf_bond_length_min); $\left(site_{bond, length, min} + surf_{bond, length, min}\right)$; (site_bond_length_min + surf_bond_length_min); site_bond_length_min,surf_bond_length_min
# 1;  1; Unitless;                                         33|5|div; (surf_bond_length_std / lattice_param_gamma); $\left(\frac{ surf_{bond, length, std} }{ lattice_{param, gamma} } \right)$; (surf_bond_length_std ./ lattice_param_gamma); surf_bond_length_std,lattice_param_gamma
# 2;  0; Unitless;                                         28; surf_bond_length_sum; $surf_{bond, length, sum}$; surf_bond_length_sum; surf_bond_length_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    , -6.786936110508210e-02, -3.740208258504405e-01,  2.994392316431686e-01,  1.120571481548758e+01,  9.560636011542687e-01
sample_1    ,  5.170489600965991e-01,  7.134912484433122e-01,  3.593051441556017e-01, -5.212045426160916e+00,  4.796030661092519e-01
sample_2    , -8.424432995226028e-02,  2.104072860189100e-02, -4.873090327733621e-01,  2.851825808550869e+00,  3.291044130064799e-01
sample_3    ,  3.870884909923769e-01,  1.912814182070977e-01, -3.022786095753872e+00,  4.230404960044543e+00,  1.997771348481437e-01
sample_4    , -3.064802267653849e-01,  4.551455765573575e-01,  6.723700721760385e-01, -3.067440010861159e+00,  4.503873082365072e-01
sample_5    ,  9.084282131303049e-01,  5.906947911679453e-01,  1.729676456024528e+00, -3.383533575750136e+00,  8.159234711981799e-01
sample_6    , -3.372731447832425e-01,  3.884630207814803e-01,  1.931087425556806e+00, -1.224329939655815e+00,  8.415423106349900e-01
sample_7    , -1.223306809623438e-01, -1.921620514995371e-01, -2.074463315982669e+00,  4.416772514758033e-01, -5.783278874638464e-01
sample_8    ,  9.505429496916736e-01,  1.163451094333245e+00, -1.492608178316737e+00, -2.950840111342053e+00,  9.777623478333972e-01
sample_9    , -2.722343139012212e-01,  2.794111381155190e-01, -7.374264025202820e-01, -2.353076410198156e+00,  4.866665584727488e-03
sample_10   ,  1.033922593120234e+00,  6.763585122960732e-01, -4.622553108349523e-01, -7.207338257701024e+00,  1.981999503091125e-02
sample_11   ,  8.655043105153030e-01,  2.520460205801029e-01, -1.113853576867660e+00, -1.881021456159795e+00, -5.382608196899118e-02
sample_12   , -1.974351437895262e+00, -1.501145358964690e+00,  1.003521698659898e+00, -1.502623914505359e+00, -1.951393998457342e+00
sample_13   ,  1.127745069540050e+00,  1.188699827847395e+00, -1.005975583754971e+00, -4.495150434036685e+00,  9.280043361520455e-01
sample_14   ,  1.173303732952369e+00,  9.059812157748032e-01,  3.905755699264309e-01, -8.009047188320091e+00,  4.126050642874318e-01
sample_15   , -3.117665424580768e-01,  3.308119748230404e-01, -1.282287667314714e+00, -3.714002684513195e+00, -2.012785196532861e-01
sample_16   ,  2.993778837652355e-01,  2.427972195034762e-01, -1.203607922951451e+00, -1.774127658277604e+00, -7.219956489454160e-02
sample_17   , -1.967465780026508e+00, -1.806221132114302e+00,  2.818311489224475e+00,  2.209936321734989e+00, -1.544914728789039e+00
sample_18   , -2.068025907941206e-01,  2.020174975448065e-01,  2.668136471169241e-02, -7.803658723753154e-03,  3.390562268694268e-01
sample_19   , -1.620136975480968e+00, -1.419377617686625e+00,  1.205980258405397e-01, -3.113303590315171e+00, -2.216293470032129e+00
sample_20   ,  5.325233916633493e-01,  5.300129292295201e-01,  4.427500225658916e-01, -3.511362900100756e+00,  4.513220898979129e-01
sample_21   , -8.260074571897974e-02,  1.897858136903625e-01, -1.342451450970150e-01, -5.321248315709082e-03,  2.893668055980288e-01
sample_22   , -4.244578083032810e-01,  1.897858136903625e-01, -1.342451450970150e-01, -5.321248315709082e-03,  2.893668055980288e-01
sample_23   ,  1.021301692810332e+00,  1.324210978243802e+00, -2.554181956168470e+00, -7.945427983577680e+00,  3.778410171853437e-01
sample_24   , -1.579486740420006e+00, -2.152106428648512e-01, -1.237220112227020e+00,  6.877354197223392e+00,  3.347790489917265e-01
sample_25   , -3.255503419433455e-01, -1.555895715262726e-01, -8.316043972642246e-01,  4.827438791583564e+00,  2.543635845059207e-01
sample_26   , -1.312962838052638e+00, -4.541863793843490e-01,  1.120277858036063e-01,  1.244056100134428e+01,  9.561890325769109e-01
sample_27   , -1.880392015620360e-01, -1.084751802523434e-01,  4.187667359571414e-01,  6.326315181906818e+00,  7.571657704390328e-01
sample_28   , -1.926831941724512e-01, -1.211724948140182e-01, -1.753683274817913e+00,  4.621980525265966e+00,  8.532023384661017e-02
sample_29   , -1.967181256434801e+00, -1.216710146199308e+00, -1.044320704181609e+00,  2.209936321734989e+00, -1.544914728789039e+00
sample_30   ,  1.043102575673906e+00,  7.916015220138756e-01,  1.876236776007254e+00, -4.918615308920846e+00,  9.354096415546909e-01
