# c0 + a0 * (surf_bond_length_max / surf_bond_length_min) + a1 * (site_bond_length_avg + surf_bond_length_min) + a2 * (surf_bond_length_std / lattice_param_gamma) + a3 * surf_bond_length_sum
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.493934447192783; Max AE: 1.64009523770212
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.466800897118270e-02, -1.499881928245702e-01, -6.579237570592307e-02,  8.043336035071494e-01,  1.033200991505608e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         34|12|div; (surf_bond_length_max / surf_bond_length_min); $\left(\frac{ surf_{bond, length, max} }{ surf_{bond, length, min} } \right)$; (surf_bond_length_max ./ surf_bond_length_min); surf_bond_length_max,surf_bond_length_min
# 1;  1; Unitless;                                         27|12|add; (site_bond_length_avg + surf_bond_length_min); $\left(site_{bond, length, avg} + surf_{bond, length, min}\right)$; (site_bond_length_avg + surf_bond_length_min); site_bond_length_avg,surf_bond_length_min
# 2;  1; Unitless;                                         33|5|div; (surf_bond_length_std / lattice_param_gamma); $\left(\frac{ surf_{bond, length, std} }{ lattice_{param, gamma} } \right)$; (surf_bond_length_std ./ lattice_param_gamma); surf_bond_length_std,lattice_param_gamma
# 3;  0; Unitless;                                         28; surf_bond_length_sum; $surf_{bond, length, sum}$; surf_bond_length_sum; surf_bond_length_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    , -6.786936110508210e-02, -1.641130749498812e-01,  7.635415932630950e+00,  6.279975509873135e-01,  1.120571481548758e+01,  9.560636011542687e-01
sample_1    ,  5.170489600965991e-01,  7.387835750995709e-01, -7.756671791193550e-01,  7.733702920253249e-02, -5.212045426160916e+00,  4.796030661092519e-01
sample_2    , -8.424432995226028e-02,  1.262027565584995e-01, -3.769073149415522e-01, -2.217569446009565e-01,  2.851825808550869e+00,  3.291044130064799e-01
sample_3    ,  3.870884909923769e-01,  3.739194287770153e-01, -5.147219787612545e-01, -3.158104602023974e+00,  4.230404960044543e+00,  1.997771348481437e-01
sample_4    , -3.064802267653849e-01,  4.840601377868043e-01,  2.220613703929416e+00,  3.852016719927608e-01, -3.067440010861159e+00,  4.503873082365072e-01
sample_5    ,  9.084282131303049e-01,  6.261885942273729e-01,  3.252740965983196e-01,  1.721853336995681e+00, -3.383533575750136e+00,  8.159234711981799e-01
sample_6    , -3.372731447832425e-01,  5.151441775000728e-01,  4.371315479836221e-01,  1.641517994887529e+00, -1.224329939655815e+00,  8.415423106349900e-01
sample_7    , -1.223306809623438e-01, -2.251939320029479e-01,  7.515942711088827e-02, -1.732163323944632e+00,  4.416772514758033e-01, -5.783278874638464e-01
sample_8    ,  9.505429496916736e-01,  8.786476458663941e-01,  1.549084080685982e+00,  5.970621888934797e-01, -2.950840111342053e+00,  9.777623478333972e-01
sample_9    , -2.722343139012212e-01,  2.088809904988321e-01,  1.677896561000971e+00, -4.295769638166493e-01, -2.353076410198156e+00,  4.866665584727488e-03
sample_10   ,  1.033922593120234e+00,  5.351753455407943e-01,  1.852819141168157e+00, -4.126372065014160e-01, -7.207338257701024e+00,  1.981999503091125e-02
sample_11   ,  8.655043105153030e-01,  2.221938595709284e-01,  1.571419131220095e+00, -1.029739026651023e+00, -1.881021456159795e+00, -5.382608196899118e-02
sample_12   , -1.974351437895262e+00, -1.656430501784719e+00,  5.047227613917983e+00,  8.135251179962188e-01, -1.502623914505359e+00, -1.951393998457342e+00
sample_13   ,  1.127745069540050e+00,  1.259674988070461e+00,  4.813168726075042e-02, -1.385957602948536e+00, -4.495150434036685e+00,  9.280043361520455e-01
sample_14   ,  1.173303732952369e+00,  5.362127759250658e-01,  1.871705045781417e+01,  3.892555054184239e-01, -8.009047188320091e+00,  4.126050642874318e-01
sample_15   , -3.117665424580768e-01,  2.212948054020597e-01,  1.535699585927230e+00, -1.006949046956569e+00, -3.714002684513195e+00, -2.012785196532861e-01
sample_16   ,  2.993778837652355e-01,  2.141569440866634e-01,  1.462914788891384e+00, -1.110963743483752e+00, -1.774127658277604e+00, -7.219956489454160e-02
sample_17   , -1.967465780026508e+00, -1.764942173488205e+00,  1.872122734127982e-01,  2.563564192437065e+00,  2.209936321734989e+00, -1.544914728789039e+00
sample_18   , -2.068025907941206e-01,  1.412244854970390e-01,  8.190829843991326e+00,  1.479589583890468e-01, -7.803658723753154e-03,  3.390562268694268e-01
sample_19   , -1.620136975480968e+00, -1.573749042702998e+00,  1.939546869225759e+00, -1.478510509517801e-01, -3.113303590315171e+00, -2.216293470032129e+00
sample_20   ,  5.325233916633493e-01,  5.052454364396674e-01,  1.770722815526840e+00,  4.876918911247453e-01, -3.511362900100756e+00,  4.513220898979129e-01
sample_21   , -8.260074571897974e-02,  2.548860978654998e-01,  3.662640569518665e+00, -4.345688044136292e-01, -5.321248315709082e-03,  2.893668055980288e-01
sample_22   , -4.244578083032810e-01,  1.926239761329822e-01,  3.662640569518665e+00, -1.945531741174933e-02, -5.321248315709082e-03,  2.893668055980288e-01
sample_23   ,  1.021301692810332e+00,  1.217326374716938e+00,  4.073790613055481e+00, -2.934163975362035e+00, -7.945427983577680e+00,  3.778410171853437e-01
sample_24   , -1.579486740420006e+00,  6.060849728211175e-02, -1.520100369022543e-01, -1.541789595430061e+00,  6.877354197223392e+00,  3.347790489917265e-01
sample_25   , -3.255503419433455e-01,  3.129711399118983e-02, -9.870327566324595e-01, -7.967479615768261e-01,  4.827438791583564e+00,  2.543635845059207e-01
sample_26   , -1.312962838052638e+00, -1.615471900427794e+00,  1.014467203599471e+02,  5.892691361590310e-01,  1.244056100134428e+01,  9.561890325769109e-01
sample_27   , -1.880392015620360e-01,  8.068444968331952e-02,  2.288423238005683e+00,  5.925234065467301e-01,  6.326315181906818e+00,  7.571657704390328e-01
sample_28   , -1.926831941724512e-01, -1.460610543798004e-02,  2.161910448568380e-01, -1.424766315867286e+00,  4.621980525265966e+00,  8.532023384661017e-02
sample_29   , -1.967181256434801e+00, -1.166809221560635e+00,  1.872122734127982e-01, -1.424302723375173e+00,  2.209936321734989e+00, -1.544914728789039e+00
sample_30   ,  1.043102575673906e+00,  7.932047224487431e-01,  4.119997199549313e-01,  1.913969763727318e+00, -4.918615308920846e+00,  9.354096415546909e-01
sample_31   ,  8.976586070063816e-01,  5.609702291142067e-01, -6.326097026930064e+00,  3.870125713453402e-01, -4.657877393467275e+00,  2.603912941790447e-01
sample_32   ,  6.175426342807178e-01,  4.771035897278267e-01,  5.310856629570355e+00, -2.549773488084217e-01, -5.524652143267275e+00,  1.777218938302808e-01
sample_33   ,  9.009804209061152e-01,  7.189467523314815e-01,  1.671826112579300e+00,  1.406842614140451e+00, -3.691755443387954e+00,  8.718490933538579e-01
sample_34   ,  1.273920780659581e+00,  2.748821131103873e-01, -6.584161021709219e+00, -1.082286301921868e-02,  3.086751700314918e+00,  4.593056843117218e-01
sample_35   ,  8.868754598844902e-01,  4.743685889852255e-01,  1.114863346920838e+00, -4.544917263543112e-01, -6.302900744861922e+00, -3.060672682974794e-03
sample_36   ,  8.652147852946854e-01,  1.931682681719509e-01,  1.571419131220095e+00, -8.362198512254854e-01, -1.881021456159795e+00, -5.382608196899118e-02
sample_37   ,  1.562198884018698e+00,  7.887381171606478e-01, -9.413794186601343e-02,  9.566916408048736e-01, -5.648006402030464e+00,  6.824556126701001e-01
sample_38   ,  8.378932827646619e-01,  4.312997637000143e-01,  1.770722815526840e+00,  9.807018497562336e-01, -3.511362900100756e+00,  4.513220898979129e-01
sample_39   ,  5.502215964767956e-01,  2.356590643371955e-01, -2.066413849783137e+00,  6.089889613673291e-02,  9.029367308092406e-01,  3.276716829867481e-01
sample_40   , -1.196527547584423e+00, -1.792417570747988e+00,  7.997335231999111e-01,  1.235869302976595e+00,  2.587335627079823e+00, -1.784615630798343e+00
sample_41   ,  4.971833011969013e-01,  7.440219002958670e-01, -7.756671791193550e-01,  4.241211212974028e-02, -5.212045426160916e+00,  4.796030661092519e-01
sample_42   ,  2.076718886760197e-03,  6.170547353105669e-01,  2.370786301460418e-01,  7.701559812619877e-01, -4.444055473307292e+00,  5.387435405466544e-01
sample_43   , -1.067584035797745e+00, -1.409374801315029e+00, -1.473681574991377e+01,  1.015111577224066e+00, -9.567260253942403e-01, -1.922780643802824e+00
sample_44   , -8.176143883267203e-01, -1.047371431726154e+00,  2.359838600271819e+00, -3.515765674457775e+00, -2.849769954931505e+00, -2.160677827907404e+00
sample_45   , -8.020569715810638e-02, -8.508211005883880e-01, -8.924685280242726e-01, -1.449988777443088e+00,  6.088657979868574e+00, -8.592675562150324e-01
sample_46   ,  1.470706272319645e+00,  5.394594758822744e-02,  3.156249516690637e-01, -6.402729699974756e-01,  3.999166654081614e+00,  2.677058569833376e-01
sample_47   ,  8.964593138558716e-01,  7.701506764299406e-01,  1.671826112579300e+00,  1.065456248092635e+00, -3.691755443387954e+00,  8.718490933538579e-01
sample_48   ,  8.562650810057257e-01,  8.661952753701108e-02,  3.156249516690637e-01, -8.581139835697870e-01,  3.999166654081614e+00,  2.677058569833376e-01
