# c0 + a0 * (surf_bond_length_std^2) + a1 * (site_bond_length_avg + lattice_param_b) + a2 * (surf_bond_length_max / surf_bond_length_min) + a3 * (surf_bond_length_std / lattice_param_gamma) + a4 * surf_bond_length_sum
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.475114145983053; Max AE: 1.59120916016862
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.327435662834933e-01, -1.459061536022719e-01, -1.833440548759992e-02, -7.140247559526863e-02,  8.059453568439474e-01, -1.144017600781196e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         33|sq; (surf_bond_length_std^2); $\left(surf_{bond, length, std}^2\right)$; (surf_bond_length_std).^2; surf_bond_length_std
# 1;  1; Unitless;                                         27|8|add; (site_bond_length_avg + lattice_param_b); $\left(site_{bond, length, avg} + lattice_{param, b}\right)$; (site_bond_length_avg + lattice_param_b); site_bond_length_avg,lattice_param_b
# 2;  1; Unitless;                                         34|12|div; (surf_bond_length_max / surf_bond_length_min); $\left(\frac{ surf_{bond, length, max} }{ surf_{bond, length, min} } \right)$; (surf_bond_length_max ./ surf_bond_length_min); surf_bond_length_max,surf_bond_length_min
# 3;  1; Unitless;                                         33|5|div; (surf_bond_length_std / lattice_param_gamma); $\left(\frac{ surf_{bond, length, std} }{ lattice_{param, gamma} } \right)$; (surf_bond_length_std ./ lattice_param_gamma); surf_bond_length_std,lattice_param_gamma
# 4;  0; Unitless;                                         28; surf_bond_length_sum; $surf_{bond, length, sum}$; surf_bond_length_sum; surf_bond_length_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    , -6.786936110508210e-02,  1.081254915642391e-02,  4.694541965947061e+00,  2.250654650728423e+00,  7.635415932630950e+00,  1.120571481548758e+01,  9.560636011542687e-01
sample_1    ,  5.170489600965991e-01,  6.623026876556958e-01,  1.048144491188583e+00,  9.275701802340095e-01, -7.756671791193550e-01, -5.212045426160916e+00,  4.796030661092519e-01
sample_2    , -8.424432995226028e-02,  9.547549859306854e-02,  2.930708404308126e-01, -7.021696150813380e-01, -3.769073149415522e-01,  2.851825808550869e+00,  3.291044130064799e-01
sample_3    ,  3.870884909923769e-01,  4.573556082297779e-01,  3.958950577738713e+00, -1.218913367936540e+00, -5.147219787612545e-01,  4.230404960044543e+00,  1.997771348481437e-01
sample_4    , -3.064802267653849e-01,  3.029475605178658e-01,  3.586289701065627e-01,  1.175777045203547e+00,  2.220613703929416e+00, -3.067440010861159e+00,  4.503873082365072e-01
sample_5    ,  9.084282131303049e-01,  8.198638206754959e-01,  4.304145652140848e-01,  1.102618549996849e-01,  3.252740965983196e-01, -3.383533575750136e+00,  8.159234711981799e-01
sample_6    , -3.372731447832425e-01,  4.763363629448299e-01,  5.661214499188873e-02,  1.195422743459876e+00,  4.371315479836221e-01, -1.224329939655815e+00,  8.415423106349900e-01
sample_7    , -1.223306809623438e-01, -6.710561781266153e-01,  4.451309247511262e-02,  4.355382888508308e-01,  7.515942711088827e-02,  4.416772514758033e-01, -5.783278874638464e-01
sample_8    ,  9.505429496916736e-01,  6.810279876699475e-01,  3.448197664543775e-01,  1.512353180639349e+00,  1.549084080685982e+00, -2.950840111342053e+00,  9.777623478333972e-01
sample_9    , -2.722343139012212e-01,  1.263757242144827e-01,  2.078722552942033e-01, -4.935313997865373e-01,  1.677896561000971e+00, -2.353076410198156e+00,  4.866665584727488e-03
sample_10   ,  1.033922593120234e+00,  7.178322951994931e-01,  1.949912385315116e+00, -5.261631523025966e-01,  1.852819141168157e+00, -7.207338257701024e+00,  1.981999503091125e-02
sample_11   ,  8.655043105153030e-01,  1.516707611529413e-01,  1.336179536734100e-01, -1.276285617217416e+00,  1.571419131220095e+00, -1.881021456159795e+00, -5.382608196899118e-02
sample_12   , -1.974351437895262e+00, -1.760588558369797e+00,  2.808238224633317e-02,  6.302048877537713e-01,  5.047227613917983e+00, -1.502623914505359e+00, -1.951393998457342e+00
sample_13   ,  1.127745069540050e+00,  1.422624656408650e+00,  7.581465528770611e-01, -2.524802011787666e+00,  4.813168726075042e-02, -4.495150434036685e+00,  9.280043361520455e-01
sample_14   ,  1.173303732952369e+00,  7.511550027312440e-01,  2.407846109270565e+00,  1.049048033400301e-01,  1.871705045781417e+01, -8.009047188320091e+00,  4.126050642874318e-01
sample_15   , -3.117665424580768e-01,  2.074257606956484e-01,  5.185848867549582e-01, -1.221164086003440e+00,  1.535699585927230e+00, -3.714002684513195e+00, -2.012785196532861e-01
sample_16   ,  2.993778837652355e-01,  1.189959379997946e-01,  1.182816228361743e-01, -1.206460724884005e+00,  1.462914788891384e+00, -1.774127658277604e+00, -7.219956489454160e-02
sample_17   , -1.967465780026508e+00, -1.772034846537613e+00,  1.830176775844983e-01,  1.888770942629746e+00,  1.872122734127982e-01,  2.209936321734989e+00, -1.544914728789039e+00
sample_18   , -2.068025907941206e-01, -7.951040453848509e-03,  2.293707127769378e-06,  1.178400025800747e-01,  8.190829843991326e+00, -7.803658723753154e-03,  3.390562268694268e-01
sample_19   , -1.620136975480968e+00, -1.579228314725487e+00,  3.612470570620331e-01, -5.941799386715889e-01,  1.939546869225759e+00, -3.113303590315171e+00, -2.216293470032129e+00
sample_20   ,  5.325233916633493e-01,  3.722233531154522e-01,  5.133677098497230e-01,  1.120699434934701e+00,  1.770722815526840e+00, -3.511362900100756e+00,  4.513220898979129e-01
sample_21   , -8.260074571897974e-02,  1.301329107355615e-01,  1.065762680956431e-06, -5.352281659813415e-01,  3.662640569518665e+00, -5.321248315709082e-03,  2.893668055980288e-01
sample_22   , -4.244578083032810e-01,  6.956529853869056e-02,  1.065762680956431e-06, -1.201146789794617e-01,  3.662640569518665e+00, -5.321248315709082e-03,  2.893668055980288e-01
sample_23   ,  1.021301692810332e+00,  1.435325891408366e+00,  2.373943378615150e+00, -2.998160244157508e+00,  4.073790613055481e+00, -7.945427983577680e+00,  3.778410171853437e-01
sample_24   , -1.579486740420006e+00,  1.172241974861341e-02,  1.772357799557999e+00, -7.492114866520163e-01, -1.520100369022543e-01,  6.877354197223392e+00,  3.347790489917265e-01
sample_25   , -3.255503419433455e-01,  1.458095094320073e-01,  8.229672061379987e-01, -1.868042798299685e+00, -9.870327566324595e-01,  4.827438791583564e+00,  2.543635845059207e-01
sample_26   , -1.312962838052638e+00, -1.604553086373533e+00,  5.745799548840548e+00,  1.886508513020058e+00,  1.014467203599471e+02,  1.244056100134428e+01,  9.561890325769109e-01
sample_27   , -1.880392015620360e-01,  3.112319833917137e-02,  1.496308922661856e+00,  1.162824268472805e+00,  2.288423238005683e+00,  6.326315181906818e+00,  7.571657704390328e-01
sample_28   , -1.926831941724512e-01, -1.267560435378921e-01,  8.062601276234200e-01, -9.995535340315302e-01,  2.161910448568380e-01,  4.621980525265966e+00,  8.532023384661017e-02
sample_29   , -1.967181256434801e+00, -1.190180523773694e+00,  1.830176775844983e-01, -2.099095973182493e+00,  1.872122734127982e-01,  2.209936321734989e+00, -1.544914728789039e+00
sample_30   ,  1.043102575673906e+00,  8.731984403855921e-01,  9.094561831891266e-01,  1.580885027574078e+00,  4.119997199549313e-01, -4.918615308920846e+00,  9.354096415546909e-01
sample_31   ,  8.976586070063816e-01,  6.707332742213478e-01,  8.145936042463079e-01, -1.272915108576640e-01, -6.326097026930064e+00, -4.657877393467275e+00,  2.603912941790447e-01
sample_32   ,  6.175426342807178e-01,  5.463688178949695e-01,  1.147375931883819e+00, -4.669249869455595e-01,  5.310856629570355e+00, -5.524652143267275e+00,  1.777218938302808e-01
sample_33   ,  9.009804209061152e-01,  5.662340689318818e-01,  5.356090322319613e-01,  2.234820703351138e+00,  1.671826112579300e+00, -3.691755443387954e+00,  8.718490933538579e-01
sample_34   ,  1.273920780659581e+00,  3.040255839134288e-01,  3.574890969923650e-01, -6.886804648615613e-01, -6.584161021709219e+00,  3.086751700314918e+00,  4.593056843117218e-01
sample_35   ,  8.868754598844902e-01,  5.302171538830514e-01,  1.518373852669241e+00, -1.091724262613193e-01,  1.114863346920838e+00, -6.302900744861922e+00, -3.060672682974794e-03
sample_36   ,  8.652147852946854e-01,  1.234351226183178e-01,  1.336179536734100e-01, -1.082766441791878e+00,  1.571419131220095e+00, -1.881021456159795e+00, -5.382608196899118e-02
sample_37   ,  1.562198884018698e+00,  9.222993989344567e-01,  1.196899842404190e+00,  5.291697944911364e-01, -9.413794186601343e-02, -5.648006402030464e+00,  6.824556126701001e-01
sample_38   ,  8.378932827646619e-01,  3.002901663639165e-01,  5.133677098497230e-01,  1.613709393566189e+00,  1.770722815526840e+00, -3.511362900100756e+00,  4.513220898979129e-01
sample_39   ,  5.502215964767956e-01,  3.005731433840407e-01,  3.034017057736914e-02, -1.188760129178818e+00, -2.066413849783137e+00,  9.029367308092406e-01,  3.276716829867481e-01
sample_40   , -1.196527547584423e+00, -1.545986810624849e+00,  2.510021063785761e-01, -1.184347058025561e+00,  7.997335231999111e-01,  2.587335627079823e+00, -1.784615630798343e+00
sample_41   ,  4.971833011969013e-01,  6.673984479706652e-01,  1.048144491188583e+00,  8.926452631612172e-01, -7.756671791193550e-01, -5.212045426160916e+00,  4.796030661092519e-01
sample_42   ,  2.076718886760197e-03,  6.242452264848317e-01,  7.503865837885404e-01,  7.410909256625756e-01,  2.370786301460418e-01, -4.444055473307292e+00,  5.387435405466544e-01
sample_43   , -1.067584035797745e+00, -1.371520953081603e+00,  3.423618842037985e-02,  3.461886674107241e-01, -1.473681574991377e+01, -9.567260253942403e-01, -1.922780643802824e+00
sample_44   , -8.176143883267203e-01, -1.057601697631885e+00,  3.054072315654437e-01, -4.094639422468822e+00,  2.359838600271819e+00, -2.849769954931505e+00, -2.160677827907404e+00
sample_45   , -8.020569715810638e-02, -3.700225596829901e-01,  6.124760499667615e+00, -2.896500123505251e-01, -8.924685280242726e-01,  6.088657979868574e+00, -8.592675562150324e-01
sample_46   ,  1.470706272319645e+00, -7.717623517059534e-02,  6.009418540420537e-01, -2.264144594802179e-01,  3.156249516690637e-01,  3.999166654081614e+00,  2.677058569833376e-01
sample_47   ,  8.964593138558716e-01,  6.160444404941757e-01,  5.356090322319613e-01,  1.893434337303322e+00,  1.671826112579300e+00, -3.691755443387954e+00,  8.718490933538579e-01
sample_48   ,  8.562650810057257e-01, -4.539189078343906e-02,  6.009418540420537e-01, -4.442554730525292e-01,  3.156249516690637e-01,  3.999166654081614e+00,  2.677058569833376e-01
sample_49   ,  9.391867703598284e-01,  9.973483402829020e-01,  1.520343808906253e+00,  9.926782546329647e-01,  3.848212981418124e-01, -6.357196522363236e+00,  7.542794335914569e-01
sample_50   , -7.054910310732637e-01, -1.148365857114415e+00,  6.118742792281345e-03, -2.792225671438449e+00, -7.470215105321468e-01,  4.037008562914614e-01, -1.770653768409327e+00
sample_51   , -1.899374215965192e-01,  9.981277112201718e-02,  1.496308922661856e+00,  6.920451334810910e-01,  2.288423238005683e+00,  6.326315181906818e+00,  7.571657704390328e-01
sample_52   ,  1.180038040705398e+00,  2.901326980298651e-01,  3.574890969923650e-01, -5.934625076982565e-01, -6.584161021709219e+00,  3.086751700314918e+00,  4.593056843117218e-01
sample_53   , -1.706633203341722e+00, -9.313134174335055e-01,  2.649021398666837e-02, -3.303880928324789e+00, -9.844715467637192e+00, -8.471992427337250e-01, -1.915109673979488e+00
sample_54   , -1.491110713165102e+00, -1.566801067072222e+00,  5.745799548840548e+00,  1.627766723388486e+00,  1.014467203599471e+02,  1.244056100134428e+01,  9.561890325769109e-01
sample_55   , -1.811793316472483e+00, -1.772034846537613e+00,  1.830176775844983e-01,  1.888770942629746e+00,  1.872122734127982e-01,  2.209936321734989e+00, -1.544914728789039e+00
sample_56   ,  2.748608721228185e-01,  1.817558568512934e-01,  7.683614444098991e-02, -2.608537994347229e+00,  8.865501306031637e-01, -1.431469547779333e+00, -2.240843383751098e-01
