# c0 + a0 * (Tx_atom_num - c6_gb_av)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.508440138432494; Max AE: 1.71196900567653
# Coefficients
# Task   a0                      c0
# all ,  5.142261527393233e-01,  1.461349720845801e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         11|0|sub; (Tx_atom_num - c6_gb_av); $\left(Tx_{atom, num} - c6_{gb, av}\right)$; (Tx_atom_num - c6_gb_av); Tx_atom_num,c6_gb_av
# Number of Samples Per Task
# Task, n_samples               
# all , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    , -6.786936110508210e-02, -1.269988822608978e-01, -2.469708737767708e-01
sample_1    ,  5.170489600965991e-01,  1.224784349712597e+00,  2.381800970619784e+00
sample_2    , -8.424432995226028e-02, -2.448401403129768e-01, -4.761331935544200e-01
sample_3    ,  3.870884909923769e-01,  5.040362169909951e-01,  9.801839410655299e-01
sample_4    , -3.064802267653849e-01,  5.796075998723240e-01,  1.127145316870230e+00
sample_5    ,  9.084282131303049e-01,  9.630805318490965e-01,  1.872873494898481e+00
sample_6    , -3.372731447832425e-01,  6.231350625343295e-02,  1.211791853088059e-01
sample_7    , -1.223306809623438e-01,  3.734615425243082e-01,  7.262593326590820e-01
sample_8    ,  9.505429496916736e-01,  9.442232024845267e-01,  1.836202218526956e+00
sample_9    , -2.722343139012212e-01, -3.358329448193781e-01, -6.530841401791209e-01
sample_10   ,  1.033922593120234e+00,  6.765149366716419e-01,  1.315598075025538e+00
sample_11   ,  8.655043105153030e-01,  5.837544258416932e-01,  1.135209523537430e+00
sample_12   , -1.974351437895262e+00, -1.635092326378731e+00, -3.179714446004866e+00
sample_13   ,  1.127745069540050e+00,  7.962603902540281e-01,  1.548463426086530e+00
sample_14   ,  1.173303732952369e+00,  1.059987868648414e+00,  2.061326253053788e+00
sample_15   , -3.117665424580768e-01,  1.888733808140963e-02,  3.672963341283819e-02
sample_16   ,  2.993778837652355e-01,  6.005880946753774e-01,  1.167945448663000e+00
sample_17   , -1.967465780026508e+00, -2.039504790851625e+00, -3.966163097670203e+00
sample_18   , -2.068025907941206e-01, -2.616738091466610e-01, -5.088691186799896e-01
sample_19   , -1.620136975480968e+00, -1.015835740154611e+00, -1.975464948142319e+00
sample_20   ,  5.325233916633493e-01,  5.627739310386403e-01,  1.094409391744661e+00
sample_21   , -8.260074571897974e-02,  1.220125165219979e-01,  2.372740395874995e-01
sample_22   , -4.244578083032810e-01,  1.220125165219979e-01,  2.372740395874995e-01
sample_23   ,  1.021301692810332e+00,  1.076821537482099e+00,  2.094062178179358e+00
sample_24   , -1.579486740420006e+00,  1.324822652565233e-01,  2.576342423480013e-01
sample_25   , -3.255503419433455e-01, -7.801999871790816e-02, -1.517231247424691e-01
sample_26   , -1.312962838052638e+00, -1.101652134272133e-01, -2.142349486512008e-01
sample_27   , -1.880392015620360e-01, -1.361333574283105e-02, -2.647344105373070e-02
sample_28   , -1.926831941724512e-01,  4.872025481573110e-01,  9.474480159399603e-01
sample_29   , -1.967181256434801e+00, -2.039504790851625e+00, -3.966163097670203e+00
sample_30   ,  1.043102575673906e+00,  7.794267214203435e-01,  1.515727500960960e+00
sample_31   ,  8.976586070063816e-01,  3.049609849371699e-01,  5.930483763080088e-01
sample_32   ,  6.175426342807178e-01,  3.217946537708541e-01,  6.257843014335784e-01
sample_33   ,  9.009804209061152e-01,  1.094209675245912e+00,  2.127876362213338e+00
sample_34   ,  1.273920780659581e+00,  3.200269474473058e-01,  6.223466965701702e-01
sample_35   ,  8.868754598844902e-01,  6.933486055053262e-01,  1.348334000151107e+00
sample_36   ,  8.652147852946854e-01,  5.837544258416932e-01,  1.135209523537430e+00
sample_37   ,  1.562198884018698e+00,  7.052675857476267e-01,  1.371512479461829e+00
sample_38   ,  8.378932827646619e-01,  5.627739310386403e-01,  1.094409391744661e+00
sample_39   ,  5.502215964767956e-01,  4.700134202086903e-01,  9.140208402565517e-01
sample_40   , -1.196527547584423e+00, -1.205404082876281e+00, -2.344112753610447e+00
sample_41   ,  4.971833011969013e-01,  1.224784349712597e+00,  2.381800970619784e+00
sample_42   ,  2.076718886760197e-03,  3.959537894435712e-01,  7.699993229327097e-01
sample_43   , -1.067584035797745e+00, -1.233460197599088e+00, -2.398672628819728e+00
sample_44   , -8.176143883267203e-01, -1.043891854877418e+00, -2.030024823351601e+00
sample_45   , -8.020569715810638e-02,  3.902952113579921e-01,  7.589952577846508e-01
sample_46   ,  1.470706272319645e+00,  2.122004741072208e-01,  4.126598248199008e-01
sample_47   ,  8.964593138558716e-01,  1.094209675245912e+00,  2.127876362213338e+00
sample_48   ,  8.562650810057257e-01,  2.122004741072208e-01,  4.126598248199008e-01
sample_49   ,  9.391867703598284e-01,  8.363967291444415e-01,  1.626515346776686e+00
sample_50   , -7.054910310732637e-01, -1.511493766924203e+00, -2.939356076839648e+00
sample_51   , -1.899374215965192e-01, -1.361333574283105e-02, -2.647344105373070e-02
sample_52   ,  1.180038040705398e+00,  3.200269474473058e-01,  6.223466965701702e-01
sample_53   , -1.706633203341722e+00, -1.663148441101538e+00, -3.234274321214150e+00
