# c0 + a0 * (melting_point_sum / ne_outer_sum) + a1 * (Tx_dipole_polar + en_allred_rochow_sum)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.407206919290899; Max AE: 1.11884855897949
# Coefficients
# Task   a0                      a1                      c0
# all ,  7.412265191341162e-02,  5.744904892619883e-01,  5.835485309602902e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         156|73|div; (melting_point_sum / ne_outer_sum); $\left(\frac{ melting_{point, sum} }{ ne_{outer, sum} } \right)$; (melting_point_sum ./ ne_outer_sum); melting_point_sum,ne_outer_sum
# 1;  1; Unitless;                                         151|27|add; (Tx_dipole_polar + en_allred_rochow_sum); $\left(Tx_{dipole, polar} + en_{allred, rochow, sum}\right)$; (Tx_dipole_polar + en_allred_rochow_sum); Tx_dipole_polar,en_allred_rochow_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    , -6.786936110508210e-02, -4.089183685078269e-01, -7.124212457673481e+00,  1.058195038730098e-01
sample_1    ,  5.170489600965991e-01,  7.328641503394974e-01, -1.202920530394697e+00,  1.329304786191419e+00
sample_2    , -8.424432995226028e-02,  1.337585160935821e-03,  6.365636783256720e-01, -1.813799494195429e-01
sample_3    ,  3.870884909923769e-01,  7.049398631795066e-02, -3.501414888419216e+00,  4.728943216269040e-01
sample_4    , -3.064802267653849e-01,  6.373996937833276e-01, -4.201431788335916e-01,  1.062135890308026e+00
sample_5    ,  9.084282131303049e-01,  1.052419176830523e+00, -1.965736700364399e-01,  1.755703365515548e+00
sample_6    , -3.372731447832425e-01,  5.878469520201027e-01,  1.194394502272240e+00,  7.675678174434705e-01
sample_7    , -1.223306809623438e-01,  3.503604041562454e-01,  2.745650707262028e+00,  1.540332539250546e-01
sample_8    ,  9.505429496916736e-01,  7.024017369066936e-01, -5.834169005280443e-01,  1.196349294714741e+00
sample_9    , -2.722343139012212e-01,  9.127749858476460e-02,  1.080711230716385e+00, -8.212936117564301e-02
