# c0 + a0 * (en_mulliken_av / M_evap_heat) + a1 * (heat_of_formation_sum / M_glawe_num) + a2 * (metallic_radius_av / ne_outer_sum) + a3 * (Tx_atom_num - c6_gb_av)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.332960158407459; Max AE: 0.98265856296247
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -7.551012932442522e-02,  5.914458504968411e-02,  4.780321436118108e-02,  5.354345814264251e-01, -2.511962159280579e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         21|132|div; (en_mulliken_av / M_evap_heat); $\left(\frac{ en_{mulliken, av} }{ M_{evap, heat} } \right)$; (en_mulliken_av ./ M_evap_heat); en_mulliken_av,M_evap_heat
# 1;  1; Unitless;                                         19|35|div; (heat_of_formation_sum / M_glawe_num); $\left(\frac{ heat_{of, formation, sum} }{ M_{glawe, num} } \right)$; (heat_of_formation_sum ./ M_glawe_num); heat_of_formation_sum,M_glawe_num
# 2;  1; Unitless;                                         121|73|div; (metallic_radius_av / ne_outer_sum); $\left(\frac{ metallic_{radius, av} }{ ne_{outer, sum} } \right)$; (metallic_radius_av ./ ne_outer_sum); metallic_radius_av,ne_outer_sum
# 3;  1; Unitless;                                         11|0|sub; (Tx_atom_num - c6_gb_av); $\left(Tx_{atom, num} - c6_{gb, av}\right)$; (Tx_atom_num - c6_gb_av); Tx_atom_num,c6_gb_av
# Number of Samples Per Task
# Task, n_samples               
# all , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    , -6.786936110508210e-02,  1.820493774561376e-01,  1.407539890009957e+00, -1.251612502434878e+00,  1.087197531887337e+01, -2.469708737767708e-01
sample_1    ,  5.170489600965991e-01,  1.108986966325887e+00, -4.152381604982162e-01, -1.982101566162416e+00, -1.157163406436869e+00,  2.381800970619784e+00
sample_2    , -8.424432995226028e-02, -9.093071761532237e-02,  4.343830716212824e-01,  2.934744122705331e+00,  1.011504777821906e+00, -4.761331935544200e-01
sample_3    ,  3.870884909923769e-01,  3.201507214071471e-01, -1.048488898685926e+00,  1.199296413421353e+00, -6.896135765536557e+00,  9.801839410655299e-01
sample_4    , -3.064802267653849e-01,  1.946668801849582e-01,  4.623394999296348e+00, -4.406726200055280e-01, -1.788483413490591e-01,  1.127145316870230e+00
sample_5    ,  9.084282131303049e-01,  1.088508715728949e+00, -9.789822567317977e-01,  3.028329172210651e-01,  3.973184173782940e-01,  1.872873494898481e+00
sample_6    , -3.372731447832425e-01, -2.290896302353174e-01,  6.222223708534886e+00,  1.578336469338241e-01,  4.009194338025517e+00,  1.211791853088059e-01
sample_7    , -1.223306809623438e-01,  2.141516711215412e-01,  1.033583334176979e+00,  1.496008318370431e+00, -3.347637835722102e+00,  7.262593326590820e-01
sample_8    ,  9.505429496916736e-01,  9.017556393486309e-01,  2.703696765579767e-01, -3.902585558232972e-02, -7.021931165397471e-01,  1.836202218526956e+00
sample_9    , -2.722343139012212e-01, -2.217180765176291e-01, -4.903822939858360e-01,  1.335867721690553e+00,  7.749940309531147e-01, -6.530841401791209e-01
sample_10   ,  1.033922593120234e+00,  7.503163112717532e-01, -1.554512630759622e+00, -1.255034643568911e+00,  5.829374037288293e-01,  1.315598075025538e+00
sample_11   ,  8.655043105153030e-01,  6.449384285205476e-01, -1.645270217264451e-02,  2.842474288453671e-01,  9.240711683894178e-01,  1.135209523537430e+00
sample_12   , -1.974351437895262e+00, -1.605045271184395e+00,  6.938102279727200e-01,  3.105395731929479e+00, -1.814567952079046e-01, -3.179714446004866e+00
sample_13   ,  1.127745069540050e+00,  1.161987356415190e+00, -4.076295208991990e-01,  4.754508302766938e+00,  9.627497585731173e-01,  1.548463426086530e+00
sample_14   ,  1.173303732952369e+00,  1.086965547970477e+00,  1.300597261471172e+00,  5.373998673383533e-01,  1.564827519006145e+00,  2.061326253053788e+00
sample_15   , -3.117665424580768e-01,  3.188665770248623e-02, -8.521405504358726e-03,  1.286768648006996e-03,  7.660657565169823e-01,  3.672963341283819e-02
sample_16   ,  2.993778837652355e-01,  5.645363164133499e-01, -6.781692030357215e-01, -8.230509953491966e-01, -7.997805078370330e-01,  1.167945448663000e+00
sample_17   , -1.967465780026508e+00, -1.781079753052399e+00, -4.642550371290207e+00,  8.804748532406939e-01, -7.316276244155673e-01, -3.966163097670203e+00
sample_18   , -2.068025907941206e-01,  1.179825102091177e-01,  8.773353831114210e-03,  6.693320463985483e+00,  4.258515095822610e-01, -5.088691186799896e-01
sample_19   , -1.620136975480968e+00, -1.322120274939073e+00,  1.050338914363886e+00, -3.081127982327771e+00,  4.659698691897686e-01, -1.975464948142319e+00
sample_20   ,  5.325233916633493e-01,  3.443195369939408e-01,  3.324956195080202e+00,  1.863705336949694e-02,  6.991185834649961e-01,  1.094409391744661e+00
sample_21   , -8.260074571897974e-02, -2.651293889512619e-01,  1.354530195584943e-01, -5.880992346840140e+00, -1.882209489489605e-01,  2.372740395874995e-01
sample_22   , -4.244578083032810e-01, -2.651293889512619e-01,  1.354530195584943e-01, -5.880992346840140e+00, -1.882209489489605e-01,  2.372740395874995e-01
sample_23   ,  1.021301692810332e+00,  1.028592355271006e+00,  6.388807606080970e-01, -5.698985568562104e-01,  3.018009086693111e-01,  2.094062178179358e+00
sample_24   , -1.579486740420006e+00, -1.419624882258261e+00, -7.540991149706855e-01, -7.294826300613549e-01, -3.234612438264723e+01,  2.576342423480013e-01
sample_25   , -3.255503419433455e-01, -1.413836157707301e-01,  1.589807359830100e+00,  8.045209659391656e-02,  1.679009835554403e+00, -1.517231247424691e-01
sample_26   , -1.312962838052638e+00, -1.684434934541906e+00,  4.135848497776239e+00, -8.134205151920408e-01, -2.477236426338565e+01, -2.142349486512008e-01
sample_27   , -1.880392015620360e-01, -9.845524331183540e-02,  2.608991585563758e+00, -1.311554718924787e-02,  2.899808759544912e+00, -2.647344105373070e-02
sample_28   , -1.926831941724512e-01,  2.209874914761559e-01, -3.867723978228489e-01,  2.306594837615913e+00, -8.928628603749408e+00,  9.474480159399603e-01
sample_29   , -1.967181256434801e+00, -1.781079753052399e+00, -4.642550371290207e+00,  8.804748532406939e-01, -7.316276244155673e-01, -3.966163097670203e+00
sample_30   ,  1.043102575673906e+00,  1.468518229449122e+00, -8.332392386893683e-01,  8.513084644047090e+00,  2.419169319828451e+00,  1.515727500960960e+00
