# c0 + a0 * (en_cottrell_sutton_std / Tx_glawe_num) + a1 * (M_therm_cond / atomic_weight_av) + a2 * (en_mulliken_av / M_evap_heat) + a3 * (metallic_radius_av / ne_outer_sum) + a4 * (Tx_period - c6_gb_av)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.305084711345637; Max AE: 0.930061810171198
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  8.923146240733051e-02,  2.287110593592145e-02, -9.374257170443388e-02,  4.999262604737430e-02,  5.028397599897707e-01, -7.825110040348970e-03, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         90|131|div; (en_cottrell_sutton_std / Tx_glawe_num); $\left(\frac{ en_{cottrell, sutton, std} }{ Tx_{glawe, num} } \right)$; (en_cottrell_sutton_std ./ Tx_glawe_num); en_cottrell_sutton_std,Tx_glawe_num
# 1;  1; Unitless;                                         94|25|div; (M_therm_cond / atomic_weight_av); $\left(\frac{ M_{therm, cond} }{ atomic_{weight, av} } \right)$; (M_therm_cond ./ atomic_weight_av); M_therm_cond,atomic_weight_av
# 2;  1; Unitless;                                         21|132|div; (en_mulliken_av / M_evap_heat); $\left(\frac{ en_{mulliken, av} }{ M_{evap, heat} } \right)$; (en_mulliken_av ./ M_evap_heat); en_mulliken_av,M_evap_heat
# 3;  1; Unitless;                                         121|73|div; (metallic_radius_av / ne_outer_sum); $\left(\frac{ metallic_{radius, av} }{ ne_{outer, sum} } \right)$; (metallic_radius_av ./ ne_outer_sum); metallic_radius_av,ne_outer_sum
# 4;  1; Unitless;                                         46|0|sub; (Tx_period - c6_gb_av); $\left(Tx_{period} - c6_{gb, av}\right)$; (Tx_period - c6_gb_av); Tx_period,c6_gb_av
# Number of Samples Per Task
# Task, n_samples               
# all , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    , -6.786936110508210e-02, -2.217800990691412e-02, -2.836478613394825e-01, -1.978641524737758e+01,  1.407539890009957e+00,  1.087197531887337e+01,  1.032583926514059e-01
sample_1    ,  5.170489600965991e-01,  1.026014516581588e+00,  2.728882483261915e-01, -5.680359169675828e-01, -4.152381604982162e-01, -1.157163406436869e+00,  2.071047769218485e+00
sample_2    , -8.424432995226028e-02, -2.671504665855462e-01, -8.108686234866320e-01, -6.191554529586544e+00,  4.343830716212824e-01,  1.011504777821906e+00, -1.097969217118265e-01
sample_3    ,  3.870884909923769e-01,  2.781803452965446e-01, -1.464559418641969e+00, -2.547551999850944e-01, -1.048488898685926e+00, -6.896135765536557e+00,  1.330413207493707e+00
sample_4    , -3.064802267653849e-01,  2.704459726842037e-01,  2.923092100138354e+00, -5.288718196750237e+00,  4.623394999296348e+00, -1.788483413490591e-01,  1.154936852090877e+00
sample_5    ,  9.084282131303049e-01,  9.283308872679992e-01,  1.521887034075085e-01, -2.432010853278759e+00, -9.789822567317977e-01,  3.973184173782940e-01,  1.723339159100946e+00
sample_6    , -3.372731447832425e-01, -7.909990484837881e-02,  3.032429843850976e+00, -1.482842456671624e+00,  6.222223708534886e+00,  4.009194338025517e+00,  1.489707205294531e-01
sample_7    , -1.223306809623438e-01, -5.336858043007846e-02, -6.771797148264911e-01, -1.146298029376392e+01,  1.033583334176979e+00, -3.347637835722102e+00,  1.076488599087259e+00
sample_8    ,  9.505429496916736e-01,  9.018490040045354e-01,  1.634274022532567e+00,  2.502662627330544e+00,  2.703696765579767e-01, -7.021931165397471e-01,  1.525449017125657e+00
sample_9    , -2.722343139012212e-01, -1.813514463015714e-01, -1.323826614784508e+00,  1.781808766984023e-01, -4.903822939858360e-01,  7.749940309531147e-01, -2.867478683365274e-01
sample_10   ,  1.033922593120234e+00,  1.034310542261496e+00,  2.221781840259808e+00, -2.839164424229742e-01, -1.554512630759622e+00,  5.829374037288293e-01,  1.343389610246185e+00
sample_11   ,  8.655043105153030e-01,  8.268516339693384e-01,  1.423787639092404e+00, -2.614390889599005e-01, -1.645270217264451e-02,  9.240711683894178e-01,  1.324219924361842e+00
sample_12   , -1.974351437895262e+00, -1.869711340861441e+00,  1.410431096953872e-01,  5.052131965917246e-01,  6.938102279727200e-01, -1.814567952079046e-01, -3.603365496766680e+00
sample_13   ,  1.127745069540050e+00,  9.286006326404487e-01,  8.990947619378827e-01,  2.904031233272494e+00, -4.076295208991990e-01,  9.627497585731173e-01,  1.398929090288996e+00
sample_14   ,  1.173303732952369e+00,  7.715192531239591e-01, -1.433457608459199e+00, -4.538307824215069e-01,  1.300597261471172e+00,  1.564827519006145e+00,  1.911791917256254e+00
sample_15   , -3.117665424580768e-01, -2.950561715343385e-02, -2.904472452498380e+00, -1.873194538698733e-01, -8.521405504358726e-03,  7.660657565169823e-01,  4.030659052554316e-01
sample_16   ,  2.993778837652355e-01,  8.284040896072006e-01,  1.529155944008237e+00, -2.685122647928784e-01, -6.781692030357215e-01, -7.997805078370330e-01,  1.356955849487412e+00
sample_17   , -1.967465780026508e+00, -1.822696771762794e+00, -2.988488651409685e-02, -1.513053914462302e-01, -4.642550371290207e+00, -7.316276244155673e-01, -4.389814148432016e+00
sample_18   , -2.068025907941206e-01, -3.833210281061231e-01, -2.192444397342423e+00, -5.625294842754485e+00,  8.773353831114210e-03,  4.258515095822610e-01, -1.425328468373961e-01
sample_19   , -1.620136975480968e+00, -1.284043089604546e+00,  2.376817219093398e-01, -6.947342464172575e-01,  1.050338914363886e+00,  4.659698691897686e-01, -2.399115998904132e+00
sample_20   ,  5.325233916633493e-01,  4.043373066680841e-01,  2.885749330923834e+00, -5.810182102835183e+00,  3.324956195080202e+00,  6.991185834649961e-01,  1.122200926965309e+00
sample_21   , -8.260074571897974e-02,  5.188964902607099e-02, -2.716772563466066e+00,  9.061414772615863e-01,  1.354530195584943e-01, -1.882209489489605e-01,  6.036103114300929e-01
sample_22   , -4.244578083032810e-01,  5.188964902607099e-02, -2.716772563466066e+00,  9.061414772615863e-01,  1.354530195584943e-01, -1.882209489489605e-01,  6.036103114300929e-01
sample_23   ,  1.021301692810332e+00,  8.371107700233239e-01, -8.648355734100150e-01, -4.755775703291870e-01,  6.388807606080970e-01,  3.018009086693111e-01,  1.944527842381824e+00
sample_24   , -1.579486740420006e+00, -1.300705067292325e+00, -6.443827856371539e-01,  2.333874978362526e-01, -7.540991149706855e-01, -3.234612438264723e+01,  6.078635087761779e-01
sample_25   , -3.255503419433455e-01,  1.308824423373903e-01, -1.119335407569838e+00,  8.559532909159838e+00,  1.589807359830100e+00,  1.679009835554403e+00,  2.146131471001244e-01
