# FEAT_ID     Score                   Feature Expression
0             0.740305834794540263    (surf_charge_sum + Tx_glawe_num)
1             0.74080919344592433     (en_allred_rochow_sum + Tx_dipole_polar)
2             0.741606344819404795    (Tx_cov_radius_cordero + Tx_glawe_num)
3             0.74414705737137965     (dblock_std + Tx_tot_fill)
4             0.744377112403908803    (surf_bond_length_sum + Tx_s_fill)
5             0.744449858778537532    (Tx_pett_num + Tx_s_fill)
6             0.744959918953274181    (Tx_period - dblock_av)
7             0.746280014112168155    (Tx_period + Tx_pett_num)
8             0.747147440756468662    (Tx_tot_fill + Tx_glawe_num)
9             0.74802444484622832     (Tx_s_fill + Tx_glawe_num)
10            0.74844960237474123     (Tx_charge_sum + Tx_pett_num)
11            0.748548422997788565    (Tx_vdw_radius - surf_tDOS_at_EF)
12            0.751612528606325991    (Tx_charge_sum - dblock_av)
13            0.752076020755538477    (dblock_std + Tx_s_fill)
14            0.752234968008574145    (Tx_heat_form + Tx_elec_aff)
15            0.754107721038421608    (Tx_atom_vol + Tx_s_fill)
16            0.754161027973292541    (Tx_period + Tx_glawe_num)
17            0.756331901751759794    (Tx_charge_sum + Tx_glawe_num)
18            0.765619869105478523    (Tx_s_fill + vdw_radius_sum)
19            0.766153425541092448    (Tx_vdw_radius + Tx_s_fill)
#-----------------------------------------------------------------------
20            0.377912703181167986    (heat_of_formation_av - surf_d_fill)
21            0.37836047215062063     (M_tDOS_at_EF + en_pauling_sum)
22            0.378446171052120139    (M_d_center + surf_bond_length_std)
23            0.382764520333777225    (M_tDOS_at_EF + Tx_s_fill)
24            0.387957513320017711    (heat_of_formation_std * surf_d_center)
25            0.389331999261670558    (heat_of_formation_std * site_d_center)
26            0.393611968426078762    (M_cov_radius_cordero - electron_affinity_sum)
27            0.39401585349075624     (heat_of_formation_av + site_d_center)
28            0.397683971045165729    (Tx_tDOS_at_EF + site_tDOS_at_EF)
29            0.399450540622702188    (heat_of_formation_av + surf_d_center)
30            0.402720967049429945    (CN_tDOS_at_EF + site_tDOS_at_EF)
31            0.406804774280770665    (site_d_center - Tx_elec_aff)
32            0.408421592511005183    (CN_tDOS_at_EF + M_tDOS_at_EF)
33            0.409059896013382551    (Tx_tDOS_at_EF + surf_tDOS_at_EF)
34            0.411257150790179105    (M_d_center - Tx_elec_aff)
35            0.415198393435638469    (M_atom_vol - Tx_elec_aff)
36            0.417121829864956994    (CN_tDOS_at_EF + surf_tDOS_at_EF)
37            0.417673790122500221    (M_metallic_radius - Tx_elec_aff)
38            0.420734747893089844    (M_metallic_rad_c12 - Tx_elec_aff)
39            0.442531613712712824    (M_cov_radius_cordero - Tx_elec_aff)
#-----------------------------------------------------------------------
40            0.199180574795825377    (M_en_mulliken + site_bond_length_avg)
41            0.199778897502403657    (M_heat_form * ne_outer_std)
42            0.203330871287643655    (M_pett_num * c6_gb_av)
43            0.204073007230772846    (surf_sp_var * heat_of_formation_std)
44            0.206429769381358263    (M_tot_fill * c6_gb_av)
45            0.206752505377124973    (M_charge_min * heat_of_formation_std)
46            0.206942989188821674    (M_group_id * en_ghosh_sum)
47            0.207298546936642403    (heat_of_formation_std * M_charge_max)
48            0.207897920561662841    (heat_of_formation_std * M_charge_avg)
49            0.211123855203847688    (surf_charge_std * en_ghosh_sum)
50            0.211279954622166866    (c6_gb_av * dipole_polarizability_std)
51            0.211285225326564491    (en_ghosh_sum * M_d_fill)
52            0.211538611965519319    (heat_of_formation_std * surf_charge_std)
53            0.214079415993156941    (heat_of_formation_std * dipole_polarizability_sum)
