# c0 + a0 * (Tx_vdw_radius + Tx_s_fill)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.483576854759311; Max AE: 1.40698752906753
# Coefficients
# Task   a0                      c0
# all ,  4.479200712713209e-01,  6.058454674954830e-17, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         304|26|add; (Tx_vdw_radius + Tx_s_fill); $\left(Tx_{vdw, radius} + Tx_{s, fill}\right)$; (Tx_vdw_radius + Tx_s_fill); Tx_vdw_radius,Tx_s_fill
# Number of Samples Per Task
# Task, n_samples               
# all , 211                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    ,  3.115458680505624e-01, -2.289878461396213e-01, -5.112247939452469e-01
sample_1    , -6.203848617387741e-01,  5.195820417533884e-01,  1.159988299427331e+00
sample_2    ,  7.513512606465996e-01,  5.831459829076077e-01,  1.301897414984058e+00
sample_3    ,  3.236213414409967e-01,  5.292467470850818e-01,  1.181565151976631e+00
sample_4    , -1.263980548035660e+00, -1.692843954695772e+00, -3.779343823309844e+00
sample_5    ,  8.196961398138903e-01,  5.344787442554583e-01,  1.193245801061024e+00
sample_6    , -4.234684172968203e-02, -2.554891147183646e-01, -5.703899671055506e-01
sample_7    ,  1.885896747217228e-01,  4.283828777904776e-01,  9.563824112070007e-01
sample_8    ,  8.187132870092673e-01,  5.111217084602345e-01,  1.141100257038114e+00
sample_9    ,  7.628593703405774e-01,  7.686565091659312e-01,  1.716057302331355e+00
sample_10   ,  1.155154906790374e-01, -2.220083280140994e-01, -4.956427323829865e-01
sample_11   , -6.601407096173287e-01, -1.692843954695772e+00, -3.779343823309844e+00
sample_12   ,  7.217373307392069e-01,  6.759560913715248e-01,  1.509099803125532e+00
sample_13   ,  8.258964111862611e-01, -7.838350189284439e-02, -1.749943950276004e-01
sample_14   , -1.588870096472677e+00, -1.692843954695772e+00, -3.779343823309844e+00
