# c0 + a0 * (M_cov_radius_cordero - Tx_elec_aff) + a1 * (Tx_vdw_radius - surf_tDOS_at_EF)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.37290115239728; Max AE: 1.38093499965986
# Coefficients
# Task   a0                      a1                      c0
# all , -2.380072096552758e-01,  4.985682459936756e-01, -4.785257672344869e-17, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         350|66|sub; (M_cov_radius_cordero - Tx_elec_aff); $\left(M_{cov, radius, cordero} - Tx_{elec, aff}\right)$; (M_cov_radius_cordero - Tx_elec_aff); M_cov_radius_cordero,Tx_elec_aff
# 1;  1; Unitless;                                         304|221|sub; (Tx_vdw_radius - surf_tDOS_at_EF); $\left(Tx_{vdw, radius} - surf_{tDOS, at, EF}\right)$; (Tx_vdw_radius - surf_tDOS_at_EF); Tx_vdw_radius,surf_tDOS_at_EF
# Number of Samples Per Task
# Task, n_samples               
# all , 211                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    ,  3.115458680505624e-01,  3.765647334309128e-02,  5.400448417783213e-01,  3.333365904445962e-01
sample_1    , -6.203848617387741e-01, -3.427214237885288e-01, -1.286937254358826e+00, -1.301771169574502e+00
sample_2    ,  7.513512606465996e-01,  8.904161448418171e-01, -1.004539328807120e+00,  1.306397965448672e+00
sample_3    ,  3.236213414409967e-01,  9.157825646197765e-01, -1.296367537954979e-01,  1.774938716396647e+00
sample_4    , -1.263980548035660e+00, -1.063992791056944e+00, -3.057539380048448e-01, -2.280057829228476e+00
sample_5    ,  8.196961398138903e-01,  6.787144002523890e-01, -1.158348309851789e+00,  8.083530278034842e-01
sample_6    , -4.234684172968203e-02, -2.918031722065459e-01, -7.458446032920427e-01, -9.413346494563646e-01
sample_7    ,  1.885896747217228e-01,  6.957936646436486e-01,  3.825903130172286e-01,  1.578225095177841e+00
sample_8    ,  8.187132870092673e-01,  7.920942166017220e-01,  1.542019524795975e+00,  2.324869243572063e+00
sample_9    ,  7.628593703405774e-01,  7.880650192660961e-01, -1.385153081104199e+00,  9.194099366947898e-01
sample_10   ,  1.155154906790374e-01, -3.199409257533131e-01, -8.744335477990792e-01, -1.059157735650565e+00
sample_11   , -6.601407096173287e-01, -1.214815110333219e+00,  1.751669174107738e+00, -1.600393174608228e+00
sample_12   ,  7.217373307392069e-01,  8.816041381013648e-01, -4.890818338587624e-01,  1.534793163584795e+00
sample_13   ,  8.258964111862611e-01,  2.389323348177329e-01,  1.797068702594629e+00,  1.337124150280449e+00
sample_14   , -1.588870096472677e+00, -1.214815110333219e+00,  1.751669174107738e+00, -1.600393174608228e+00
