# c0 + a0 * (heat_of_formation_std * M_d_fill) + a1 * (CN_tDOS_at_EF + site_tDOS_at_EF) + a2 * (Tx_heat_form + Tx_elec_aff)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.314427805323341; Max AE: 1.00447688363514
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -2.505421432152235e-01, -1.717540940385738e-01,  8.169745865357368e-01,  4.687684962469605e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         276|39|mult; (heat_of_formation_std * M_d_fill); $\left(heat_{of, formation, std} M_{d, fill}\right)$; (heat_of_formation_std .* M_d_fill); heat_of_formation_std,M_d_fill
# 1;  1; Unitless;                                         361|285|add; (CN_tDOS_at_EF + site_tDOS_at_EF); $\left(CN_{tDOS, at, EF} + site_{tDOS, at, EF}\right)$; (CN_tDOS_at_EF + site_tDOS_at_EF); CN_tDOS_at_EF,site_tDOS_at_EF
# 2;  1; Unitless;                                         371|66|add; (Tx_heat_form + Tx_elec_aff); $\left(Tx_{heat, form} + Tx_{elec, aff}\right)$; (Tx_heat_form + Tx_elec_aff); Tx_heat_form,Tx_elec_aff
# Number of Samples Per Task
# Task, n_samples               
# all , 211                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    ,  3.115458680505624e-01,  7.550844988106532e-02,  2.443466993895438e-01, -1.031658124699820e+00, -1.069075611356725e-01
sample_1    , -6.203848617387741e-01,  3.840920218963701e-01,  3.734636696911527e-02,  4.528712013707936e-01,  5.194219024614141e-01
sample_2    ,  7.513512606465996e-01,  5.701103272411607e-01,  2.787134750111370e-01, -1.130263937127038e+00,  4.883083231935281e-01
sample_3    ,  3.236213414409967e-01,  4.857984532224228e-01,  9.838686698260805e-01, -1.520008453007309e+00,  5.194219024614141e-01
sample_4    , -1.263980548035660e+00, -1.248128328390482e+00, -1.539631927749249e+00,  8.439457489865579e-02, -2.039540488362162e+00
sample_5    ,  8.196961398138903e-01,  4.514063229873027e-01,  3.982480181993574e-02,  5.733330254772973e-02,  5.194219024614141e-01
sample_6    , -4.234684172968203e-02, -2.304860106805718e-01,  3.119503552649726e-01,  6.513113401474301e-01, -1.069075611356725e-01
sample_7    ,  1.885896747217228e-01,  5.120683776205371e-01, -3.566070360508425e-02, -8.578320760372771e-01,  3.781278547953166e-01
sample_8    ,  8.187132870092673e-01,  8.557833337831690e-01, -2.845009422732575e-01, -1.823959516581910e+00,  5.194219024614141e-01
sample_9    ,  7.628593703405774e-01,  3.115522335738787e-01,  2.261636375643390e+00, -5.635339506816798e-01,  8.990749010097239e-01
sample_10   ,  1.155154906790374e-01, -2.696929288724123e-01,  3.787484497212523e-02,  1.279385940332444e+00, -1.069075611356725e-01
