# c0 + a0 * (surf_M_M_length_min - site_charge_std) + a1 * (heat_of_formation_std * M_tot_fill) + a2 * (CN_tDOS_at_EF + M_tDOS_at_EF) + a3 * (Tx_heat_form + Tx_elec_aff)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.272875449290591; Max AE: 0.814787129471422
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.264061737771007e-01, -2.574385350014041e-01, -1.931244698324977e-01,  8.681854165949597e-01,  5.091265577848104e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         299|121|sub; (surf_M_M_length_min - site_charge_std); $\left(surf_{M, M, length, min} - site_{charge, std}\right)$; (surf_M_M_length_min - site_charge_std); surf_M_M_length_min,site_charge_std
# 1;  1; Unitless;                                         276|235|mult; (heat_of_formation_std * M_tot_fill); $\left(heat_{of, formation, std} M_{tot, fill}\right)$; (heat_of_formation_std .* M_tot_fill); heat_of_formation_std,M_tot_fill
# 2;  1; Unitless;                                         361|212|add; (CN_tDOS_at_EF + M_tDOS_at_EF); $\left(CN_{tDOS, at, EF} + M_{tDOS, at, EF}\right)$; (CN_tDOS_at_EF + M_tDOS_at_EF); CN_tDOS_at_EF,M_tDOS_at_EF
# 3;  1; Unitless;                                         371|66|add; (Tx_heat_form + Tx_elec_aff); $\left(Tx_{heat, form} + Tx_{elec, aff}\right)$; (Tx_heat_form + Tx_elec_aff); Tx_heat_form,Tx_elec_aff
# Number of Samples Per Task
# Task, n_samples               
# all , 211                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    ,  3.115458680505624e-01,  8.268526548266864e-02, -5.499796728970127e-01,  2.629844313274621e-01, -6.357024355091854e-01, -1.069075611356725e-01
sample_1    , -6.203848617387741e-01, -5.216710055166369e-02,  9.721845509180668e-02,  5.747693964778033e-01,  2.038982802785817e+00,  5.194219024614141e-01
sample_2    ,  7.513512606465996e-01,  7.549250489206395e-01, -1.319893388510618e+00,  2.982989306834934e-01, -9.839312179380184e-01,  4.883083231935281e-01
sample_3    ,  3.236213414409967e-01,  5.459955216430078e-01, -7.036156979744718e-02,  1.076281599925614e+00, -1.617146531835997e+00,  5.194219024614141e-01
sample_4    , -1.263980548035660e+00, -1.428767410414397e+00,  2.901202220305177e-01, -1.529076339479078e+00,  3.414944943934360e-01, -2.039540488362162e+00
sample_5    ,  8.196961398138903e-01,  6.280382910829976e-01, -2.796484124698167e-01,  3.494768599352351e-02, -5.168620520993255e-01,  5.194219024614141e-01
sample_6    , -4.234684172968203e-02, -8.699929672695141e-02, -1.772652777033876e+00,  2.784663034966375e-01,  1.022566767099806e+00, -1.069075611356725e-01
sample_7    ,  1.885896747217228e-01,  4.409484826562434e-01,  1.061638289479824e-01,  6.869325450061488e-01, -1.304927383861405e+00,  3.781278547953166e-01
sample_8    ,  8.187132870092673e-01,  6.409888326914038e-01,  2.676879151004655e+00, -2.106538518017464e-01, -2.191670939705213e+00,  5.194219024614141e-01
sample_9    ,  7.628593703405774e-01,  3.961417887018582e-01, -1.219625615449967e+00,  2.399367462701236e+00, -1.459517403615154e-01,  8.990749010097239e-01
sample_10   ,  1.155154906790374e-01,  2.223163995777292e-02, -1.473427252129884e+00, -6.274825493457827e-02,  7.159608026046975e-01, -1.069075611356725e-01
sample_11   , -6.601407096173287e-01, -9.788300833784157e-01, -3.129553615000040e+00, -1.009059083076083e+00, -4.431907530356686e-01, -2.039540488362162e+00
sample_12   ,  7.217373307392069e-01,  6.370518700935299e-01,  7.251389877333967e-01,  1.515757403786443e+00, -7.192865581299608e-01,  1.070167468496319e+00
sample_13   ,  8.258964111862611e-01,  3.955066714432728e-01,  8.524506656714625e-01,  3.482129934405382e-02, -6.888215559105025e-01,  3.781278547953166e-01
sample_14   , -1.588870096472677e+00, -1.551044096579917e+00,  1.397234880398287e+00, -1.009059083076083e+00, -4.431907530356686e-01, -2.039540488362162e+00
sample_15   , -1.306805782942450e+00, -1.426753715997162e+00,  2.741898734006667e-01, -1.529076339479078e+00,  3.414944943934360e-01, -2.039540488362162e+00
sample_16   , -4.914056689852132e-01, -3.762715986642440e-02, -1.780710300220256e-02,  5.747693964778033e-01,  2.038982802785817e+00,  5.194219024614141e-01
sample_17   ,  2.467801920517617e-01, -4.674556296701293e-02, -3.190894529347741e-01,  1.345041232245015e+00,  6.214268988476085e-01,  3.781278547953166e-01
sample_18   , -2.319759606923586e+00, -2.286338017484658e+00,  1.047312728200876e+00, -2.853740818072910e-01,  2.628516500163554e+00, -2.039540488362162e+00
sample_19   , -6.372433227465039e-01, -5.275849676148898e-01, -4.266260859085889e+00, -2.147060367521573e+00, -5.187529997525889e-01, -2.039540488362162e+00
sample_20   ,  2.180072209339664e-01,  1.953704899739410e-01,  7.394024047796227e-01, -1.904332200502202e-01, -1.458715198679761e+00, -1.069075611356725e-01
sample_21   , -2.992353523349867e-01,  1.545717240135645e-01,  2.380277320339137e+00,  2.191961889398117e-01, -5.186210643217691e-02,  5.194219024614141e-01
sample_22   ,  4.211526043798416e-02,  8.024659571554116e-02,  5.541467929793517e-01,  2.319197220300305e-02, -1.026113411572168e+00, -1.069075611356725e-01
sample_23   , -2.069000356978415e+00, -1.711591758658233e+00,  1.242111839352687e+00, -1.250301258889603e+00,  8.112396394136260e-01, -2.039540488362162e+00
sample_24   ,  1.874002453037688e-01,  4.501810978379294e-01,  3.312455479064173e-02,  6.869325450061488e-01, -1.304927383861405e+00,  3.781278547953166e-01
sample_25   ,  6.943714929309721e-01,  5.893223702218229e-01, -1.173722988767028e+00,  1.493763809436288e+00,  3.089959749741539e-02,  8.990749010097239e-01
sample_26   ,  4.372652784271939e-01,  5.572681798391752e-01,  1.552396563612270e+00, -9.401779894302017e-01, -1.895555992741656e-01,  4.883083231935281e-01
sample_27   ,  6.880050768711229e-01,  1.022289597800762e+00,  1.027732560033881e+00,  3.211812685647662e-01, -1.319715355644573e+00,  1.070167468496319e+00
sample_28   , -3.978268401166277e-02,  3.946804518419725e-02, -1.123661822776079e+00,  8.457267956991474e-01, -8.132364101936622e-01, -1.069075611356725e-01
sample_29   , -4.083688729350315e-02, -6.982030849335515e-02, -1.908555856134182e+00,  2.784663034966375e-01,  1.022566767099806e+00, -1.069075611356725e-01
sample_30   ,  9.493525296401219e-02,  5.468166056137438e-02, -1.730139560033630e+00, -6.274825493457827e-02,  7.159608026046975e-01, -1.069075611356725e-01
sample_31   ,  7.956386281871095e-01,  5.665884547356135e-01, -4.094987878685773e-01,  8.617655048222077e-01,  4.908722570109423e-01,  8.990749010097239e-01
sample_32   ,  2.376454624912727e-01,  1.109889931827134e-02, -8.992333394335578e-01,  8.457267956991474e-01, -8.132364101936622e-01, -1.069075611356725e-01
sample_33   , -2.217080114490598e+00, -2.325227177591709e+00,  9.419565930761050e-01, -2.372617452189263e-01,  2.834709203863148e+00, -2.039540488362162e+00
sample_34   ,  8.066515316012562e-01,  8.968687094786713e-01,  1.555387354734240e+00, -3.956932427407766e-01, -8.291865442425934e-01,  8.990749010097239e-01
sample_35   ,  3.339946812830672e-01,  1.195281095484834e-01, -1.607361199880462e+00,  2.332187237545886e-01, -9.470652119439152e-02, -1.069075611356725e-01
sample_36   , -1.596296529646721e-01,  4.102785053485101e-01,  9.512202473692002e-01,  1.623896792424917e-02, -8.051874967727845e-01,  3.781278547953166e-01
sample_37   , -1.794846178009260e+00, -1.711591758658233e+00,  1.242111839352687e+00, -1.250301258889603e+00,  8.112396394136260e-01, -2.039540488362162e+00
sample_38   , -1.368375000111447e+00, -1.480501837271434e+00,  2.651213121395252e+00,  1.326503164793049e+00,  6.125981059030972e+00,  3.781278547953166e-01
