# c0 + a0 * (M_charge_std / en_cottrell_sutton_sum) + a1 * (site_charge_std + surf_M_Tx_length_std) + a2 * (heat_of_formation_std * M_d_fill) + a3 * (CN_tDOS_at_EF + surf_tDOS_at_EF) + a4 * (Tx_heat_form + Tx_elec_aff)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.249333469097327; Max AE: 0.809021032960254
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  7.564383279694743e-02,  1.447442097662783e-01, -2.568269843136067e-01, -1.445358114701140e-01,  8.408867121283905e-01,  1.169575541129805e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         93|32|div; (M_charge_std / en_cottrell_sutton_sum); $\left(\frac{ M_{charge, std} }{ en_{cottrell, sutton, sum} } \right)$; (M_charge_std ./ en_cottrell_sutton_sum); M_charge_std,en_cottrell_sutton_sum
# 1;  1; Unitless;                                         121|120|add; (site_charge_std + surf_M_Tx_length_std); $\left(site_{charge, std} + surf_{M, Tx, length, std}\right)$; (site_charge_std + surf_M_Tx_length_std); site_charge_std,surf_M_Tx_length_std
# 2;  1; Unitless;                                         276|39|mult; (heat_of_formation_std * M_d_fill); $\left(heat_{of, formation, std} M_{d, fill}\right)$; (heat_of_formation_std .* M_d_fill); heat_of_formation_std,M_d_fill
# 3;  1; Unitless;                                         361|221|add; (CN_tDOS_at_EF + surf_tDOS_at_EF); $\left(CN_{tDOS, at, EF} + surf_{tDOS, at, EF}\right)$; (CN_tDOS_at_EF + surf_tDOS_at_EF); CN_tDOS_at_EF,surf_tDOS_at_EF
# 4;  1; Unitless;                                         371|66|add; (Tx_heat_form + Tx_elec_aff); $\left(Tx_{heat, form} + Tx_{elec, aff}\right)$; (Tx_heat_form + Tx_elec_aff); Tx_heat_form,Tx_elec_aff
# Number of Samples Per Task
# Task, n_samples               
# all , 211                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    ,  3.115458680505624e-01, -4.555235466003690e-02, -2.597179686700182e+00,  5.751665217448958e-01,  2.443466993895438e-01, -7.150523180546581e-01, -1.069075611356725e-01
sample_1    , -6.203848617387741e-01, -3.731736300684919e-02, -5.854581332606029e-01, -1.663942397588214e+00,  3.734636696911527e-02,  2.050190956087835e+00,  5.194219024614141e-01
sample_2    ,  7.513512606465996e-01,  8.674148361884457e-01,  1.794562076876874e-01,  1.686484993444977e+00,  2.787134750111370e-01, -1.063700050275884e+00,  4.883083231935281e-01
sample_3    ,  3.236213414409967e-01,  6.071662693405887e-01,  3.857145975198341e-01,  2.111047312948619e-01,  9.838686698260805e-01, -1.704661580780926e+00,  5.194219024614141e-01
sample_4    , -1.263980548035660e+00, -1.298329369730249e+00, -7.628798400353594e-01, -8.970498877220934e-02, -1.539631927749249e+00,  1.729123063585424e-01, -2.039540488362162e+00
sample_5    ,  8.196961398138903e-01,  7.386224386311634e-01,  3.526917926144565e-01,  6.525893124753229e-01,  3.982480181993574e-02, -5.118489903935400e-01,  5.194219024614141e-01
sample_6    , -4.234684172968203e-02, -2.301685594664259e-01, -5.052834427544370e+00,  2.241404395903570e+00,  3.119503552649726e-01,  8.255825407302385e-01, -1.069075611356725e-01
sample_7    ,  1.885896747217228e-01,  5.026254952837252e-01, -6.024618130544495e-01, -5.293260986679491e-01, -3.566070360508425e-02, -1.250458473215971e+00,  3.781278547953166e-01
sample_8    ,  8.187132870092673e-01,  7.023233224432119e-01, -2.728756696495164e-01, -1.662393750287339e+00, -2.845009422732575e-01, -2.330124979637044e+00,  5.194219024614141e-01
sample_9    ,  7.628593703405774e-01,  5.558099132782508e-01, -4.104670453269958e-01,  1.952805483054955e+00,  2.261636375643390e+00, -8.353283258326953e-02,  8.990749010097239e-01
sample_10   ,  1.155154906790374e-01, -6.003857840889995e-02,  6.076933907655072e-01, -2.887087069628714e-01,  3.787484497212523e-02,  5.642272699943115e-01, -1.069075611356725e-01
