# FEAT_ID     Feature Postfix Expression (RPN)
0             90|65|add
1             90|73|add
2             101|90|add
3             90|7|add
4             108|90|sub
5             122|90|add
6             109|90|add
7             90|39|add
8             90|62|sub
9             96|90|add
10            66|7|sub
11            101|66|sub
12            90|cb
13            90|41|sub
14            122|cb
15            39|cb
16            109|cb
17            90
18            90|66|sub
19            65|cb
#-----------------------------------------------------------------------
20            60|0|add
21            76|41|add
22            79|43|add
23            138|66|sub
24            66|27|add
25            62|1|add
26            116|43|add
27            66|43|add
28            72|43|add
29            114|72|add
30            114|66|add
31            114|66|sub
32            93|72|add
33            54|41|sub
34            72|27|add
35            41|1|add
36            133|66|sub
37            107|66|sub
38            66|54|sub
39            66|1|add
#-----------------------------------------------------------------------
40            65|101|div
41            51|7|div
42            19|7|div
43            133|116|sub
44            108|101|div
45            88|37|mult
46            24|7|div
47            133|72|sub
48            138|101|div
49            90|7|div
50            31|101|div
51            17|101|div
52            71|7|div
53            138|7|div
54            71|101|div
55            17|7|div
56            31|7|div
57            108|7|div
58            144|7|div
59            144|101|div
#-----------------------------------------------------------------------
60            68|55|mult
61            36|1|mult
62            108|68|mult
63            133|83|mult
64            133|73|mult
65            113|66|mult
66            133|80|sub
67            142|35|div
68            133|50|sub
69            133|55|mult
70            118|114|mult
71            133|74|add
72            133|37|mult
73            138|90|mult
74            120|90|mult
75            68|67|div
76            90|89|mult
77            95|66|mult
78            133|5|sub
79            133|9|sub
#-----------------------------------------------------------------------
80            3|96|div
81            85|18|div
82            121|114|mult
83            84|80|div
84            43|18|div
85            132|35|div
86            113|72|sub
87            133|18|div
88            3|80|div
89            93|1|mult
90            23|1|mult
91            92|1|mult
92            16|1|mult
93            140|43|mult
94            1|18|div
95            1|0|mult
96            43|36|mult
97            107|1|mult
98            84|45|sub
99            132|74|sub
#-----------------------------------------------------------------------
