# c0 + a0 * (Tx_charge_sum^3)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.517670497129036; Max AE: 1.53975343616719
# Coefficients
# Task   a0                      c0
# all ,  5.972109280212841e-01,  2.080458091282104e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         65|cb; (Tx_charge_sum^3); $\left(Tx_{charge, sum}^3\right)$; (Tx_charge_sum).^3; Tx_charge_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 211                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    ,  3.115458680505624e-01, -3.033197674584902e-01, -8.562562280649960e-01
sample_1    , -6.203848617387741e-01,  4.737803794271528e-01,  4.449593231312604e-01
sample_2    ,  7.513512606465996e-01,  7.927004843271436e-01,  9.789751790645342e-01
sample_3    ,  3.236213414409967e-01,  5.717242924619196e-01,  6.089615348109438e-01
sample_4    , -1.263980548035660e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_5    ,  8.196961398138903e-01,  5.334824486236533e-01,  5.449274690496699e-01
sample_6    , -4.234684172968203e-02, -3.843583072606531e-01, -9.919512329616158e-01
sample_7    ,  1.885896747217228e-01,  2.687267091385289e-01,  1.016071494394287e-01
sample_8    ,  8.187132870092673e-01,  5.593456092703194e-01,  5.882340453917297e-01
sample_9    ,  7.628593703405774e-01,  7.205450263048264e-01,  8.581544528574853e-01
sample_10   ,  1.155154906790374e-01, -3.306667837217187e-01, -9.020474468456643e-01
sample_11   , -6.601407096173287e-01, -1.608157484619378e+00, -3.041142096587456e+00
sample_12   ,  7.217373307392069e-01,  4.143420676177351e-01,  3.454328258410108e-01
sample_13   ,  8.258964111862611e-01,  1.552659885781131e-01, -8.837718479963291e-02
sample_14   , -1.588870096472677e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_15   , -1.306805782942450e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_16   , -4.914056689852132e-01,  4.737803794271528e-01,  4.449593231312604e-01
sample_17   ,  2.467801920517617e-01,  1.406171012843141e-01, -1.129060180919749e-01
sample_18   , -2.319759606923586e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_19   , -6.372433227465039e-01, -1.608157484619378e+00, -3.041142096587456e+00
sample_20   ,  2.180072209339664e-01, -2.627370515771590e-01, -7.883024884778920e-01
sample_21   , -2.992353523349867e-01,  5.628700777316525e-01,  5.941355925603501e-01
sample_22   ,  4.211526043798416e-02, -2.520523952403424e-01, -7.704115627839873e-01
sample_23   , -2.069000356978415e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_24   ,  1.874002453037688e-01,  2.687267091385289e-01,  1.016071494394287e-01
sample_25   ,  6.943714929309721e-01,  7.015181479936946e-01,  8.262948913217095e-01
sample_26   ,  4.372652784271939e-01,  8.080633364913170e-01,  1.004699511027237e+00
sample_27   ,  6.880050768711229e-01,  4.133466060863673e-01,  3.437659750104911e-01
sample_28   , -3.978268401166277e-02, -2.789915999899715e-01, -8.155199214653760e-01
sample_29   , -4.083688729350315e-02, -3.843583072606531e-01, -9.919512329616158e-01
sample_30   ,  9.493525296401219e-02, -3.306667837217187e-01, -9.020474468456643e-01
sample_31   ,  7.956386281871095e-01,  7.099819600378414e-01,  8.404671236889063e-01
sample_32   ,  2.376454624912727e-01, -2.789915999899715e-01, -8.155199214653760e-01
sample_33   , -2.217080114490598e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_34   ,  8.066515316012562e-01,  7.710081184106610e-01,  9.426523910868341e-01
sample_35   ,  3.339946812830672e-01, -3.177239540086961e-01, -8.803753221310252e-01
sample_36   , -1.596296529646721e-01,  1.640980139613055e-01, -7.358839750725157e-02
sample_37   , -1.794846178009260e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_38   , -1.368375000111447e+00,  1.583452403900182e-01, -8.322113077010018e-02
sample_39   ,  7.385693326124785e-01,  7.875801875911574e-01,  9.704014968096715e-01
sample_40   ,  7.331808427715989e-01,  1.552659885781131e-01, -8.837718479963291e-02
sample_41   , -1.117758111355730e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_42   ,  8.303329667676390e-01,  3.325588768642934e-01,  2.084909399575579e-01
sample_43   ,  8.120322918074160e-01,  5.593456092703194e-01,  5.882340453917297e-01
sample_44   ,  7.219613627378784e-01,  3.894580564075045e-01,  3.037657865376984e-01
sample_45   ,  7.599466995289635e-01,  7.439976199125576e-01,  8.974246545690242e-01
sample_46   ,  8.163073744643262e-01,  7.439976199125576e-01,  8.974246545690242e-01
sample_47   ,  8.221776498904934e-01,  3.325588768642934e-01,  2.084909399575579e-01
sample_48   ,  2.606250769099523e-02, -2.520523952403424e-01, -7.704115627839873e-01
sample_49   ,  2.298983722613784e-01,  7.668270642010829e-01,  9.356514237344266e-01
sample_50   ,  6.684471046022465e-01,  7.734513221720558e-01,  9.467434142861079e-01
sample_51   ,  7.939295719496772e-01,  8.080633364913170e-01,  1.004699511027237e+00
sample_52   , -1.860082210422739e-01, -3.705985096445081e-01, -9.689111361205636e-01
sample_53   ,  7.463253416473425e-01,  7.875801875911574e-01,  9.704014968096715e-01
sample_54   ,  1.011046138344763e+00,  5.953580057837408e-01,  6.485350124767424e-01
sample_55   ,  8.233616006060284e-01,  7.421892945561512e-01,  8.943967036867491e-01
sample_56   ,  4.347300431383949e-01,  7.205450263048264e-01,  8.581544528574853e-01
sample_57   ,  5.958426020537280e-01,  7.668270642010829e-01,  9.356514237344266e-01
sample_58   ,  2.599756980211103e-01,  2.773618168712532e-01,  1.160662079187078e-01
sample_59   ,  7.658301408207886e-01,  7.374423415797224e-01,  8.864481669910850e-01
sample_60   , -2.309498813964998e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_61   ,  1.735449597931747e-01, -2.871353221989115e-01, -8.291561793214106e-01
sample_62   ,  5.846641485403489e-01,  1.406171012843141e-01, -1.129060180919749e-01
sample_63   ,  1.109174871975080e+00,  7.710081184106610e-01,  9.426523910868341e-01
sample_64   ,  8.099725564683211e-01,  3.033999474756867e-01,  1.596657627538891e-01
sample_65   ,  8.101117748424803e-01,  7.927004843271436e-01,  9.789751790645342e-01
sample_66   ,  2.487265735679660e-01,  1.406171012843141e-01, -1.129060180919749e-01
sample_67   ,  7.839346019717865e-01,  7.749087681357422e-01,  9.491838350743128e-01
sample_68   ,  8.073832986794466e-01,  7.108487637366370e-01,  8.419185433768672e-01
sample_69   , -1.955945783416340e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_70   ,  8.339373549499466e-01,  1.640980139613055e-01, -7.358839750725157e-02
sample_71   ,  7.183545112596225e-01,  7.421892945561512e-01,  8.943967036867491e-01
sample_72   , -1.355232879588689e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_73   , -4.119254863627209e-01, -3.843583072606531e-01, -9.919512329616158e-01
sample_74   ,  8.251737328052078e-01,  5.693114202030664e-01,  6.049213002043070e-01
sample_75   , -1.945836949982760e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_76   ,  7.746948003398922e-01,  3.894580564075045e-01,  3.037657865376984e-01
sample_77   ,  7.636636770724777e-01,  7.099819600378414e-01,  8.404671236889063e-01
sample_78   ,  8.414316181663918e-01,  7.439976199125576e-01,  8.974246545690242e-01
sample_79   , -7.684656810142559e-01, -1.608157484619378e+00, -3.041142096587456e+00
sample_80   , -3.833036207027726e-02,  9.886664608790490e-01,  1.307110461520252e+00
sample_81   , -1.393952404282432e+00,  1.452764360143888e-01, -1.051041937926235e-01
sample_82   ,  7.474413820006974e-01,  7.875801875911574e-01,  9.704014968096715e-01
sample_83   ,  1.112878900639768e-01, -3.033197674584902e-01, -8.562562280649960e-01
sample_84   , -2.495743516103040e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_85   , -2.522654617399350e-01,  7.457194485165294e-01,  9.003077709407835e-01
sample_86   ,  8.195739521227490e-01,  5.036863956127625e-01,  4.950354600242944e-01
sample_87   ,  3.741053278939221e-01, -2.893960760172662e-01, -8.329416991641991e-01
sample_88   , -2.022731697163505e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_89   , -1.885328811683140e-01, -3.705985096445081e-01, -9.689111361205636e-01
sample_90   ,  8.468425749087408e-01,  7.492715575300669e-01,  9.062556008395206e-01
sample_91   ,  2.285225397340248e-01,  6.968173047559986e-01,  8.184235630905415e-01
sample_92   ,  8.276061044896640e-01,  5.334824486236533e-01,  5.449274690496699e-01
sample_93   , -9.209366734433599e-02,  5.628700777316525e-01,  5.941355925603501e-01
sample_94   ,  4.409330751008372e-01,  3.820187046058520e-01,  2.913089619007128e-01
sample_95   ,  8.394890165308285e-01,  7.108487637366370e-01,  8.419185433768672e-01
sample_96   ,  8.278315380097472e-01,  3.914034696096039e-01,  3.070232842002832e-01
sample_97   ,  6.252290173759314e-01,  7.636120165939912e-01,  9.302679863989043e-01
sample_98   ,  2.176736999360074e-01, -2.627370515771590e-01, -7.883024884778920e-01
sample_99   ,  1.677792420761697e+00,  4.143710368836136e-01,  3.454813334360987e-01
sample_100  ,  8.111544686089601e-01,  7.439976199125576e-01,  8.974246545690242e-01
sample_101  ,  7.613469526146933e-01,  7.910746759204915e-01,  9.762528437381550e-01
sample_102  ,  6.682101615668027e-01,  3.820187046058520e-01,  2.913089619007128e-01
sample_103  , -2.277917012465263e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_104  , -2.552287578741331e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_105  ,  6.318671598274630e-01,  7.927004843271436e-01,  9.789751790645342e-01
sample_106  , -2.338873337540999e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_107  ,  7.943062854635597e-01,  2.687267091385289e-01,  1.016071494394287e-01
sample_108  , -1.365159896726676e+00,  1.583452403900182e-01, -8.322113077010018e-02
sample_109  ,  1.303153205800176e-01,  3.639364257197109e-01,  2.610310851276733e-01
sample_110  ,  7.531204976114924e-01,  4.791366725095207e-01,  4.539281695321706e-01
sample_111  , -3.015312662372282e-01,  5.628700777316525e-01,  5.941355925603501e-01
sample_112  ,  8.208910479217776e-01,  8.097726460504120e-01,  1.007561664880916e+00
sample_113  , -1.018963524898496e+00, -3.831033463753060e-01, -9.898498633676180e-01
sample_114  , -6.038116752279044e-01, -1.608157484619378e+00, -3.041142096587456e+00
sample_115  , -1.394477000152802e+00,  1.452764360143888e-01, -1.051041937926235e-01
sample_116  , -2.583502562351241e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_117  , -3.645348403144876e-01,  3.224703743182801e-01,  1.915982441399527e-01
sample_118  , -1.801937943480333e-01, -3.705985096445081e-01, -9.689111361205636e-01
sample_119  ,  1.424389130720289e-01,  7.668270642010829e-01,  9.356514237344266e-01
sample_120  ,  2.356648922070764e-01,  7.099819600378414e-01,  8.404671236889063e-01
sample_121  ,  8.099982511399093e-01,  5.139370014010561e-01,  5.121995896597927e-01
sample_122  , -4.098229832143954e-01, -3.843583072606531e-01, -9.919512329616158e-01
sample_123  , -7.650881703505426e-01, -1.608157484619378e+00, -3.041142096587456e+00
sample_124  ,  1.651864639462544e-01,  2.773618168712532e-01,  1.160662079187078e-01
sample_125  , -1.954210522862035e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_126  , -9.596156009260348e-01, -1.608157484619378e+00, -3.041142096587456e+00
sample_127  ,  7.546718183398604e-01,  1.552659885781131e-01, -8.837718479963291e-02
sample_128  , -2.076472790346875e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_129  ,  7.752902370484371e-01,  8.097726460504120e-01,  1.007561664880916e+00
sample_130  , -7.668064002230788e-01, -3.593430750091645e-01, -9.500644705502670e-01
sample_131  ,  8.581285637832301e-01,  7.910746759204915e-01,  9.762528437381550e-01
sample_132  ,  3.909420486061391e-02, -2.520523952403424e-01, -7.704115627839873e-01
sample_133  , -1.354670824714972e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_134  , -2.553013569829222e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_135  , -2.495760461836853e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_136  , -6.563654625257864e-01, -2.867958222663204e-01, -8.285877035674323e-01
sample_137  ,  8.026780321190999e-01,  7.015181479936946e-01,  8.262948913217095e-01
sample_138  ,  1.431233255165690e-01, -3.177239540086961e-01, -8.803753221310252e-01
sample_139  ,  8.033327152012543e-01,  4.448023426072844e-01,  3.964370415382557e-01
sample_140  ,  8.256855450470045e-01,  3.914034696096039e-01,  3.070232842002832e-01
sample_141  ,  7.968536248497229e-01,  7.749087681357422e-01,  9.491838350743128e-01
sample_142  ,  7.685613350961705e-01,  7.858354610410042e-01,  9.674800389657335e-01
sample_143  ,  7.962372501818057e-01,  2.687267091385289e-01,  1.016071494394287e-01
sample_144  ,  2.299468736000405e-01, -2.789915999899715e-01, -8.155199214653760e-01
sample_145  , -1.544490563268108e-01,  3.639364257197109e-01,  2.610310851276733e-01
sample_146  , -1.023446500754054e+00, -3.831033463753060e-01, -9.898498633676180e-01
sample_147  , -1.658291174001319e-01, -2.867958222663204e-01, -8.285877035674323e-01
sample_148  , -8.955503441198125e-02,  5.628700777316525e-01,  5.941355925603501e-01
sample_149  , -1.319034192677605e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_150  ,  2.506503607620149e-01, -2.627370515771590e-01, -7.883024884778920e-01
sample_151  ,  8.226638948813879e-01,  3.894580564075045e-01,  3.037657865376984e-01
sample_152  , -1.363954838153359e+00,  1.583452403900182e-01, -8.322113077010018e-02
sample_153  , -1.357840017465228e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_154  ,  3.316675515434536e-01, -3.177239540086961e-01, -8.803753221310252e-01
sample_155  , -5.040767914322324e-01,  3.224703743182801e-01,  1.915982441399527e-01
sample_156  ,  7.586761514241768e-01,  7.858354610410042e-01,  9.674800389657335e-01
sample_157  ,  3.721785677586403e-01, -2.893960760172662e-01, -8.329416991641991e-01
sample_158  , -2.747122580831165e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_159  , -7.669810390057126e-01, -3.593430750091645e-01, -9.500644705502670e-01
sample_160  ,  8.091375860264277e-01,  7.182338167662177e-01,  8.542844474202667e-01
sample_161  ,  7.701894000487265e-01,  5.953580057837408e-01,  6.485350124767424e-01
sample_162  ,  2.447943554225508e-01,  7.960113169550972e-01,  9.845190036541532e-01
sample_163  ,  3.644525429088040e-01,  7.858354610410042e-01,  9.674800389657335e-01
sample_164  , -1.794982253562506e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_165  ,  7.703882470335809e-01,  4.642568578321956e-01,  4.290126598200060e-01
sample_166  ,  1.998100891030512e-01,  5.115122289690633e-01,  5.081394288050229e-01
sample_167  ,  6.221402213160614e-01,  8.097726460504120e-01,  1.007561664880916e+00
sample_168  ,  7.746384844297917e-01,  7.099819600378414e-01,  8.404671236889063e-01
sample_169  ,  2.264233917534042e-01, -2.789915999899715e-01, -8.155199214653760e-01
sample_170  , -2.509981588424425e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_171  ,  4.320385163334244e-01,  7.205450263048264e-01,  8.581544528574853e-01
sample_172  ,  2.955176207986684e-01,  1.406171012843141e-01, -1.129060180919749e-01
sample_173  ,  7.643038777042813e-01,  7.421892945561512e-01,  8.943967036867491e-01
sample_174  ,  7.821885539110529e-01,  7.749087681357422e-01,  9.491838350743128e-01
sample_175  ,  7.342035329200708e-01,  7.552059627539311e-01,  9.161924672721670e-01
sample_176  , -3.368718741033095e-02, -3.059390666185536e-01, -8.606421142522128e-01
sample_177  ,  2.272677906517954e-01,  2.773618168712532e-01,  1.160662079187078e-01
sample_178  ,  6.871657319603417e-01,  7.734513221720558e-01,  9.467434142861079e-01
sample_179  ,  8.315791367980166e-01,  7.492715575300669e-01,  9.062556008395206e-01
sample_180  , -7.108832566012107e-01, -1.608157484619378e+00, -3.041142096587456e+00
sample_181  ,  7.255636274023282e-01,  7.875801875911574e-01,  9.704014968096715e-01
sample_182  ,  5.958614589667233e-01,  7.668270642010829e-01,  9.356514237344266e-01
sample_183  ,  2.343274954959168e-01, -2.627370515771590e-01, -7.883024884778920e-01
sample_184  ,  1.305243604830535e-01,  7.636120165939912e-01,  9.302679863989043e-01
sample_185  ,  6.159776212919574e-01,  3.033999474756867e-01,  1.596657627538891e-01
sample_186  ,  3.722460534184978e-01, -2.893960760172662e-01, -8.329416991641991e-01
sample_187  ,  7.545966879882452e-01,  5.717242924619196e-01,  6.089615348109438e-01
sample_188  ,  7.052284870597892e-01,  7.734513221720558e-01,  9.467434142861079e-01
sample_189  ,  7.834690825953460e-01,  4.143420676177351e-01,  3.454328258410108e-01
sample_190  , -4.266634745733726e-02, -3.059390666185536e-01, -8.606421142522128e-01
sample_191  ,  7.887737780897967e-01,  7.910746759204915e-01,  9.762528437381550e-01
sample_192  ,  8.199095966510521e-01,  7.421892945561512e-01,  8.943967036867491e-01
sample_193  ,  1.377498867690801e+00,  4.791366725095207e-01,  4.539281695321706e-01
sample_194  ,  7.885536533799660e-01,  7.552059627539311e-01,  9.161924672721670e-01
sample_195  ,  8.266172208720990e-01,  5.593456092703194e-01,  5.882340453917297e-01
sample_196  ,  1.178286051421042e-01, -3.306667837217187e-01, -9.020474468456643e-01
sample_197  ,  7.429027272891474e-01,  7.960113169550972e-01,  9.845190036541532e-01
sample_198  , -1.264134206379949e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_199  , -4.453213737004368e-01, -3.705985096445081e-01, -9.689111361205636e-01
sample_200  ,  4.895876863266471e-01,  7.927004843271436e-01,  9.789751790645342e-01
sample_201  , -1.117210369042069e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_202  ,  7.585884922666315e-01,  5.717242924619196e-01,  6.089615348109438e-01
sample_203  , -1.286977740632813e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_204  ,  8.115533092649513e-01,  5.593456092703194e-01,  5.882340453917297e-01
sample_205  ,  9.933614982993394e-01,  4.678694016630042e-01,  4.350616848148732e-01
sample_206  ,  8.137126804445131e-01,  7.374423415797224e-01,  8.864481669910850e-01
sample_207  , -6.690864832094463e-02, -2.871353221989115e-01, -8.291561793214106e-01
sample_208  , -2.720674276157035e+00, -1.608157484619378e+00, -3.041142096587456e+00
sample_209  ,  8.409759944140097e-01,  7.710081184106610e-01,  9.426523910868341e-01
sample_210  ,  7.536115842513212e-01,  7.910746759204915e-01,  9.762528437381550e-01
