# c0 + a0 * (surf_tDOS_at_EF + M_d_center) + a1 * (Tx_charge_min^3)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.392088090107574; Max AE: 1.11805666377127
# Coefficients
# Task   a0                      a1                      c0
# all , -2.804282114834468e-01,  4.572411848121478e-01,  2.398634526203688e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         66|27|add; (surf_tDOS_at_EF + M_d_center); $\left(surf_{tDOS, at, EF} + M_{d, center}\right)$; (surf_tDOS_at_EF + M_d_center); surf_tDOS_at_EF,M_d_center
# 1;  1; Unitless;                                         122|cb; (Tx_charge_min^3); $\left(Tx_{charge, min}^3\right)$; (Tx_charge_min).^3; Tx_charge_min
# Number of Samples Per Task
# Task, n_samples               
# all , 211                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    ,  3.115458680505624e-01, -9.206044818891914e-03, -7.984296479213462e-01, -1.034403092528764e+00
sample_1    , -6.203848617387741e-01,  1.842765055374796e-01,  7.768806857716211e-01,  3.548943523771766e-01
sample_2    ,  7.513512606465996e-01,  9.014365981204906e-01, -9.940712108070365e-01,  8.372114028258241e-01
sample_3    ,  3.236213414409967e-01,  8.736588868058193e-01, -1.677387325476366e+00,  3.573796761204820e-01
sample_4    , -1.263980548035660e+00, -1.206961956819169e+00, -5.049136444624960e-01, -3.473915938614163e+00
sample_5    ,  8.196961398138903e-01,  1.067402795745991e+00, -2.440842740828919e+00,  3.128724698353400e-01
sample_6    , -4.234684172968203e-02, -2.003490616667065e-01, -3.689932001470313e-01, -1.189063092987192e+00
sample_7    ,  1.885896747217228e-01,  6.994803873475797e-01, -1.527864447782298e+00,  6.814924219759200e-02
sample_8    ,  8.187132870092673e-01,  5.199240176934481e-01, -2.052915811982619e-01,  4.865944309379081e-01
sample_9    ,  7.628593703405774e-01,  9.423984043451695e-01, -1.355658684185552e+00,  7.050327534889174e-01
sample_10   ,  1.155154906790374e-01, -4.014078998678277e-01,  5.173815210657076e-01, -1.085166853648597e+00
