# c0 + a0 * (surf_tot_var / surf_tot_fill) + a1 * (site_charge_std - surf_tDOS_at_EF) + a2 * (Tx_charge_max^3)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.346784327775532; Max AE: 1.20598710501307
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -9.848038104237150e-02,  2.156833630327736e-01,  5.582260482859669e-01,  3.019751083314390e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         144|101|div; (surf_tot_var / surf_tot_fill); $\left(\frac{ surf_{tot, var} }{ surf_{tot, fill} } \right)$; (surf_tot_var ./ surf_tot_fill); surf_tot_var,surf_tot_fill
# 1;  1; Unitless;                                         133|66|sub; (site_charge_std - surf_tDOS_at_EF); $\left(site_{charge, std} - surf_{tDOS, at, EF}\right)$; (site_charge_std - surf_tDOS_at_EF); site_charge_std,surf_tDOS_at_EF
# 2;  1; Unitless;                                         39|cb; (Tx_charge_max^3); $\left(Tx_{charge, max}^3\right)$; (Tx_charge_max).^3; Tx_charge_max
# Number of Samples Per Task
# Task, n_samples               
# all , 211                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    ,  3.115458680505624e-01,  2.019893933766730e-02, -5.214984186681643e-01,  1.186771111533430e+00, -1.055307824261717e+00
sample_1    , -6.203848617387741e-01, -2.145750244672888e-01,  2.494641757372270e+00, -2.094163054844075e+00,  3.238818199086295e-01
sample_2    ,  7.513512606465996e-01,  9.104868688862551e-01, -7.477730092002399e-01,  5.230428043422641e-01,  7.560721322856140e-01
sample_3    ,  3.236213414409967e-01,  6.472527001457551e-01,  2.475884448069984e+00,  1.135282586215109e+00,  6.166714551331052e-01
sample_4    , -1.263980548035660e+00, -1.717973188482488e+00, -1.836788415064882e+00, -1.256420548508110e+00, -3.457106518879967e+00
sample_5    ,  8.196961398138903e-01,  5.173984836995161e-01,  1.774582120665031e+00,  3.837602234488147e-01,  5.506984207462468e-01
sample_6    , -4.234684172968203e-02, -1.219933759100380e-01, -1.844544436898116e+00,  3.216788322790129e-01, -1.209188818171013e+00
sample_7    ,  1.885896747217228e-01,  1.490055861590640e-01,  3.890523423771851e+00,  9.091273505440080e-01,  6.106318895222829e-02
sample_8    ,  8.187132870092673e-01,  8.049724457951956e-01,  1.332022410674904e-01,  1.274601493923393e+00,  4.320916390849289e-01
sample_9    ,  7.628593703405774e-01,  7.362549317203820e-01, -8.139190862770138e-01, -1.037445085002317e-01,  6.744592576435324e-01
sample_10   ,  1.155154906790374e-01, -3.198705629476952e-01, -3.677084950332702e-01, -1.813553413740703e-01, -1.108766629489029e+00
sample_11   , -6.601407096173287e-01, -7.465879133097968e-01, -2.951437398006734e-01,  3.951245979085767e+00, -3.457106518879967e+00
sample_12   ,  7.217373307392069e-01,  6.967875291934902e-01, -8.546599932061748e-01,  6.604808287569972e-01,  3.012945261527700e-01
sample_13   ,  8.258964111862611e-01,  4.733120851193888e-01,  3.678493152834251e-01,  6.674865313897462e-01,  1.139272842055484e-01
sample_14   , -1.588870096472677e+00, -1.722940879735377e+00, -2.951437398006734e-01, -5.755425163125588e-01, -3.457106518879967e+00
