# c0 + a0 * (site_charge_std - M_sp_fill) + a1 * (surf_tot_var / surf_tot_fill) + a2 * (surf_charge_avg - surf_tDOS_at_EF) + a3 * (surf_tDOS_at_EF - surf_charge_sum)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.316376605409543; Max AE: 1.14130811450546
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  1.204142262021791e-01, -1.018406810502216e-01, -3.391373476761736e-01, -6.940531492831121e-01,  6.312805528959343e-03, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         133|5|sub; (site_charge_std - M_sp_fill); $\left(site_{charge, std} - M_{sp, fill}\right)$; (site_charge_std - M_sp_fill); site_charge_std,M_sp_fill
# 1;  1; Unitless;                                         144|101|div; (surf_tot_var / surf_tot_fill); $\left(\frac{ surf_{tot, var} }{ surf_{tot, fill} } \right)$; (surf_tot_var ./ surf_tot_fill); surf_tot_var,surf_tot_fill
# 2;  1; Unitless;                                         114|66|sub; (surf_charge_avg - surf_tDOS_at_EF); $\left(surf_{charge, avg} - surf_{tDOS, at, EF}\right)$; (surf_charge_avg - surf_tDOS_at_EF); surf_charge_avg,surf_tDOS_at_EF
# 3;  1; Unitless;                                         66|7|sub; (surf_tDOS_at_EF - surf_charge_sum); $\left(surf_{tDOS, at, EF} - surf_{charge, sum}\right)$; (surf_tDOS_at_EF - surf_charge_sum); surf_tDOS_at_EF,surf_charge_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 211                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    ,  3.115458680505624e-01,  1.392296717106931e-01,  3.793129297545189e-01, -5.214984186681643e-01, -9.916617837162447e-01,  4.353803571100959e-01
sample_1    , -6.203848617387741e-01, -1.605457884220759e-01,  1.988260318421428e+00,  2.494641757372270e+00, -1.711299264335421e+00,  1.055514120897979e+00
sample_2    ,  7.513512606465996e-01,  9.562024622792807e-01, -5.061149519255201e-01, -7.477730092002399e-01,  1.310620431910098e+00, -1.987109665939253e+00
sample_3    ,  3.236213414409967e-01,  6.957771292485594e-01, -7.898953875358941e-01,  2.475884448069984e+00,  1.608970228377453e+00, -2.279921388383308e+00
sample_4    , -1.263980548035660e+00, -1.469722952622803e+00, -1.618937017457041e+00, -1.836788415064882e+00,  1.748451615496630e+00,  1.260980157707384e+00
sample_5    ,  8.196961398138903e-01,  5.734462211650615e-01, -1.064692324236581e-01,  1.774582120665031e+00,  8.106957529754906e-01, -1.492127348066851e+00
sample_6    , -4.234684172968203e-02, -2.070444588428489e-03,  7.744933858481984e-01, -1.844544436898116e+00, -1.942884538914815e+00,  1.366462559679071e+00
sample_7    ,  1.885896747217228e-01,  4.805567978367557e-01,  1.765779381338095e+00,  3.890523423771851e+00,  6.306532837946603e-01, -1.255971062805137e+00
sample_8    ,  8.187132870092673e-01,  8.326199836848391e-01, -8.492956657153901e-01,  1.332022410674904e-01,  1.431094419759782e+00, -2.056726394475033e+00
sample_9    ,  7.628593703405774e-01,  6.748372035874761e-01, -9.520064695444774e-01, -8.139190862770138e-01,  6.304487287148565e-01, -1.317014636427026e+00
sample_10   ,  1.155154906790374e-01, -1.953038484953745e-01,  2.434948629498964e+00, -3.677084950332702e-01, -2.565454693051798e+00,  2.020462401594276e+00
sample_11   , -6.601407096173287e-01, -1.037338471591460e+00,  1.980824534675554e+00, -2.951437398006734e-01,  1.601769936748008e+00,  1.107996358827612e+00
sample_12   ,  7.217373307392069e-01,  7.014763765285310e-01, -1.391752260870078e+00, -8.546599932061748e-01,  8.779174583907616e-01, -1.546633404385376e+00
sample_13   ,  8.258964111862611e-01,  5.910676253415956e-01, -1.606945866756789e-01,  3.678493152834251e-01,  5.636264880171177e-01, -1.199783549719011e+00
sample_14   , -1.588870096472677e+00, -1.582428205445775e+00, -2.545963960722772e+00, -2.951437398006734e-01,  1.601769936748008e+00,  1.107996358827612e+00
sample_15   , -1.306805782942450e+00, -1.467804712019408e+00, -1.603006668827189e+00, -1.836788415064882e+00,  1.748451615496630e+00,  1.260980157707384e+00
sample_16   , -4.914056689852132e-01, -1.466950748507120e-01,  2.103285876515437e+00,  2.494641757372270e+00, -1.711299264335421e+00,  1.055514120897979e+00
sample_17   ,  2.467801920517617e-01,  2.427747491925966e-01,  1.823561032053730e+00,  2.532865753526875e+00, -4.689318951230250e-01, -1.668398268507548e-01
sample_18   , -2.319759606923586e+00, -2.218491037895676e+00, -1.405928696876504e+00, -8.438501966361843e-01, -5.303156710246608e-01,  3.344553883985239e+00
sample_19   , -6.372433227465039e-01, -7.406960231434477e-01,  2.313432173784699e+00, -1.561382078114706e+00,  2.346156336390048e+00,  5.603633543187244e-01
