# c0 + a0 * (surf_s_kurt - surf_s_var) + a1 * (site_tot_kurt * surf_charge_avg) + a2 * (surf_tot_center / surf_charge_sum) + a3 * (site_charge_std - surf_tDOS_at_EF) + a4 * (Tx_charge_max^3)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.281098187831236; Max AE: 0.983302439128548
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -7.901522584075392e-01,  2.689044990931154e-01, -1.421801000419559e-01,  1.805376273125164e-01,  5.451820739351013e-01,  1.616327161178210e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         84|45|sub; (surf_s_kurt - surf_s_var); $\left(surf_{s, kurt} - surf_{s, var}\right)$; (surf_s_kurt - surf_s_var); surf_s_kurt,surf_s_var
# 1;  1; Unitless;                                         118|114|mult; (site_tot_kurt * surf_charge_avg); $\left(site_{tot, kurt} surf_{charge, avg}\right)$; (site_tot_kurt .* surf_charge_avg); site_tot_kurt,surf_charge_avg
# 2;  1; Unitless;                                         108|7|div; (surf_tot_center / surf_charge_sum); $\left(\frac{ surf_{tot, center} }{ surf_{charge, sum} } \right)$; (surf_tot_center ./ surf_charge_sum); surf_tot_center,surf_charge_sum
# 3;  1; Unitless;                                         133|66|sub; (site_charge_std - surf_tDOS_at_EF); $\left(site_{charge, std} - surf_{tDOS, at, EF}\right)$; (site_charge_std - surf_tDOS_at_EF); site_charge_std,surf_tDOS_at_EF
# 4;  1; Unitless;                                         39|cb; (Tx_charge_max^3); $\left(Tx_{charge, max}^3\right)$; (Tx_charge_max).^3; Tx_charge_max
# Number of Samples Per Task
# Task, n_samples               
# all , 211                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    ,  3.115458680505624e-01, -1.057369033190832e-01,  1.665779804344498e-01,  3.933979174992348e-01, -8.407923869185590e-01,  1.186771111533430e+00, -1.055307824261717e+00
sample_1    , -6.203848617387741e-01, -2.568725603626677e-02,  1.777698256106226e-01,  2.710829284491647e-01, -5.749785290405449e-01, -2.094163054844075e+00,  3.238818199086295e-01
sample_2    ,  7.513512606465996e-01,  6.266453200717277e-01,  5.729587349642018e-03, -4.395130480991760e-01, -5.704103904498049e-01,  5.230428043422641e-01,  7.560721322856140e-01
sample_3    ,  3.236213414409967e-01,  7.347556051469094e-01,  2.976069664555585e-01,  1.018283194167767e+00,  4.714213774933839e-02,  1.135282586215109e+00,  6.166714551331052e-01
sample_4    , -1.263980548035660e+00, -1.364588958233482e+00, -2.504603040788667e-02,  1.309716076808148e+00, -1.500795744400111e+00, -1.256420548508110e+00, -3.457106518879967e+00
sample_5    ,  8.196961398138903e-01,  4.559618689021158e-01,  5.549512448671399e-01,  1.044288237391690e+00, -5.802307037310973e-01,  3.837602234488147e-01,  5.506984207462468e-01
sample_6    , -4.234684172968203e-02, -4.631317290570328e-01,  1.441613500038641e-01, -4.367035366383601e-01, -1.461030420921799e+00,  3.216788322790129e-01, -1.209188818171013e+00
sample_7    ,  1.885896747217228e-01,  5.719430506725575e-01, -3.976370859867324e-01,  7.204498722301149e-02,  8.487754539223984e-01,  9.091273505440080e-01,  6.106318895222829e-02
sample_8    ,  8.187132870092673e-01,  6.889293215468930e-01,  1.783583281951497e-01, -2.565074762308200e-01, -1.909695591572735e+00,  1.274601493923393e+00,  4.320916390849289e-01
sample_9    ,  7.628593703405774e-01,  7.711212240674363e-01,  1.477770676360494e-01,  7.218432549986945e-01, -1.288328558387338e+00, -1.037445085002317e-01,  6.744592576435324e-01
