# c0 + a0 * surf_bond_length_sum + a1 * (surf_bond_length_sum - surf_M_M_length_avg)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.540618064808723; Max AE: 1.50264407360519
# Coefficients
# Task   a0                      a1                      c0
# all ,  6.316985741520939e-01,  2.918389279296747e-01,  1.398140561205579e-16, 
# Feature Rung, Units, and Expressions
# 0;  0; Unitless;                                         11; surf_bond_length_sum; $surf_{bond, length, sum}$; surf_bond_length_sum; surf_bond_length_sum
# 1;  1; Unitless;                                         11|7|sub; (surf_bond_length_sum - surf_M_M_length_avg); $\left(surf_{bond, length, sum} - surf_{M, M, length, avg}\right)$; (surf_bond_length_sum - surf_M_M_length_avg); surf_bond_length_sum,surf_M_M_length_avg
# Number of Samples Per Task
# Task, n_samples               
# all , 211                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    ,  3.115458680505624e-01,  2.180785781644874e-01,  2.670085872791652e-01,  1.693044675170275e-01
sample_1    , -6.203848617387741e-01,  2.304254138504755e-01, -1.448527363441925e-01,  1.103103972951501e+00
sample_2    ,  7.513512606465996e-01,  5.094465357009930e-01,  5.105168183825380e-01,  6.406060725837471e-01
sample_3    ,  3.236213414409967e-01,  2.705262628801651e-01,  2.759416217618927e-01,  3.296830020124868e-01
sample_4    , -1.263980548035660e+00, -1.678067646494198e+00, -1.902318364235362e+00, -1.632324555201801e+00
sample_5    ,  8.196961398138903e-01,  2.435782390109254e-01,  3.016888660575560e-01,  1.816132373456948e-01
sample_6    , -4.234684172968203e-02,  1.988016710562570e-01,  1.903015067364973e-01,  2.692871754612329e-01
sample_7    ,  1.885896747217228e-01,  1.142321305483231e-01,  1.681103072271882e-02,  3.550336041383839e-01
sample_8    ,  8.187132870092673e-01,  1.741762773670840e-01,  8.172837375338866e-01, -1.172224338739359e+00
sample_9    ,  7.628593703405774e-01,  8.716912782270017e-01,  8.486100401265436e-01,  1.150036865365643e+00
sample_10   ,  1.155154906790374e-01,  2.564173393897838e-01, -2.773274489969740e-01,  1.478914059053886e+00
sample_11   , -6.601407096173287e-01, -1.684487818821115e+00, -1.907594653103787e+00, -1.642902815592964e+00
sample_12   ,  7.217373307392069e-01,  5.485014251931379e-01,  7.420915830191775e-01,  2.731754494687026e-01
sample_13   ,  8.258964111862611e-01,  9.948723567818241e-02,  6.644752026701783e-01, -1.097388907915558e+00
sample_14   , -1.588870096472677e+00, -1.684487818821115e+00, -1.907594653103787e+00, -1.642902815592964e+00
sample_15   , -1.306805782942450e+00, -1.678067646494198e+00, -1.902318364235362e+00, -1.632324555201801e+00
sample_16   , -4.914056689852132e-01,  2.304254138504755e-01, -1.448527363441925e-01,  1.103103972951501e+00
sample_17   ,  2.467801920517617e-01,  8.462334665135225e-02,  1.342790184333864e-01, -6.870839095499681e-04
sample_18   , -2.319759606923586e+00, -1.703726170543299e+00, -1.828839112109906e+00, -1.879293879540472e+00
sample_19   , -6.372433227465039e-01, -1.662111499845926e+00, -1.981805895635592e+00, -1.405595697039972e+00
sample_20   ,  2.180072209339664e-01,  2.809052838190688e-01,  6.521732720473662e-01, -4.491232309657570e-01
sample_21   , -2.992353523349867e-01,  2.038305075936295e-01,  7.063312129513830e-01, -8.304509416416166e-01
sample_22   ,  4.211526043798416e-02,  2.782188601868501e-01,  5.361921611171835e-01, -2.072820233117831e-01
