# c0 + a0 * (lattice_param_c - surf_M_M_length_sum) + a1 * (surf_M_Tx_length_min / surf_bond_length_min) + a2 * surf_bond_length_sum
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.495421596256419; Max AE: 1.42944510714523
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.727763057957474e-01,  1.200351494114798e-02,  8.152106443213857e-01,  1.641958328564455e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         17|12|sub; (lattice_param_c - surf_M_M_length_sum); $\left(lattice_{param, c} - surf_{M, M, length, sum}\right)$; (lattice_param_c - surf_M_M_length_sum); lattice_param_c,surf_M_M_length_sum
# 1;  1; Unitless;                                         9|20|div; (surf_M_Tx_length_min / surf_bond_length_min); $\left(\frac{ surf_{M, Tx, length, min} }{ surf_{bond, length, min} } \right)$; (surf_M_Tx_length_min ./ surf_bond_length_min); surf_M_Tx_length_min,surf_bond_length_min
# 2;  0; Unitless;                                         11; surf_bond_length_sum; $surf_{bond, length, sum}$; surf_bond_length_sum; surf_bond_length_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 211                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    ,  3.115458680505624e-01,  8.628230263246896e-02, -8.399221798598360e-01, -2.238404125330375e-01,  2.670085872791652e-01
sample_1    , -6.203848617387741e-01, -7.030985385453029e-02,  1.701498575681457e-01,  1.631348462508004e-01, -1.448527363441925e-01
sample_2    ,  7.513512606465996e-01,  6.479863805871696e-01,  1.443286250243439e+00, -2.830638678624918e+00,  5.105168183825380e-01
sample_3    ,  3.236213414409967e-01,  1.334795631711131e-01, -7.262577637528806e-01,  1.465367950705364e+00,  2.759416217618927e-01
sample_4    , -1.263980548035660e+00, -1.646681523712107e+00, -5.639474307479773e-01, -1.239151524393128e+00, -1.902318364235362e+00
sample_5    ,  8.196961398138903e-01,  1.223555265296356e-01, -8.567279053478832e-01,  6.679919138745066e-01,  3.016888660575560e-01
sample_6    , -4.234684172968203e-02,  5.909090200782961e-02, -7.073225989691664e-01,  8.117697610831810e-01,  1.903015067364973e-01
sample_7    ,  1.885896747217228e-01, -5.838198830414209e-02, -5.127136540597650e-01,  6.553772200046193e-03,  1.681103072271882e-02
sample_8    ,  8.187132870092673e-01,  3.905805470881423e-01, -2.259873371884464e+00,  8.193861112908182e+00,  8.172837375338866e-01
sample_9    ,  7.628593703405774e-01,  9.515236920739117e-01,  1.571899287732194e+00, -2.355875004685916e+00,  8.486100401265436e-01
sample_10   ,  1.155154906790374e-01, -1.068772501316256e-01,  5.516731684016783e-01,  6.221013562355698e-01, -2.773274489969740e-01
sample_11   , -6.601407096173287e-01, -1.625705912330338e+00, -5.678789898458413e-01,  9.232299625322329e-01, -1.907594653103787e+00
sample_12   ,  7.217373307392069e-01,  8.536883168726123e-01,  1.293040288844038e+00,  7.415371031342832e-01,  7.420915830191775e-01
sample_13   ,  8.258964111862611e-01,  1.921381305510008e-01, -2.089006369666965e+00, -4.197026894905288e-01,  6.644752026701783e-01
sample_14   , -1.588870096472677e+00, -1.625705912330338e+00, -5.678789898458413e-01,  9.232299625322329e-01, -1.907594653103787e+00
sample_15   , -1.306805782942450e+00, -1.646681523712107e+00, -5.639474307479773e-01, -1.239151524393128e+00, -1.902318364235362e+00
sample_16   , -4.914056689852132e-01, -7.030985385453029e-02,  1.701498575681457e-01,  1.631348462508004e-01, -1.448527363441925e-01
sample_17   ,  2.467801920517617e-01, -2.206197280691924e-02, -8.678794325175734e-01,  1.667645691968108e-01,  1.342790184333864e-01
sample_18   , -2.319759606923586e+00, -1.611607044047437e+00, -8.044570336200791e-01,  1.544212723986127e-01, -1.828839112109906e+00
sample_19   , -6.372433227465039e-01, -1.665510512200828e+00, -3.340799009782521e-01, -7.181015974146219e-01, -1.981805895635592e+00
sample_20   ,  2.180072209339664e-01,  2.960340637474476e-01, -1.593166463550732e+00,  1.934208717253744e+00,  6.521732720473662e-01
sample_21   , -2.992353523349867e-01,  3.511695343382786e-01, -1.920050804870187e+00,  7.554496602741017e+00,  7.063312129513830e-01
sample_22   ,  4.211526043798416e-02,  2.547663369456034e-01, -1.324583836503755e+00,  2.507090518982805e+00,  5.361921611171835e-01
sample_23   , -2.069000356978415e+00, -1.624654094976519e+00, -6.271540034555407e-01,  5.325577388431525e-01, -1.887989198713844e+00
sample_24   ,  1.874002453037688e-01, -5.838198830414209e-02, -5.127136540597650e-01,  6.553772200046193e-03,  1.681103072271882e-02
sample_25   ,  6.943714929309721e-01,  5.658996866449439e-01, -5.653093848005011e-01, -2.049994875589334e+00,  8.240315791931416e-01
sample_26   ,  4.372652784271939e-01,  7.753469780189572e-01,  6.038153655892112e-01,  6.830890993980656e-01,  7.929274976670994e-01
sample_27   ,  6.880050768711229e-01,  7.939948976723453e-01,  1.063395317958045e+00,  6.892439460764077e-01,  7.183081499531275e-01
sample_28   , -3.978268401166277e-02, -1.681965375513251e-02,  8.068990907969531e-02,  5.354230814082641e-01, -6.575907807080486e-02
sample_29   , -4.083688729350315e-02,  5.909090200782961e-02, -7.073225989691664e-01,  8.117697610831810e-01,  1.903015067364973e-01
sample_30   ,  9.493525296401219e-02, -1.068772501316256e-01,  5.516731684016783e-01,  6.221013562355698e-01, -2.773274489969740e-01
sample_31   ,  7.956386281871095e-01,  5.635623762212890e-01, -5.111876305099347e-01, -2.496178478290755e+00,  8.162636535707845e-01
sample_32   ,  2.376454624912727e-01, -1.681965375513251e-02,  8.068990907969531e-02,  5.354230814082641e-01, -6.575907807080486e-02
sample_33   , -2.217080114490598e+00, -1.614145487385543e+00, -7.929110508099674e-01,  1.450246061758475e-02, -1.832339800020369e+00
sample_34   ,  8.066515316012562e-01,  1.101118614080629e+00,  2.515933736878546e-01,  5.215809254266960e-01,  1.269572299999445e+00
sample_35   ,  3.339946812830672e-01, -1.437526552903705e-01,  4.544772017349876e-01,  5.386591382835634e-01, -3.007332341432188e-01
sample_36   , -1.596296529646721e-01,  1.748906545527220e-01, -1.993700363230640e+00, -4.014169185160525e-01,  6.228496553690350e-01
sample_37   , -1.794846178009260e+00, -1.624654094976519e+00, -6.271540034555407e-01,  5.325577388431525e-01, -1.887989198713844e+00
sample_38   , -1.368375000111447e+00, -1.291485981212630e+00, -2.660980569345171e+00, -1.325006954170302e+02,  9.105903000520902e-01
sample_39   ,  7.385693326124785e-01,  4.784244589876528e-01,  1.918555337735027e+00, -2.470523581336404e+00,  1.964877910025418e-01
sample_40   ,  7.331808427715989e-01,  1.921381305510008e-01, -2.089006369666965e+00, -4.197026894905288e-01,  6.644752026701783e-01
sample_41   , -1.117758111355730e+00, -1.665510512200828e+00, -3.340799009782521e-01, -7.181015974146219e-01, -1.981805895635592e+00
sample_42   ,  8.303329667676390e-01,  1.251185159529268e-01, -1.653881288410915e+00, -2.015090746905464e+00,  5.135342708145963e-01
sample_43   ,  8.120322918074160e-01,  3.905805470881423e-01, -2.259873371884464e+00,  8.193861112908182e+00,  8.172837375338866e-01
sample_44   ,  7.219613627378784e-01,  4.302123104621822e-01, -1.265949487927280e+00,  6.289861860838021e-01,  7.666346879737419e-01
sample_45   ,  7.599466995289635e-01,  8.379921100650760e-01,  1.472841336069005e+00, -5.242970868920808e-01,  7.033689434999731e-01
sample_46   ,  8.163073744643262e-01,  8.379921100650760e-01,  1.472841336069005e+00, -5.242970868920808e-01,  7.033689434999731e-01
sample_47   ,  8.221776498904934e-01,  1.251185159529268e-01, -1.653881288410915e+00, -2.015090746905464e+00,  5.135342708145963e-01
sample_48   ,  2.606250769099523e-02,  2.547663369456034e-01, -1.324583836503755e+00,  2.507090518982805e+00,  5.361921611171835e-01
sample_49   ,  2.298983722613784e-01,  4.566091371135329e-01,  2.645393562101006e+00,  2.018152292953136e+00, -5.041236237041784e-02
sample_50   ,  6.684471046022465e-01,  4.608743017549861e-01,  2.741406306147644e+00,  2.586294671536289e+00, -7.389496560629108e-02
sample_51   ,  7.939295719496772e-01,  7.753469780189572e-01,  6.038153655892112e-01,  6.830890993980656e-01,  7.929274976670994e-01
sample_52   , -1.860082210422739e-01,  3.134590884044740e-02, -3.728960148566755e-01, -5.027757549757200e-01,  1.047447041196017e-01
sample_53   ,  7.463253416473425e-01,  4.784244589876528e-01,  1.918555337735027e+00, -2.470523581336404e+00,  1.964877910025418e-01
sample_54   ,  1.011046138344763e+00,  1.109530407759207e-01, -1.102128646855735e+00, -3.469555275634456e+00,  4.006351419365600e-01
sample_55   ,  8.233616006060284e-01,  9.859116478574198e-01,  1.292850548103328e+00, -1.187505913632406e+00,  9.327311575211679e-01
sample_56   ,  4.347300431383949e-01,  9.515236920739117e-01,  1.571899287732194e+00, -2.355875004685916e+00,  8.486100401265436e-01
sample_57   ,  5.958426020537280e-01,  4.566091371135329e-01,  2.645393562101006e+00,  2.018152292953136e+00, -5.041236237041784e-02
sample_58   ,  2.599756980211103e-01,  3.061792309878094e-01,  4.814307464034705e+00, -4.143569393559605e-02, -6.642960818773320e-01
sample_59   ,  7.658301408207886e-01,  9.891106897190773e-01,  1.183481718580302e+00, -5.946098062399127e-01,  9.511049938008516e-01
sample_60   , -2.309498813964998e+00, -1.611607044047437e+00, -8.044570336200791e-01,  1.544212723986127e-01, -1.828839112109906e+00
sample_61   ,  1.735449597931747e-01,  7.718018166749506e-02, -8.278098237216063e-01,  5.353632851003243e-02,  2.491919099950410e-01
sample_62   ,  5.846641485403489e-01, -2.206197280691924e-02, -8.678794325175734e-01,  1.667645691968108e-01,  1.342790184333864e-01
sample_63   ,  1.109174871975080e+00,  1.101118614080629e+00,  2.515933736878546e-01,  5.215809254266960e-01,  1.269572299999445e+00
sample_64   ,  8.099725564683211e-01,  1.337691548960984e-01, -1.732547687697998e+00, -2.361732953396388e+00,  5.459225300835517e-01
sample_65   ,  8.101117748424803e-01,  6.479863805871696e-01,  1.443286250243439e+00, -2.830638678624918e+00,  5.105168183825380e-01
sample_66   ,  2.487265735679660e-01, -2.206197280691924e-02, -8.678794325175734e-01,  1.667645691968108e-01,  1.342790184333864e-01
sample_67   ,  7.839346019717865e-01,  1.065513716258836e+00,  5.319121600525983e-01,  2.717837896776033e-01,  1.170163761742096e+00
sample_68   ,  8.073832986794466e-01,  8.890065863323663e-01,  2.228673805226146e+00,  1.001475275237039e+01,  4.505740257682508e-01
sample_69   , -1.955945783416340e+00, -1.625705912330338e+00, -5.678789898458413e-01,  9.232299625322329e-01, -1.907594653103787e+00
sample_70   ,  8.339373549499466e-01,  1.748906545527220e-01, -1.993700363230640e+00, -4.014169185160525e-01,  6.228496553690350e-01
sample_71   ,  7.183545112596225e-01,  9.859116478574198e-01,  1.292850548103328e+00, -1.187505913632406e+00,  9.327311575211679e-01
sample_72   , -1.355232879588689e+00, -1.631639011658486e+00, -6.906581349075875e-01, -1.107359303201995e+00, -1.858951475231685e+00
sample_73   , -4.119254863627209e-01,  5.909090200782961e-02, -7.073225989691664e-01,  8.117697610831810e-01,  1.903015067364973e-01
sample_74   ,  8.251737328052078e-01,  1.324575311096141e-01, -9.288770860664550e-01,  9.495441467204687e-01,  3.252264108512895e-01
sample_75   , -1.945836949982760e+00, -1.727640167177717e+00,  6.145375280572384e-01,  1.265290253262681e+00, -2.288273856319338e+00
sample_76   ,  7.746948003398922e-01,  4.302123104621822e-01, -1.265949487927280e+00,  6.289861860838021e-01,  7.666346879737419e-01
sample_77   ,  7.636636770724777e-01,  5.635623762212890e-01, -5.111876305099347e-01, -2.496178478290755e+00,  8.162636535707845e-01
sample_78   ,  8.414316181663918e-01,  8.379921100650760e-01,  1.472841336069005e+00, -5.242970868920808e-01,  7.033689434999731e-01
sample_79   , -7.684656810142559e-01, -1.720728460501349e+00, -1.435152735392050e-01, -3.829304731997761e+00, -2.044118167546803e+00
sample_80   , -3.833036207027726e-02,  7.015654394338349e-01,  1.633762863313549e+00,  1.538163437601270e-01,  4.919268536194149e-01
sample_81   , -1.393952404282432e+00,  3.496810699243291e-02, -1.136432987945013e+00, -6.263789077834799e-01,  2.728325093349312e-01
sample_82   ,  7.474413820006974e-01,  4.784244589876528e-01,  1.918555337735027e+00, -2.470523581336404e+00,  1.964877910025418e-01
sample_83   ,  1.112878900639768e-01,  8.628230263246896e-02, -8.399221798598360e-01, -2.238404125330375e-01,  2.670085872791652e-01
sample_84   , -2.495743516103040e+00, -1.538529717861222e+00, -1.534442720506644e+00,  8.629969204479819e-01, -1.594916555528599e+00
sample_85   , -2.522654617399350e-01,  2.234769090859387e-01, -2.759712020728320e-01, -5.365245196011489e+00,  3.914821447643897e-01
sample_86   ,  8.195739521227490e-01,  3.034531755077844e-02, -8.396263498270469e-01, -6.086087962097501e-01,  2.039947824210153e-01
sample_87   ,  3.741053278939221e-01,  1.287633388198416e-02, -1.615747021618528e-01,  2.113146690370678e-01,  2.678634302796685e-02
sample_88   , -2.022731697163505e+00, -1.614145487385543e+00, -7.929110508099674e-01,  1.450246061758475e-02, -1.832339800020369e+00
sample_89   , -1.885328811683140e-01,  3.134590884044740e-02, -3.728960148566755e-01, -5.027757549757200e-01,  1.047447041196017e-01
sample_90   ,  8.468425749087408e-01,  7.925381897840248e-01,  1.741633034328559e+00, -2.652676769098569e+00,  6.219829605258050e-01
sample_91   ,  2.285225397340248e-01, -5.470790713935523e-01,  2.942695778926307e+00, -4.524566762797622e-02, -1.314241491887403e+00
sample_92   ,  8.276061044896640e-01,  1.223555265296356e-01, -8.567279053478832e-01,  6.679919138745066e-01,  3.016888660575560e-01
sample_93   , -9.209366734433599e-02,  3.511695343382786e-01, -1.920050804870187e+00,  7.554496602741017e+00,  7.063312129513830e-01
sample_94   ,  4.409330751008372e-01,  7.150674415347633e-01,  2.206036072915065e+00,  4.919645422798832e+00,  3.170273346910468e-01
sample_95   ,  8.394890165308285e-01,  8.890065863323663e-01,  2.228673805226146e+00,  1.001475275237039e+01,  4.505740257682508e-01
sample_96   ,  8.278315380097472e-01,  4.354915265338491e-01, -1.053742849169483e+00,  8.825253385801720e-01,  7.244021382846322e-01
sample_97   ,  6.252290173759314e-01,  2.293003572820647e-01, -2.873228498893884e-01, -4.781861704222385e+00,  3.924415182906106e-01
sample_98   ,  2.176736999360074e-01,  2.960340637474476e-01, -1.593166463550732e+00,  1.934208717253744e+00,  6.521732720473662e-01
sample_99   ,  1.677792420761697e+00,  8.941887497754213e-01,  8.470047659646607e-01,  5.406022616821663e-01,  8.892642530608249e-01
sample_100  ,  8.111544686089601e-01,  8.379921100650760e-01,  1.472841336069005e+00, -5.242970868920808e-01,  7.033689434999731e-01
sample_101  ,  7.613469526146933e-01,  5.372671729312728e-01,  2.187115894510478e+00,  4.328129664681190e+00,  1.116435568913391e-01
sample_102  ,  6.682101615668027e-01,  7.150674415347633e-01,  2.206036072915065e+00,  4.919645422798832e+00,  3.170273346910468e-01
sample_103  , -2.277917012465263e+00, -1.611607044047437e+00, -8.044570336200791e-01,  1.544212723986127e-01, -1.828839112109906e+00
sample_104  , -2.552287578741331e+00, -1.653111469819255e+00, -5.049884092595858e-02,  2.459312855778946e+00, -2.073484270975315e+00
sample_105  ,  6.318671598274630e-01,  6.479863805871696e-01,  1.443286250243439e+00, -2.830638678624918e+00,  5.105168183825380e-01
sample_106  , -2.338873337540999e+00, -1.614145487385543e+00, -7.929110508099674e-01,  1.450246061758475e-02, -1.832339800020369e+00
sample_107  ,  7.943062854635597e-01, -5.838198830414209e-02, -5.127136540597650e-01,  6.553772200046193e-03,  1.681103072271882e-02
sample_108  , -1.365159896726676e+00, -1.291485981212630e+00, -2.660980569345171e+00, -1.325006954170302e+02,  9.105903000520902e-01
sample_109  ,  1.303153205800176e-01,  5.192404208628579e-01, -2.599642276962472e+00,  1.747483678359255e+01,  9.104615688293807e-01
sample_110  ,  7.531204976114924e-01,  1.013665796397425e+00, -1.804052087999839e-01,  7.919204123425020e-01,  1.249873437289304e+00
sample_111  , -3.015312662372282e-01,  3.511695343382786e-01, -1.920050804870187e+00,  7.554496602741017e+00,  7.063312129513830e-01
sample_112  ,  8.208910479217776e-01,  7.403001030193137e-01,  9.057352068080209e-01,  3.875062531443633e-01,  6.902994992677906e-01
sample_113  , -1.018963524898496e+00,  8.663636808886438e-02, -8.122482791958374e-01,  1.141867344542740e+00,  2.414684125039432e-01
sample_114  , -6.038116752279044e-01, -1.646681523712107e+00, -5.639474307479773e-01, -1.239151524393128e+00, -1.902318364235362e+00
sample_115  , -1.394477000152802e+00,  3.496810699243291e-02, -1.136432987945013e+00, -6.263789077834799e-01,  2.728325093349312e-01
sample_116  , -2.583502562351241e+00, -1.556326499917124e+00, -1.345063074481132e+00,  8.240682809887863e-01, -1.656311506063589e+00
sample_117  , -3.645348403144876e-01,  5.887967258527047e-01, -1.076149722604570e+00, -8.083367417746288e-01,  9.421039870234912e-01
sample_118  , -1.801937943480333e-01,  3.134590884044740e-02, -3.728960148566755e-01, -5.027757549757200e-01,  1.047447041196017e-01
sample_119  ,  1.424389130720289e-01,  4.566091371135329e-01,  2.645393562101006e+00,  2.018152292953136e+00, -5.041236237041784e-02
sample_120  ,  2.356648922070764e-01,  5.635623762212890e-01, -5.111876305099347e-01, -2.496178478290755e+00,  8.162636535707845e-01
sample_121  ,  8.099982511399093e-01,  2.753095843145539e-01, -9.833213758015508e-01,  9.588938448898164e+00,  3.847884862567253e-01
sample_122  , -4.098229832143954e-01,  5.909090200782961e-02, -7.073225989691664e-01,  8.117697610831810e-01,  1.903015067364973e-01
sample_123  , -7.650881703505426e-01, -1.742461426632389e+00,  7.932359256884116e-01,  1.334861649793642e+00, -2.345352612676201e+00
sample_124  ,  1.651864639462544e-01,  3.061792309878094e-01,  4.814307464034705e+00, -4.143569393559605e-02, -6.642960818773320e-01
sample_125  , -1.954210522862035e+00, -1.625705912330338e+00, -5.678789898458413e-01,  9.232299625322329e-01, -1.907594653103787e+00
sample_126  , -9.596156009260348e-01, -1.631639011658486e+00, -6.906581349075875e-01, -1.107359303201995e+00, -1.858951475231685e+00
sample_127  ,  7.546718183398604e-01,  1.921381305510008e-01, -2.089006369666965e+00, -4.197026894905288e-01,  6.644752026701783e-01
sample_128  , -2.076472790346875e+00, -1.727640167177717e+00,  6.145375280572384e-01,  1.265290253262681e+00, -2.288273856319338e+00
sample_129  ,  7.752902370484371e-01,  7.403001030193137e-01,  9.057352068080209e-01,  3.875062531443633e-01,  6.902994992677906e-01
sample_130  , -7.668064002230788e-01,  6.038410407053480e-02, -4.941833511245675e-01,  6.087800115836599e-01,  1.497038777193963e-01
sample_131  ,  8.581285637832301e-01,  5.372671729312728e-01,  2.187115894510478e+00,  4.328129664681190e+00,  1.116435568913391e-01
sample_132  ,  3.909420486061391e-02,  2.547663369456034e-01, -1.324583836503755e+00,  2.507090518982805e+00,  5.361921611171835e-01
sample_133  , -1.354670824714972e+00, -1.631639011658486e+00, -6.906581349075875e-01, -1.107359303201995e+00, -1.858951475231685e+00
sample_134  , -2.553013569829222e+00, -1.653111469819255e+00, -5.049884092595858e-02,  2.459312855778946e+00, -2.073484270975315e+00
sample_135  , -2.495760461836853e+00, -1.538529717861222e+00, -1.534442720506644e+00,  8.629969204479819e-01, -1.594916555528599e+00
sample_136  , -6.563654625257864e-01,  6.487687848424249e-02, -6.232148890097826e-01, -2.356596251278696e+00,  2.262255786718928e-01
sample_137  ,  8.026780321190999e-01,  5.658996866449439e-01, -5.653093848005011e-01, -2.049994875589334e+00,  8.240315791931416e-01
sample_138  ,  1.431233255165690e-01, -1.437526552903705e-01,  4.544772017349876e-01,  5.386591382835634e-01, -3.007332341432188e-01
sample_139  ,  8.033327152012543e-01,  8.763139724341555e-01,  9.164153596709850e-01,  4.866083116038445e-01,  8.534217793125086e-01
sample_140  ,  8.256855450470045e-01,  4.354915265338491e-01, -1.053742849169483e+00,  8.825253385801720e-01,  7.244021382846322e-01
