# c0 + a0 * (site_bond_length_avg + lattice_param_beta) + a1 * (surf_M_Tx_length_std / surf_bond_length_min) + a2 * (lattice_param_c - surf_M_M_length_sum) + a3 * surf_bond_length_sum
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.454620844133522; Max AE: 1.43484757656135
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.516196602861307e-01, -3.049468863077266e-02,  1.736367724861563e-01,  8.384987309506872e-01,  4.683937604680404e-03, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         24|18|add; (site_bond_length_avg + lattice_param_beta); $\left(site_{bond, length, avg} + lattice_{param, beta}\right)$; (site_bond_length_avg + lattice_param_beta); site_bond_length_avg,lattice_param_beta
# 1;  1; Unitless;                                         19|20|div; (surf_M_Tx_length_std / surf_bond_length_min); $\left(\frac{ surf_{M, Tx, length, std} }{ surf_{bond, length, min} } \right)$; (surf_M_Tx_length_std ./ surf_bond_length_min); surf_M_Tx_length_std,surf_bond_length_min
# 2;  1; Unitless;                                         17|12|sub; (lattice_param_c - surf_M_M_length_sum); $\left(lattice_{param, c} - surf_{M, M, length, sum}\right)$; (lattice_param_c - surf_M_M_length_sum); lattice_param_c,surf_M_M_length_sum
# 3;  0; Unitless;                                         11; surf_bond_length_sum; $surf_{bond, length, sum}$; surf_bond_length_sum; surf_bond_length_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 211                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    ,  3.115458680505624e-01,  1.723868645822323e-01, -6.272277865477316e-01,  1.784613098643735e-01, -8.399221798598360e-01,  2.670085872791652e-01
sample_1    , -6.203848617387741e-01, -3.744564139081755e-03, -7.857296487873759e-01,  1.168924894069783e+00,  1.701498575681457e-01, -1.448527363441925e-01
sample_2    ,  7.513512606465996e-01,  6.050249919217733e-01, -1.768074181567494e-01,  3.447869176223016e+00,  1.443286250243439e+00,  5.105168183825380e-01
sample_3    ,  3.236213414409967e-01,  2.850832400149059e-01, -6.596602693390584e-01, -2.463058134662416e+00, -7.262577637528806e-01,  2.759416217618927e-01
sample_4    , -1.263980548035660e+00, -1.771395237216545e+00,  2.221384257200491e-01,  1.619464844272702e+00, -5.639474307479773e-01, -1.902318364235362e+00
sample_5    ,  8.196961398138903e-01,  2.089928330360416e-01, -2.765208021549461e-01, -1.907763122398048e+00, -8.567279053478832e-01,  3.016888660575560e-01
sample_6    , -4.234684172968203e-02,  1.592501271779682e-01, -5.026797914064237e-01, -1.364161876390933e+00, -7.073225989691664e-01,  1.903015067364973e-01
sample_7    ,  1.885896747217228e-01, -5.088588315684126e-02, -1.776229648252842e-01,  2.482739950378778e-01, -5.127136540597650e-01,  1.681103072271882e-02
sample_8    ,  8.187132870092673e-01,  3.209091589877914e-01,  7.091727665444306e-01, -4.291091431946346e+00, -2.259873371884464e+00,  8.172837375338866e-01
sample_9    ,  7.628593703405774e-01,  7.599713457612843e-01,  7.835466958870324e-01,  3.620613085929095e+00,  1.571899287732194e+00,  8.486100401265436e-01
sample_10   ,  1.155154906790374e-01, -1.241682580901728e-01, -2.115039488525650e-01,  7.926753162971020e-01,  5.516731684016783e-01, -2.773274489969740e-01
sample_11   , -6.601407096173287e-01, -1.140659428078650e+00, -3.169146906431541e+00, -2.369987396727137e+00, -5.678789898458413e-01, -1.907594653103787e+00
sample_12   ,  7.217373307392069e-01,  8.286169025256891e-01,  2.972695292185967e-01, -7.293951141344646e-01,  1.293040288844038e+00,  7.420915830191775e-01
sample_13   ,  8.258964111862611e-01,  1.114299404228155e-01,  6.891894106075157e-01, -5.511575105946021e-01, -2.089006369666965e+00,  6.644752026701783e-01
sample_14   , -1.588870096472677e+00, -1.752172925988544e+00,  8.640602433264122e-01, -2.369987396727137e+00, -5.678789898458413e-01, -1.907594653103787e+00
sample_15   , -1.306805782942450e+00, -1.770913755109542e+00,  2.189628342031329e-01,  1.619464844272702e+00, -5.639474307479773e-01, -1.902318364235362e+00
sample_16   , -4.914056689852132e-01, -6.782608442416803e-02, -3.630831386701910e-01,  1.168924894069783e+00,  1.701498575681457e-01, -1.448527363441925e-01
sample_17   ,  2.467801920517617e-01,  3.504999177816381e-02, -3.788957728297465e-01, -3.614072918204766e-01, -8.678794325175734e-01,  1.342790184333864e-01
sample_18   , -2.319759606923586e+00, -1.750334416199557e+00,  5.721940618649792e-01, -1.606874256536077e-01, -8.044570336200791e-01, -1.828839112109906e+00
sample_19   , -6.372433227465039e-01, -1.151527206411843e+00, -3.363029794194424e+00, -1.758919592340032e+00, -3.340799009782521e-01, -1.981805895635592e+00
sample_20   ,  2.180072209339664e-01,  2.751855939088634e-01,  2.301780625968624e-01, -1.153872996669661e+00, -1.593166463550732e+00,  6.521732720473662e-01
sample_21   , -2.992353523349867e-01,  3.557443526983682e-01,  4.432589302208593e-01, -5.227165442451053e+00, -1.920050804870187e+00,  7.063312129513830e-01
sample_22   ,  4.211526043798416e-02,  2.966452746176443e-01, -6.477053478248167e-02, -2.050877348029714e+00, -1.324583836503755e+00,  5.361921611171835e-01
sample_23   , -2.069000356978415e+00, -1.795680172295863e+00,  9.906830483673488e-01, -1.371270322921079e+00, -6.271540034555407e-01, -1.887989198713844e+00
sample_24   ,  1.874002453037688e-01, -1.662479538396435e-02, -4.035902813871386e-01,  2.482739950378778e-01, -5.127136540597650e-01,  1.681103072271882e-02
sample_25   ,  6.943714929309721e-01,  3.395828455587668e-01,  1.063134379973234e+00,  3.171042540245208e+00, -5.653093848005011e-01,  8.240315791931416e-01
sample_26   ,  4.372652784271939e-01,  6.875182730761897e-01,  6.384470518274351e-01, -3.253749829086000e-01,  6.038153655892112e-01,  7.929274976670994e-01
sample_27   ,  6.880050768711229e-01,  9.093690400993188e-01, -6.326901465073004e-01, -7.152666690438142e-01,  1.063395317958045e+00,  7.183081499531275e-01
sample_28   , -3.978268401166277e-02, -3.629040443480907e-02, -2.069820371333485e-01,  1.024070796296255e+00,  8.068990907969531e-02, -6.575907807080486e-02
sample_29   , -4.083688729350315e-02,  1.590081664139053e-01, -5.010839511070438e-01, -1.364161876390933e+00, -7.073225989691664e-01,  1.903015067364973e-01
sample_30   ,  9.493525296401219e-02, -9.287723899819762e-02, -4.178823237475096e-01,  7.926753162971020e-01,  5.516731684016783e-01, -2.773274489969740e-01
sample_31   ,  7.956386281871095e-01,  8.990949409534457e-01, -2.728688545568819e+00,  3.770718753451485e+00, -5.111876305099347e-01,  8.162636535707845e-01
sample_32   ,  2.376454624912727e-01, -6.921077404417163e-02,  1.014263883041860e-02,  1.024070796296255e+00,  8.068990907969531e-02, -6.575907807080486e-02
sample_33   , -2.217080114490598e+00, -1.750533089593578e+00,  5.162471410032434e-01,  9.348179846699806e-02, -7.929110508099674e-01, -1.832339800020369e+00
sample_34   ,  8.066515316012562e-01,  9.770625093203104e-01,  8.717747838727068e-01,  1.201473324643312e-01,  2.515933736878546e-01,  1.269572299999445e+00
sample_35   ,  3.339946812830672e-01, -2.365980199661106e-02, -1.019214858230453e+00,  3.156703639555708e-01,  4.544772017349876e-01, -3.007332341432188e-01
sample_36   , -1.596296529646721e-01,  1.723675413871084e-01,  1.678968001365505e-01, -5.594780968145577e-01, -1.993700363230640e+00,  6.228496553690350e-01
sample_37   , -1.794846178009260e+00, -1.795680172295863e+00,  9.906830483673488e-01, -1.371270322921079e+00, -6.271540034555407e-01, -1.887989198713844e+00
sample_38   , -1.368375000111447e+00, -1.040118609629322e+00,  4.891299428374491e-01,  4.171629952245866e+01, -2.660980569345171e+00,  9.105903000520902e-01
sample_39   ,  7.385693326124785e-01,  6.895050776546919e-01,  5.071706162284181e-02, -6.382236788089266e+00,  1.918555337735027e+00,  1.964877910025418e-01
sample_40   ,  7.331808427715989e-01,  1.127629686501105e-01,  6.803974886049248e-01, -5.511575105946021e-01, -2.089006369666965e+00,  6.644752026701783e-01
sample_41   , -1.117758111355730e+00, -1.727268726496199e+00,  4.342450380920992e-01, -1.758919592340032e+00, -3.340799009782521e-01, -1.981805895635592e+00
sample_42   ,  8.303329667676390e-01,  1.843941368215578e-01, -4.264767083496678e-01,  9.304990829524645e-01, -1.653881288410915e+00,  5.135342708145963e-01
sample_43   ,  8.120322918074160e-01,  3.915301071119835e-01,  2.433957822739273e-01, -4.291091431946346e+00, -2.259873371884464e+00,  8.172837375338866e-01
sample_44   ,  7.219613627378784e-01,  4.436709846073588e-01, -2.762683225999341e-02, -3.866721339195430e-01, -1.265949487927280e+00,  7.666346879737419e-01
sample_45   ,  7.599466995289635e-01,  7.773845774198550e-01,  3.514499926225543e-01,  6.403086919930040e-01,  1.472841336069005e+00,  7.033689434999731e-01
sample_46   ,  8.163073744643262e-01,  7.776351568327218e-01,  3.497973084495787e-01,  6.403086919930040e-01,  1.472841336069005e+00,  7.033689434999731e-01
