# c0 + a0 * (surf_M_Tx_length_std / surf_bond_length_min) + a1 * (lattice_param_alpha / surf_M_M_length_min) + a2 * (lattice_param_c - surf_M_M_length_sum) + a3 * surf_bond_length_sum + a4 * (surf_bond_length_sum / site_bond_length_sum)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.430876021271303; Max AE: 1.46040737605207
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -3.340621997085718e-02, -3.283761184128933e-02,  1.572100159585390e-01,  6.456911877563627e-01, -5.353601074731058e-02,  5.870808611270936e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         19|20|div; (surf_M_Tx_length_std / surf_bond_length_min); $\left(\frac{ surf_{M, Tx, length, std} }{ surf_{bond, length, min} } \right)$; (surf_M_Tx_length_std ./ surf_bond_length_min); surf_M_Tx_length_std,surf_bond_length_min
# 1;  1; Unitless;                                         35|15|div; (lattice_param_alpha / surf_M_M_length_min); $\left(\frac{ lattice_{param, alpha} }{ surf_{M, M, length, min} } \right)$; (lattice_param_alpha ./ surf_M_M_length_min); lattice_param_alpha,surf_M_M_length_min
# 2;  1; Unitless;                                         17|12|sub; (lattice_param_c - surf_M_M_length_sum); $\left(lattice_{param, c} - surf_{M, M, length, sum}\right)$; (lattice_param_c - surf_M_M_length_sum); lattice_param_c,surf_M_M_length_sum
# 3;  0; Unitless;                                         11; surf_bond_length_sum; $surf_{bond, length, sum}$; surf_bond_length_sum; surf_bond_length_sum
# 4;  1; Unitless;                                         11|1|div; (surf_bond_length_sum / site_bond_length_sum); $\left(\frac{ surf_{bond, length, sum} }{ site_{bond, length, sum} } \right)$; (surf_bond_length_sum ./ site_bond_length_sum); surf_bond_length_sum,site_bond_length_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 211                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    ,  3.115458680505624e-01,  8.664265946941363e-02,  1.784613098643735e-01,  8.933058489067293e-01, -8.399221798598360e-01,  2.670085872791652e-01, -4.271780614823897e-01
sample_1    , -6.203848617387741e-01, -3.147307614960985e-02,  1.168924894069783e+00, -8.328294521922793e-01,  1.701498575681457e-01, -1.448527363441925e-01,  2.185268697308550e-01
sample_2    ,  7.513512606465996e-01,  5.490820902319028e-01,  3.447869176223016e+00,  1.796097697537417e-01,  1.443286250243439e+00,  5.105168183825380e-01, -1.025794976536274e+00
sample_3    ,  3.236213414409967e-01,  2.515402904154675e-01, -2.463058134662416e+00, -9.296617083490589e-01, -7.262577637528806e-01,  2.759416217618927e-01, -2.993273692193199e-01
sample_4    , -1.263980548035660e+00, -1.390183117027735e+00,  1.619464844272702e+00, -3.838349370559009e-01, -5.639474307479773e-01, -1.902318364235362e+00,  1.689084357387837e+00
sample_5    ,  8.196961398138903e-01,  2.039585755516508e-01, -1.907763122398048e+00, -9.433863390969639e-01, -8.567279053478832e-01,  3.016888660575560e-01,  1.787741363602832e-01
sample_6    , -4.234684172968203e-02,  1.476705728095250e-01, -1.364161876390933e+00, -3.688135102068349e-01, -7.073225989691664e-01,  1.903015067364973e-01, -3.661503905480231e-01
sample_7    ,  1.885896747217228e-01,  4.445078393914096e-01,  2.482739950378778e-01, -1.416773827126035e+01, -5.127136540597650e-01,  1.681103072271882e-02,  2.600219345970546e-02
sample_8    ,  8.187132870092673e-01,  2.874811318088218e-01, -4.291091431946346e+00,  1.219359517223539e+00, -2.259873371884464e+00,  8.172837375338866e-01,  8.774173081119914e-01
sample_9    ,  7.628593703405774e-01,  8.626112721640541e-01,  3.620613085929095e+00,  2.538715055958212e-01,  1.571899287732194e+00,  8.486100401265436e-01, -2.580176938821273e+00
sample_10   ,  1.155154906790374e-01, -2.951278973895510e-02,  7.926753162971020e-01, -2.372812091611445e-01,  5.516731684016783e-01, -2.773274489969740e-01, -4.260123961417547e-01
sample_11   , -6.601407096173287e-01, -1.250331598010403e+00, -2.369987396727137e+00,  4.579141297461427e-02, -5.678789898458413e-01, -1.907594653103787e+00,  1.227491561056595e+00
sample_12   ,  7.217373307392069e-01,  8.782359517000409e-01, -7.293951141344646e-01,  5.056161358873303e-03,  1.293040288844038e+00,  7.420915830191775e-01, -2.108612175979331e+00
sample_13   ,  8.258964111862611e-01,  1.678340572751137e-01, -5.511575105946021e-01, -3.120198671337676e-01, -2.089006369666965e+00,  6.644752026701783e-01,  3.766654072885983e-01
sample_14   , -1.588870096472677e+00, -1.865555199332147e+00, -2.369987396727137e+00,  4.579141297461427e-02, -5.678789898458413e-01, -1.907594653103787e+00,  1.271926303849433e+01
