# c0 + a0 * (M_group_id * heat_of_formation_std) + a1 * (Tx_period + Tx_glawe_num)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.403612927542335; Max AE: 1.18437584668371
# Coefficients
# Task   a0                      a1                      c0
# all , -3.145016663177266e-01,  4.882833481713282e-01,  5.061510439902112e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         47|21|mult; (M_group_id * heat_of_formation_std); $\left(M_{group, id} heat_{of, formation, std}\right)$; (M_group_id .* heat_of_formation_std); M_group_id,heat_of_formation_std
# 1;  1; Unitless;                                         101|22|add; (Tx_period + Tx_glawe_num); $\left(Tx_{period} + Tx_{glawe, num}\right)$; (Tx_period + Tx_glawe_num); Tx_period,Tx_glawe_num
# Number of Samples Per Task
# Task, n_samples               
# all , 211                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    ,  3.115458680505624e-01,  2.312860850813199e-03,  5.669406772877567e-02, -6.240611090117698e-02
sample_1    , -6.203848617387741e-01,  4.433509392996881e-01, -6.380694050510788e-02,  7.632216973707101e-01
sample_2    ,  7.513512606465996e-01,  4.461868882035683e-01,  1.286119614580217e-01,  8.929660649383766e-01
sample_3    ,  3.236213414409967e-01, -6.801143246930186e-02,  1.562137932080667e+00,  7.632216973707101e-01
sample_4    , -1.263980548035660e+00, -1.294184065969742e+00, -1.494068123983979e+00, -3.716461132148193e+00
sample_5    ,  8.196961398138903e-01,  4.085512638171083e-01,  4.684326968304189e-02,  7.632216973707101e-01
sample_6    , -4.234684172968203e-02, -6.712290244620418e-02,  2.774743392929638e-01, -6.240611090117698e-02
sample_7    ,  1.885896747217228e-01,  3.411959668337539e-01, -1.015767025458159e-01,  5.296818357489106e-01
sample_8    ,  8.187132870092673e-01,  4.999692229042364e-01, -2.438323256404268e-01,  7.632216973707101e-01
sample_9    ,  7.628593703405774e-01,  1.477480762232252e-01,  2.560812546291274e+00,  1.848338240777930e+00
sample_10   ,  1.155154906790374e-01,  1.560586985023608e-02,  1.442717243673748e-02, -6.240611090117698e-02
sample_11   , -6.601407096173287e-01, -1.710470980389023e+00, -1.704283503278201e-01, -3.716461132148193e+00
sample_12   ,  7.217373307392069e-01,  4.668246228186146e-01,  1.344829924401599e+00,  1.718593873210264e+00
sample_13   ,  8.258964111862611e-01,  3.281592438842537e-01, -6.012470293596405e-02,  5.296818357489106e-01
sample_14   , -1.588870096472677e+00, -1.710470980389023e+00, -1.704283503278201e-01, -3.716461132148193e+00
sample_15   , -1.306805782942450e+00, -1.294184065969742e+00, -1.494068123983979e+00, -3.716461132148193e+00
sample_16   , -4.914056689852132e-01,  4.433509392996881e-01, -6.380694050510788e-02,  7.632216973707101e-01
sample_17   ,  2.467801920517617e-01,  3.662878779678947e-01, -1.813597810519616e-01,  5.296818357489106e-01
sample_18   , -2.319759606923586e+00, -1.743437366464270e+00, -6.560732835605314e-02, -3.716461132148193e+00
sample_19   , -6.372433227465039e-01, -1.168754435544447e+00, -1.892888365205149e+00, -3.716461132148193e+00
sample_20   ,  2.180072209339664e-01,  1.623397266375203e-01, -4.521326983114375e-01, -6.240611090117698e-02
sample_21   , -2.992353523349867e-01,  3.437251589787175e-01,  2.529665172873962e-01,  7.632216973707101e-01
sample_22   ,  4.211526043798416e-02,  4.308998046258944e-03,  5.034708324752609e-02, -6.240611090117698e-02
sample_23   , -2.069000356978415e+00, -1.702205346056079e+00, -1.967100372572402e-01, -3.716461132148193e+00
sample_24   ,  1.874002453037688e-01,  3.411959668337539e-01, -1.015767025458159e-01,  5.296818357489106e-01
sample_25   ,  6.943714929309721e-01,  4.800324506026607e-01,  1.504270053941666e+00,  1.848338240777930e+00
sample_26   ,  4.372652784271939e-01,  9.212833401165192e-01, -1.382020581369217e+00,  8.929660649383766e-01
sample_27   ,  6.880050768711229e-01,  8.107012683749022e-01,  2.514282595312936e-01,  1.718593873210264e+00
sample_28   , -3.978268401166277e-02, -2.225869438714324e-01,  7.717929966325089e-01, -6.240611090117698e-02
sample_29   , -4.083688729350315e-02, -6.712290244620418e-02,  2.774743392929638e-01, -6.240611090117698e-02
