# c0 + a0 * (M_melting_pt * ne_s_std) + a1 * (M_group_id * heat_of_formation_std) + a2 * (ground_state_magmom_std / vdw_radius_av) + a3 * (Tx_heat_form + Tx_elec_aff)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.334711133343393; Max AE: 1.10548414405258
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.414670566700466e-01, -2.874856599860153e-01, -6.953398915096199e-03,  9.149782202711269e-01,  8.745131376101908e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         147|35|mult; (M_melting_pt * ne_s_std); $\left(M_{melting, pt} ne_{s, std}\right)$; (M_melting_pt .* ne_s_std); M_melting_pt,ne_s_std
# 1;  1; Unitless;                                         47|21|mult; (M_group_id * heat_of_formation_std); $\left(M_{group, id} heat_{of, formation, std}\right)$; (M_group_id .* heat_of_formation_std); M_group_id,heat_of_formation_std
# 2;  1; Unitless;                                         27|24|div; (ground_state_magmom_std / vdw_radius_av); $\left(\frac{ ground_{state, magmom, std} }{ vdw_{radius, av} } \right)$; (ground_state_magmom_std ./ vdw_radius_av); ground_state_magmom_std,vdw_radius_av
# 3;  1; Unitless;                                         112|37|add; (Tx_heat_form + Tx_elec_aff); $\left(Tx_{heat, form} + Tx_{elec, aff}\right)$; (Tx_heat_form + Tx_elec_aff); Tx_heat_form,Tx_elec_aff
# Number of Samples Per Task
# Task, n_samples               
# all , 211                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    ,  3.115458680505624e-01, -6.995131508569771e-02,  3.439450595022475e-01,  5.669406772877567e-02, -7.724406355217861e-01, -1.069075611356725e-01
sample_1    , -6.203848617387741e-01,  4.850992823138029e-01,  6.212102657557258e-01, -6.380694050510788e-02,  1.161238117202331e+00,  5.194219024614141e-01
sample_2    ,  7.513512606465996e-01,  4.969869939107910e-01,  1.470811853140695e-01,  1.286119614580217e-01, -2.951856624505735e+00,  4.883083231935281e-01
sample_3    ,  3.236213414409967e-01,  3.481085449069913e-01, -1.595511918017571e+00,  1.562137932080667e+00, -1.262315428559962e+00,  5.194219024614141e-01
sample_4    , -1.263980548035660e+00, -1.390230783552780e+00,  2.608079214678552e-01, -1.494068123983979e+00,  6.003398961523673e-01, -2.039540488362162e+00
sample_5    ,  8.196961398138903e-01,  5.395546478078170e-01,  2.884343288682843e-01,  4.684326968304189e-02, -4.474693655729748e+00,  5.194219024614141e-01
sample_6    , -4.234684172968203e-02, -1.773800140559781e-01,  6.744952605138078e-01,  2.774743392929638e-01, -1.175758087214523e+00, -1.069075611356725e-01
sample_7    ,  1.885896747217228e-01,  3.534311896980900e-01,  6.212102657557258e-01, -1.015767025458159e-01,  3.066116792624588e+00,  3.781278547953166e-01
sample_8    ,  8.187132870092673e-01,  6.093078786581336e-01,  6.722532107768214e-01, -2.438323256404268e-01, -1.029715451253651e+01,  5.194219024614141e-01
sample_9    ,  7.628593703405774e-01,  3.938743301286429e-01, -1.595511918017571e+00,  2.560812546291274e+00,  8.235434888068480e-01,  8.990749010097239e-01
sample_10   ,  1.155154906790374e-01,  1.872817656486384e-01, -1.429412679087302e+00,  1.442717243673748e-02,  6.020902635779697e-02, -1.069075611356725e-01
sample_11   , -6.601407096173287e-01, -1.585908726080970e+00, -9.961219064841336e-01, -1.704283503278201e-01, -4.114456018234330e-01, -2.039540488362162e+00
sample_12   ,  7.217373307392069e-01,  9.055275890743359e-01, -1.595511918017571e+00,  1.344829924401599e+00,  2.828932214216773e-02,  1.070167468496319e+00
sample_13   ,  8.258964111862611e-01,  4.309613615262056e-01,  1.470811853140695e-01, -6.012470293596405e-02, -1.515012493035357e-01,  3.781278547953166e-01
sample_14   , -1.588870096472677e+00, -1.585908726080970e+00, -9.961219064841336e-01, -1.704283503278201e-01, -4.114456018234330e-01, -2.039540488362162e+00
sample_15   , -1.306805782942450e+00, -1.390230783552780e+00,  2.608079214678552e-01, -1.494068123983979e+00,  6.003398961523673e-01, -2.039540488362162e+00
sample_16   , -4.914056689852132e-01,  4.850992823138029e-01,  6.212102657557258e-01, -6.380694050510788e-02,  1.161238117202331e+00,  5.194219024614141e-01
sample_17   ,  2.467801920517617e-01,  3.781976119747884e-01,  6.212102657557258e-01, -1.813597810519616e-01,  2.802946029809571e+00,  3.781278547953166e-01
sample_18   , -2.319759606923586e+00, -1.778455993611062e+00,  1.329936640319545e-01, -6.560732835605314e-02, -2.601245184541706e-02, -2.039540488362162e+00
sample_19   , -6.372433227465039e-01, -1.008658082313448e+00, -1.595511918017571e+00, -1.892888365205149e+00, -1.942852192436841e-02, -2.039540488362162e+00
sample_20   ,  2.180072209339664e-01,  3.343419143444578e-01, -1.546863141214405e+00, -4.521326983114375e-01,  5.900930292543316e-01, -1.069075611356725e-01
sample_21   , -2.992353523349867e-01,  3.359064540259042e-01,  6.722532107768214e-01,  2.529665172873962e-01,  8.481989757374681e+00,  5.194219024614141e-01
sample_22   ,  4.211526043798416e-02,  1.924359825793998e-01, -1.546863141214405e+00,  5.034708324752609e-02,  2.233946854395220e-01, -1.069075611356725e-01
sample_23   , -2.069000356978415e+00, -1.743923676591307e+00,  1.329936640319545e-01, -1.967100372572402e-01,  4.281297328925622e-01, -2.039540488362162e+00
sample_24   ,  1.874002453037688e-01,  3.534311896980900e-01,  6.212102657557258e-01, -1.015767025458159e-01,  3.066116792624588e+00,  3.781278547953166e-01
sample_25   ,  6.943714929309721e-01,  4.162157555022097e-01,  2.884343288682843e-01,  1.504270053941666e+00,  2.963944183925145e+00,  8.990749010097239e-01
sample_26   ,  4.372652784271939e-01,  5.849875949406101e-01,  6.722532107768214e-01, -1.382020581369217e+00,  3.616427279287241e+01,  4.883083231935281e-01
sample_27   ,  6.880050768711229e-01,  8.750410945623900e-01,  9.522602234639747e-01,  2.514282595312936e-01, -2.215510054946535e+00,  1.070167468496319e+00
sample_28   , -3.978268401166277e-02,  7.650417735437411e-02, -2.191162819168796e+00,  7.717929966325089e-01,  1.764578882000508e-01, -1.069075611356725e-01
sample_29   , -4.083688729350315e-02, -1.773800140559781e-01,  6.744952605138078e-01,  2.774743392929638e-01, -1.175758087214523e+00, -1.069075611356725e-01
sample_30   ,  9.493525296401219e-02,  1.872817656486384e-01, -1.429412679087302e+00,  1.442717243673748e-02,  6.020902635779697e-02, -1.069075611356725e-01
sample_31   ,  7.956386281871095e-01,  5.504944268253842e-01,  2.884343288682843e-01,  1.004202207044164e+00,  4.327833095770854e+00,  8.990749010097239e-01
sample_32   ,  2.376454624912727e-01,  7.650417735437411e-02, -2.191162819168796e+00,  7.717929966325089e-01,  1.764578882000508e-01, -1.069075611356725e-01
sample_33   , -2.217080114490598e+00, -1.619248894265475e+00, -9.961219064841336e-01, -3.932564142663304e-02, -1.037036145818044e+00, -2.039540488362162e+00
sample_34   ,  8.066515316012562e-01,  1.136831007220872e+00,  6.722532107768214e-01, -1.099922464582645e+00, -8.104652291558383e-01,  8.990749010097239e-01
sample_35   ,  3.339946812830672e-01,  2.053108845913522e-01, -1.429412679087302e+00, -4.652304456919430e-02, -1.267699480407260e-02, -1.069075611356725e-01
sample_36   , -1.596296529646721e-01,  3.017984652335327e-01, -9.961219064841336e-01, -3.281197269373936e-02,  4.055326170788399e+01,  3.781278547953166e-01
sample_37   , -1.794846178009260e+00, -1.743923676591307e+00,  1.329936640319545e-01, -1.967100372572402e-01,  4.281297328925622e-01, -2.039540488362162e+00
sample_38   , -1.368375000111447e+00, -1.469411261603240e+00,  6.722532107768214e-01,  1.568351239047065e+00,  1.951363886114866e+02,  3.781278547953166e-01
sample_39   ,  7.385693326124785e-01,  6.609538563367821e-01,  9.522602234639747e-01, -9.519082435632006e-01,  1.759636793791845e+00,  4.883083231935281e-01
sample_40   ,  7.331808427715989e-01,  4.309613615262056e-01,  1.470811853140695e-01, -6.012470293596405e-02, -1.515012493035357e-01,  3.781278547953166e-01
sample_41   , -1.117758111355730e+00, -1.008658082313448e+00, -1.595511918017571e+00, -1.892888365205149e+00, -1.942852192436841e-02, -2.039540488362162e+00
sample_42   ,  8.303329667676390e-01,  6.153652323977756e-01, -9.961219064841336e-01, -4.264746119616991e-02, -4.135560126601225e+00,  3.781278547953166e-01
sample_43   ,  8.120322918074160e-01,  6.093078786581336e-01,  6.722532107768214e-01, -2.438323256404268e-01, -1.029715451253651e+01,  5.194219024614141e-01
sample_44   ,  7.219613627378784e-01,  1.055973995000043e+00,  2.884343288682843e-01, -1.570903733758194e-01,  2.159306373894181e+00,  1.070167468496319e+00
sample_45   ,  7.599466995289635e-01,  9.829836937413243e-01,  9.522602234639747e-01, -6.872731604575038e-01, -1.442560704351456e+00,  8.990749010097239e-01
sample_46   ,  8.163073744643262e-01,  9.829836937413243e-01,  9.522602234639747e-01, -6.872731604575038e-01, -1.442560704351456e+00,  8.990749010097239e-01
sample_47   ,  8.221776498904934e-01,  6.153652323977756e-01, -9.961219064841336e-01, -4.264746119616991e-02, -4.135560126601225e+00,  3.781278547953166e-01
sample_48   ,  2.606250769099523e-02,  1.924359825793998e-01, -1.546863141214405e+00,  5.034708324752609e-02,  2.233946854395220e-01, -1.069075611356725e-01
