# c0 + a0 * (en_allred_rochow_av / atomic_volume_av) + a1 * (group_id_std / vdw_radius_av) + a2 * (heat_of_formation_std / Tx_vdw_radius) + a3 * (M_group_id * heat_of_formation_std) + a4 * (vdw_radius_sum + Tx_glawe_num)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.310962561494426; Max AE: 1.00247266200009
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  3.726283443548224e-02,  9.200760159557135e-03,  8.934567536544569e-02, -3.176949902569128e-01,  4.785221738872148e-01,  8.521983963543484e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         135|45|div; (en_allred_rochow_av / atomic_volume_av); $\left(\frac{ en_{allred, rochow, av} }{ atomic_{volume, av} } \right)$; (en_allred_rochow_av ./ atomic_volume_av); en_allred_rochow_av,atomic_volume_av
# 1;  1; Unitless;                                         96|24|div; (group_id_std / vdw_radius_av); $\left(\frac{ group_{id, std} }{ vdw_{radius, av} } \right)$; (group_id_std ./ vdw_radius_av); group_id_std,vdw_radius_av
# 2;  1; Unitless;                                         21|164|div; (heat_of_formation_std / Tx_vdw_radius); $\left(\frac{ heat_{of, formation, std} }{ Tx_{vdw, radius} } \right)$; (heat_of_formation_std ./ Tx_vdw_radius); heat_of_formation_std,Tx_vdw_radius
# 3;  1; Unitless;                                         47|21|mult; (M_group_id * heat_of_formation_std); $\left(M_{group, id} heat_{of, formation, std}\right)$; (M_group_id .* heat_of_formation_std); M_group_id,heat_of_formation_std
# 4;  1; Unitless;                                         93|22|add; (vdw_radius_sum + Tx_glawe_num); $\left(vdw_{radius, sum} + Tx_{glawe, num}\right)$; (vdw_radius_sum + Tx_glawe_num); vdw_radius_sum,Tx_glawe_num
# Number of Samples Per Task
# Task, n_samples               
# all , 211                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    ,  3.115458680505624e-01, -3.852173512770782e-02,  1.354518258306043e-02, -2.321483251991395e-02, -3.182417219809745e+00,  5.669406772877567e-02,  3.726346118754736e-01
sample_1    , -6.203848617387741e-01, -4.615006962670480e-01, -2.131515748943833e+01, -3.927378535078135e-01, -1.275375911127751e+00, -6.380694050510788e-02,  7.206234757516237e-01
sample_2    ,  7.513512606465996e-01,  8.108498256922930e-01,  1.561494643444440e+00, -2.082947920959938e+00,  3.065608446736564e+00,  1.286119614580217e-01,  9.478547023432934e-01
sample_3    ,  3.236213414409967e-01,  6.216185492039837e-01, -1.053839788437343e+00,  4.202338563092562e+01,  2.200816292698682e+00,  1.562137932080667e+00,  1.021207957742300e+00
sample_4    , -1.263980548035660e+00, -1.205818831415161e+00,  4.350937469527631e+00, -1.335192250298108e+00,  5.386547946760314e-01, -1.494068123983979e+00, -4.103606251962514e+00
sample_5    ,  8.196961398138903e-01,  8.520752389382705e-01,  8.958557139866798e+00,  2.112431888102302e+00,  6.599508852870822e-02,  4.684326968304189e-02,  8.831015741249624e-01
sample_6    , -4.234684172968203e-02,  8.774038271609097e-02,  4.925230790714535e-01, -1.438727861033110e-02, -1.097833424026156e+00,  2.774743392929638e-01,  3.563868020381398e-01
sample_7    ,  1.885896747217228e-01,  2.915779225387956e-01,  1.123724347164629e-01,  2.235051730850480e+00, -1.851023764480730e+00, -1.015767025458159e-01,  6.576856174218297e-01
sample_8    ,  8.187132870092673e-01,  4.817312127071570e-01, -8.091833027579581e+00,  6.227462882005571e+00,  3.998958904525528e-01, -2.438323256404268e-01,  1.102447006928970e+00
sample_9    ,  7.628593703405774e-01,  3.588458355588601e-01,  5.015058243441775e+00, -1.988948098363509e-01,  2.070333629701030e+00,  2.560812546291274e+00,  1.498703078055112e+00
sample_10   ,  1.155154906790374e-01,  1.667264105554861e-01,  1.084302006644393e-01,  3.590900791885726e-01, -8.098427901749253e-01,  1.442717243673748e-02,  3.157672774448052e-01
sample_11   , -6.601407096173287e-01, -1.623242417271351e+00,  9.045444455572403e-01, -8.389379261910003e-01,  8.717417471408164e-01, -1.704283503278201e-01, -3.900508628995841e+00
sample_12   ,  7.217373307392069e-01,  4.725946140520542e-01,  1.084963471370957e+00, -9.417718160776859e-01,  9.950668754793132e-01,  1.344829924401599e+00,  1.450197759674115e+00
