# c0 + a0 * (lattice_constant_av + Tx_s_fill)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.507158448929215; Max AE: 1.29283612320351
# Coefficients
# Task   a0                      c0
# all ,  4.985178764690080e-01,  2.030723119029767e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         204|83|add; (lattice_constant_av + Tx_s_fill); $\left(lattice_{constant, av} + Tx_{s, fill}\right)$; (lattice_constant_av + Tx_s_fill); lattice_constant_av,Tx_s_fill
# Number of Samples Per Task
# Task, n_samples               
# all , 191                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    , -1.181825419945348e+00, -4.203829923459243e-01, -8.432656323650592e-01
sample_1    ,  9.820173801588558e-01,  8.120327341304946e-01,  1.628893912254674e+00
sample_2    , -2.265898778388331e-01, -3.374930968088292e-01, -6.769929680341379e-01
sample_3    , -1.580056596568767e+00, -1.265686126967344e+00, -2.538898175391770e+00
sample_4    , -6.538388790589450e-01,  2.386226738962846e-01,  4.786642268205986e-01
sample_5    , -1.243329001943635e-01, -4.622825006294825e-01, -9.273137884318619e-01
sample_6    , -1.464725422431774e+00, -1.048756282832618e+00, -2.103748596260856e+00
sample_7    , -5.544795303232762e-01, -1.107139420026153e+00, -2.220862023781372e+00
sample_8    ,  1.375534745025239e+00,  8.120327341304946e-01,  1.628893912254674e+00
sample_9    , -1.322271680592587e+00, -1.240143504445173e+00, -2.487661050851544e+00
sample_10   ,  3.192860772233725e-01,  1.977895383993359e-01,  3.967551571074541e-01
sample_11   ,  1.159555402280817e+00,  8.722243876722600e-01,  1.749635126126685e+00
sample_12   ,  1.180415291424685e-01, -7.154948241149764e-02, -1.435244066236528e-01
sample_13   ,  1.859810708562005e-01, -3.420826741545074e-01, -6.861994129026472e-01
sample_14   ,  4.735603295186470e-02, -7.154948241149764e-02, -1.435244066236528e-01
sample_15   , -1.512819293106766e+00, -3.380558559734954e-01, -6.781218325969339e-01
sample_16   , -4.904647979091847e-01, -3.257472921682677e-01, -6.534315167903895e-01
sample_17   ,  8.217680552511124e-02,  7.557150944829597e-01,  1.515923761522203e+00
sample_18   ,  1.184682610579223e+00,  8.167248598071147e-01,  1.638306063549737e+00
sample_19   , -1.570848599014777e+00, -1.180118341518070e+00, -2.367253808182015e+00
sample_20   , -1.371480668945601e+00, -1.180118341518070e+00, -2.367253808182015e+00
sample_21   , -1.540845998544176e+00, -1.077947851429386e+00, -2.162305310021115e+00
sample_22   , -4.503452829583460e-01, -4.309663492011123e-01, -8.644952759841602e-01
sample_23   , -1.604395816727296e-01,  2.481104909607090e-01,  4.976962766472295e-01
sample_24   ,  4.029752984309805e-01,  1.591818047139591e+00,  3.193101235234343e+00
