# c0 + a0 * (en_mulliken_av / c6_gb_av) + a1 * (heat_of_formation_std / surf_charge_sum) + a2 * (lattice_constant_sum + Tx_s_fill)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.403549476405838; Max AE: 1.25476757524664
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -3.783401778203898e-02,  1.273895135429098e-01,  5.052955753179926e-01,  1.420876783249593e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         285|185|div; (en_mulliken_av / c6_gb_av); $\left(\frac{ en_{mulliken, av} }{ c6_{gb, av} } \right)$; (en_mulliken_av ./ c6_gb_av); en_mulliken_av,c6_gb_av
# 1;  1; Unitless;                                         26|321|div; (heat_of_formation_std / surf_charge_sum); $\left(\frac{ heat_{of, formation, std} }{ surf_{charge, sum} } \right)$; (heat_of_formation_std ./ surf_charge_sum); heat_of_formation_std,surf_charge_sum
# 2;  1; Unitless;                                         303|83|add; (lattice_constant_sum + Tx_s_fill); $\left(lattice_{constant, sum} + Tx_{s, fill}\right)$; (lattice_constant_sum + Tx_s_fill); lattice_constant_sum,Tx_s_fill
# Number of Samples Per Task
# Task, n_samples               
# all , 191                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    , -1.181825419945348e+00, -9.887471801414655e-01,  2.084806228316501e+00, -5.570547514145128e+00, -4.244050898925012e-01
sample_1    ,  9.820173801588558e-01,  1.011229682294787e+00, -1.930091117180271e-01,  1.045021837562864e+00,  1.695233092491526e+00
sample_2    , -2.265898778388331e-01, -1.458353603111780e-01, -1.048026238606645e+00, -7.455288467063315e-01, -2.072502105547450e-01
sample_3    , -1.580056596568767e+00, -1.369052335787114e+00, -8.302890608221039e-01,  3.124809935219234e-01, -2.878475782321693e+00
sample_4    , -6.538388790589450e-01,  2.038541846136472e-01, -3.263315054868838e+00,  7.100781004195130e-01, -4.804199365448647e-02
sample_5    , -1.243329001943635e-01, -5.736954711917348e-01, -1.095153918886306e+00, -3.038328278361448e+00, -4.794958878253330e-01
sample_6    , -1.464725422431774e+00, -1.299691962025478e+00, -7.189769867275418e-01,  1.795566177062957e-01, -2.699362936798602e+00
sample_7    , -5.544795303232762e-01, -1.222351921942510e+00, -5.518980908761459e-01,  1.027501095714885e+00, -2.747568244256457e+00
sample_8    ,  1.375534745025239e+00,  1.011229682294787e+00, -1.930091117180271e-01,  1.045021837562864e+00,  1.695233092491526e+00
sample_9    , -1.322271680592587e+00, -1.289422932736842e+00, -1.795756565722529e+00,  5.671745993942948e-01, -2.857385960308882e+00
sample_10   ,  3.192860772233725e-01,  3.653311091316487e-01, -5.025410879330282e+00,  1.634873865975737e+00, -9.355896245953832e-02
sample_11   ,  1.159555402280817e+00,  1.048852882432212e+00, -8.127325396716863e-01,  8.493995430872691e-01,  1.772607215253375e+00
sample_12   ,  1.180415291424685e-01,  1.799490668182614e-01,  1.645975624505490e-01, -1.816739769286025e-01,  3.861325037567429e-01
sample_13   ,  1.859810708562005e-01, -1.992495759117961e-02, -6.312885218783657e-01,  3.320427425411629e-01, -1.985306718165102e-01
sample_14   ,  4.735603295186470e-02,  1.799490668182614e-01,  1.645975624505490e-01, -1.816739769286025e-01,  3.861325037567429e-01
sample_15   , -1.512819293106766e+00, -4.131672846466362e-01, -6.519016362476644e-01, -2.716474168201207e+00, -2.097579969334437e-01
sample_16   , -4.904647979091847e-01, -2.063819080429540e-01, -2.363222552164698e-01, -1.113949335836266e+00, -1.734157917825166e-01
sample_17   ,  8.217680552511124e-02,  1.062854533853868e+00, -4.826192080280579e-01,  1.489658380347307e+00,  1.663619328897356e+00
sample_18   ,  1.184682610579223e+00,  1.031443102839624e+00, -2.621817840946746e-01,  1.107531538377498e+00,  1.714297696497914e+00
sample_19   , -1.570848599014777e+00, -1.236615348685264e+00, -4.158206732564880e-01,  1.194958673725323e+00, -2.807824878578775e+00
sample_20   , -1.371480668945601e+00, -1.236615348685264e+00, -4.158206732564880e-01,  1.194958673725323e+00, -2.807824878578775e+00
sample_21   , -1.540845998544176e+00, -1.255800124240984e+00, -3.457709848146637e-01,  7.305492593120393e-01, -2.723465590527530e+00
sample_22   , -4.503452829583460e-01, -1.403846176581342e-01, -9.202723633169633e-01,  2.424762454747861e-01, -4.359822808002785e-01
sample_23   , -1.604395816727296e-01, -9.171300140960766e-02,  5.269599991365023e+00,  9.852965710177136e-01, -6.346400385918560e-02
sample_24   ,  4.029752984309805e-01,  1.268315460911137e+00,  1.342673048568569e+00, -6.809553886817101e-01,  2.754134516033393e+00
sample_25   ,  1.159859402839996e+00,  1.031443102839624e+00, -2.621817840946746e-01,  1.107531538377498e+00,  1.714297696497914e+00
sample_26   , -4.882595012842761e-01, -1.065504709064541e+00,  5.751860194454409e-01, -1.066783113066925e+01,  5.957264503950399e-01
sample_27   , -6.292389468500847e-01, -2.063819080429540e-01, -2.363222552164698e-01, -1.113949335836266e+00, -1.734157917825166e-01
sample_28   ,  9.390649292973059e-01,  1.492114081844371e+00,  2.085918182488790e-01,  8.247654994885752e-01,  2.732520869467231e+00
sample_29   , -1.840501760547247e-01,  1.079008416676152e-02, -3.777601547856469e-01, -2.357929892829673e+00,  5.594046093887337e-01
sample_30   , -7.494366413350256e-03, -2.640708529955863e-01, -1.731553080925409e+00, -9.295828102003635e-01, -4.460203886631146e-01
sample_31   , -1.033760245705074e+00, -8.347899067595244e-01, -1.140557291673019e+01,  1.114644118955951e+00, -2.815206316283259e+00
sample_32   , -1.276224306766404e+00, -9.887471801414655e-01,  2.084806228316501e+00, -5.570547514145128e+00, -4.244050898925012e-01
sample_33   , -1.176387515954566e+00, -1.171650150318330e+00, -1.959631574653323e+00,  1.096448830976003e+00, -2.770013840541520e+00
sample_34   ,  3.616514535288465e-02,  5.816285061296560e-02,  3.310864364971438e+00,  1.839965487420008e+00, -1.289837622236127e-01
sample_35   , -6.865864347172117e-01, -2.409657734733264e-01, -1.307037131664843e-01, -1.015849474898430e+00, -2.586822918280081e-01
sample_36   , -5.779541781958595e-01, -8.347899067595244e-01, -1.140557291673019e+01,  1.114644118955951e+00, -2.815206316283259e+00
sample_37   ,  8.850240829451580e-01,  1.078737810390185e+00, -1.986716233851255e+00,  5.921415993502226e-01,  1.808705636049544e+00
sample_38   ,  7.291833242535585e-01,  1.217606243331802e+00,  5.255750004253173e+00,  3.399283976100248e-01,  2.689396796225657e+00
sample_39   ,  1.295296019257506e+00,  1.077129783753437e+00, -2.169504055965578e-02,  1.573652784324618e+00,  1.705206585566919e+00
sample_40   , -1.125378376788511e+00, -1.191303867726167e+00, -5.401675743653241e+00, -1.810826094205603e-01, -2.744555412540342e+00
sample_41   ,  1.133851112289021e-01,  1.799490668182614e-01,  1.645975624505490e-01, -1.816739769286025e-01,  3.861325037567429e-01
sample_42   ,  6.270615110754807e-01,  8.818097877318470e-01,  4.833523245467972e-02,  2.297101295334748e-01,  1.662723988346144e+00
sample_43   ,  8.981057808172022e-02,  1.062854533853868e+00, -4.826192080280579e-01,  1.489658380347307e+00,  1.663619328897356e+00
sample_44   , -1.516772662271726e-01,  1.079008416676152e-02, -3.777601547856469e-01, -2.357929892829673e+00,  5.594046093887337e-01
sample_45   , -1.009473785557556e+00, -1.173146130906907e+00, -1.199343739152473e+00,  1.501715245994833e+00, -2.818219147999375e+00
sample_46   ,  2.198710725245677e-01, -1.992495759117961e-02, -6.312885218783657e-01,  3.320427425411629e-01, -1.985306718165102e-01
sample_47   , -3.190705676073038e-01, -1.801106690065019e-01,  1.483590846774591e-01, -9.267827482194945e-01, -1.398073060328772e-01
sample_48   ,  7.406397181312827e-01,  6.965435526122230e-01, -1.624122084765077e+01,  3.565247442311916e-01,  4.442277706456799e-02
sample_49   ,  2.377397508246557e+00,  1.753610379936663e+00, -7.021821597571943e+00,  4.710551883371812e-01,  2.797828571397045e+00
sample_50   ,  7.217347674185606e-01, -1.982936933802645e-01, -1.161990844671610e+00, -2.756452970702512e-01, -4.380622629619542e-01
sample_51   ,  1.833747993630055e-01, -1.992495759117961e-02, -6.312885218783657e-01,  3.320427425411629e-01, -1.985306718165102e-01
sample_52   ,  1.163396488687538e+00,  1.048852882432212e+00, -8.127325396716863e-01,  8.493995430872691e-01,  1.772607215253375e+00
sample_53   ,  5.877481602536888e-01,  2.326956108453276e-01, -5.961939595275753e-01, -6.814949480038603e-01,  5.595650424541042e-01
sample_54   ,  6.975449340049772e-01,  2.045859863634137e-01, -1.231934149816503e+00,  1.561163036367200e+00, -1.090601272905471e-01
sample_55   ,  1.094083839394089e+00,  1.061744740551724e-01, -1.629071495637445e+00,  9.981983148734356e-01, -1.916276654542772e-01
sample_56   ,  8.189522525504062e-01,  1.002044501158802e+00,  1.340593514227428e-01,  2.923965823355232e-01,  1.891288041113629e+00
sample_57   , -2.183617466012437e-01, -1.496145574541250e-01,  5.509190369370943e-02, -3.061917324261497e-01, -2.428941937612656e-01
sample_58   ,  1.763197294482562e-02,  2.240608471116675e-01, -7.597014148925351e-01, -9.915902411821413e-01,  6.084116622309752e-01
sample_59   ,  1.375372773594956e+00,  9.081856162194962e-01,  2.491236655341998e+00,  9.192176244326646e-02,  1.932572774040775e+00
sample_60   ,  9.387809664761781e-03, -2.640708529955863e-01, -1.731553080925409e+00, -9.295828102003635e-01, -4.460203886631146e-01
sample_61   , -1.568914413366311e+00, -1.236615348685264e+00, -4.158206732564880e-01,  1.194958673725323e+00, -2.807824878578775e+00
sample_62   ,  2.195632848632222e+00,  1.694419708192064e+00, -3.941886079884106e+00, -7.875626076134665e-02,  3.049910486739289e+00
sample_63   , -2.084290051031134e-01, -2.409657734733264e-01, -1.307037131664843e-01, -1.015849474898430e+00, -2.586822918280081e-01
sample_64   ,  1.216296062100502e+00,  1.010827720508493e+00, -1.199913230434523e+00,  5.504610498859466e-01,  1.743728803196129e+00
sample_65   , -6.952294439596317e-01, -2.409657734733264e-01, -1.307037131664843e-01, -1.015849474898430e+00, -2.586822918280081e-01
sample_66   , -1.577237781016708e+00, -1.369052335787114e+00, -8.302890608221039e-01,  3.124809935219234e-01, -2.878475782321693e+00
sample_67   ,  1.322307579187809e+00,  9.521987806209544e-01,  4.424674666995400e-01,  8.702187434560613e-01,  1.670059334787735e+00
sample_68   ,  1.105398899289431e+00,  1.002044501158802e+00,  1.340593514227428e-01,  2.923965823355232e-01,  1.891288041113629e+00
sample_69   ,  5.882307291037275e-01,  2.326956108453276e-01, -5.961939595275753e-01, -6.814949480038603e-01,  5.595650424541042e-01
sample_70   ,  1.403060937884271e+00,  9.087744059897100e-01, -5.354581817551981e-01,  1.984111128611381e-01,  1.680267253684043e+00
sample_71   ,  4.179482560341836e-02,  1.799490668182614e-01,  1.645975624505490e-01, -1.816739769286025e-01,  3.861325037567429e-01
sample_72   ,  1.044938442808791e-01, -9.171300140960766e-02,  5.269599991365023e+00,  9.852965710177136e-01, -6.346400385918560e-02
sample_73   , -1.371996605296394e+00, -1.236615348685264e+00, -4.158206732564880e-01,  1.194958673725323e+00, -2.807824878578775e+00
sample_74   , -5.824386467881182e-02,  2.240608471116675e-01, -7.597014148925351e-01, -9.915902411821413e-01,  6.084116622309752e-01
sample_75   ,  1.316921203657170e+00,  9.521987806209544e-01,  4.424674666995400e-01,  8.702187434560613e-01,  1.670059334787735e+00
sample_76   , -1.913439302648285e-01, -6.547108773453868e-02, -2.271241436999693e-01, -3.937257661810657e-01, -7.543375105037646e-02
sample_77   ,  2.615566878383235e-01, -1.586129689696480e-01, -3.502765381280856e+00, -7.774785100640567e-01, -4.082814602262792e-01
sample_78   ,  2.722099154462537e-01,  8.430404180514359e-01, -6.628642410807244e-01, -5.184223653900560e-01,  1.721357653140420e+00
sample_79   , -1.125194942406280e+00, -1.289422932736842e+00, -1.795756565722529e+00,  5.671745993942948e-01, -2.857385960308882e+00
sample_80   ,  1.144683531465042e+00,  1.328033605949854e+00,  2.074161541213146e+00,  5.182495349244441e-02,  2.742348864352521e+00
sample_81   , -8.996696257742992e-01, -1.173146130906907e+00, -1.199343739152473e+00,  1.501715245994833e+00, -2.818219147999375e+00
sample_82   ,  1.206876606666530e+00,  1.065716036938674e+00, -2.505563080043167e-01,  1.379328393657748e+00,  1.714473244030620e+00
sample_83   , -1.124856879182589e+00, -1.191303867726167e+00, -5.401675743653241e+00, -1.810826094205603e-01, -2.744555412540342e+00
sample_84   , -7.863443687304406e-01, -1.289422932736842e+00, -1.795756565722529e+00,  5.671745993942948e-01, -2.857385960308882e+00
sample_85   , -7.844604950229476e-01, -1.186579100480937e+00, -9.736202648723052e-01,  1.284048179899025e+00, -2.773026672257637e+00
sample_86   , -1.426333690148897e-01, -1.065504709064541e+00,  5.751860194454409e-01, -1.066783113066925e+01,  5.957264503950399e-01
sample_87   , -3.103507001489021e-01, -1.801106690065019e-01,  1.483590846774591e-01, -9.267827482194945e-01, -1.398073060328772e-01
sample_88   , -2.034396072984968e-01,  9.626846969579187e-01,  4.484881404727608e-01,  7.215752684263192e-01,  1.728736521050979e+00
sample_89   ,  2.408535342476809e+00,  1.890087969491521e+00, -9.971440859855836e+00,  8.740611459637997e-01,  2.745468938235930e+00
sample_90   ,  3.248944683080119e-01,  1.052379533154697e+00, -1.129668232842359e-01,  1.388614070521829e+00,  1.696040787690138e+00
sample_91   ,  6.564721269977320e-04, -1.496145574541250e-01,  5.509190369370943e-02, -3.061917324261497e-01, -2.428941937612656e-01
sample_92   ,  2.513366875112233e+00,  1.501048112009924e+00,  4.998982796044570e-01,  7.722996383380369e-01,  2.785240358485745e+00
sample_93   ,  1.280502599190328e-01, -8.227023154475180e-02, -1.769218262069611e+00, -8.728748352546192e-01, -1.033465093869080e-01
sample_94   ,  2.276116921145048e+00,  1.492859540175128e+00, -2.221681322708511e+00, -1.415890061288366e+00,  3.116918620987058e+00
sample_95   ,  8.208228313924362e-01,  1.077129783753437e+00, -2.169504055965578e-02,  1.573652784324618e+00,  1.705206585566919e+00
sample_96   , -5.603622190312795e-02,  2.240608471116675e-01, -7.597014148925351e-01, -9.915902411821413e-01,  6.084116622309752e-01
sample_97   ,  3.704961165717614e-01,  2.217209149245359e-01, -1.346936559133472e+00, -1.240290380031536e+00,  6.225111180297196e-01
sample_98   , -1.208327995079399e+00, -1.185914277546756e+00, -9.484604028717504e-01,  1.351114198903662e+00, -2.786735056565964e+00
sample_99   ,  1.400692844342275e+00,  9.067891925761494e-01,  4.886021765077858e-01,  7.760200208110067e-01,  1.607394631778003e+00
sample_100  ,  9.547910169160603e-01,  1.217606243331802e+00,  5.255750004253173e+00,  3.399283976100248e-01,  2.689396796225657e+00
sample_101  ,  1.203403822784711e+00,  6.965435526122230e-01, -1.624122084765077e+01,  3.565247442311916e-01,  4.442277706456799e-02
sample_102  ,  1.071668001536855e+00,  1.405193059122945e+00, -8.910610393210368e-01, -3.160434674406545e-01,  2.765772280471840e+00
sample_103  , -1.234324800530492e+00, -4.131672846466362e-01, -6.519016362476644e-01, -2.716474168201207e+00, -2.097579969334437e-01
sample_104  ,  3.751776904570919e-01,  1.268465066226727e+00,  2.815386226867116e+00,  2.887819682515879e-02,  2.685744656808500e+00
sample_105  ,  6.887741463409074e-01,  8.679494434846477e-02, -2.258801972951073e+00,  3.891686240448426e-01, -1.235898002049636e-01
sample_106  , -1.258232313573642e+00, -9.345488891999337e-01, -1.231937532041104e+01, -9.867480603320436e+00, -3.123628539950210e-01
sample_107  , -1.024277748285577e+00, -1.281697151021743e+00, -6.555383668861074e-01,  7.154994933186520e-01, -2.794116494270448e+00
sample_108  , -1.536587774880273e+00, -1.281697151021743e+00, -6.555383668861074e-01,  7.154994933186520e-01, -2.794116494270448e+00
sample_109  ,  7.272814633777750e-01,  1.217606243331802e+00,  5.255750004253173e+00,  3.399283976100248e-01,  2.689396796225657e+00
sample_110  , -1.493732732793762e+00, -1.281720012302518e+00, -5.001997645886780e-01,  3.975615444748062e-01, -2.702375768514719e+00
sample_111  ,  1.157664490109502e+00,  1.328033605949854e+00,  2.074161541213146e+00,  5.182495349244441e-02,  2.742348864352521e+00
sample_112  , -8.886803335150877e-01, -7.305116416872827e-01, -7.863091573109686e+00, -1.166236553682777e+01,  8.776057781594528e-01
sample_113  , -1.323029270669934e+00, -1.289422932736842e+00, -1.795756565722529e+00,  5.671745993942948e-01, -2.857385960308882e+00
sample_114  , -1.147928785840820e-01, -5.736954711917348e-01, -1.095153918886306e+00, -3.038328278361448e+00, -4.794958878253330e-01
sample_115  , -4.227680395476078e-01, -1.458353603111780e-01, -1.048026238606645e+00, -7.455288467063315e-01, -2.072502105547450e-01
sample_116  ,  1.435630648819219e-01,  1.810594050564967e-01, -2.452449429310201e+00,  1.044367785323280e+00, -1.167175908658533e-01
sample_117  , -4.257186306718829e-01, -2.063819080429540e-01, -2.363222552164698e-01, -1.113949335836266e+00, -1.734157917825166e-01
sample_118  , -1.125220750087799e+00, -1.191303867726167e+00, -5.401675743653241e+00, -1.810826094205603e-01, -2.744555412540342e+00
sample_119  ,  8.960280603756311e-01,  1.328033605949854e+00,  2.074161541213146e+00,  5.182495349244441e-02,  2.742348864352521e+00
sample_120  , -5.950896234371852e-02, -1.801106690065019e-01,  1.483590846774591e-01, -9.267827482194945e-01, -1.398073060328772e-01
sample_121  ,  6.455886443141616e-01,  6.965435526122230e-01, -1.624122084765077e+01,  3.565247442311916e-01,  4.442277706456799e-02
sample_122  ,  2.309959202678488e-01,  3.914325159022391e-01, -6.440897253497448e+00,  1.169640394067354e+00, -3.059831656355350e-02
sample_123  , -1.273783569372800e+00, -9.887471801414655e-01,  2.084806228316501e+00, -5.570547514145128e+00, -4.244050898925012e-01
sample_124  , -3.086702031211962e-01, -7.305116416872827e-01, -7.863091573109686e+00, -1.166236553682777e+01,  8.776057781594528e-01
sample_125  , -1.285645341286180e-01,  1.079008416676152e-02, -3.777601547856469e-01, -2.357929892829673e+00,  5.594046093887337e-01
sample_126  , -4.456364241904676e-01, -1.403846176581342e-01, -9.202723633169633e-01,  2.424762454747861e-01, -4.359822808002785e-01
sample_127  , -1.312870168885039e+00, -1.186579100480937e+00, -9.736202648723052e-01,  1.284048179899025e+00, -2.773026672257637e+00
sample_128  , -6.146697731841976e-01, -1.065504709064541e+00,  5.751860194454409e-01, -1.066783113066925e+01,  5.957264503950399e-01
sample_129  , -4.185252396625063e-01, -1.403846176581342e-01, -9.202723633169633e-01,  2.424762454747861e-01, -4.359822808002785e-01
sample_130  ,  1.751196454240639e+00,  1.405193059122945e+00, -8.910610393210368e-01, -3.160434674406545e-01,  2.765772280471840e+00
sample_131  ,  7.693046916954252e-04, -1.496145574541250e-01,  5.509190369370943e-02, -3.061917324261497e-01, -2.428941937612656e-01
sample_132  , -2.067338228971204e-01, -6.547108773453868e-02, -2.271241436999693e-01, -3.937257661810657e-01, -7.543375105037646e-02
sample_133  ,  9.471170990792244e-01,  7.673309406766217e-01, -1.564304194596023e+01,  1.362871004427431e+00, -2.440636566528753e-02
sample_134  , -1.313071851118696e+00, -1.186579100480937e+00, -9.736202648723052e-01,  1.284048179899025e+00, -2.773026672257637e+00
sample_135  , -2.394582211541166e-01, -1.773336791150364e-01, -7.828936037175438e-01, -1.170666283132946e+00, -1.425538885775974e-01
sample_136  ,  2.108697536371759e-01,  3.914325159022391e-01, -6.440897253497448e+00,  1.169640394067354e+00, -3.059831656355350e-02
sample_137  , -1.257663719127268e+00, -9.345488891999337e-01, -1.231937532041104e+01, -9.867480603320436e+00, -3.123628539950210e-01
sample_138  , -1.016507740101917e-01,  4.516484125970107e-01, -4.373349296044605e+00,  3.753212673783429e-01,  4.436339580377043e-01
sample_139  , -4.959507111345874e-01, -3.781727530584245e-01, -2.515872532669522e-01, -2.108531641889686e+00, -2.637966051270312e-01
sample_140  , -2.622678216349354e-01,  2.127454578345493e-01, -1.612788670100328e+00,  1.272871775762228e+00, -4.874790665353057e-02
sample_141  , -3.959091098863545e-01, -2.409657734733264e-01, -1.307037131664843e-01, -1.015849474898430e+00, -2.586822918280081e-01
sample_142  , -1.178426148841893e+00, -1.171650150318330e+00, -1.959631574653323e+00,  1.096448830976003e+00, -2.770013840541520e+00
sample_143  , -6.927192343730731e-01, -1.173146130906907e+00, -1.199343739152473e+00,  1.501715245994833e+00, -2.818219147999375e+00
sample_144  , -1.262478821483432e-01, -4.415365300242259e-01,  3.935090319852626e+01,  1.397328075622559e+00,  1.692182895415432e+00
sample_145  , -1.813117814051993e-01,  1.079008416676152e-02, -3.777601547856469e-01, -2.357929892829673e+00,  5.594046093887337e-01
sample_146  ,  9.433555646240127e-01,  2.217209149245359e-01, -1.346936559133472e+00, -1.240290380031536e+00,  6.225111180297196e-01
sample_147  ,  1.449954621122858e+00,  7.673309406766217e-01, -1.564304194596023e+01,  1.362871004427431e+00, -2.440636566528753e-02
sample_148  , -1.188804051089209e+00, -9.887471801414655e-01,  2.084806228316501e+00, -5.570547514145128e+00, -4.244050898925012e-01
sample_149  ,  7.146747160802146e-01,  9.087744059897100e-01, -5.354581817551981e-01,  1.984111128611381e-01,  1.680267253684043e+00
sample_150  , -1.271944244135193e-01, -5.736954711917348e-01, -1.095153918886306e+00, -3.038328278361448e+00, -4.794958878253330e-01
sample_151  ,  1.312609452951772e+00,  9.521987806209544e-01,  4.424674666995400e-01,  8.702187434560613e-01,  1.670059334787735e+00
sample_152  ,  1.102249623792028e+00,  1.032061328923178e+00,  1.379791942032789e-01,  1.109005262542794e+00,  1.745111713893268e+00
sample_153  , -1.465419622943953e+00, -1.299691962025478e+00, -7.189769867275418e-01,  1.795566177062957e-01, -2.699362936798602e+00
