# c0 + a0 * (atomic_weight_std / atomic_weight_av) + a1 * (Tx_p_skew / lattice_param_b) + a2 * (metallic_radius_std + Tx_tDOS_at_EF) + a3 * (lattice_constant_av + en_cottrell_sutton_sum)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.361080395874065; Max AE: 1.27091003258637
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -4.727191150128965e-02,  5.439942301601556e-02, -2.100908455294051e-01,  5.816942042375101e-01,  7.877276402037109e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         264|184|div; (atomic_weight_std / atomic_weight_av); $\left(\frac{ atomic_{weight, std} }{ atomic_{weight, av} } \right)$; (atomic_weight_std ./ atomic_weight_av); atomic_weight_std,atomic_weight_av
# 1;  1; Unitless;                                         132|357|div; (Tx_p_skew / lattice_param_b); $\left(\frac{ Tx_{p, skew} }{ lattice_{param, b} } \right)$; (Tx_p_skew ./ lattice_param_b); Tx_p_skew,lattice_param_b
# 2;  1; Unitless;                                         288|270|add; (metallic_radius_std + Tx_tDOS_at_EF); $\left(metallic_{radius, std} + Tx_{tDOS, at, EF}\right)$; (metallic_radius_std + Tx_tDOS_at_EF); metallic_radius_std,Tx_tDOS_at_EF
# 3;  1; Unitless;                                         204|179|add; (lattice_constant_av + en_cottrell_sutton_sum); $\left(lattice_{constant, av} + en_{cottrell, sutton, sum}\right)$; (lattice_constant_av + en_cottrell_sutton_sum); lattice_constant_av,en_cottrell_sutton_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 191                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    , -1.181825419945348e+00, -1.146397765074278e+00,  4.388824634958756e-01,  1.524272849177413e+00,  6.848447944910145e+00,  2.603652203717269e-01
sample_1    ,  9.820173801588558e-01,  1.120487254555832e+00,  4.945844371569116e-01,  3.655300417303786e-02, -6.360720830691352e-01,  1.597872303731923e+00
sample_2    , -2.265898778388331e-01, -2.123500815680104e-01, -2.665529593079620e-01, -1.523724847519195e-01, -3.859834922242099e-01, -6.472918824634047e-01
sample_3    , -1.580056596568767e+00, -1.295601623265778e+00,  1.479551659018240e+00, -7.775520694792284e-01, -1.405346800651813e+00, -2.677326427735844e+00
sample_4    , -6.538388790589450e-01,  5.801095062011775e-03,  6.029390125642601e-01, -1.825850876116957e+00,  1.165784492239436e+00,  5.153503204160389e-01
sample_5    , -1.243329001943635e-01, -2.319756961810855e-02,  1.014250077575477e+00, -2.235986881965289e+00,  5.249774610281777e-01,  3.058386346201007e-01
sample_6    , -1.464725422431774e+00, -1.294227501526934e+00,  5.761568500539194e-01, -2.649791194420376e-01,  4.710364910284670e-01, -2.118620153095401e+00
sample_7    , -5.544795303232762e-01, -1.261066686301131e+00, -2.259135295030285e-01, -1.538277651239030e-01,  6.057764597340543e-02, -2.285434261646834e+00
sample_8    ,  1.375534745025239e+00,  1.120487254555832e+00,  4.945844371569116e-01,  3.655300417303786e-02, -6.360720830691352e-01,  1.597872303731923e+00
sample_9    , -1.322271680592587e+00, -1.051000882132135e+00,  1.567488193530295e+00, -2.283707476978437e-01, -2.167627512896927e+00, -2.576355294826925e+00
sample_10   ,  3.192860772233725e-01,  1.640226122889320e-01,  6.395515376061440e-01, -3.870752697058232e+00, -9.060658676096626e-01,  2.332724653133962e-01
sample_11   ,  1.159555402280817e+00,  7.348009316522568e-01,  1.597647305111427e+00,  2.697784410403152e-01,  1.980012406813191e+00,  1.947515877875543e+00
