# FEAT_ID     Feature Postfix Expression (RPN)
0             63|55|add
1             115|28|add
2             63|13|sub
3             110|63|add
4             143|63|sub
5             126|63|sub
6             63|20|sub
7             63|30|add
8             103|63|sub
9             115|77|sub
10            63|8|add
11            117|63|sub
12            91|63|add
13            80|63|add
14            82|63|add
15            63|12|add
16            63
17            99|63|add
18            115|63|add
19            77|63|sub
#-----------------------------------------------------------------------
20            72|140|div
21            77|117|div
22            20|11|div
23            78|40|mult
24            27|12|div
25            40|34|mult
26            141|80|div
27            37|140|div
28            64|12|div
29            141|82|div
30            87|12|div
31            71|40|mult
32            65|12|div
33            20|12|div
34            6|12|div
35            112|140|div
36            50|40|mult
37            64|40|mult
38            40|20|mult
39            77|12|div
#-----------------------------------------------------------------------
40            40|27|mult
41            61|80|div
42            103|80|div
43            4|18|div
44            82|37|div
45            91|37|div
46            80|37|div
47            42|37|div
48            115|37|div
49            95|18|div
50            63|37|div
51            39|18|div
52            135|80|div
53            31|37|div
54            53|18|div
55            37|inv
56            123|18|div
57            132|37|div
58            5|18|div
59            17|37|div
#-----------------------------------------------------------------------
60            134|37|div
61            22|37|div
62            139|36|div
63            106|36|div
64            35|36|div
65            23|36|div
66            73|5|mult
67            33|37|div
68            44|18|div
69            113|37|div
70            57|18|div
71            77|37|div
72            8|18|div
73            110|37|div
74            30|18|div
75            60|37|div
76            25|37|div
77            32|18|div
78            70|37|div
79            54|18|div
#-----------------------------------------------------------------------
80            139|inv
81            55|35|div
82            85|139|div
83            72|139|div
84            141|143|div
85            29|74|div
86            33|11|add
87            76|139|div
88            126|83|sub
89            114|33|add
90            46|74|div
91            131|74|div
92            126|74|div
93            113|36|div
94            137|36|div
95            103|118|div
96            11|74|div
97            12|74|div
98            114|118|div
99            37|36|div
#-----------------------------------------------------------------------
