# c0 + a0 * (surf_tot_center - Tx_s_fill)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.598761667789404; Max AE: 2.03614900822754
# Coefficients
# Task   a0                      c0
# all , -4.202090744501022e-01, -1.370671159637473e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         77|63|sub; (surf_tot_center - Tx_s_fill); $\left(surf_{tot, center} - Tx_{s, fill}\right)$; (surf_tot_center - Tx_s_fill); surf_tot_center,Tx_s_fill
# Number of Samples Per Task
# Task, n_samples               
# all , 191                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    , -1.181825419945348e+00, -5.513465111820208e-01,  1.312076641618291e+00
sample_1    ,  9.820173801588558e-01,  6.288563498897392e-01, -1.496532055412366e+00
sample_2    , -2.265898778388331e-01, -3.964866249777997e-01,  9.435460799999464e-01
sample_3    , -1.580056596568767e+00, -1.073366444681373e+00,  2.554362839703096e+00
sample_4    , -6.538388790589450e-01,  7.494127418216865e-01, -1.783428267945879e+00
sample_5    , -1.243329001943635e-01, -1.345583351961612e-01,  3.202175854299386e-01
sample_6    , -1.464725422431774e+00, -1.275036078339705e+00,  3.034289728293597e+00
sample_7    , -5.544795303232762e-01, -1.230610766038589e+00,  2.928567803179885e+00
sample_8    ,  1.375534745025239e+00,  6.288563498897392e-01, -1.496532055412366e+00
sample_9    , -1.322271680592587e+00, -1.280452413628582e+00,  3.047179348290418e+00
sample_10   ,  3.192860772233725e-01,  7.591337352136789e-01, -1.806561974434044e+00
sample_11   ,  1.159555402280817e+00,  5.476129122810853e-01, -1.303191543394696e+00
sample_12   ,  1.180415291424685e-01, -6.055195801267980e-02,  1.440995963543141e-01
sample_13   ,  1.859810708562005e-01, -4.385660798078868e-01,  1.043685409178293e+00
sample_14   ,  4.735603295186470e-02, -6.055195801267980e-02,  1.440995963543141e-01
sample_15   , -1.512819293106766e+00, -1.863968000001984e-01,  4.435810917318301e-01
sample_16   , -4.904647979091847e-01, -2.767931745206442e-01,  6.587034677508182e-01
sample_17   ,  8.217680552511124e-02,  1.059031150935403e+00, -2.520248170083623e+00
sample_18   ,  1.184682610579223e+00,  4.234267239426021e-01, -1.007657258465231e+00
sample_19   , -1.570848599014777e+00, -9.864224655729801e-01,  2.347456362916105e+00
sample_20   , -1.371480668945601e+00, -9.864224655729801e-01,  2.347456362916105e+00
sample_21   , -1.540845998544176e+00, -9.863548501754718e-01,  2.347295453974296e+00
sample_22   , -4.503452829583460e-01, -1.847817365708734e-01,  4.397376158824842e-01
sample_23   , -1.604395816727296e-01,  1.000882226471343e+00, -2.381867235449703e+00
sample_24   ,  4.029752984309805e-01,  8.366420488979321e-01, -1.991013759026471e+00
sample_25   ,  1.159859402839996e+00,  4.234267239426021e-01, -1.007657258465231e+00
sample_26   , -4.882595012842761e-01,  4.317665942968711e-01, -1.027504212901384e+00
sample_27   , -6.292389468500847e-01, -2.767931745206442e-01,  6.587034677508182e-01
sample_28   ,  9.390649292973059e-01,  1.155697240134214e+00, -2.750291010841671e+00
sample_29   , -1.840501760547247e-01,  2.431675136801688e-01, -5.786822048009911e-01
sample_30   , -7.494366413350256e-03, -1.646141235669669e-02,  3.917433810357007e-02
sample_31   , -1.033760245705074e+00, -1.422102822549040e+00,  3.384274421988733e+00
sample_32   , -1.276224306766404e+00, -5.513465111820208e-01,  1.312076641618291e+00
sample_33   , -1.176387515954566e+00, -1.247084623388869e+00,  2.967771757477726e+00
sample_34   ,  3.616514535288465e-02,  7.523870392986305e-01, -1.790506405134697e+00
sample_35   , -6.865864347172117e-01, -5.005558161435300e-01,  1.191206584004811e+00
sample_36   , -5.779541781958595e-01, -1.422102822549040e+00,  3.384274421988733e+00
sample_37   ,  8.850240829451580e-01,  5.040587068892438e-01, -1.199542650402945e+00
sample_38   ,  7.291833242535585e-01,  5.894121550848966e-01, -1.402664033032172e+00
sample_39   ,  1.295296019257506e+00,  1.249631897604064e+00, -2.973833678483428e+00
sample_40   , -1.125378376788511e+00, -1.150610390576349e+00,  2.738185490358747e+00
sample_41   ,  1.133851112289021e-01, -6.055195801267980e-02,  1.440995963543141e-01
sample_42   ,  6.270615110754807e-01,  4.638406795116297e-01, -1.103833086228862e+00
sample_43   ,  8.981057808172022e-02,  1.059031150935403e+00, -2.520248170083623e+00
sample_44   , -1.516772662271726e-01,  2.431675136801688e-01, -5.786822048009911e-01
sample_45   , -1.009473785557556e+00, -1.264212002954062e+00,  3.008530942860875e+00
sample_46   ,  2.198710725245677e-01, -4.385660798078868e-01,  1.043685409178293e+00
sample_47   , -3.190705676073038e-01, -3.019376773812014e-01,  7.185415445307212e-01
