# c0 + a0 * (surf_tot_center / Tx_s_var) + a1 * (Tx_charge_min + Tx_s_fill)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.492656727455147; Max AE: 1.53147069131471
# Coefficients
# Task   a0                      a1                      c0
# all , -2.511876177659358e-01,  4.202739458623329e-01, -2.035577240028081e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         77|12|div; (surf_tot_center / Tx_s_var); $\left(\frac{ surf_{tot, center} }{ Tx_{s, var} } \right)$; (surf_tot_center ./ Tx_s_var); surf_tot_center,Tx_s_var
# 1;  1; Unitless;                                         110|63|add; (Tx_charge_min + Tx_s_fill); $\left(Tx_{charge, min} + Tx_{s, fill}\right)$; (Tx_charge_min + Tx_s_fill); Tx_charge_min,Tx_s_fill
# Number of Samples Per Task
# Task, n_samples               
# all , 191                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    , -1.181825419945348e+00, -1.500792868884383e+00,  5.365845091920304e+00,  1.203945701537740e-01
sample_1    ,  9.820173801588558e-01,  6.204313835583283e-01, -3.810594003841792e-01,  1.732849993965305e+00
sample_2    , -2.265898778388331e-01, -3.928606544315874e-01, -1.165118466547103e+00, -1.146790723528986e+00
sample_3    , -1.580056596568767e+00, -1.257708077409330e+00, -8.487040455244612e-01, -3.015495757629616e+00
sample_4    , -6.538388790589450e-01,  4.656475053696195e-01,  9.012704230219907e-01,  2.130974828945461e+00
sample_5    , -1.243329001943635e-01, -9.581285675255248e-02, -3.966636969502633e-01,  1.929184104537784e-02
sample_6    , -1.464725422431774e+00, -1.148076577948362e+00, -1.285156687720884e+00, -3.015495757629616e+00
sample_7    , -5.544795303232762e-01, -1.172227033885841e+00, -1.189011598435538e+00, -3.015495757629616e+00
sample_8    ,  1.375534745025239e+00,  6.204313835583283e-01, -3.810594003841792e-01,  1.732849993965305e+00
sample_9    , -1.322271680592587e+00, -1.145132153700986e+00, -1.296878699631995e+00, -3.015495757629616e+00
sample_10   ,  3.192860772233725e-01,  4.695738353500373e-01,  8.934143720138091e-01,  2.135621767595483e+00
sample_11   ,  1.159555402280817e+00,  5.672555571676139e-01, -2.615799875490265e-01,  1.677733378870237e+00
sample_12   ,  1.180415291424685e-01, -1.469084736117548e-01, -8.360627255638263e-01, -3.649033099864221e-01
sample_13   ,  1.859810708562005e-01, -2.608942722507407e-01, -1.544005640777241e+00, -1.059241600281731e+00
sample_14   ,  4.735603295186470e-02, -1.469084736117548e-01, -8.360627255638263e-01, -3.649033099864221e-01
sample_15   , -1.512819293106766e+00, -5.921763544841731e-01, -3.801105876063746e-01, -1.151862275156105e+00
sample_16   , -4.904647979091847e-01, -4.221399280540419e-01, -8.554192281651579e-01, -1.031358061646771e+00
sample_17   ,  8.217680552511124e-02,  9.200400361505723e-01, -1.100649356819976e+00,  2.015657355299514e+00
sample_18   ,  1.184682610579223e+00,  5.298253112857561e-01, -8.269799519382592e-02,  1.695585295966062e+00
sample_19   , -1.570848599014777e+00, -1.304972500048709e+00, -6.605402217669473e-01, -3.015495757629616e+00
sample_20   , -1.371480668945601e+00, -1.304972500048709e+00, -6.605402217669473e-01, -3.015495757629616e+00
sample_21   , -1.540845998544176e+00, -1.305009257081888e+00, -6.603938887848302e-01, -3.015495757629616e+00
sample_22   , -4.503452829583460e-01, -1.447379659452961e-01, -1.701684010958389e-01,  3.825020067381424e-02
sample_23   , -1.604395816727296e-01,  3.092521214624630e-01,  1.523288566975266e+00,  2.130612855233214e+00
sample_24   ,  4.029752984309805e-01,  1.392985388478503e+00, -3.856276820491905e+00,  1.494011538611123e+00
sample_25   ,  1.159859402839996e+00,  5.298253112857561e-01, -8.269799519382592e-02,  1.695585295966062e+00
sample_26   , -4.882595012842761e-01,  6.269256319486796e-01, -1.295246261176997e+00,  1.201914937053145e+00
sample_27   , -6.292389468500847e-01, -4.221399280540419e-01, -8.554192281651579e-01, -1.031358061646771e+00
sample_28   ,  9.390649292973059e-01,  1.226856484825725e+00, -3.301090065511786e+00,  1.430546112032293e+00
sample_29   , -1.840501760547247e-01,  2.673168520368586e-01,  1.906237437850358e-04,  1.120513091520585e+00
sample_30   , -7.494366413350256e-03,  2.073635922926332e-02, -8.511959383641305e-01,  2.494611746829378e-02
sample_31   , -1.033760245705074e+00, -1.068128261506096e+00, -1.603437967480318e+00, -3.015495757629616e+00
sample_32   , -1.276224306766404e+00, -1.500792868884383e+00,  5.365845091920304e+00,  1.203945701537740e-01
sample_33   , -1.176387515954566e+00, -1.163271527543835e+00, -1.224664256881271e+00, -3.015495757629616e+00
sample_34   ,  3.616514535288465e-02,  4.769688433078667e-01,  8.629385933374497e-01,  2.135002813482319e+00
sample_35   , -6.865864347172117e-01, -2.757035309381953e-01, -1.586469128946881e+00, -1.119858160917073e+00
sample_36   , -5.779541781958595e-01, -1.068128261506096e+00, -1.603437967480318e+00, -3.015495757629616e+00
sample_37   ,  8.850240829451580e-01,  5.579855967179853e-01, -2.013700423864158e-01,  1.691662465598594e+00
sample_38   ,  7.291833242535585e-01,  9.212504886853836e-01, -2.107895546746851e+00,  1.416530712080913e+00
sample_39   ,  1.295296019257506e+00,  9.619380912057626e-01, -1.255413509008166e+00,  2.022850797532225e+00
sample_40   , -1.125378376788511e+00, -1.215716779765109e+00, -1.015875094868740e+00, -3.015495757629616e+00
sample_41   ,  1.133851112289021e-01, -1.469084736117548e-01, -8.360627255638263e-01, -3.649033099864221e-01
sample_42   ,  6.270615110754807e-01,  5.357661205888989e-01, -1.399794340741475e-01,  1.675485123317773e+00
sample_43   ,  8.981057808172022e-02,  9.200400361505723e-01, -1.100649356819976e+00,  2.015657355299514e+00
sample_44   , -1.516772662271726e-01,  2.673168520368586e-01,  1.906237437850358e-04,  1.120513091520585e+00
sample_45   , -1.009473785557556e+00, -1.153960753931034e+00, -1.261731265580231e+00, -3.015495757629616e+00
sample_46   ,  2.198710725245677e-01, -2.608942722507407e-01, -1.544005640777241e+00, -1.059241600281731e+00
sample_47   , -3.190705676073038e-01, -4.008794169675386e-01, -8.992224055252210e-01, -1.006950897186925e+00
sample_48   ,  7.406397181312827e-01,  3.621221659776807e-01,  1.613054511371347e+00,  2.310062804455818e+00
sample_49   ,  2.377397508246557e+00,  1.452561745299477e+00, -4.113868276100304e+00,  1.481811336051247e+00
sample_50   ,  7.217347674185606e-01,  2.123999022264191e-01, -1.479746786502663e+00,  1.053207234628898e-01
sample_51   ,  1.833747993630055e-01, -2.608942722507407e-01, -1.544005640777241e+00, -1.059241600281731e+00
sample_52   ,  1.163396488687538e+00,  5.672555571676139e-01, -2.615799875490265e-01,  1.677733378870237e+00
sample_53   ,  5.877481602536888e-01,  4.523287912076854e-01, -6.632259285700834e-01,  1.164222476766734e+00
sample_54   ,  6.975449340049772e-01,  8.321238020660009e-01, -6.014174297522162e-01,  2.104848333606210e+00
sample_55   ,  1.094083839394089e+00,  6.004472910744241e-01,  3.280903696682014e-01,  2.109141578185036e+00
sample_56   ,  8.189522525504062e-01,  6.938012296137966e-01, -2.867247580129528e-01,  1.963807780192895e+00
sample_57   , -2.183617466012437e-01, -2.463661873963386e-01, -1.570650979401134e+00, -1.040598746500197e+00
sample_58   ,  1.763197294482562e-02,  4.260333044433607e-01, -5.945476552874286e-01,  1.142702334975362e+00
sample_59   ,  1.375372773594956e+00,  1.048467758375174e+00, -1.167868705005270e+00,  2.281062944640273e+00
sample_60   ,  9.387809664761781e-03,  2.073635922926332e-02, -8.511959383641305e-01,  2.494611746829378e-02
sample_61   , -1.568914413366311e+00, -1.304972500048709e+00, -6.605402217669473e-01, -3.015495757629616e+00
sample_62   ,  2.195632848632222e+00,  1.085604527460136e+00, -1.917098340531842e+00,  1.921629675674132e+00
sample_63   , -2.084290051031134e-01, -2.757035309381953e-01, -1.586469128946881e+00, -1.119858160917073e+00
sample_64   ,  1.216296062100502e+00,  9.597121078596953e-01, -1.266300156301844e+00,  2.011047604890707e+00
sample_65   , -6.952294439596317e-01, -2.757035309381953e-01, -1.586469128946881e+00, -1.119858160917073e+00
sample_66   , -1.577237781016708e+00, -1.257708077409330e+00, -8.487040455244612e-01, -3.015495757629616e+00
sample_67   ,  1.322307579187809e+00,  9.032824339658412e-01, -1.052644216582695e+00,  2.004475826170064e+00
sample_68   ,  1.105398899289431e+00,  6.938012296137966e-01, -2.867247580129528e-01,  1.963807780192895e+00
sample_69   ,  5.882307291037275e-01,  4.523287912076854e-01, -6.632259285700834e-01,  1.164222476766734e+00
sample_70   ,  1.403060937884271e+00,  9.579811260736874e-01, -1.295873003441324e+00,  1.989253927457915e+00
sample_71   ,  4.179482560341836e-02, -1.469084736117548e-01, -8.360627255638263e-01, -3.649033099864221e-01
sample_72   ,  1.044938442808791e-01,  3.092521214624630e-01,  1.523288566975266e+00,  2.130612855233214e+00
sample_73   , -1.371996605296394e+00, -1.304972500048709e+00, -6.605402217669473e-01, -3.015495757629616e+00
sample_74   , -5.824386467881182e-02,  4.260333044433607e-01, -5.945476552874286e-01,  1.142702334975362e+00
sample_75   ,  1.316921203657170e+00,  9.032824339658412e-01, -1.052644216582695e+00,  2.004475826170064e+00
sample_76   , -1.913439302648285e-01, -3.914405845035120e-01, -7.467483302068824e-01, -8.933620519008993e-01
sample_77   ,  2.615566878383235e-01,  1.748174585785879e-01, -1.361641024827831e+00,  8.648601147031787e-02
sample_78   ,  2.722099154462537e-01,  5.846330743763491e-01, -3.394944092768450e-01,  1.672513876694853e+00
sample_79   , -1.125194942406280e+00, -1.145132153700986e+00, -1.296878699631995e+00, -3.015495757629616e+00
sample_80   ,  1.144683531465042e+00,  1.157404031649214e+00, -3.080087092675618e+00,  1.397379071705768e+00
sample_81   , -8.996696257742992e-01, -1.153960753931034e+00, -1.261731265580231e+00, -3.015495757629616e+00
sample_82   ,  1.206876606666530e+00,  6.206097456744097e-01, -4.104728079455918e-01,  1.715694703396781e+00
sample_83   , -1.124856879182589e+00, -1.215716779765109e+00, -1.015875094868740e+00, -3.015495757629616e+00
sample_84   , -7.863443687304406e-01, -1.145132153700986e+00, -1.296878699631995e+00, -3.015495757629616e+00
sample_85   , -7.844604950229476e-01, -1.188241180147432e+00, -1.125257873614146e+00, -3.015495757629616e+00
sample_86   , -1.426333690148897e-01,  6.269256319486796e-01, -1.295246261176997e+00,  1.201914937053145e+00
sample_87   , -3.103507001489021e-01, -4.008794169675386e-01, -8.992224055252210e-01, -1.006950897186925e+00
sample_88   , -2.034396072984968e-01,  9.869415131525686e-01, -1.371210530393463e+00,  2.013134858584405e+00
sample_89   ,  2.408535342476809e+00,  1.396679469581831e+00, -3.836232195902300e+00,  1.514781426178370e+00
sample_90   ,  3.248944683080119e-01,  9.694207732569927e-01, -1.262039621061160e+00,  2.036694826663392e+00
sample_91   ,  6.564721269977320e-04, -2.463661873963386e-01, -1.570650979401134e+00, -1.040598746500197e+00
sample_92   ,  2.513366875112233e+00,  1.623319611474183e+00, -4.719956694710634e+00,  1.525868219259799e+00
sample_93   ,  1.280502599190328e-01, -3.901028543045353e-01, -9.968681970840332e-01, -1.039669677970038e+00
sample_94   ,  2.276116921145048e+00,  1.385991267547955e+00, -3.102273940905249e+00,  1.928019090060026e+00
sample_95   ,  8.208228313924362e-01,  9.619380912057626e-01, -1.255413509008166e+00,  2.022850797532225e+00
sample_96   , -5.603622190312795e-02,  4.260333044433607e-01, -5.945476552874286e-01,  1.142702334975362e+00
sample_97   ,  3.704961165717614e-01,  4.354166294524590e-01, -5.690999566498345e-01,  1.180238499095963e+00
sample_98   , -1.208327995079399e+00, -1.231643574579164e+00, -9.524691238431449e-01, -3.015495757629616e+00
sample_99   ,  1.400692844342275e+00,  8.985042301475948e-01, -1.074211571781670e+00,  1.980216277148368e+00
sample_100  ,  9.547910169160603e-01,  9.212504886853836e-01, -2.107895546746851e+00,  1.416530712080913e+00
sample_101  ,  1.203403822784711e+00,  3.621221659776807e-01,  1.613054511371347e+00,  2.310062804455818e+00
sample_102  ,  1.071668001536855e+00,  1.946301537472749e+00, -5.955725241217434e+00,  1.555782442625831e+00
sample_103  , -1.234324800530492e+00, -5.921763544841731e-01, -3.801105876063746e-01, -1.151862275156105e+00
sample_104  ,  3.751776904570919e-01,  1.147253725396160e+00, -2.888615174108380e+00,  1.487665584144855e+00
sample_105  ,  6.887741463409074e-01,  4.431833630814676e-01,  9.565153348529229e-01,  2.110542193098785e+00
sample_106  , -1.258232313573642e+00, -7.373500787163743e-01,  2.528059923953939e+00,  2.408547951890276e-01
sample_107  , -1.024277748285577e+00, -1.236312525616128e+00, -9.338816190987256e-01, -3.015495757629616e+00
sample_108  , -1.536587774880273e+00, -1.236312525616128e+00, -9.338816190987256e-01, -3.015495757629616e+00
sample_109  ,  7.272814633777750e-01,  9.212504886853836e-01, -2.107895546746851e+00,  1.416530712080913e+00
sample_110  , -1.493732732793762e+00, -1.164768662591585e+00, -1.218704030572882e+00, -3.015495757629616e+00
sample_111  ,  1.157664490109502e+00,  1.157404031649214e+00, -3.080087092675618e+00,  1.397379071705768e+00
sample_112  , -8.886803335150877e-01,  6.427903577996252e-01, -8.531672827693688e-01,  1.503883432961591e+00
sample_113  , -1.323029270669934e+00, -1.145132153700986e+00, -1.296878699631995e+00, -3.015495757629616e+00
sample_114  , -1.147928785840820e-01, -9.581285675255248e-02, -3.966636969502633e-01,  1.929184104537784e-02
sample_115  , -4.227680395476078e-01, -3.928606544315874e-01, -1.165118466547103e+00, -1.146790723528986e+00
sample_116  ,  1.435630648819219e-01,  6.110590922511572e-01,  3.462652185052348e-01,  2.145253971800639e+00
sample_117  , -4.257186306718829e-01, -4.221399280540419e-01, -8.554192281651579e-01, -1.031358061646771e+00
sample_118  , -1.125220750087799e+00, -1.215716779765109e+00, -1.015875094868740e+00, -3.015495757629616e+00
sample_119  ,  8.960280603756311e-01,  1.157404031649214e+00, -3.080087092675618e+00,  1.397379071705768e+00
sample_120  , -5.950896234371852e-02, -4.008794169675386e-01, -8.992224055252210e-01, -1.006950897186925e+00
sample_121  ,  6.455886443141616e-01,  3.621221659776807e-01,  1.613054511371347e+00,  2.310062804455818e+00
sample_122  ,  2.309959202678488e-01,  4.203991242540960e-01,  1.079872443493410e+00,  2.130056939390511e+00
