# c0 + a0 * (M_tot_fill / Tx_p_var) + a1 * (M_sp_center * Tx_tDOS_at_EF) + a2 * (Tx_s_fill + Tx_s_var)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.440758604573814; Max AE: 1.91580737486633
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  4.901856808153805e-02, -3.018881403865818e-01,  4.194308296114775e-01,  6.672855216156945e-04, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         112|140|div; (M_tot_fill / Tx_p_var); $\left(\frac{ M_{tot, fill} }{ Tx_{p, var} } \right)$; (M_tot_fill ./ Tx_p_var); M_tot_fill,Tx_p_var
# 1;  1; Unitless;                                         71|40|mult; (M_sp_center * Tx_tDOS_at_EF); $\left(M_{sp, center} Tx_{tDOS, at, EF}\right)$; (M_sp_center .* Tx_tDOS_at_EF); M_sp_center,Tx_tDOS_at_EF
# 2;  1; Unitless;                                         63|12|add; (Tx_s_fill + Tx_s_var); $\left(Tx_{s, fill} + Tx_{s, var}\right)$; (Tx_s_fill + Tx_s_var); Tx_s_fill,Tx_s_var
# Number of Samples Per Task
# Task, n_samples               
# all , 191                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    , -1.181825419945348e+00, -1.425038679591951e+00, -2.349094135150709e+00,  3.792599154585447e+00, -3.948589770180420e-01
sample_1    ,  9.820173801588558e-01,  9.374989598933958e-01, -1.810216269384353e+00,  2.302845055413536e-01,  2.610885914054089e+00
sample_2    , -2.265898778388331e-01, -2.441806196579426e-01, -1.252225627310285e+00, -5.588843885233491e-01, -8.396763945140640e-01
sample_3    , -1.580056596568767e+00, -1.612065855706071e+00,  1.074789565827118e+00,  1.736603895077741e+00, -2.720729106435644e+00
sample_4    , -6.538388790589450e-01,  3.601943453730618e-02,  4.912520019023877e-01,  3.741221696936652e-01,  2.961506799977518e-01
sample_5    , -1.243329001943635e-01, -2.882635272304207e-02, -1.574293306097637e+00, -1.578842208197389e-01,  3.002054225509365e-05
sample_6    , -1.464725422431774e+00, -1.013429768943549e+00, -4.925213742682035e-01, -5.008587091821080e-01, -2.720729106435644e+00
sample_7    , -5.544795303232762e-01, -9.362493452408175e-01, -1.278309764241031e+00, -8.841087608275255e-01, -2.720729106435644e+00
sample_8    ,  1.375534745025239e+00,  9.374989598933958e-01, -1.810216269384353e+00,  2.302845055413536e-01,  2.610885914054089e+00
sample_9    , -1.322271680592587e+00, -1.004752173805107e+00,  3.462791729507411e-01, -3.934043171324516e-01, -2.720729106435644e+00
sample_10   ,  3.192860772233725e-01,  9.885132365965324e-02,  5.089224081012750e-02, -1.010425861574790e-02,  2.208684030436756e-01
sample_11   ,  1.159555402280817e+00,  1.147532626208089e+00,  2.773039216863555e-04,  1.233401014078271e-02,  2.743182326621071e+00
sample_12   ,  1.180415291424685e-01, -2.865949362332894e-01,  1.344565628657518e+00,  7.904704874074728e-01, -2.730777758886479e-01
sample_13   ,  1.859810708562005e-01, -1.240150742198337e-01,  5.302582805665307e-01, -5.197004220362306e-01, -7.332943446711819e-01
sample_14   ,  4.735603295186470e-02, -2.865949362332894e-01,  1.344565628657518e+00,  7.904704874074728e-01, -2.730777758886479e-01
sample_15   , -1.512819293106766e+00, -3.450561232575683e-01, -1.232536992160107e+00, -1.865633377276303e-01, -8.145025241070865e-01
sample_16   , -4.904647979091847e-01, -3.622626871685996e-01, -3.715043153551986e-01,  1.082637992137982e-01, -7.439505731817400e-01
sample_17   ,  8.217680552511124e-02,  8.754457532457079e-01, -6.861490854510824e-01,  2.937637483413728e-01,  2.377260407888350e+00
sample_18   ,  1.184682610579223e+00,  1.316996924104634e+00,  1.072515370090749e+00, -3.660563783849697e-01,  2.749555612344250e+00
sample_19   , -1.570848599014777e+00, -1.597077800359533e+00,  9.428233499555007e-01,  1.665528395867248e+00, -2.720729106435644e+00
sample_20   , -1.371480668945601e+00, -1.597077800359533e+00,  9.428233499555007e-01,  1.665528395867248e+00, -2.720729106435644e+00
sample_21   , -1.540845998544176e+00, -1.120527336128685e+00,  4.469064758628704e-01,  6.438381118847155e-03, -2.720729106435644e+00
sample_22   , -4.503452829583460e-01, -4.398341420387450e-02,  1.076322680939407e+00,  3.194096898700149e-01, -2.347226224215349e-03
sample_23   , -1.604395816727296e-01, -6.121967361131480e-02, -3.352997493103883e-01,  3.690245830561225e-01,  1.572442818597833e-01
sample_24   ,  4.029752984309805e-01,  6.652507207817697e-01, -4.302303598014498e+00, -1.395105536049281e+00,  1.083159246035306e+00
