# c0 + a0 * (site_p_var / M_d_fill) + a1 * (M_tot_fill / Tx_p_var) + a2 * (M_sp_center * Tx_tDOS_at_EF) + a3 * (Tx_s_fill + Tx_s_var)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.395860578816544; Max AE: 1.27198189720203
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.262933347932590e-02,  4.833992446113326e-02, -2.806486714781085e-01,  4.111495541211790e-01, -4.071876859901287e-03, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         31|37|div; (site_p_var / M_d_fill); $\left(\frac{ site_{p, var} }{ M_{d, fill} } \right)$; (site_p_var ./ M_d_fill); site_p_var,M_d_fill
# 1;  1; Unitless;                                         112|140|div; (M_tot_fill / Tx_p_var); $\left(\frac{ M_{tot, fill} }{ Tx_{p, var} } \right)$; (M_tot_fill ./ Tx_p_var); M_tot_fill,Tx_p_var
# 2;  1; Unitless;                                         71|40|mult; (M_sp_center * Tx_tDOS_at_EF); $\left(M_{sp, center} Tx_{tDOS, at, EF}\right)$; (M_sp_center .* Tx_tDOS_at_EF); M_sp_center,Tx_tDOS_at_EF
# 3;  1; Unitless;                                         63|12|add; (Tx_s_fill + Tx_s_var); $\left(Tx_{s, fill} + Tx_{s, var}\right)$; (Tx_s_fill + Tx_s_var); Tx_s_fill,Tx_s_var
# Number of Samples Per Task
# Task, n_samples               
# all , 191                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    , -1.181825419945348e+00, -1.341779589227263e+00, -2.043914041272253e-01, -2.349094135150709e+00,  3.792599154585447e+00, -3.948589770180420e-01
sample_1    ,  9.820173801588558e-01,  9.094268850452966e-01,  6.200690851737439e-01, -1.810216269384353e+00,  2.302845055413536e-01,  2.610885914054089e+00
sample_2    , -2.265898778388331e-01, -2.675086345295529e-01,  1.149850971893783e+00, -1.252225627310285e+00, -5.588843885233491e-01, -8.396763945140640e-01
sample_3    , -1.580056596568767e+00, -1.565491451620695e+00,  5.837747624413394e-01,  1.074789565827118e+00,  1.736603895077741e+00, -2.720729106435644e+00
sample_4    , -6.538388790589450e-01,  4.109030880422918e-02, -3.681723085129699e-01,  4.912520019023877e-01,  3.741221696936652e-01,  2.961506799977518e-01
sample_5    , -1.243329001943635e-01, -2.107309236469567e-01,  1.384714144494512e+01, -1.574293306097637e+00, -1.578842208197389e-01,  3.002054225509365e-05
sample_6    , -1.464725422431774e+00, -8.618336242555009e-01, -1.141057257956266e+01, -4.925213742682035e-01, -5.008587091821080e-01, -2.720729106435644e+00
sample_7    , -5.544795303232762e-01, -9.514128159516001e-01,  1.191268870036541e+00, -1.278309764241031e+00, -8.841087608275255e-01, -2.720729106435644e+00
sample_8    ,  1.375534745025239e+00,  9.108961493794410e-01,  5.037316445202412e-01, -1.810216269384353e+00,  2.302845055413536e-01,  2.610885914054089e+00
sample_9    , -1.322271680592587e+00, -1.044194420106773e+00,  3.851627827458143e+00,  3.462791729507411e-01, -3.934043171324516e-01, -2.720729106435644e+00
