# c0 + a0 * (M_charge_min / surf_tDOS_at_EF) + a1 * (site_p_var / M_d_fill) + a2 * (M_tot_fill / Tx_p_var) + a3 * (M_sp_center * Tx_tDOS_at_EF) + a4 * (Tx_s_fill + Tx_s_var)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.35751504682125; Max AE: 1.18469610186532
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.315481808422809e-02, -1.306797707019037e-02,  4.821694597575393e-02, -2.682947756962841e-01,  4.099234853164287e-01, -3.010658824063449e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         139|36|div; (M_charge_min / surf_tDOS_at_EF); $\left(\frac{ M_{charge, min} }{ surf_{tDOS, at, EF} } \right)$; (M_charge_min ./ surf_tDOS_at_EF); M_charge_min,surf_tDOS_at_EF
# 1;  1; Unitless;                                         31|37|div; (site_p_var / M_d_fill); $\left(\frac{ site_{p, var} }{ M_{d, fill} } \right)$; (site_p_var ./ M_d_fill); site_p_var,M_d_fill
# 2;  1; Unitless;                                         112|140|div; (M_tot_fill / Tx_p_var); $\left(\frac{ M_{tot, fill} }{ Tx_{p, var} } \right)$; (M_tot_fill ./ Tx_p_var); M_tot_fill,Tx_p_var
# 3;  1; Unitless;                                         71|40|mult; (M_sp_center * Tx_tDOS_at_EF); $\left(M_{sp, center} Tx_{tDOS, at, EF}\right)$; (M_sp_center .* Tx_tDOS_at_EF); M_sp_center,Tx_tDOS_at_EF
# 4;  1; Unitless;                                         63|12|add; (Tx_s_fill + Tx_s_var); $\left(Tx_{s, fill} + Tx_{s, var}\right)$; (Tx_s_fill + Tx_s_var); Tx_s_fill,Tx_s_var
# Number of Samples Per Task
# Task, n_samples               
# all , 191                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    , -1.181825419945348e+00, -1.331014995453200e+00, -8.298660434138464e-01, -2.043914041272253e-01, -2.349094135150709e+00,  3.792599154585447e+00, -3.948589770180420e-01
sample_1    ,  9.820173801588558e-01,  8.959712031508987e-01,  9.870616278112386e-01,  6.200690851737439e-01, -1.810216269384353e+00,  2.302845055413536e-01,  2.610885914054089e+00
sample_2    , -2.265898778388331e-01, -2.717593727272321e-01,  2.129200830334053e+00,  1.149850971893783e+00, -1.252225627310285e+00, -5.588843885233491e-01, -8.396763945140640e-01
sample_3    , -1.580056596568767e+00, -1.571674286946689e+00, -3.458431338881031e-01,  5.837747624413394e-01,  1.074789565827118e+00,  1.736603895077741e+00, -2.720729106435644e+00
sample_4    , -6.538388790589450e-01,  3.473877763750709e-02,  1.164845605294894e+00, -3.681723085129699e-01,  4.912520019023877e-01,  3.741221696936652e-01,  2.961506799977518e-01
sample_5    , -1.243329001943635e-01, -2.696303270769823e-01, -1.903014867393890e+00,  1.384714144494512e+01, -1.574293306097637e+00, -1.578842208197389e-01,  3.002054225509365e-05
sample_6    , -1.464725422431774e+00, -8.808410803056166e-01,  3.658938077389932e-01, -1.141057257956266e+01, -4.925213742682035e-01, -5.008587091821080e-01, -2.720729106435644e+00
sample_7    , -5.544795303232762e-01, -8.794419684494964e-01,  8.054636899429577e+00,  1.191268870036541e+00, -1.278309764241031e+00, -8.841087608275255e-01, -2.720729106435644e+00
sample_8    ,  1.375534745025239e+00,  8.974914981577633e-01,  9.870616278112386e-01,  5.037316445202412e-01, -1.810216269384353e+00,  2.302845055413536e-01,  2.610885914054089e+00
sample_9    , -1.322271680592587e+00, -1.065665859337662e+00,  5.944303979949567e-01,  3.851627827458143e+00,  3.462791729507411e-01, -3.934043171324516e-01, -2.720729106435644e+00
sample_10   ,  3.192860772233725e-01,  1.382368912051072e-01,  1.520460428302498e+00, -4.028027064010947e+00,  5.089224081012750e-02, -1.010425861574790e-02,  2.208684030436756e-01
sample_11   ,  1.159555402280817e+00,  1.107998026413986e+00, -6.525400308405069e-01, -1.950537521232400e+00,  2.773039216863555e-04,  1.233401014078271e-02,  2.743182326621071e+00
sample_12   ,  1.180415291424685e-01, -2.823975146549489e-01,  1.082988475221288e+00,  5.623054940546116e-01,  1.344565628657518e+00,  7.904704874074728e-01, -2.730777758886479e-01
sample_13   ,  1.859810708562005e-01,  1.467595944716444e-01,  3.230302398810890e+01,  8.607299378772257e+00,  5.302582805665307e-01, -5.197004220362306e-01, -7.332943446711819e-01
sample_14   ,  4.735603295186470e-02, -2.823975146549489e-01,  1.082988475221288e+00,  5.623054940546116e-01,  1.344565628657518e+00,  7.904704874074728e-01, -2.730777758886479e-01
sample_15   , -1.512819293106766e+00, -1.263776277393975e+00, -6.646324244735190e+01,  1.231935990374524e+00, -1.232536992160107e+00, -1.865633377276303e-01, -8.145025241070865e-01
sample_16   , -4.904647979091847e-01, -4.578085486198908e-01,  5.391381257237827e-01,  6.341608713357568e+00, -3.715043153551986e-01,  1.082637992137982e-01, -7.439505731817400e-01
sample_17   ,  8.217680552511124e-02,  8.438825187902348e-01,  1.855803550815778e+00,  9.962697794111109e-01, -6.861490854510824e-01,  2.937637483413728e-01,  2.377260407888350e+00
sample_18   ,  1.184682610579223e+00,  1.249192008601547e+00, -5.557151435978783e-01, -7.328662377580756e-01,  1.072515370090749e+00, -3.660563783849697e-01,  2.749555612344250e+00
sample_19   , -1.570848599014777e+00, -1.543584134970894e+00, -2.116370598282005e-01, -4.583542676079363e-01,  9.428233499555007e-01,  1.665528395867248e+00, -2.720729106435644e+00
sample_20   , -1.371480668945601e+00, -1.543621376310354e+00, -2.116370598282005e-01, -4.555044508949140e-01,  9.428233499555007e-01,  1.665528395867248e+00, -2.720729106435644e+00
sample_21   , -1.540845998544176e+00, -1.126425317180386e+00, -4.093374859487603e-01, -3.470856832533125e-01,  4.469064758628704e-01,  6.438381118847155e-03, -2.720729106435644e+00
sample_22   , -4.503452829583460e-01, -9.031202541931130e-02, -1.813432067919357e+00,  1.215893259025444e-01,  1.076322680939407e+00,  3.194096898700149e-01, -2.347226224215349e-03
sample_23   , -1.604395816727296e-01, -7.421754079069053e-02,  9.732460055266132e-01,  4.742473223723925e-01, -3.352997493103883e-01,  3.690245830561225e-01,  1.572442818597833e-01
sample_24   ,  4.029752984309805e-01,  7.013380902931708e-01,  1.825154915483187e-01, -9.043153336775426e+00, -4.302303598014498e+00, -1.395105536049281e+00,  1.083159246035306e+00
sample_25   ,  1.159859402839996e+00,  1.226016785725885e+00, -5.557151435978783e-01,  1.040569907039574e+00,  1.072515370090749e+00, -3.660563783849697e-01,  2.749555612344250e+00
sample_26   , -4.882595012842761e-01,  1.286297647762461e-02,  8.967356258857611e-01,  8.714758719562541e-01, -3.655235718539374e+00,  5.887027330865835e-01,  9.190782714142973e-01
sample_27   , -6.292389468500847e-01, -4.578194516973849e-01,  5.391381257237827e-01,  6.342443048881381e+00, -3.715043153551986e-01,  1.082637992137982e-01, -7.439505731817400e-01
sample_28   ,  9.390649292973059e-01,  7.343579254318611e-01, -3.857932845823606e+00, -1.030380551881179e+00,  1.812969602527646e+00, -6.423966329527457e-01,  1.322155061864015e+00
sample_29   , -1.840501760547247e-01,  7.359897699465465e-03,  2.496006242998789e-01,  3.038262393860787e+01, -1.815765413086834e+00, -2.101452207902084e-01,  1.127996522791650e+00
