# FEAT_ID     Feature Postfix Expression (RPN)
0             37|25|add
1             37|11|sub
2             37|sq
3             37|25|mult
4             37|36|sub
5             40|37|sub
6             37|26|add
7             37|13|sub
8             37|20|add
9             37|17|add
10            37|12|add
11            37|1|sub
12            37|34|add
13            37|8|sub
14            37|21|add
15            37|23|div
16            37|cb
17            37
18            44|37|sub
19            37|7|add
#-----------------------------------------------------------------------
20            44|12|sub
21            37|36|add
22            13|7|sub
23            44|34|sub
24            40|7|add
25            7|inv
26            26|7|sub
27            37|4|add
28            44|7|sub
29            13|7|add
30            17|7|add
31            44|16|sub
32            37|11|add
33            44|21|sub
34            12|7|add
35            44|38|sub
36            43|7|add
37            44|30|sub
38            44|23|div
39            38|7|add
#-----------------------------------------------------------------------
40            44|34|add
41            25|23|mult
42            37|7|mult
43            3|10|div
44            10|4|sub
45            44|7|add
46            16|7|div
47            37|17|sub
48            12|cb
49            10|7|add
50            36|30|div
51            40|7|mult
52            44|11|add
53            44|23|mult
54            4|sq
55            44|17|mult
56            37|34|sub
57            37|23|mult
58            37|7|sub
59            26|8|div
#-----------------------------------------------------------------------
60            3|36|div
61            4|8|div
62            23|7|add
63            42|7|mult
64            36|8|div
65            38|21|mult
66            23|44|div
67            44|8|div
68            12|sq
69            42|36|div
70            21|7|sub
71            4|42|div
72            11|8|div
73            30|8|div
74            34|8|div
75            34|7|sub
76            7|sq
77            21|8|div
78            7|cb
79            39|10|div
#-----------------------------------------------------------------------
80            23|1|sub
81            11|7|sub
82            34|39|div
83            17|7|sub
84            34|11|mult
85            40|38|add
86            7|1|sub
87            23|8|sub
88            21|16|div
89            38|23|sub
90            7
91            34|23|sub
92            40|23|sub
93            8|7|sub
94            40|17|mult
95            40|7|sub
96            20|25|div
97            7|30|div
98            30|36|div
99            26|7|mult
#-----------------------------------------------------------------------
