# c0 + a0 * (surf_bond_length_sum + lattice_param_c)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.72414435950112; Max AE: 1.60428055883955
# Coefficients
# Task   a0                      c0
# all ,  4.235938033132910e-01, -1.379604850131421e-15, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         37|7|add; (surf_bond_length_sum + lattice_param_c); $\left(surf_{bond, length, sum} + lattice_{param, c}\right)$; (surf_bond_length_sum + lattice_param_c); surf_bond_length_sum,lattice_param_c
# Number of Samples Per Task
# Task, n_samples               
# all , 191                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    , -1.181825419945348e+00,  1.869897310324163e-01,  4.414364175533503e-01
sample_1    ,  9.820173801588558e-01,  1.499148290645678e-01,  3.539117614373877e-01
sample_2    , -2.265898778388331e-01, -9.923100369310733e-02, -2.342598095556050e-01
sample_3    , -1.580056596568767e+00, -6.619695858112246e-01, -1.562746151226459e+00
sample_4    , -6.538388790589450e-01, -1.925404938339803e-02, -4.545403930084480e-02
sample_5    , -1.243329001943635e-01, -1.214704056603106e-01, -2.867615265147526e-01
sample_6    , -1.464725422431774e+00, -9.028125295104804e-01, -2.131316658668769e+00
sample_7    , -5.544795303232762e-01, -9.306246334138023e-01, -2.196974143943057e+00
sample_8    ,  1.375534745025239e+00,  1.499148290645678e-01,  3.539117614373877e-01
sample_9    , -1.322271680592587e+00, -1.083956485671516e+00, -2.558952650376279e+00
sample_10   ,  3.192860772233725e-01,  9.871646693229663e-01,  2.330451157692830e+00
sample_11   ,  1.159555402280817e+00, -2.541093548845182e-02, -5.998892167375841e-02
sample_12   ,  1.180415291424685e-01, -1.641767041704464e-01, -3.875805143660697e-01
sample_13   ,  1.859810708562005e-01, -2.943210074283446e-01, -6.948189636538726e-01
sample_14   ,  4.735603295186470e-02, -1.641767041704464e-01, -3.875805143660697e-01
sample_15   , -1.512819293106766e+00, -7.890378687478493e-02, -1.862722878795895e-01
sample_16   , -4.904647979091847e-01, -8.493582883861318e-02, -2.005124441723550e-01
sample_17   ,  8.217680552511124e-02,  1.300032541084789e+00,  3.069054671990288e+00
sample_18   ,  1.184682610579223e+00, -6.520005097054681e-02, -1.539211632950242e-01
sample_19   , -1.570848599014777e+00, -9.986088159414487e-01, -2.357467951916364e+00
sample_20   , -1.371480668945601e+00, -9.986088159414487e-01, -2.357467951916364e+00
sample_21   , -1.540845998544176e+00, -8.328445771635956e-01, -1.966139661744816e+00
sample_22   , -4.503452829583460e-01, -3.194190616664883e-02, -7.540692502298751e-02
sample_23   , -1.604395816727296e-01,  1.069867994834671e+00,  2.525693214740904e+00
sample_24   ,  4.029752984309805e-01,  9.215404236305819e-01,  2.175528575778078e+00
sample_25   ,  1.159859402839996e+00, -6.520005097054681e-02, -1.539211632950242e-01
sample_26   , -4.882595012842761e-01,  1.869516611061278e-01,  4.413465438913876e-01
sample_27   , -6.292389468500847e-01, -8.493582883861318e-02, -2.005124441723550e-01
sample_28   ,  9.390649292973059e-01,  1.248613574686857e+00,  2.947667234318300e+00
sample_29   , -1.840501760547247e-01, -1.681490190007193e-01, -3.969581653118625e-01
sample_30   , -7.494366413350256e-03, -5.532846578987837e-01, -1.306167969340127e+00
sample_31   , -1.033760245705074e+00, -9.621978283825162e-01, -2.271510633197037e+00
sample_32   , -1.276224306766404e+00,  1.869897310324163e-01,  4.414364175533503e-01
sample_33   , -1.176387515954566e+00, -9.326987443621779e-01, -2.201870605912406e+00
sample_34   ,  3.616514535288465e-02,  1.110642898001153e+00,  2.621952656799656e+00
sample_35   , -6.865864347172117e-01, -1.332086847818555e-01, -3.144726946898529e-01
sample_36   , -5.779541781958595e-01, -9.621978283825162e-01, -2.271510633197037e+00
sample_37   ,  8.850240829451580e-01, -1.564943103786284e-02, -3.694442863765668e-02
sample_38   ,  7.291833242535585e-01,  1.129907695572846e-01,  2.667432069909619e-01
sample_39   ,  1.295296019257506e+00,  1.158761904302670e+00,  2.735549706438100e+00
sample_40   , -1.125378376788511e+00, -9.133968729633002e-01, -2.156303670683653e+00
sample_41   ,  1.133851112289021e-01, -1.641767041704464e-01, -3.875805143660697e-01
sample_42   ,  6.270615110754807e-01, -2.248874962968065e-01, -5.309036500009368e-01
sample_43   ,  8.981057808172022e-02,  1.300032541084789e+00,  3.069054671990288e+00
sample_44   , -1.516772662271726e-01, -1.681490190007193e-01, -3.969581653118625e-01
sample_45   , -1.009473785557556e+00, -9.869437947891193e-01, -2.329929727652725e+00
sample_46   ,  2.198710725245677e-01, -2.943210074283446e-01, -6.948189636538726e-01
sample_47   , -3.190705676073038e-01, -6.467166300152088e-02, -1.526737702385325e-01
sample_48   ,  7.406397181312827e-01,  8.399392036547811e-01,  1.982888316790511e+00
sample_49   ,  2.377397508246557e+00,  1.283467870492874e+00,  3.029949589568521e+00
sample_50   ,  7.217347674185606e-01,  7.266208441086060e-02,  1.715371751014991e-01
sample_51   ,  1.833747993630055e-01, -2.943210074283446e-01, -6.948189636538726e-01
sample_52   ,  1.163396488687538e+00, -2.541093548845182e-02, -5.998892167375841e-02
sample_53   ,  5.877481602536888e-01,  2.921848481866785e-02,  6.897760210401183e-02
sample_54   ,  6.975449340049772e-01,  8.427879372019011e-01,  1.989613470758387e+00
sample_55   ,  1.094083839394089e+00,  7.755474988728200e-01,  1.830875458532675e+00
sample_56   ,  8.189522525504062e-01, -9.377173637392688e-02, -2.213718322611337e-01
sample_57   , -2.183617466012437e-01, -2.850127686572877e-01, -6.728445185646169e-01
sample_58   ,  1.763197294482562e-02, -4.387252257740149e-01, -1.035721538753321e+00
sample_59   ,  1.375372773594956e+00,  1.042717863711530e+00,  2.461598483158959e+00
sample_60   ,  9.387809664761781e-03, -5.532846578987837e-01, -1.306167969340127e+00
sample_61   , -1.568914413366311e+00, -9.986088159414487e-01, -2.357467951916364e+00
sample_62   ,  2.195632848632222e+00,  1.080982594394198e+00,  2.551932030022409e+00
sample_63   , -2.084290051031134e-01, -1.332086847818555e-01, -3.144726946898529e-01
sample_64   ,  1.216296062100502e+00,  1.495188948502905e-01,  3.529770588728546e-01
sample_65   , -6.952294439596317e-01, -1.332086847818555e-01, -3.144726946898529e-01
sample_66   , -1.577237781016708e+00, -6.619695858112246e-01, -1.562746151226459e+00
sample_67   ,  1.322307579187809e+00,  1.526043685154703e-01,  3.602610975935480e-01
sample_68   ,  1.105398899289431e+00, -9.377173637392688e-02, -2.213718322611337e-01
sample_69   ,  5.882307291037275e-01,  2.921848481866785e-02,  6.897760210401183e-02
sample_70   ,  1.403060937884271e+00,  9.630511235757129e-01,  2.273525051695431e+00
sample_71   ,  4.179482560341836e-02, -1.641767041704464e-01, -3.875805143660697e-01
sample_72   ,  1.044938442808791e-01,  1.069867994834671e+00,  2.525693214740904e+00
sample_73   , -1.371996605296394e+00, -9.986088159414487e-01, -2.357467951916364e+00
sample_74   , -5.824386467881182e-02, -4.387252257740149e-01, -1.035721538753321e+00
sample_75   ,  1.316921203657170e+00,  1.526043685154703e-01,  3.602610975935480e-01
sample_76   , -1.913439302648285e-01,  8.431557267836164e-02,  1.990481730819915e-01
sample_77   ,  2.615566878383235e-01,  8.920100756159165e-02,  2.105814741950315e-01
sample_78   ,  2.722099154462537e-01, -2.323782953993964e-01, -5.485875704076990e-01
sample_79   , -1.125194942406280e+00, -1.083956485671516e+00, -2.558952650376279e+00
sample_80   ,  1.144683531465042e+00,  1.297677202684426e-01,  3.063494301697032e-01
sample_81   , -8.996696257742992e-01, -9.869437947891193e-01, -2.329929727652725e+00
sample_82   ,  1.206876606666530e+00, -3.786312405641610e-02, -8.938545313990598e-02
sample_83   , -1.124856879182589e+00, -9.133968729633002e-01, -2.156303670683653e+00
sample_84   , -7.863443687304406e-01, -1.083956485671516e+00, -2.558952650376279e+00
sample_85   , -7.844604950229476e-01, -9.249047940520174e-01, -2.183471020627642e+00
sample_86   , -1.426333690148897e-01,  1.869516611061278e-01,  4.413465438913876e-01
sample_87   , -3.103507001489021e-01, -6.467166300152088e-02, -1.526737702385325e-01
sample_88   , -2.034396072984968e-01,  1.260537447092067e+00,  2.975816542244768e+00
sample_89   ,  2.408535342476809e+00,  1.148913973893477e+00,  2.712301183130715e+00
sample_90   ,  3.248944683080119e-01,  1.132776707889165e+00,  2.674205097026319e+00
