# c0 + a0 * (surf_bond_length_std / lattice_param_gamma) + a1 * surf_bond_length_sum
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.646711803532045; Max AE: 1.65477456184798
# Coefficients
# Task   a0                      a1                      c0
# all , -9.188032826090893e-02,  6.649705043136327e-01, -4.034341797655049e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         44|23|div; (surf_bond_length_std / lattice_param_gamma); $\left(\frac{ surf_{bond, length, std} }{ lattice_{param, gamma} } \right)$; (surf_bond_length_std ./ lattice_param_gamma); surf_bond_length_std,lattice_param_gamma
# 1;  0; Unitless;                                         37; surf_bond_length_sum; $surf_{bond, length, sum}$; surf_bond_length_sum; surf_bond_length_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 191                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    , -1.181825419945348e+00, -3.836765562477701e-01,  1.088894711839531e+01,  9.882346557023782e-01
sample_1    ,  9.820173801588558e-01,  5.896185844073688e-01, -3.374992482678816e-01,  9.007203429022484e-01
sample_2    , -2.265898778388331e-01, -1.725125542411962e-01,  3.701321135573991e+00,  3.126596793725944e-01
sample_3    , -1.580056596568767e+00, -1.074112813695167e+00, -1.599882921948395e+00, -1.775668478686913e+00
sample_4    , -6.538388790589450e-01,  6.312318081064151e-01, -3.680779899038205e+00,  5.013515013681568e-01
sample_5    , -1.243329001943635e-01, -2.321328466858424e-01,  3.969926909086159e+00,  2.601149340419157e-01
sample_6    , -1.464725422431774e+00, -1.172700859004894e+00,  8.572488129134428e-01, -1.584420860567457e+00
sample_7    , -5.544795303232762e-01, -1.287759478710008e+00,  1.634495044911631e+00, -1.650055321775049e+00
sample_8    ,  1.375534745025239e+00,  5.896185844073688e-01, -3.374992482678816e-01,  9.007203429022484e-01
sample_9    , -1.322271680592587e+00, -1.058738019031922e+00, -3.478006461053448e+00, -2.012051613885537e+00
sample_10   ,  3.192860772233725e-01,  8.068822049335608e-01, -4.976962719474892e+00,  5.864029336232589e-01
