# c0 + a0 * (surf_bond_length_std / lattice_param_gamma) + a1 * (surf_bond_length_std - lattice_param_c) + a2 * (surf_bond_length_sum + lattice_param_c)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.61940697057896; Max AE: 1.5378323067277
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.825200270797827e-01,  4.687292981628954e-01,  6.120927860456223e-01, -8.014209222959340e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         44|23|div; (surf_bond_length_std / lattice_param_gamma); $\left(\frac{ surf_{bond, length, std} }{ lattice_{param, gamma} } \right)$; (surf_bond_length_std ./ lattice_param_gamma); surf_bond_length_std,lattice_param_gamma
# 1;  1; Unitless;                                         44|7|sub; (surf_bond_length_std - lattice_param_c); $\left(surf_{bond, length, std} - lattice_{param, c}\right)$; (surf_bond_length_std - lattice_param_c); surf_bond_length_std,lattice_param_c
# 2;  1; Unitless;                                         37|7|add; (surf_bond_length_sum + lattice_param_c); $\left(surf_{bond, length, sum} + lattice_{param, c}\right)$; (surf_bond_length_sum + lattice_param_c); surf_bond_length_sum,lattice_param_c
# Number of Samples Per Task
# Task, n_samples               
# all , 191                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    , -1.181825419945348e+00, -4.713771546866877e-01,  1.088894711839531e+01,  2.828958673967262e+00,  4.414364175533503e-01
sample_1    ,  9.820173801588558e-01,  1.163973036400811e+00, -3.374992482678816e-01,  2.060651903796611e+00,  3.539117614373877e-01
sample_2    , -2.265898778388331e-01, -2.868688874228885e-01,  3.701321135573991e+00,  1.306142331174025e+00, -2.342598095556050e-01
sample_3    , -1.580056596568767e+00, -1.001252124412849e+00, -1.599882921948395e+00, -5.473843044185289e-01, -1.562746151226459e+00
sample_4    , -6.538388790589450e-01,  4.544337850448276e-01, -3.680779899038205e+00, -2.334355468047680e-01, -4.545403930084480e-02
sample_5    , -1.243329001943635e-01,  1.506293719924074e-01,  3.969926909086159e+00,  2.412666110910060e+00, -2.867615265147526e-01
sample_6    , -1.464725422431774e+00, -1.200302238764887e+00,  8.572488129134428e-01,  7.272182108047636e-01, -2.131316658668769e+00
sample_7    , -5.544795303232762e-01, -1.305607465598729e+00,  1.634495044911631e+00,  8.909507742805427e-01, -2.196974143943057e+00
sample_8    ,  1.375534745025239e+00,  1.163973036400811e+00, -3.374992482678816e-01,  2.060651903796611e+00,  3.539117614373877e-01
sample_9    , -1.322271680592587e+00, -1.098880547313348e+00, -3.478006461053448e+00, -1.860942589957951e-01, -2.558952650376279e+00
sample_10   ,  3.192860772233725e-01,  9.433804313495162e-01, -4.976962719474892e+00, -2.797617289445064e+00,  2.330451157692830e+00
sample_11   ,  1.159555402280817e+00, -3.759058391557443e-02,  2.108118030837855e+00,  9.900043722631107e-01, -5.998892167375841e-02
sample_12   ,  1.180415291424685e-01,  1.094541944515263e-01, -2.033996651564471e+00,  1.185895565533658e-01, -3.875805143660697e-01
sample_13   ,  1.859810708562005e-01, -6.922386426764962e-02, -2.144715666239233e+00,  9.548867953673551e-02, -6.948189636538726e-01
sample_14   ,  4.735603295186470e-02,  1.094541944515263e-01, -2.033996651564471e+00,  1.185895565533658e-01, -3.875805143660697e-01
sample_15   , -1.512819293106766e+00, -3.225420122838686e-01,  4.565485797804397e+00,  1.503871419617732e+00, -1.862722878795895e-01
sample_16   , -4.904647979091847e-01,  1.206076108788011e-01, -8.022871391036047e-01,  3.777200487309594e-01, -2.005124441723550e-01
sample_17   ,  8.217680552511124e-02,  1.350878538761844e+00, -4.428574874434677e+00, -2.679220617618959e+00,  3.069054671990288e+00
sample_18   ,  1.184682610579223e+00,  3.885903956334892e-02,  5.157517438605983e-01,  6.557093591675730e-01, -1.539211632950242e-01
sample_19   , -1.570848599014777e+00, -9.617789355699861e-01, -2.542727524809655e+00,  2.074834815271068e-01, -2.357467951916364e+00
sample_20   , -1.371480668945601e+00, -9.617789355699861e-01, -2.542727524809655e+00,  2.074834815271068e-01, -2.357467951916364e+00
sample_21   , -1.540845998544176e+00, -1.134606956223565e+00,  1.279326739349737e+00,  8.160313253883417e-01, -1.966139661744816e+00
sample_22   , -4.503452829583460e-01, -3.118573387974040e-01,  5.292570823393899e+00,  1.665014244518042e+00, -7.540692502298751e-02
sample_23   , -1.604395816727296e-01,  8.870363120079481e-01, -2.867158662184528e+00, -2.351237853603702e+00,  2.525693214740904e+00
sample_24   ,  4.029752984309805e-01,  1.126590996718499e+00, -8.270856791701227e+00, -3.487064431692644e+00,  2.175528575778078e+00
sample_25   ,  1.159859402839996e+00,  3.885903956334892e-02,  5.157517438605983e-01,  6.557093591675730e-01, -1.539211632950242e-01
sample_26   , -4.882595012842761e-01, -3.713804044513946e-01,  9.736004344474695e+00,  2.593463718788179e+00,  4.413465438913876e-01
sample_27   , -6.292389468500847e-01,  1.206076108788011e-01, -8.022871391036047e-01,  3.777200487309594e-01, -2.005124441723550e-01
sample_28   ,  9.390649292973059e-01,  1.021521079514814e+00, -3.190893715222577e+00, -2.741421734020651e+00,  2.947667234318300e+00
sample_29   , -1.840501760547247e-01, -3.636563877012842e-01,  3.552055046316600e+00,  1.296659115404752e+00, -3.969581653118625e-01
sample_30   , -7.494366413350256e-03, -5.674699650395777e-01,  5.759048198993447e+00,  2.908522588974670e+00, -1.306167969340127e+00
sample_31   , -1.033760245705074e+00, -1.140196207164786e+00, -8.803351733227266e-01,  3.619196795706453e-01, -2.271510633197037e+00
sample_32   , -1.276224306766404e+00, -4.713771546866877e-01,  1.088894711839531e+01,  2.828958673967262e+00,  4.414364175533503e-01
sample_33   , -1.176387515954566e+00, -1.107972590571017e+00, -7.588651661749147e-01,  3.870262118760700e-01, -2.201870605912406e+00
sample_34   ,  3.616514535288465e-02,  8.699987836577430e-01, -1.948023974442721e+00, -2.155382271216884e+00,  2.621952656799656e+00
sample_35   , -6.865864347172117e-01,  8.488305191935089e-02, -1.209190142930515e+00,  2.918746382631748e-01, -3.144726946898529e-01
sample_36   , -5.779541781958595e-01, -1.140196207164786e+00, -8.803351733227266e-01,  3.619196795706453e-01, -2.271510633197037e+00
sample_37   ,  8.850240829451580e-01, -2.284233634669998e-02,  2.104498857113739e+00,  9.899666275289892e-01, -3.694442863765668e-02
sample_38   ,  7.291833242535585e-01,  8.067931046960335e-01, -5.576028451598599e+00, -6.273839952744584e-01,  2.667432069909619e-01
sample_39   ,  1.295296019257506e+00,  1.187820135204240e+00, -4.918374855955254e+00, -2.782309385726507e+00,  2.735549706438100e+00
sample_40   , -1.125378376788511e+00, -1.395503133481207e+00,  2.997323298140606e+00,  1.176731242964353e+00, -2.156303670683653e+00
sample_41   ,  1.133851112289021e-01,  1.094541944515263e-01, -2.033996651564471e+00,  1.185895565533658e-01, -3.875805143660697e-01
sample_42   ,  6.270615110754807e-01,  6.563979040392967e-02, -2.565891585679797e+00,  5.157721507485613e-03, -5.309036500009368e-01
sample_43   ,  8.981057808172022e-02,  1.350878538761844e+00, -4.428574874434677e+00, -2.679220617618959e+00,  3.069054671990288e+00
sample_44   , -1.516772662271726e-01, -3.636563877012842e-01,  3.552055046316600e+00,  1.296659115404752e+00, -3.969581653118625e-01
sample_45   , -1.009473785557556e+00, -1.107283085148330e+00, -1.698982194488887e+00,  1.896487153095881e-01, -2.329929727652725e+00
sample_46   ,  2.198710725245677e-01, -6.922386426764962e-02, -2.144715666239233e+00,  9.548867953673551e-02, -6.948189636538726e-01
sample_47   , -3.190705676073038e-01,  1.500363891254765e-01, -8.043786039256527e-01,  3.772194118407916e-01, -1.526737702385325e-01
sample_48   ,  7.406397181312827e-01,  8.181000219196125e-01, -5.993935063404668e+00, -3.007029250579639e+00,  1.982888316790511e+00
