# c0 + a0 * (surf_M_Tx_length_min / surf_M_M_length_avg) + a1 * (surf_bond_length_std / lattice_param_gamma) + a2 * (surf_bond_length_std - lattice_param_c) + a3 * (surf_bond_length_sum + lattice_param_c)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.590518983480029; Max AE: 1.53206375530033
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  4.814698858396269e-02, -1.901465573001520e-01,  4.904636734221450e-01,  6.212609201788198e-01, -1.210240525965507e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         36|30|div; (surf_M_Tx_length_min / surf_M_M_length_avg); $\left(\frac{ surf_{M, Tx, length, min} }{ surf_{M, M, length, avg} } \right)$; (surf_M_Tx_length_min ./ surf_M_M_length_avg); surf_M_Tx_length_min,surf_M_M_length_avg
# 1;  1; Unitless;                                         44|23|div; (surf_bond_length_std / lattice_param_gamma); $\left(\frac{ surf_{bond, length, std} }{ lattice_{param, gamma} } \right)$; (surf_bond_length_std ./ lattice_param_gamma); surf_bond_length_std,lattice_param_gamma
# 2;  1; Unitless;                                         44|7|sub; (surf_bond_length_std - lattice_param_c); $\left(surf_{bond, length, std} - lattice_{param, c}\right)$; (surf_bond_length_std - lattice_param_c); surf_bond_length_std,lattice_param_c
# 3;  1; Unitless;                                         37|7|add; (surf_bond_length_sum + lattice_param_c); $\left(surf_{bond, length, sum} + lattice_{param, c}\right)$; (surf_bond_length_sum + lattice_param_c); surf_bond_length_sum,lattice_param_c
# Number of Samples Per Task
# Task, n_samples               
# all , 191                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    , -1.181825419945348e+00, -4.848286484760544e-01,  9.334447379889631e-01,  1.088894711839531e+01,  2.828958673967262e+00,  4.414364175533503e-01
sample_1    ,  9.820173801588558e-01,  1.225659071267214e+00,  1.079244129059084e+00, -3.374992482678816e-01,  2.060651903796611e+00,  3.539117614373877e-01
sample_2    , -2.265898778388331e-01,  1.679880243894937e-01,  1.033764856540104e+01,  3.701321135573991e+00,  1.306142331174025e+00, -2.342598095556050e-01
sample_3    , -1.580056596568767e+00, -1.040729417444899e+00,  3.204278096967479e-01, -1.599882921948395e+00, -5.473843044185289e-01, -1.562746151226459e+00
sample_4    , -6.538388790589450e-01,  5.560056832052410e-01,  2.489721318418348e+00, -3.680779899038205e+00, -2.334355468047680e-01, -4.545403930084480e-02
sample_5    , -1.243329001943635e-01, -7.775877306698777e-02, -4.300126461223026e+00,  3.969926909086159e+00,  2.412666110910060e+00, -2.867615265147526e-01
sample_6    , -1.464725422431774e+00, -1.363047186820433e+00, -2.317706537303473e+00,  8.572488129134428e-01,  7.272182108047636e-01, -2.131316658668769e+00
sample_7    , -5.544795303232762e-01, -1.220774125065137e+00,  2.886135270669913e+00,  1.634495044911631e+00,  8.909507742805427e-01, -2.196974143943057e+00
sample_8    ,  1.375534745025239e+00,  1.225659071267214e+00,  1.079244129059084e+00, -3.374992482678816e-01,  2.060651903796611e+00,  3.539117614373877e-01
sample_9    , -1.322271680592587e+00, -1.111088264803006e+00,  6.159177544713608e-01, -3.478006461053448e+00, -1.860942589957951e-01, -2.558952650376279e+00
sample_10   ,  3.192860772233725e-01,  9.897894850817295e-01,  1.843783699049120e+00, -4.976962719474892e+00, -2.797617289445064e+00,  2.330451157692830e+00
sample_11   ,  1.159555402280817e+00, -4.576648513659063e-02,  5.777421554220219e-01,  2.108118030837855e+00,  9.900043722631107e-01, -5.998892167375841e-02
sample_12   ,  1.180415291424685e-01,  9.722008502908995e-02,  2.930906926357158e-01, -2.033996651564471e+00,  1.185895565533658e-01, -3.875805143660697e-01
sample_13   ,  1.859810708562005e-01, -6.667431346103503e-02,  6.515377164077549e-01, -2.144715666239233e+00,  9.548867953673551e-02, -6.948189636538726e-01
sample_14   ,  4.735603295186470e-02,  9.722008502908995e-02,  2.930906926357158e-01, -2.033996651564471e+00,  1.185895565533658e-01, -3.875805143660697e-01
sample_15   , -1.512819293106766e+00, -1.107630431140810e+00, -1.537719390790778e+01,  4.565485797804397e+00,  1.503871419617732e+00, -1.862722878795895e-01
sample_16   , -4.904647979091847e-01, -3.097404428570311e-02, -2.558613733297553e+00, -8.022871391036047e-01,  3.777200487309594e-01, -2.005124441723550e-01
sample_17   ,  8.217680552511124e-02,  1.345344098751201e+00,  6.577055509665497e-01, -4.428574874434677e+00, -2.679220617618959e+00,  3.069054671990288e+00
sample_18   ,  1.184682610579223e+00,  2.844050475818660e-01,  5.764038611888420e+00,  5.157517438605983e-01,  6.557093591675730e-01, -1.539211632950242e-01
sample_19   , -1.570848599014777e+00, -9.713033052979961e-01,  6.037648819594559e-01, -2.542727524809655e+00,  2.074834815271068e-01, -2.357467951916364e+00
