# c0 + a0 * (lattice_param_c^3) + a1 * (surf_bond_length_sum - lattice_param_b) + a2 * (surf_M_Tx_length_min / surf_M_M_length_avg) + a3 * (surf_bond_length_std + lattice_param_b) + a4 * (surf_bond_length_std / lattice_param_gamma)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.565284100342119; Max AE: 1.58630269009145
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  5.309109117090584e-02,  6.956782804349287e-01,  5.130468538282642e-02,  5.594780979182902e-01, -2.126362771778918e-01, -2.065669817328417e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         7|cb; (lattice_param_c^3); $\left(lattice_{param, c}^3\right)$; (lattice_param_c).^3; lattice_param_c
# 1;  1; Unitless;                                         37|34|sub; (surf_bond_length_sum - lattice_param_b); $\left(surf_{bond, length, sum} - lattice_{param, b}\right)$; (surf_bond_length_sum - lattice_param_b); surf_bond_length_sum,lattice_param_b
# 2;  1; Unitless;                                         36|30|div; (surf_M_Tx_length_min / surf_M_M_length_avg); $\left(\frac{ surf_{M, Tx, length, min} }{ surf_{M, M, length, avg} } \right)$; (surf_M_Tx_length_min ./ surf_M_M_length_avg); surf_M_Tx_length_min,surf_M_M_length_avg
# 3;  1; Unitless;                                         44|34|add; (surf_bond_length_std + lattice_param_b); $\left(surf_{bond, length, std} + lattice_{param, b}\right)$; (surf_bond_length_std + lattice_param_b); surf_bond_length_std,lattice_param_b
# 4;  1; Unitless;                                         44|23|div; (surf_bond_length_std / lattice_param_gamma); $\left(\frac{ surf_{bond, length, std} }{ lattice_{param, gamma} } \right)$; (surf_bond_length_std ./ lattice_param_gamma); surf_bond_length_std,lattice_param_gamma
# Number of Samples Per Task
# Task, n_samples               
# all , 191                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    , -1.181825419945348e+00, -7.065669728200161e-01, -1.634862829083571e-01, -3.930953773654893e-01,  9.334447379889631e-01,  3.663490468886102e+00,  1.088894711839531e+01
sample_1    ,  9.820173801588558e-01,  1.223196054081548e+00, -1.634955606755170e-01, -2.906542168936016e-01,  1.079244129059084e+00,  2.705217882127601e+00, -3.374992482678816e-01
sample_2    , -2.265898778388331e-01,  3.787340663587167e-01, -1.635950647246466e-01,  1.842560187704201e+00,  1.033764856540104e+01, -7.706776660857808e-01,  3.701321135573991e+00
sample_3    , -1.580056596568767e+00, -1.231006414060206e+00,  9.653029078293286e-03, -1.475862522239723e+00,  3.204278096967479e-01, -6.342679334052650e-01, -1.599882921948395e+00
sample_4    , -6.538388790589450e-01,  4.465120589407571e-01, -1.634928331002224e-01, -6.799552931484235e-01,  2.489721318418348e+00,  4.010657070428107e-01, -3.680779899038205e+00
sample_5    , -1.243329001943635e-01,  1.723308941519827e-02, -1.635564557031473e-01,  7.918750213037373e-01, -4.300126461223026e+00,  1.334029563091570e+00,  3.969926909086159e+00
sample_6    , -1.464725422431774e+00, -1.397981651390305e+00, -1.635738063791917e-01, -7.046732700079529e-01, -2.317706537303473e+00, -6.994251778560523e-01,  8.572488129134428e-01
sample_7    , -5.544795303232762e-01, -1.163760948506801e+00, -1.635944663995950e-01, -1.346283655948983e-01,  2.886135270669913e+00, -1.171395004067616e+00,  1.634495044911631e+00
sample_8    ,  1.375534745025239e+00,  1.223196054081548e+00, -1.634955606755170e-01, -2.906542168936016e-01,  1.079244129059084e+00,  2.705217882127601e+00, -3.374992482678816e-01
sample_9    , -1.322271680592587e+00, -1.114907653334920e+00, -1.635785067526922e-01, -9.912784009075573e-01,  6.159177544713608e-01, -1.753768508464516e+00, -3.478006461053448e+00
sample_10   ,  3.192860772233725e-01,  9.515536457520340e-01,  5.304878821898444e+00, -1.103487934659505e-01,  1.843783699049120e+00, -3.568173382862836e-01, -4.976962719474892e+00
sample_11   ,  1.159555402280817e+00,  3.462046835131367e-02, -1.635650648997440e-01,  1.087880428657255e+00,  5.777421554220219e-01, -1.578649780679030e-01,  2.108118030837855e+00
sample_12   ,  1.180415291424685e-01,  1.478759991037771e-01, -1.635557400334461e-01,  4.851864380811722e-01,  2.930906926357158e-01, -7.541773958938760e-01, -2.033996651564471e+00
sample_13   ,  1.859810708562005e-01,  1.615668375159453e-01, -1.636010621462078e-01,  1.634802898158922e+00,  6.515377164077549e-01, -2.234133182276059e+00, -2.144715666239233e+00
sample_14   ,  4.735603295186470e-02,  1.478759991037771e-01, -1.635557400334461e-01,  4.851864380811722e-01,  2.930906926357158e-01, -7.541773958938760e-01, -2.033996651564471e+00
sample_15   , -1.512819293106766e+00, -9.624365652035639e-01, -1.635978143912075e-01,  2.021716424651524e+00, -1.537719390790778e+01, -7.041172929133817e-01,  4.565485797804397e+00
sample_16   , -4.904647979091847e-01, -1.740971590090417e-02, -1.635471731240582e-01,  4.359018556011962e-01, -2.558613733297553e+00, -2.586942510425918e-01, -8.022871391036047e-01
sample_17   ,  8.217680552511124e-02,  1.188801774546516e+00,  5.305559054548820e+00, -5.861359936300372e-01,  6.577055509665497e-01,  9.759700480013668e-01, -4.428574874434677e+00
sample_18   ,  1.184682610579223e+00,  4.536876780735906e-01, -1.635817247958568e-01,  1.484177379184268e+00,  5.764038611888420e+00, -9.823891833117189e-01,  5.157517438605983e-01
sample_19   , -1.570848599014777e+00, -1.076493781449115e+00, -1.635527194042612e-01, -1.688885162625952e+00,  6.037648819594559e-01, -4.610993077633055e-01, -2.542727524809655e+00
sample_20   , -1.371480668945601e+00, -1.076493781449115e+00, -1.635527194042612e-01, -1.688885162625952e+00,  6.037648819594559e-01, -4.610993077633055e-01, -2.542727524809655e+00
sample_21   , -1.540845998544176e+00, -1.362510678299551e+00, -1.635055134374397e-01, -2.217966350162084e+00,  1.370559244471425e+00,  1.067858013805609e+00,  1.279326739349737e+00
sample_22   , -4.503452829583460e-01, -2.733538524161375e-01, -1.635764724121916e-01,  1.403462580867743e+00, -2.575242359483100e-01,  1.861447386273117e-01,  5.292570823393899e+00
sample_23   , -1.604395816727296e-01,  7.678583223146758e-01,  5.305116135123697e+00, -3.617132231990535e-01,  6.777238526737128e-01,  5.361685843362549e-01, -2.867158662184528e+00
sample_24   ,  4.029752984309805e-01,  1.211108525603101e+00,  5.304529179887107e+00,  4.525864208587688e-01,  9.648495121415637e-01, -1.764122276773335e+00, -8.270856791701227e+00
sample_25   ,  1.159859402839996e+00,  4.536876780735906e-01, -1.635817247958568e-01,  1.484177379184268e+00,  5.764038611888420e+00, -9.823891833117189e-01,  5.157517438605983e-01
sample_26   , -4.882595012842761e-01, -6.468807036641849e-01, -1.634585985429877e-01, -8.392101811553392e-01,  1.071693510046638e+00,  3.874020443834906e+00,  9.736004344474695e+00
sample_27   , -6.292389468500847e-01, -1.740971590090417e-02, -1.635471731240582e-01,  4.359018556011962e-01, -2.558613733297553e+00, -2.586942510425918e-01, -8.022871391036047e-01
sample_28   ,  9.390649292973059e-01,  1.246449977014993e+00,  8.854469505687319e+00,  1.080960996125451e+00,  8.148734367588248e-01, -8.747154958278025e-01, -3.190893715222577e+00
sample_29   , -1.840501760547247e-01, -3.083848556081679e-01, -1.635751048722804e-01,  1.049949947774817e+00,  3.078845025374274e-01, -1.502489976819269e-01,  3.552055046316600e+00
sample_30   , -7.494366413350256e-03, -5.718310668189047e-01, -1.635325395897798e-01, -3.471570194742662e-01,  3.664604800718322e-01,  1.949511639108809e+00,  5.759048198993447e+00
sample_31   , -1.033760245705074e+00, -1.161566856565950e+00, -1.635795302440682e-01, -6.611650958794508e-01,  4.856996603724465e-01, -1.248425857746941e+00, -8.803351733227266e-01
sample_32   , -1.276224306766404e+00, -7.065669728200161e-01, -1.634862829083571e-01, -3.930953773654893e-01,  9.334447379889631e-01,  3.663490468886102e+00,  1.088894711839531e+01
sample_33   , -1.176387515954566e+00, -1.355496311296397e+00, -1.635475502133179e-01, -1.552265704457051e+00, -1.458426517324941e+00, -2.625786895792850e-01, -7.588651661749147e-01
sample_34   ,  3.616514535288465e-02,  7.607861744234686e-01,  5.305137543037011e+00, -3.039117365841670e-01,  1.010316526454460e+00,  7.704821221669383e-01, -1.948023974442721e+00
sample_35   , -6.865864347172117e-01,  1.227501527726997e-01, -1.635656738632862e-01,  8.394216781377009e-01, -4.054784426256920e-01, -8.620197345643790e-01, -1.209190142930515e+00
sample_36   , -5.779541781958595e-01, -1.161566856565950e+00, -1.635795302440682e-01, -6.611650958794508e-01,  4.856996603724465e-01, -1.248425857746941e+00, -8.803351733227266e-01
sample_37   ,  8.850240829451580e-01,  4.520104668405324e-02, -1.635602871411815e-01,  1.015253550444843e+00,  7.108835885497240e-01, -6.223135155351078e-02,  2.104498857113739e+00
sample_38   ,  7.291833242535585e-01,  9.955923907172616e-01, -1.635429485056673e-01,  8.273619256167153e-01,  2.227084929677437e+00, -1.188002713900212e+00, -5.576028451598599e+00
sample_39   ,  1.295296019257506e+00,  6.939962492939990e-02,  5.305313776415463e+00, -5.036681551544796e-01, -1.864863787080599e+01,  4.569084758660722e-01, -4.918374855955254e+00
sample_40   , -1.125378376788511e+00, -9.370988779194235e-01, -1.635983271520367e-01,  3.475225800080328e-02,  8.942837022745595e+00, -1.014324685720104e+00,  2.997323298140606e+00
sample_41   ,  1.133851112289021e-01,  1.478759991037771e-01, -1.635557400334461e-01,  4.851864380811722e-01,  2.930906926357158e-01, -7.541773958938760e-01, -2.033996651564471e+00
sample_42   ,  6.270615110754807e-01,  1.842769598655370e-01, -1.635784044634041e-01,  1.019101797574575e+00,  1.806529817356459e-01, -1.544847726068026e+00, -2.565891585679797e+00
sample_43   ,  8.981057808172022e-02,  1.188801774546516e+00,  5.305559054548820e+00, -5.861359936300372e-01,  6.577055509665497e-01,  9.759700480013668e-01, -4.428574874434677e+00
sample_44   , -1.516772662271726e-01, -3.083848556081679e-01, -1.635751048722804e-01,  1.049949947774817e+00,  3.078845025374274e-01, -1.502489976819269e-01,  3.552055046316600e+00
sample_45   , -1.009473785557556e+00, -1.230316511083502e+00, -1.635571168693855e-01, -1.419155248750202e+00,  2.806410606208213e-01, -7.211257635929340e-01, -1.698982194488887e+00
sample_46   ,  2.198710725245677e-01,  1.615668375159453e-01, -1.636010621462078e-01,  1.634802898158922e+00,  6.515377164077549e-01, -2.234133182276059e+00, -2.144715666239233e+00
sample_47   , -3.190705676073038e-01, -2.170375092850248e-01, -1.635401816401485e-01,  2.968989442350153e-01, -6.605520118941048e+00, -7.235330263275620e-02, -8.043786039256527e-01
sample_48   ,  7.406397181312827e-01,  8.716376023571125e-01,  5.304472441252947e+00,  3.845419610501969e-01,  8.316209836846322e-01, -1.408682894839324e+00, -5.993935063404668e+00
sample_49   ,  2.377397508246557e+00,  1.435891614569317e+00,  8.854909680763276e+00,  5.505916096286090e-01,  1.617471262927057e+00, -6.476232397111422e-01, -5.025738473070078e+00
sample_50   ,  7.217347674185606e-01,  4.862972398033976e-01, -1.635049883545751e-01, -4.118386666635065e-02,  3.586471408252074e-01,  3.263650676104863e+00,  5.239678594468167e+00
sample_51   ,  1.833747993630055e-01,  1.615668375159453e-01, -1.636010621462078e-01,  1.634802898158922e+00,  6.515377164077549e-01, -2.234133182276059e+00, -2.144715666239233e+00
sample_52   ,  1.163396488687538e+00,  3.462046835131367e-02, -1.635650648997440e-01,  1.087880428657255e+00,  5.777421554220219e-01, -1.578649780679030e-01,  2.108118030837855e+00
sample_53   ,  5.877481602536888e-01, -4.170184766377998e-01, -1.635321051970326e-01,  3.103020997804543e-01,  1.010078790769884e+00,  1.732783782027479e+00,  6.767030519585785e+00
sample_54   ,  6.975449340049772e-01,  4.095843351820658e-01,  2.944919066044192e+01, -1.045998965977180e+00,  2.302909053283432e-02,  3.764226152530739e-01,  2.029010769592240e+00
sample_55   ,  1.094083839394089e+00,  9.669797288513564e-01,  5.304317456605501e+00,  5.858808023841596e-01,  8.798726311136081e-01, -2.094473754370189e+00, -7.576415392771701e+00
sample_56   ,  8.189522525504062e-01,  5.665408077862986e-02, -1.635549131511200e-01,  6.285404487458323e-01,  5.555542715719222e+00,  3.212846956754764e-01,  2.963439245649980e+00
sample_57   , -2.183617466012437e-01,  2.810129991119660e-01, -1.635816475687212e-01,  9.815980306434059e-01,  5.167277197358220e-01, -2.011743193378988e+00, -4.290914012063150e+00
sample_58   ,  1.763197294482562e-02, -5.910340581325951e-01, -1.635192748363467e-01, -9.220042966693831e-01,  3.490794457788332e-01,  4.806917828274950e-01,  9.976299328016572e-02
sample_59   ,  1.375372773594956e+00,  1.188459791833971e+00,  5.304941648230165e+00, -9.952329742425647e-02,  1.941537056754109e+00, -5.766536209577611e-01, -6.610503960520953e+00
sample_60   ,  9.387809664761781e-03, -5.718310668189047e-01, -1.635325395897798e-01, -3.471570194742662e-01,  3.664604800718322e-01,  1.949511639108809e+00,  5.759048198993447e+00
sample_61   , -1.568914413366311e+00, -1.076493781449115e+00, -1.635527194042612e-01, -1.688885162625952e+00,  6.037648819594559e-01, -4.610993077633055e-01, -2.542727524809655e+00
sample_62   ,  2.195632848632222e+00,  1.153130842677530e+00,  5.304832113377987e+00,  2.034916453045638e-01,  1.712817600162780e+00, -5.291621948067428e-01, -5.383243567290769e+00
sample_63   , -2.084290051031134e-01,  1.227501527726997e-01, -1.635656738632862e-01,  8.394216781377009e-01, -4.054784426256920e-01, -8.620197345643790e-01, -1.209190142930515e+00
sample_64   ,  1.216296062100502e+00,  8.042375969696958e-01, -1.634757763607094e-01, -6.389231826827942e-01,  4.453047786696840e+00,  6.913673017369756e-01, -3.991330170667045e+00
sample_65   , -6.952294439596317e-01,  1.227501527726997e-01, -1.635656738632862e-01,  8.394216781377009e-01, -4.054784426256920e-01, -8.620197345643790e-01, -1.209190142930515e+00
sample_66   , -1.577237781016708e+00, -1.231006414060206e+00,  9.653029078293286e-03, -1.475862522239723e+00,  3.204278096967479e-01, -6.342679334052650e-01, -1.599882921948395e+00
sample_67   ,  1.322307579187809e+00,  8.673031929372985e-01, -1.634772765058380e-01, -5.983083404113408e-01,  5.110475739753317e+00,  5.891674107161070e-01, -4.265320475125006e+00
sample_68   ,  1.105398899289431e+00,  5.665408077862986e-02, -1.635549131511200e-01,  6.285404487458323e-01,  5.555542715719222e+00,  3.212846956754764e-01,  2.963439245649980e+00
sample_69   ,  5.882307291037275e-01, -4.170184766377998e-01, -1.635321051970326e-01,  3.103020997804543e-01,  1.010078790769884e+00,  1.732783782027479e+00,  6.767030519585785e+00
sample_70   ,  1.403060937884271e+00,  9.609723732977270e-01,  5.304900077150526e+00, -2.090075937545983e-01,  1.670745396000541e+00, -4.761249042589879e-01, -5.699699363617380e+00
sample_71   ,  4.179482560341836e-02,  1.478759991037771e-01, -1.635557400334461e-01,  4.851864380811722e-01,  2.930906926357158e-01, -7.541773958938760e-01, -2.033996651564471e+00
sample_72   ,  1.044938442808791e-01,  7.678583223146758e-01,  5.305116135123697e+00, -3.617132231990535e-01,  6.777238526737128e-01,  5.361685843362549e-01, -2.867158662184528e+00
sample_73   , -1.371996605296394e+00, -1.076493781449115e+00, -1.635527194042612e-01, -1.688885162625952e+00,  6.037648819594559e-01, -4.610993077633055e-01, -2.542727524809655e+00
sample_74   , -5.824386467881182e-02, -5.910340581325951e-01, -1.635192748363467e-01, -9.220042966693831e-01,  3.490794457788332e-01,  4.806917828274950e-01,  9.976299328016572e-02
sample_75   ,  1.316921203657170e+00,  8.673031929372985e-01, -1.634772765058380e-01, -5.983083404113408e-01,  5.110475739753317e+00,  5.891674107161070e-01, -4.265320475125006e+00
sample_76   , -1.913439302648285e-01,  4.706049566787617e-01, -1.634980617789403e-01, -3.864653332407432e-01,  1.117091042699726e+00,  1.567145512385897e+00, -9.693629302319991e-02
sample_77   ,  2.615566878383235e-01,  5.405973337773422e-01, -1.635025063902141e-01, -7.730091875386835e-02,  3.860099111057674e-01,  3.447215743025387e+00,  5.355739043976354e+00
sample_78   ,  2.722099154462537e-01,  1.569641126878966e-01, -1.635763077805178e-01,  9.348689624419235e-01,  2.359592721584893e-01, -1.456204335154288e+00, -2.466447067352515e+00
sample_79   , -1.125194942406280e+00, -1.114907653334920e+00, -1.635785067526922e-01, -9.912784009075573e-01,  6.159177544713608e-01, -1.753768508464516e+00, -3.478006461053448e+00
sample_80   ,  1.144683531465042e+00,  8.285428020423056e-01, -1.635471025953725e-01,  9.728448286123629e-01,  1.108426888491646e+00, -9.583437948433634e-01, -3.980085347381818e+00
sample_81   , -8.996696257742992e-01, -1.230316511083502e+00, -1.635571168693855e-01, -1.419155248750202e+00,  2.806410606208213e-01, -7.211257635929340e-01, -1.698982194488887e+00
sample_82   ,  1.206876606666530e+00,  4.053642466292082e-01, -1.635376909165794e-01,  2.947891343604437e-01,  5.554683661294597e+00,  7.409824246528091e-02, -4.190140296035107e-01
sample_83   , -1.124856879182589e+00, -9.370988779194235e-01, -1.635983271520367e-01,  3.475225800080328e-02,  8.942837022745595e+00, -1.014324685720104e+00,  2.997323298140606e+00
sample_84   , -7.863443687304406e-01, -1.114907653334920e+00, -1.635785067526922e-01, -9.912784009075573e-01,  6.159177544713608e-01, -1.753768508464516e+00, -3.478006461053448e+00
sample_85   , -7.844604950229476e-01, -1.398039269949525e+00, -1.635375100450042e-01, -1.803307000600438e+00, -1.192953159662598e+00,  7.855937187104055e-02, -4.184772686900939e-01
sample_86   , -1.426333690148897e-01, -6.468807036641849e-01, -1.634585985429877e-01, -8.392101811553392e-01,  1.071693510046638e+00,  3.874020443834906e+00,  9.736004344474695e+00
sample_87   , -3.103507001489021e-01, -2.170375092850248e-01, -1.635401816401485e-01,  2.968989442350153e-01, -6.605520118941048e+00, -7.235330263275620e-02, -8.043786039256527e-01
sample_88   , -2.034396072984968e-01,  1.112638453253009e+00,  5.305553238047276e+00, -6.697437148293683e-01,  3.445251669001194e-01,  9.577204752735363e-01, -4.467509531521451e+00
sample_89   ,  2.408535342476809e+00,  1.167668088060727e+00,  5.305065706586149e+00, -8.189939019499148e-02,  9.384279963670904e-01, -9.278304926913972e-02, -5.423925379808610e+00
sample_90   ,  3.248944683080119e-01,  1.109517378909726e+00,  5.305379714181737e+00, -6.795194328419419e-01,  5.071254856794532e+00,  8.148701975876110e-01, -3.720257523695620e+00
sample_91   ,  6.564721269977320e-04,  2.810129991119660e-01, -1.635816475687212e-01,  9.815980306434059e-01,  5.167277197358220e-01, -2.011743193378988e+00, -4.290914012063150e+00
sample_92   ,  2.513366875112233e+00,  1.054950920847851e+00,  5.305121200408341e+00, -2.587496770690504e-01,  3.167442683806731e-01,  3.966997591154020e-02, -5.273911050567706e+00
sample_93   ,  1.280502599190328e-01, -9.311080873619459e-03, -1.635684659624910e-01,  1.110223414219550e+00,  3.885680206747899e-01, -3.403314992159176e-01,  1.862079848119364e+00
sample_94   ,  2.276116921145048e+00,  1.364650842934390e+00,  5.304780677710726e+00,  2.224335908888242e-01,  5.347182433754885e+00, -7.841000044306921e-01, -6.109918288148262e+00
sample_95   ,  8.208228313924362e-01,  6.939962492939990e-02,  5.305313776415463e+00, -5.036681551544796e-01, -1.864863787080599e+01,  4.569084758660722e-01, -4.918374855955254e+00
sample_96   , -5.603622190312795e-02, -5.910340581325951e-01, -1.635192748363467e-01, -9.220042966693831e-01,  3.490794457788332e-01,  4.806917828274950e-01,  9.976299328016572e-02
sample_97   ,  3.704961165717614e-01, -4.316020969292922e-01, -1.635287885204089e-01,  2.567696042345045e-01,  9.960028697222050e-01,  1.875063529827264e+00,  7.031438101609682e+00
sample_98   , -1.208327995079399e+00, -1.115411456775951e+00, -1.635803902488608e-01, -9.931426497219311e-01,  7.017132367818738e-01, -1.854915861310527e+00, -3.727170117514312e+00
sample_99   ,  1.400692844342275e+00,  1.088148470408392e+00,  5.304830252702453e+00, -4.422420667079052e-02,  1.551034585599617e+00, -7.991344059030330e-01, -6.637460551390457e+00
sample_100  ,  9.547910169160603e-01,  9.955923907172616e-01, -1.635429485056673e-01,  8.273619256167153e-01,  2.227084929677437e+00, -1.188002713900212e+00, -5.576028451598599e+00
sample_101  ,  1.203403822784711e+00,  8.716376023571125e-01,  5.304472441252947e+00,  3.845419610501969e-01,  8.316209836846322e-01, -1.408682894839324e+00, -5.993935063404668e+00
sample_102  ,  1.071668001536855e+00,  9.502285502469817e-01,  5.305557720260651e+00, -6.026967725612735e-01,  9.231489128060613e-01,  1.512568852535177e+00, -1.884860541670056e+00
sample_103  , -1.234324800530492e+00, -9.624365652035639e-01, -1.635978143912075e-01,  2.021716424651524e+00, -1.537719390790778e+01, -7.041172929133817e-01,  4.565485797804397e+00
sample_104  ,  3.751776904570919e-01,  1.242809588650486e+00,  5.304487150210707e+00,  5.782739639867169e-01,  7.596638363011268e-01, -1.867552365369638e+00, -8.330390642278708e+00
sample_105  ,  6.887741463409074e-01,  8.296619844209306e-01,  5.304471694109457e+00,  2.080484381445614e-01,  1.137103619737683e+00, -1.570852379592142e+00, -6.726945999540732e+00
sample_106  , -1.258232313573642e+00, -3.878720537731631e-01, -1.635495124531696e-01,  5.437068941782878e-01,  1.423864025838123e+00,  1.039122246040936e+00,  5.668290363036460e+00
sample_107  , -1.024277748285577e+00, -1.010326433515413e+00, -1.635057471804629e-01, -2.315342928608003e+00,  1.253876931415613e+00,  1.312495264520894e+00, -8.000948177310922e-02
sample_108  , -1.536587774880273e+00, -1.010326433515413e+00, -1.635057471804629e-01, -2.315342928608003e+00,  1.253876931415613e+00,  1.312495264520894e+00, -8.000948177310922e-02
sample_109  ,  7.272814633777750e-01,  9.955923907172616e-01, -1.635429485056673e-01,  8.273619256167153e-01,  2.227084929677437e+00, -1.188002713900212e+00, -5.576028451598599e+00
sample_110  , -1.493732732793762e+00, -1.239940951897052e+00, -1.635696030081776e-01, -8.206105309320429e-01,  5.882218253537377e-01, -6.308309198058066e-01,  6.163172751889653e-01
sample_111  ,  1.157664490109502e+00,  8.285428020423056e-01, -1.635471025953725e-01,  9.728448286123629e-01,  1.108426888491646e+00, -9.583437948433634e-01, -3.980085347381818e+00
sample_112  , -8.886803335150877e-01,  1.460483049344421e-01, -1.635238732670578e-01,  5.686585178447510e-01,  2.104770993648443e+00,  1.324818240695310e+00,  4.154972270333492e+00
sample_113  , -1.323029270669934e+00, -1.114907653334920e+00, -1.635785067526922e-01, -9.912784009075573e-01,  6.159177544713608e-01, -1.753768508464516e+00, -3.478006461053448e+00
sample_114  , -1.147928785840820e-01,  1.723308941519827e-02, -1.635564557031473e-01,  7.918750213037373e-01, -4.300126461223026e+00,  1.334029563091570e+00,  3.969926909086159e+00
sample_115  , -4.227680395476078e-01,  3.787340663587167e-01, -1.635950647246466e-01,  1.842560187704201e+00,  1.033764856540104e+01, -7.706776660857808e-01,  3.701321135573991e+00
