# c0 + a0 * (en_cottrell_sutton_sum + lattice_constant_std)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.554955966406271; Max AE: 1.39587624401268
# Coefficients
# Task   a0                      c0
# all ,  4.980735494403604e-01,  7.270726703261814e-17, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         172|130|add; (en_cottrell_sutton_sum + lattice_constant_std); $\left(en_{cottrell, sutton, sum} + lattice_{constant, std}\right)$; (en_cottrell_sutton_sum + lattice_constant_std); en_cottrell_sutton_sum,lattice_constant_std
# Number of Samples Per Task
# Task, n_samples               
# all , 191                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    , -1.181825419945348e+00,  2.710361961195531e-02,  5.441690216717809e-02
sample_1    ,  9.820173801588558e-01,  7.743728047835146e-01,  1.554735853075527e+00
sample_2    , -2.265898778388331e-01, -3.633516828451618e-01, -7.295141114267698e-01
sample_3    , -1.580056596568767e+00, -1.181155352587223e+00, -2.371447658512240e+00
sample_4    , -6.538388790589450e-01,  3.123124020786870e-01,  6.270407300881642e-01
sample_5    , -1.243329001943635e-01,  1.457334599165924e-01,  2.925942565718248e-01
sample_6    , -1.464725422431774e+00, -1.094619868160332e+00, -2.197707285179580e+00
sample_7    , -5.544795303232762e-01, -1.082684315927204e+00, -2.173743851974709e+00
sample_8    ,  1.375534745025239e+00,  7.743728047835146e-01,  1.554735853075527e+00
sample_9    , -1.322271680592587e+00, -1.172436097755293e+00, -2.353941700121704e+00
sample_10   ,  3.192860772233725e-01,  6.067799043584615e-02,  1.218253619450870e-01
sample_11   ,  1.159555402280817e+00,  8.382319467173172e-01,  1.682948126153580e+00
sample_12   ,  1.180415291424685e-01, -3.946148727635386e-01, -7.922823310069993e-01
sample_13   ,  1.859810708562005e-01, -2.772327841146062e-01, -5.566101320299127e-01
sample_14   ,  4.735603295186470e-02, -3.946148727635386e-01, -7.922823310069993e-01
sample_15   , -1.512819293106766e+00, -2.989175429086803e-01, -6.001473943849189e-01
sample_16   , -4.904647979091847e-01, -4.845933444227772e-01, -9.729353123996854e-01
sample_17   ,  8.217680552511124e-02,  5.470579917317862e-01,  1.098347808966095e+00
sample_18   ,  1.184682610579223e+00,  8.654233550675066e-01,  1.737541284896384e+00
sample_19   , -1.570848599014777e+00, -1.005276451260773e+00, -2.018329325840150e+00
sample_20   , -1.371480668945601e+00, -1.005276451260773e+00, -2.018329325840150e+00
sample_21   , -1.540845998544176e+00, -1.113297860670352e+00, -2.235207755804866e+00
sample_22   , -4.503452829583460e-01,  1.227631001092345e-01,  2.464758472863538e-01
sample_23   , -1.604395816727296e-01,  2.816988573355402e-01,  5.655768262580082e-01
sample_24   ,  4.029752984309805e-01,  1.601481712782662e+00,  3.215351858339196e+00
sample_25   ,  1.159859402839996e+00,  8.654233550675066e-01,  1.737541284896384e+00
sample_26   , -4.882595012842761e-01, -5.757818900633690e-02, -1.156017802411557e-01
sample_27   , -6.292389468500847e-01, -4.845933444227772e-01, -9.729353123996854e-01
sample_28   ,  9.390649292973059e-01,  1.587265895057489e+00,  3.186810254913062e+00
sample_29   , -1.840501760547247e-01,  5.638438295286188e-02,  1.132049333200202e-01
sample_30   , -7.494366413350256e-03,  5.843685047438935e-02,  1.173257454447228e-01
sample_31   , -1.033760245705074e+00, -1.194147006853899e+00, -2.397531465374245e+00
sample_32   , -1.276224306766404e+00,  2.710361961195531e-02,  5.441690216717809e-02
sample_33   , -1.176387515954566e+00, -1.270498769486782e+00, -2.550825617851670e+00
sample_34   ,  3.616514535288465e-02,  1.058199560090903e-01,  2.124584935859180e-01
sample_35   , -6.865864347172117e-01, -4.727845241411849e-01, -9.492263234464259e-01
sample_36   , -5.779541781958595e-01, -1.194147006853899e+00, -2.397531465374245e+00
sample_37   ,  8.850240829451580e-01,  7.739781447857849e-01,  1.553943480145519e+00
sample_38   ,  7.291833242535585e-01,  1.485422528014146e+00,  2.982335700587150e+00
sample_39   ,  1.295296019257506e+00,  5.703064708831620e-01,  1.145024608361482e+00
sample_40   , -1.125378376788511e+00, -1.018268105527449e+00, -2.044413132702155e+00
sample_41   ,  1.133851112289021e-01, -3.946148727635386e-01, -7.922823310069993e-01
sample_42   ,  6.270615110754807e-01,  8.796330835795457e-01,  1.766070662792491e+00
sample_43   ,  8.981057808172022e-02,  5.470579917317862e-01,  1.098347808966095e+00
sample_44   , -1.516772662271726e-01,  5.638438295286188e-02,  1.132049333200202e-01
sample_45   , -1.009473785557556e+00, -1.258563217253654e+00, -2.526862184646798e+00
sample_46   ,  2.198710725245677e-01, -2.772327841146062e-01, -5.566101320299127e-01
sample_47   , -3.190705676073038e-01, -5.484560851449374e-01, -1.101154810893265e+00
sample_48   ,  7.406397181312827e-01,  3.897202667451178e-01,  7.824552562227218e-01
sample_49   ,  2.377397508246557e+00,  1.454895917362954e+00,  2.921046337428854e+00
sample_50   ,  7.217347674185606e-01,  4.506192600268714e-02,  9.047243334507327e-02
sample_51   ,  1.833747993630055e-01, -2.772327841146062e-01, -5.566101320299127e-01
sample_52   ,  1.163396488687538e+00,  8.382319467173172e-01,  1.682948126153580e+00
sample_53   ,  5.877481602536888e-01, -3.710750784828259e-02, -7.450206478536547e-02
sample_54   ,  6.975449340049772e-01,  2.008497111519926e-01,  4.032531166886274e-01
sample_55   ,  1.094083839394089e+00,  2.225606202505978e-01,  4.468428819411684e-01
sample_56   ,  8.189522525504062e-01,  8.673791032604429e-01,  1.741467910181212e+00
sample_57   , -2.183617466012437e-01, -3.862305579791095e-01, -7.754488436759621e-01
sample_58   ,  1.763197294482562e-02, -2.829422813090379e-02, -5.680732928439081e-02
sample_59   ,  1.375372773594956e+00,  6.901186088913919e-01,  1.385575703963430e+00
sample_60   ,  9.387809664761781e-03,  5.843685047438935e-02,  1.173257454447228e-01
sample_61   , -1.568914413366311e+00, -1.005276451260773e+00, -2.018329325840150e+00
sample_62   ,  2.195632848632222e+00,  1.550592688141532e+00,  3.113180151573579e+00
sample_63   , -2.084290051031134e-01, -4.727845241411849e-01, -9.492263234464259e-01
sample_64   ,  1.216296062100502e+00,  6.189454955021951e-01,  1.242678909967509e+00
sample_65   , -6.952294439596317e-01, -4.727845241411849e-01, -9.492263234464259e-01
sample_66   , -1.577237781016708e+00, -1.181155352587223e+00, -2.371447658512240e+00
sample_67   ,  1.322307579187809e+00,  5.733468288711119e-01,  1.151128843351206e+00
sample_68   ,  1.105398899289431e+00,  8.673791032604429e-01,  1.741467910181212e+00
sample_69   ,  5.882307291037275e-01, -3.710750784828259e-02, -7.450206478536547e-02
sample_70   ,  1.403060937884271e+00,  7.009076620630247e-01,  1.407237270179415e+00
sample_71   ,  4.179482560341836e-02, -3.946148727635386e-01, -7.922823310069993e-01
sample_72   ,  1.044938442808791e-01,  2.816988573355402e-01,  5.655768262580082e-01
sample_73   , -1.371996605296394e+00, -1.005276451260773e+00, -2.018329325840150e+00
sample_74   , -5.824386467881182e-02, -2.829422813090379e-02, -5.680732928439081e-02
sample_75   ,  1.316921203657170e+00,  5.733468288711119e-01,  1.151128843351206e+00
sample_76   , -1.913439302648285e-01, -5.034626821686976e-01, -1.010819953668274e+00
sample_77   ,  2.615566878383235e-01, -1.866807131566534e-02, -3.748055149011831e-02
sample_78   ,  2.722099154462537e-01,  9.247795137445586e-01,  1.856712758153185e+00
sample_79   , -1.125194942406280e+00, -1.172436097755293e+00, -2.353941700121704e+00
sample_80   ,  1.144683531465042e+00,  1.522304309947546e+00,  3.056384567415835e+00
sample_81   , -8.996696257742992e-01, -1.258563217253654e+00, -2.526862184646798e+00
sample_82   ,  1.206876606666530e+00,  7.977965050598235e-01,  1.601764450162499e+00
sample_83   , -1.124856879182589e+00, -1.018268105527449e+00, -2.044413132702155e+00
