# c0 + a0 * (Tx_elec_aff / M_metallic_radius) + a1 * (metallic_radius_std / Tx_therm_cond) + a2 * (lattice_constant_av + en_allen_sum)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.439114836661892; Max AE: 1.55570266885687
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -5.439525534272216e-03,  1.680360626900659e-01,  5.062531882385910e-01,  6.306026080245913e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         68|136|div; (Tx_elec_aff / M_metallic_radius); $\left(\frac{ Tx_{elec, aff} }{ M_{metallic, radius} } \right)$; (Tx_elec_aff ./ M_metallic_radius); Tx_elec_aff,M_metallic_radius
# 1;  1; Unitless;                                         21|56|div; (metallic_radius_std / Tx_therm_cond); $\left(\frac{ metallic_{radius, std} }{ Tx_{therm, cond} } \right)$; (metallic_radius_std ./ Tx_therm_cond); metallic_radius_std,Tx_therm_cond
# 2;  1; Unitless;                                         143|117|add; (lattice_constant_av + en_allen_sum); $\left(lattice_{constant, av} + en_{allen, sum}\right)$; (lattice_constant_av + en_allen_sum); lattice_constant_av,en_allen_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 191                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    , -1.181825419945348e+00, -5.068266771987259e-01, -7.195801673093916e-01, -4.203205891554807e+00,  2.617051291238425e-01
sample_1    ,  9.820173801588558e-01,  8.558266362638056e-01,  1.651263537860967e-01, -7.992102175903233e-02,  1.594250104596533e+00
sample_2    , -2.265898778388331e-01, -1.040846883425080e-01,  3.343270462244876e-01,  6.903220187181701e-02, -3.494817853042615e-01
sample_3    , -1.580056596568767e+00, -1.474081815044404e+00,  5.446836215431968e+01,  8.964170634618114e-01, -2.748605747673782e+00
sample_4    , -6.538388790589450e-01,  3.012332258934501e-01, -4.783870817858075e+00, -1.467813944604456e+00,  9.062592874403278e-01
sample_5    , -1.243329001943635e-01,  1.989430452459670e-02,  9.242657375216828e-01, -1.206932036850515e+00,  3.252714689691888e-01
sample_6    , -1.464725422431774e+00, -1.257451123780143e+00, -1.918939588092655e+00, -1.436916353377294e+00, -2.152076795456751e+00
sample_7    , -5.544795303232762e-01, -1.202141642087196e+00,  1.792629640521993e+00, -9.264996684437397e-01, -2.172362599125597e+00
sample_8    ,  1.375534745025239e+00,  8.558266362638056e-01,  1.651263537860967e-01, -7.992102175903233e-02,  1.594250104596533e+00
sample_9    , -1.322271680592587e+00, -9.384587609838234e-01,  3.682208569974977e-01,  1.844333764052697e+00, -2.586513407621323e+00
sample_10   ,  3.192860772233725e-01,  6.007035825936289e-01,  5.120945726433457e+00,  1.535674127415805e+00,  6.073052180737573e-01
