# c0 + a0 * (M_group_id * heat_of_formation_std) + a1 * (atomic_radius_av / atomic_weight_av) + a2 * (heat_of_formation_std / group_id_sum) + a3 * (Tx_pett_num + lattice_constant_std)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.399390714247985; Max AE: 1.48984873111784
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -2.067126563131048e-01,  2.935183097212278e-02,  3.122770991109640e-01,  6.077675218734212e-01,  6.247165134326257e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         97|2|mult; (M_group_id * heat_of_formation_std); $\left(M_{group, id} heat_{of, formation, std}\right)$; (M_group_id .* heat_of_formation_std); M_group_id,heat_of_formation_std
# 1;  1; Unitless;                                         133|76|div; (atomic_radius_av / atomic_weight_av); $\left(\frac{ atomic_{radius, av} }{ atomic_{weight, av} } \right)$; (atomic_radius_av ./ atomic_weight_av); atomic_radius_av,atomic_weight_av
# 2;  1; Unitless;                                         2|88|div; (heat_of_formation_std / group_id_sum); $\left(\frac{ heat_{of, formation, std} }{ group_{id, sum} } \right)$; (heat_of_formation_std ./ group_id_sum); heat_of_formation_std,group_id_sum
# 3;  1; Unitless;                                         131|130|add; (Tx_pett_num + lattice_constant_std); $\left(Tx_{pett, num} + lattice_{constant, std}\right)$; (Tx_pett_num + lattice_constant_std); Tx_pett_num,lattice_constant_std
# Number of Samples Per Task
# Task, n_samples               
# all , 191                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    , -1.181825419945348e+00, -7.540986472342411e-01,  1.399489220736342e+00,  4.184138390212827e-01, -1.758910071291689e+00,  1.597314393045557e-02
sample_1    ,  9.820173801588558e-01,  9.898167788809928e-01, -4.759573540380479e-01, -4.957983159018490e+00,  5.406348618989600e-01,  1.325600146258950e+00
sample_2    , -2.265898778388331e-01, -2.837872418784663e-02,  4.702929699768149e-01,  3.228565477924284e+00, -3.800675577654569e-01,  4.983356079893742e-02
sample_3    , -1.580056596568767e+00, -1.511462948221027e+00,  7.167994908149771e-01, -1.141517333054696e+00,  3.916153766074955e-01, -2.491988973132632e+00
sample_4    , -6.538388790589450e-01,  8.315189710613036e-02,  1.400469034318916e+00, -1.332775827584891e+00,  9.505400039175613e-01,  8.631993952583761e-02
sample_5    , -1.243329001943635e-01, -4.974204838592138e-01, -0.000000000000000e+00,  1.265838564899282e+00, -2.138554196219610e+00,  1.164502599143239e-01
sample_6    , -1.464725422431774e+00, -1.357064526788702e+00, -0.000000000000000e+00,  3.593308272409719e-01,  1.728168909762485e-01, -2.441805295309502e+00
sample_7    , -5.544795303232762e-01, -8.882465419109469e-01, -1.104642741175205e+00,  5.115431940229939e-01,  7.852088412509853e-01, -2.368141181073713e+00
sample_8    ,  1.375534745025239e+00,  9.898167788809928e-01, -4.759573540380479e-01, -4.957983159018490e+00,  5.406348618989600e-01,  1.325600146258950e+00
sample_9    , -1.322271680592587e+00, -1.278062497459263e+00, -0.000000000000000e+00,  1.628444440729521e-01,  6.046655164423348e-01, -2.524217023110790e+00
sample_10   ,  3.192860772233725e-01,  4.242333777813224e-01,  0.000000000000000e+00, -2.688941102490787e+00,  1.797861876699178e+00, -1.986681024238693e-01
sample_11   ,  1.159555402280817e+00,  1.137164545054947e+00,  0.000000000000000e+00,  9.349569300596945e-01,  9.357938500295295e-01,  1.242289493775389e+00
sample_12   ,  1.180415291424685e-01,  1.353034240072447e-01, -3.209652179238264e-01,  1.015384303596814e+00, -1.932425084042874e-01,  6.092135569732116e-02
sample_13   ,  1.859810708562005e-01,  2.541581300465454e-01, -0.000000000000000e+00,  1.513235511912286e+00,  2.581582170580196e-01,  1.096691484872805e-01
sample_14   ,  4.735603295186470e-02,  1.353034240072447e-01, -3.209652179238264e-01,  1.015384303596814e+00, -1.932425084042874e-01,  6.092135569732116e-02
sample_15   , -1.512819293106766e+00, -7.465194841394298e-01,  1.711552521754272e+00, -1.729474352628673e+00, -1.383192240705883e+00,  4.526555142849742e-02
sample_16   , -4.904647979091847e-01, -3.509981325130422e-01,  0.000000000000000e+00, -1.466812469171469e+00, -9.796852894171646e-01, -1.060979233864593e-01
sample_17   ,  8.217680552511124e-02,  2.778202882227635e-01, -1.361933449431116e+00, -3.668225848333211e+01,  1.297341005035018e+00,  9.960738261042684e-01
sample_18   ,  1.184682610579223e+00,  9.730744703902200e-01,  1.612383894151245e+00,  3.588665825878029e-01,  1.322483396111227e+00,  1.349839004955253e+00
sample_19   , -1.570848599014777e+00, -1.422859649169761e+00,  2.362816257693525e+00, -1.235736143967619e+00,  1.353540880805161e+00, -2.276061038278977e+00
sample_20   , -1.371480668945601e+00, -1.422859649169761e+00,  2.362816257693525e+00, -1.235736143967619e+00,  1.353540880805161e+00, -2.276061038278977e+00
sample_21   , -1.540845998544176e+00, -1.319844711862784e+00,  1.435997396724551e+00,  4.064625009720798e+00,  8.226120735658903e-01, -2.404973238191607e+00
sample_22   , -4.503452829583460e-01,  8.657770290827618e-02,  2.948611279206323e-01, -8.915328904152484e-01,  2.599043204436422e-01,  4.946551592507836e-02
sample_23   , -1.604395816727296e-01,  4.504418609244523e-01, -1.117254194893257e+00, -6.152527200649748e+00,  9.847998423335811e-01,  4.948788240794333e-02
sample_24   ,  4.029752984309805e-01,  1.605577721437185e+00, -0.000000000000000e+00, -3.218554796047317e-01, -6.838721207988528e-01,  2.905898482911177e+00
sample_25   ,  1.159859402839996e+00,  9.730744703902200e-01,  1.612383894151245e+00,  3.588665825878029e-01,  1.322483396111227e+00,  1.349839004955253e+00
sample_26   , -4.882595012842761e-01, -5.973783479960151e-01,  1.026421567316508e+00,  4.570427274695508e-01, -1.443739248763565e+00, -1.685514065944327e-02
sample_27   , -6.292389468500847e-01, -3.509981325130422e-01,  0.000000000000000e+00, -1.466812469171469e+00, -9.796852894171646e-01, -1.060979233864593e-01
sample_28   ,  9.390649292973059e-01,  1.854301464867800e+00,  1.353585394195047e+00,  3.876846126437560e-01,  1.038089613201655e+00,  2.856490544781266e+00
sample_29   , -1.840501760547247e-01, -2.303339130926226e-01, -0.000000000000000e+00,  1.267382850757988e+00, -1.201282842288369e+00,  7.425133448095544e-02
sample_30   , -7.494366413350256e-03,  1.280898590632776e-01, -1.055135361494771e+00,  3.576226104113613e+00, -9.300454116799377e-01,  5.425014049573879e-02
sample_31   , -1.033760245705074e+00, -8.996065888805244e-01, -1.459201693754650e+00,  1.392749663910363e-01,  9.783291061305617e-01, -2.588673123067105e+00
sample_32   , -1.276224306766404e+00, -7.540986472342411e-01,  1.399489220736342e+00,  4.184138390212827e-01, -1.758910071291689e+00,  1.597314393045557e-02
sample_33   , -1.176387515954566e+00, -1.180435432382272e+00, -0.000000000000000e+00,  3.498094640697544e-01,  1.159576889052869e+00, -2.657733230163157e+00
sample_34   ,  3.616514535288465e-02,  6.272469462875764e-01, -1.653879561948099e+00, -5.720931843613413e+00,  1.575440983552365e+00, -1.664400524457120e-01
sample_35   , -6.865864347172117e-01, -2.556392705444431e-01,  8.835720882453085e-01,  3.171818851797548e+00, -6.683077981831803e-01, -3.268825340228310e-02
sample_36   , -5.779541781958595e-01, -8.996065888805244e-01, -1.459201693754650e+00,  1.392749663910363e-01,  9.783291061305617e-01, -2.588673123067105e+00
sample_37   ,  8.850240829451580e-01,  9.491503888432986e-01,  0.000000000000000e+00, -2.531981423699938e+00,  6.523214409836510e-01,  1.246022457173177e+00
sample_38   ,  7.291833242535585e-01,  1.397441266049895e+00,  4.696451661980714e-01, -1.583647844876944e+01,  3.852047496962820e-01,  2.923141114686083e+00
