# c0 + a0 * (Tx_vdw_radius / covalent_radius_cordero_av) + a1 * (Tx_elec_aff / M_metallic_radius) + a2 * (electron_affinity_sum / atomic_weight_av) + a3 * (heat_of_formation_std / en_martynov_batsanov_sum) + a4 * (Tx_pett_num + lattice_constant_std)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.357285925509926; Max AE: 1.04719437155726
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -6.697494593384669e-02, -6.208255154999089e-03,  1.120462812923150e-02,  1.820028199627145e-01,  5.373710011109488e-01, -1.076126891859440e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         142|123|div; (Tx_vdw_radius / covalent_radius_cordero_av); $\left(\frac{ Tx_{vdw, radius} }{ covalent_{radius, cordero, av} } \right)$; (Tx_vdw_radius ./ covalent_radius_cordero_av); Tx_vdw_radius,covalent_radius_cordero_av
# 1;  1; Unitless;                                         68|136|div; (Tx_elec_aff / M_metallic_radius); $\left(\frac{ Tx_{elec, aff} }{ M_{metallic, radius} } \right)$; (Tx_elec_aff ./ M_metallic_radius); Tx_elec_aff,M_metallic_radius
# 2;  1; Unitless;                                         137|76|div; (electron_affinity_sum / atomic_weight_av); $\left(\frac{ electron_{affinity, sum} }{ atomic_{weight, av} } \right)$; (electron_affinity_sum ./ atomic_weight_av); electron_affinity_sum,atomic_weight_av
# 3;  1; Unitless;                                         2|165|div; (heat_of_formation_std / en_martynov_batsanov_sum); $\left(\frac{ heat_{of, formation, std} }{ en_{martynov, batsanov, sum} } \right)$; (heat_of_formation_std ./ en_martynov_batsanov_sum); heat_of_formation_std,en_martynov_batsanov_sum
# 4;  1; Unitless;                                         131|130|add; (Tx_pett_num + lattice_constant_std); $\left(Tx_{pett, num} + lattice_{constant, std}\right)$; (Tx_pett_num + lattice_constant_std); Tx_pett_num,lattice_constant_std
# Number of Samples Per Task
# Task, n_samples               
# all , 191                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    , -1.181825419945348e+00, -9.208293114783643e-01,  1.007825560110602e+01, -7.195801673093916e-01,  4.829127769410079e+00, -1.660616253653873e+00,  1.597314393045557e-02
sample_1    ,  9.820173801588558e-01,  1.524884906844846e+00, -1.136425499844597e+01,  1.651263537860967e-01, -1.596002624294922e+00,  4.455672524651890e-01,  1.325600146258950e+00
sample_2    , -2.265898778388331e-01, -1.645666280753330e-01,  5.525662385574041e-02,  3.343270462244876e-01,  7.941391539271403e-01, -1.009358572295933e+00,  4.983356079893742e-02
sample_3    , -1.580056596568767e+00, -1.531707361589013e+00, -1.356135891718672e+00,  5.446836215431968e+01,  6.205197699522037e-01,  3.216993309458529e-01, -2.491988973132632e+00
sample_4    , -6.538388790589450e-01,  1.806274781601616e-01, -5.379139661292844e-01, -4.783870817858075e+00, -5.015754938309273e+00,  7.443639290555993e-01,  8.631993952583761e-02
sample_5    , -1.243329001943635e-01, -2.809926364832123e-01, -1.119214001180479e+00,  9.242657375216828e-01,  1.723224508975224e+00, -2.315006272402143e+00,  1.164502599143239e-01
sample_6    , -1.464725422431774e+00, -1.219761496709126e+00, -1.034262862990812e+00, -1.918939588092655e+00, -3.788230947744308e-01,  1.440457585049036e-01, -2.441805295309502e+00
sample_7    , -5.544795303232762e-01, -1.085371373820707e+00, -1.789220897983391e+00,  1.792629640521993e+00, -1.451954480498179e+00,  5.797988826784869e-01, -2.368141181073713e+00
sample_8    ,  1.375534745025239e+00,  1.524884906844846e+00, -1.136425499844597e+01,  1.651263537860967e-01, -1.596002624294922e+00,  4.455672524651890e-01,  1.325600146258950e+00
sample_9    , -1.322271680592587e+00, -1.163071370536410e+00, -1.789220897983391e+00,  3.682208569974977e-01,  3.091832215336086e-01,  4.566944635031555e-01, -2.524217023110790e+00
sample_10   ,  3.192860772233725e-01,  8.049098480289320e-02, -8.093254077329419e-01,  5.120945726433457e+00, -6.878185970997230e+00,  1.388252441083585e+00, -1.986681024238693e-01
sample_11   ,  1.159555402280817e+00,  9.587659417970604e-01, -2.623693771453256e+00,  1.105317327511272e+00, -2.229935749535002e-01,  7.450201342631939e-01,  1.242289493775389e+00
sample_12   ,  1.180415291424685e-01, -1.191132458338464e-01,  6.272358424538312e-02,  1.015839871220514e+01,  2.029338857678888e-02, -4.068612061495386e-01,  6.092135569732116e-02
sample_13   ,  1.859810708562005e-01,  1.758052072381845e-01,  5.433261622516375e-02,  6.867352223539926e-02,  4.319919916152603e-01,  6.970134486425634e-01,  1.096691484872805e-01
sample_14   ,  4.735603295186470e-02, -1.191132458338464e-01,  6.272358424538312e-02,  1.015839871220514e+01,  2.029338857678888e-02, -4.068612061495386e-01,  6.092135569732116e-02
sample_15   , -1.512819293106766e+00, -7.097008923614769e-01,  6.395827502049065e-02,  3.343270462244876e-01, -4.059893397594704e-01, -3.913982591476620e+00,  4.526555142849742e-02
sample_16   , -4.904647979091847e-01, -4.543822504737089e-01,  7.772885051651060e-02, -3.578839654706586e-01,  1.342618107925631e-01, -2.116051484271548e+00, -1.060979233864593e-01
sample_17   ,  8.217680552511124e-02,  3.766538582088995e-01,  9.782544762899670e-01,  8.304424011620730e-01, -3.701686268081294e+01,  1.854851797949799e+00,  9.960738261042684e-01
sample_18   ,  1.184682610579223e+00,  1.065985340034092e+00, -1.382845319938220e+00, -1.032562262915590e+00,  7.100857079064364e-01,  1.342834274463613e+00,  1.349839004955253e+00
sample_19   , -1.570848599014777e+00, -1.242545987004005e+00, -1.404709187168970e+00,  5.446836215431968e+01,  1.714720592501912e+00,  1.187700511285738e+00, -2.276061038278977e+00
sample_20   , -1.371480668945601e+00, -1.242545987004005e+00, -1.404709187168970e+00,  5.446836215431968e+01,  1.714720592501912e+00,  1.187700511285738e+00, -2.276061038278977e+00
sample_21   , -1.540845998544176e+00, -1.135495290310026e+00, -9.137738132498846e-01, -2.866755902859063e-01, -2.270183810303060e+00,  7.147455941471075e-01, -2.404973238191607e+00
