# c0 + a0 * (lattice_constant_sum + lattice_param_c)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.760368058323746; Max AE: 3.22184285283125
# Coefficients
# Task   a0                      c0
# all ,  4.740815495830188e-01,  2.724487700330636e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         368|194|add; (lattice_constant_sum + lattice_param_c); $\left(lattice_{constant, sum} + lattice_{param, c}\right)$; (lattice_constant_sum + lattice_param_c); lattice_constant_sum,lattice_param_c
# Number of Samples Per Task
# Task, n_samples               
# all , 214                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    , -1.604369091098126e-02, -3.259814597441155e-01, -6.876062990235218e-01
sample_1    , -3.202941263068643e-01,  1.688075550103438e-01,  3.560728215616473e-01
sample_2    ,  1.566373447609220e+00,  1.150050449160480e+00,  2.425849413823451e+00
sample_3    , -1.229988929140020e+00, -8.654183750675386e-01, -1.825463099816313e+00
sample_4    , -5.015740038132262e-02,  1.466317470985658e-01,  3.092964643478244e-01
sample_5    ,  1.550035541557961e-02, -3.152530520562286e-01, -6.649764208995509e-01
sample_6    , -2.849253345366325e-01,  3.486622703590069e-01,  7.354478795170885e-01
sample_7    , -8.596644739960076e-03, -2.900020686073017e-01, -6.117134675719291e-01
sample_8    , -4.879038376897022e-01, -8.476878845252614e-01, -1.788063436070968e+00
sample_9    , -3.337341530470113e-01,  1.773086008807095e-01,  3.740044324371241e-01
sample_10   , -4.485894358631982e-02,  1.135483828558183e-01,  2.395123432997766e-01
sample_11   , -1.889081706965685e-01, -8.706857173282349e-01, -1.836573724697896e+00
sample_12   , -8.803093077721602e-02,  8.682626132544249e-02,  1.831462570138213e-01
sample_13   ,  7.030961086560218e-01, -2.349117819901639e-01, -4.955092266231035e-01
sample_14   ,  1.654107030850625e+00,  1.150050449160480e+00,  2.425849413823451e+00
sample_15   , -2.721548534224627e-01,  1.773086008807095e-01,  3.740044324371241e-01
sample_16   , -1.091377553569199e-01, -2.792796175548803e-01, -5.890961540277670e-01
sample_17   , -1.016940770210921e-01, -2.792796175548803e-01, -5.890961540277670e-01
sample_18   , -3.085037806422997e-01,  1.773086008807095e-01,  3.740044324371241e-01
