# c0 + a0 * (M_tot_center - site_d_fill) + a1 * (ne_s_std * Tx_density) + a2 * (lattice_constant_sum + lattice_param_c)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.590181611395239; Max AE: 2.47358549368356
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -2.532722493286856e-01, -5.097453123490068e-01,  4.131135396368995e-01, -9.831703264827778e-03, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         336|261|sub; (M_tot_center - site_d_fill); $\left(M_{tot, center} - site_{d, fill}\right)$; (M_tot_center - site_d_fill); M_tot_center,site_d_fill
# 1;  1; Unitless;                                         340|230|mult; (ne_s_std * Tx_density); $\left(ne_{s, std} Tx_{density}\right)$; (ne_s_std .* Tx_density); ne_s_std,Tx_density
# 2;  1; Unitless;                                         368|194|add; (lattice_constant_sum + lattice_param_c); $\left(lattice_{constant, sum} + lattice_{param, c}\right)$; (lattice_constant_sum + lattice_param_c); lattice_constant_sum,lattice_param_c
# Number of Samples Per Task
# Task, n_samples               
# all , 214                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    , -1.604369091098126e-02, -8.095449347602863e-03, -2.462372541086499e-01, -4.383182294256537e-01, -6.876062990235218e-01
sample_1    , -3.202941263068643e-01, -1.422406201051545e-01,  7.264233548302291e-01,  1.873966099682583e-01,  3.560728215616473e-01
sample_2    ,  1.566373447609220e+00,  8.983054768280532e-01, -1.171382671330823e-03,  1.850154073358962e-01,  2.425849413823451e+00
sample_3    , -1.229988929140020e+00, -6.634079518258624e-01, -7.796880091030127e-01,  1.901460580634690e-01, -1.825463099816313e+00
sample_4    , -5.015740038132262e-02, -7.901784954174060e-02,  3.996294812372059e-01,  1.878303606336328e-01,  3.092964643478244e-01
sample_5    ,  1.550035541557961e-02,  5.192295668272652e-01, -2.291373697183058e+00, -4.383182294256537e-01, -6.649764208995509e-01
sample_6    , -2.849253345366325e-01,  1.716840028527603e-02,  7.158258758106424e-01,  1.873966099682583e-01,  7.354478795170885e-01
sample_7    , -8.596644739960076e-03,  1.548839802371567e-01, -7.659431188435804e-01, -4.383182294256537e-01, -6.117134675719291e-01
sample_8    , -4.879038376897022e-01, -6.323637134090819e-01, -2.323722004924860e-01, -1.123850945527266e-01, -1.788063436070968e+00
sample_9    , -3.337341530470113e-01,  1.338218842481341e-01,  2.898817670706243e-01, -1.227403141502277e-01,  3.740044324371241e-01
