# c0 + a0 * (M_tDOS_at_EF / dipole_polarizability_av) + a1 * (M_tot_center - site_d_fill) + a2 * (ne_s_std * Tx_density) + a3 * (lattice_constant_sum + lattice_param_c)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.535972968627973; Max AE: 2.5016646408744
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  1.803418698006003e-02, -2.372723490931589e-01, -5.053956352264886e-01,  4.167112145583174e-01, -3.158950061061117e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         100|314|div; (M_tDOS_at_EF / dipole_polarizability_av); $\left(\frac{ M_{tDOS, at, EF} }{ dipole_{polarizability, av} } \right)$; (M_tDOS_at_EF ./ dipole_polarizability_av); M_tDOS_at_EF,dipole_polarizability_av
# 1;  1; Unitless;                                         336|261|sub; (M_tot_center - site_d_fill); $\left(M_{tot, center} - site_{d, fill}\right)$; (M_tot_center - site_d_fill); M_tot_center,site_d_fill
# 2;  1; Unitless;                                         340|230|mult; (ne_s_std * Tx_density); $\left(ne_{s, std} Tx_{density}\right)$; (ne_s_std .* Tx_density); ne_s_std,Tx_density
# 3;  1; Unitless;                                         368|194|add; (lattice_constant_sum + lattice_param_c); $\left(lattice_{constant, sum} + lattice_{param, c}\right)$; (lattice_constant_sum + lattice_param_c); lattice_constant_sum,lattice_param_c
# Number of Samples Per Task
# Task, n_samples               
# all , 214                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    , -1.604369091098126e-02, -1.483410126283821e-01, -6.108823638352860e+00, -2.462372541086499e-01, -4.383182294256537e-01, -6.876062990235218e-01
sample_1    , -3.202941263068643e-01, -1.462835745405486e-01,  2.215787549070001e-01,  7.264233548302291e-01,  1.873966099682583e-01,  3.560728215616473e-01
sample_2    ,  1.566373447609220e+00,  8.575108930718082e-01, -1.583116517534247e+00, -1.171382671330823e-03,  1.850154073358962e-01,  2.425849413823451e+00
sample_3    , -1.229988929140020e+00, -6.833572182420496e-01,  1.110325082450794e+00, -7.796880091030127e-01,  1.901460580634690e-01, -1.825463099816313e+00
sample_4    , -5.015740038132262e-02, -2.695510779563631e-01, -9.820193871298660e+00,  3.996294812372059e-01,  1.878303606336328e-01,  3.092964643478244e-01
sample_5    ,  1.550035541557961e-02,  4.034507252918877e-01, -2.942210919921303e+00, -2.291373697183058e+00, -4.383182294256537e-01, -6.649764208995509e-01
sample_6    , -2.849253345366325e-01,  1.705651615455670e-02,  3.732773473050598e-01,  7.158258758106424e-01,  1.873966099682583e-01,  7.354478795170885e-01
sample_7    , -8.596644739960076e-03,  2.622159342872729e-01,  8.065351325269084e+00, -7.659431188435804e-01, -4.383182294256537e-01, -6.117134675719291e-01
sample_8    , -4.879038376897022e-01, -6.548043588113894e-01,  5.521066093203648e-01, -2.323722004924860e-01, -1.123850945527266e-01, -1.788063436070968e+00
sample_9    , -3.337341530470113e-01,  1.315193203394224e-01,  7.766076989620191e-01,  2.898817670706243e-01, -1.227403141502277e-01,  3.740044324371241e-01
sample_10   , -4.485894358631982e-02, -2.397713667317505e-01,  1.712154685955435e+00,  1.029016805133681e+00,  1.873966099682583e-01,  2.395123432997766e-01
sample_11   , -1.889081706965685e-01, -3.102912472590850e-01,  5.593976012676445e-01, -1.747534729157957e+00, -1.224568738546794e-01, -1.836573724697896e+00
sample_12   , -8.803093077721602e-02,  5.404913480565107e-01, -3.317422172777895e-01, -1.857113537379493e+00, -1.209008444770776e-01,  1.831462570138213e-01
sample_13   ,  7.030961086560218e-01, -6.451745626536504e-02, -4.639471087381609e-01, -1.167425095813761e+00,  1.881189376069228e-01, -4.955092266231035e-01
sample_14   ,  1.654107030850625e+00,  8.575086653283898e-01, -1.583116517534247e+00, -1.161993699430430e-03,  1.850154073358962e-01,  2.425849413823451e+00
sample_15   , -2.721548534224627e-01,  4.422567293343294e-01,  7.766076989620191e-01, -1.019741584249187e+00, -1.227403141502277e-01,  3.740044324371241e-01
sample_16   , -1.091377553569199e-01, -5.002996105914367e-02, -3.459406845908252e-01, -4.955129593035190e-02, -4.383182294256537e-01, -5.890961540277670e-01
sample_17   , -1.016940770210921e-01,  2.041168118458921e-01, -3.459406845908252e-01, -1.120669670559211e+00, -4.383182294256537e-01, -5.890961540277670e-01
sample_18   , -3.085037806422997e-01, -1.792203381863281e-01,  7.766076989620191e-01,  1.599514599186879e+00, -1.227403141502277e-01,  3.740044324371241e-01
sample_19   , -3.700463146583963e-01, -4.762677279673888e-01, -6.108823638352860e+00,  1.135831565087196e+00, -4.383182294256537e-01, -6.876062990235218e-01
sample_20   , -1.228134374597548e-01, -9.468928627718985e-02, -7.650589834430673e-01, -1.354428031222367e-01, -2.898857655556988e-01, -5.470128799886330e-01
sample_21   , -1.679966809266178e-01, -5.398851017556339e-01, -4.006513676203252e-01,  2.292566097637039e+00,  1.873966099682583e-01,  3.302089982151826e-01
