# c0 + a0 * (surf_tot_center + M_tot_center)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.848097191211168; Max AE: 4.22013322427147
# Coefficients
# Task   a0                      c0
# all , -2.996508213345372e-01,  6.279500435429458e-17, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         113|82|add; (surf_tot_center + M_tot_center); $\left(surf_{tot, center} + M_{tot, center}\right)$; (surf_tot_center + M_tot_center); surf_tot_center,M_tot_center
# Number of Samples Per Task
# Task, n_samples               
# all , 214                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    , -1.604369091098126e-02, -1.856342164322975e-01,  6.195017774540026e-01
sample_1    , -3.202941263068643e-01,  3.373806232647978e-01, -1.125912559699405e+00
sample_2    ,  1.566373447609220e+00,  6.923854933446377e-01, -2.310641066361844e+00
sample_3    , -1.229988929140020e+00, -6.100822844997732e-02,  2.035977347843354e-01
sample_4    , -5.015740038132262e-02,  2.452654073710749e-01, -8.185040383962598e-01
sample_5    ,  1.550035541557961e-02,  2.826386846729673e-04, -9.432267978246589e-04
sample_6    , -2.849253345366325e-01,  3.645758011110395e-01, -1.216668786313849e+00
sample_7    , -8.596644739960076e-03,  7.410934724224078e-02, -2.473190192243901e-01
sample_8    , -4.879038376897022e-01, -7.173080905251288e-01,  2.393813196741781e+00
sample_9    , -3.337341530470113e-01, -4.107004336656298e-01,  1.370596722667128e+00
sample_10   , -4.485894358631982e-02,  1.876474532493816e-01, -6.262203868277989e-01
sample_11   , -1.889081706965685e-01, -5.022241317972546e-02,  1.676031220473647e-01
sample_12   , -8.803093077721602e-02,  7.015371258909614e-01, -2.341182055722613e+00
sample_13   ,  7.030961086560218e-01,  3.591224787195538e-01, -1.198469862756094e+00
sample_14   ,  1.654107030850625e+00,  6.923854933446377e-01, -2.310641066361844e+00
sample_15   , -2.721548534224627e-01, -4.107004336656298e-01,  1.370596722667128e+00
sample_16   , -1.091377553569199e-01, -8.867275213683952e-03,  2.959202706067132e-02
