# c0 + a0 * (M_s_fill / Tx_tot_center) + a1 * (Tx_s_fill - surf_tot_skew)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.764805360309028; Max AE: 3.90759634048562
# Coefficients
# Task   a0                      a1                      c0
# all , -8.607875186310492e-02,  2.612375503037097e-01, -3.217526102415910e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         67|62|div; (M_s_fill / Tx_tot_center); $\left(\frac{ M_{s, fill} }{ Tx_{tot, center} } \right)$; (M_s_fill ./ Tx_tot_center); M_s_fill,Tx_tot_center
# 1;  1; Unitless;                                         116|92|sub; (Tx_s_fill - surf_tot_skew); $\left(Tx_{s, fill} - surf_{tot, skew}\right)$; (Tx_s_fill - surf_tot_skew); Tx_s_fill,surf_tot_skew
# Number of Samples Per Task
# Task, n_samples               
# all , 214                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    , -1.604369091098126e-02, -2.674458427930909e-01,  2.921226891314894e+00,  6.195504025196985e-02
sample_1    , -3.202941263068643e-01,  3.520574523056575e-01,  4.411345104036680e-01,  1.616172793299658e+00
sample_2    ,  1.566373447609220e+00,  6.704532848403078e-01,  5.729392551806489e-01,  2.878401060527462e+00
sample_3    , -1.229988929140020e+00, -8.838875349880918e-01,  3.741431102131269e+00, -2.027482472925144e+00
sample_4    , -5.015740038132262e-02,  4.201106809919123e-01, -1.028481601661080e+00,  1.392432018322112e+00
sample_5    ,  1.550035541557961e-02, -3.607045088559457e-01, -4.039958903243913e-01, -1.390706310813139e+00
sample_6    , -2.849253345366325e-01,  3.394725380514051e-01,  3.458351204472025e-01,  1.536597070855268e+00
sample_7    , -8.596644739960076e-03, -2.456677051987952e-01,  3.529543938426088e+00,  3.457630520040383e-01
sample_8    , -4.879038376897022e-01, -6.886475983748771e-01, -1.833347421676366e-01, -2.573342011315385e+00
sample_9    , -3.337341530470113e-01, -3.293729656033338e-01,  1.288398410446243e+00, -7.131209785460475e-01
sample_10   , -4.485894358631982e-02,  3.837597936073375e-01, -1.118946370313863e+00,  1.223474754305216e+00
sample_11   , -1.889081706965685e-01,  7.291060400452963e-03,  1.171567858245574e+00,  5.371104583632652e-01
sample_12   , -8.803093077721602e-02,  4.575752575141023e-01,  4.343974506607033e-01,  2.017868060280015e+00
sample_13   ,  7.030961086560218e-01, -1.141768349546181e-01, -2.867473829524486e+00, -1.258739954473440e+00
sample_14   ,  1.654107030850625e+00,  6.704532848403078e-01,  5.729392551806489e-01,  2.878401060527462e+00
sample_15   , -2.721548534224627e-01, -3.293729656033338e-01,  1.288398410446243e+00, -7.131209785460475e-01
sample_16   , -1.091377553569199e-01, -4.098602912004455e-01, -3.845633555806263e-01, -1.572468289338115e+00
sample_17   , -1.016940770210921e-01, -4.098602912004455e-01, -3.845633555806263e-01, -1.572468289338115e+00
