# c0 + a0 * (CN_sp_var / Tx_tot_center) + a1 * (surf_charge_min / Tx_s_skew) + a2 * surf_tot_center
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.650009613221898; Max AE: 2.83734154690425
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -3.404636101514243e-02, -1.611340358511617e-01, -4.580348958079237e-01, -1.526969183312479e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         66|62|div; (CN_sp_var / Tx_tot_center); $\left(\frac{ CN_{sp, var} }{ Tx_{tot, center} } \right)$; (CN_sp_var ./ Tx_tot_center); CN_sp_var,Tx_tot_center
# 1;  1; Unitless;                                         136|36|div; (surf_charge_min / Tx_s_skew); $\left(\frac{ surf_{charge, min} }{ Tx_{s, skew} } \right)$; (surf_charge_min ./ Tx_s_skew); surf_charge_min,Tx_s_skew
# 2;  0; Unitless;                                         113; surf_tot_center; $surf_{tot, center}$; surf_tot_center; surf_tot_center
# Number of Samples Per Task
# Task, n_samples               
# all , 214                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    , -1.604369091098126e-02, -1.377051469758516e-02, -2.380230214668266e+00, -2.623765702377654e+00,  7.966417704101486e-01
sample_1    , -3.202941263068643e-01,  1.268897503998107e-01,  1.192079473035451e-01,  7.079825945605884e-01, -8.683298193104025e-01
sample_2    ,  1.566373447609220e+00,  8.428349921061297e-01, -2.511020800278325e-01, -6.675921036752317e-01, -1.919965042947992e+00
sample_3    , -1.229988929140020e+00, -7.800580503128630e-01,  7.848008027263379e-01,  1.274989146286405e+00,  8.628106228071989e-01
sample_4    , -5.015740038132262e-02,  2.410437400116869e-02,  1.280325342727654e+00, -1.204429540277384e-01, -4.387968116292067e-01
sample_5    ,  1.550035541557961e-02, -2.597914829489746e-01, -3.965778820699060e-01, -2.318338391476439e+00,  1.078869370808406e+00
sample_6    , -2.849253345366325e-01,  1.392996433941154e-01, -1.486314818675077e+00,  1.155242264961681e+00, -9.334262591752341e-01
sample_7    , -8.596644739960076e-03,  3.203746568051647e-03,  2.598254464801096e+00, -2.659715795459919e+00,  4.021723401608773e-01
sample_8    , -4.879038376897022e-01, -8.168823589393895e-01, -8.827263590284585e-01,  4.539509507550522e-01,  1.355992999258352e+00
sample_9    , -3.337341530470113e-01, -3.904003650895820e-01,  8.966487483788026e-01, -3.738277474114718e-02,  4.654655334863714e-01
sample_10   , -4.485894358631982e-02, -1.219919387890930e-01,  1.211198216057296e+00,  4.696037836926261e-01, -3.222702583040908e-01
sample_11   , -1.889081706965685e-01, -1.483583758875216e-01,  5.732037980859620e-01,  1.270886502822423e-01, -9.678815615406083e-02
sample_12   , -8.803093077721602e-02,  3.983660789737681e-01,  7.735997605628320e-01, -7.666831178701411e-02, -1.233633910223253e+00
sample_13   ,  7.030961086560218e-01,  8.595137114494154e-01,  4.456555793063483e-01, -6.258298363226219e+00, -4.139140460322023e-02
sample_14   ,  1.654107030850625e+00,  8.428349921061297e-01, -2.511020800278325e-01, -6.675921036752317e-01, -1.919965042947992e+00
sample_15   , -2.721548534224627e-01, -3.904003650895820e-01,  8.966487483788026e-01, -3.738277474114718e-02,  4.654655334863714e-01
sample_16   , -1.091377553569199e-01, -2.713363996810697e-01,  7.613363153364747e-01, -2.301377654644091e+00,  1.012038654820767e+00
sample_17   , -1.016940770210921e-01, -2.713363996810697e-01,  7.613363153364747e-01, -2.301377654644091e+00,  1.012038654820767e+00
sample_18   , -3.085037806422997e-01, -3.904003650895820e-01,  8.966487483788026e-01, -3.738277474114718e-02,  4.654655334863714e-01
sample_19   , -3.700463146583963e-01, -1.377051469758516e-02, -2.380230214668266e+00, -2.623765702377654e+00,  7.966417704101486e-01
sample_20   , -1.228134374597548e-01, -1.576134933926432e-01,  4.822338228465602e-01, -2.542075316431228e+00,  8.691764034855979e-01
sample_21   , -1.679966809266178e-01, -5.084772381806132e-02,  1.336403976627464e+00,  6.735364353761883e-01, -5.586441846033273e-01
sample_22   , -7.329624959252305e-02,  2.867104120306269e-01, -1.435830663175757e+00, -3.008581014764771e-01, -7.467641532727108e-01
sample_23   , -1.253198409486902e+00, -9.190364426353174e-01, -2.067759948485369e-01,  6.452200124444272e-01,  1.461488187872825e+00
sample_24   , -1.139675111481394e+00, -6.819125191137304e-01, -1.522069010508248e+00,  5.856896081832168e-01,  1.062499791905900e+00
sample_25   , -3.094527088114199e-03,  5.254873472307640e-01,  1.014822344960421e+00, -2.648382205451934e-01, -1.462903434417953e+00
sample_26   ,  2.767472857125728e-02,  1.268897503998107e-01,  1.192079473035451e-01,  7.079825945605884e-01, -8.683298193104025e-01
sample_27   ,  7.064099332708291e-03,  7.214309809215654e-04,  7.984749209995642e-01,  4.718780644286448e-01, -5.603047585105856e-01
sample_28   , -2.132166347170482e-03, -4.520868011944942e-02, -1.875912608199884e-01, -2.471089962509259e+00,  6.485865223516843e-01
sample_29   , -3.361241423951178e-03,  4.616473167375145e-01,  1.169640435070709e+00, -2.935271730248496e-01, -1.324940573549884e+00
sample_30   ,  1.213059173271408e+00,  7.214309809215654e-04,  7.984749209995642e-01,  4.718780644286448e-01, -5.603047585105856e-01
sample_31   ,  3.457564968314577e+00,  3.169714460754321e+00, -1.716845256314990e+00, -1.794383481911269e+01, -8.134675459049622e-01
sample_32   , -4.012693904379927e-02,  4.859137082704617e-01,  1.397383465529933e+00, -4.287260506637540e-01, -1.347286190147691e+00
sample_33   , -5.547166731033191e-02, -1.045714497102475e+00,  9.610242934121745e-02,  2.247497102638268e-01,  1.863462414562801e+00
sample_34   , -5.961656316083226e-01, -9.034789014661261e-01, -7.074754884432161e-01,  4.366155128951779e-01,  1.538125884651358e+00
sample_35   , -1.241125445779972e+00, -9.664740443209079e-01,  1.011805475540378e+00,  7.896944433014113e-01,  1.423651745144264e+00
sample_36   , -1.133119143579825e-01,  2.410437400116869e-02,  1.280325342727654e+00, -1.204429540277384e-01, -4.387968116292067e-01
sample_37   , -8.178414592916317e-02,  1.805437453606336e-01, -6.668489616016581e-01,  1.297215304126001e+00, -1.134329338833194e+00
sample_38   , -1.001493603417651e-01,  3.773704462346674e-01, -3.462652935605332e+00, -2.004703029403109e+00, -1.946374471799319e-01
sample_39   , -1.040065680316376e-01, -1.219919387890930e-01,  1.211198216057296e+00,  4.696037836926261e-01, -3.222702583040908e-01
sample_40   , -2.094987235152617e+00, -8.900640293680078e-01, -1.000693873370944e+00,  2.206562262592551e+00,  9.079762633657076e-01
sample_41   ,  1.242893291576708e+00,  2.192855455797263e-01,  2.318457852337332e+00, -1.894109945773263e+00, -3.181240957301995e-01
sample_42   , -4.030159905679299e-02,  6.670957177473386e-02, -3.683156160088389e+00, -1.043664613728183e+00,  1.619122607455190e-01
sample_43   , -1.332563187008458e+00, -1.045714497102475e+00,  9.610242934121745e-02,  2.247497102638268e-01,  1.863462414562801e+00
sample_44   ,  1.989044019254788e-01,  8.595137114494154e-01,  4.456555793063483e-01, -6.258298363226219e+00, -4.139140460322023e-02
sample_45   , -5.196742813319786e-02,  2.867104120306269e-01, -1.435830663175757e+00, -3.008581014764771e-01, -7.467641532727108e-01
sample_46   , -1.099738220333370e-01,  4.632557681607676e-02, -1.295074370444480e+00,  1.221913707512737e+00, -7.681113730920467e-01
sample_47   ,  1.193209395566249e+00,  1.174218778832433e-01,  3.105051138549685e-01, -2.467051334276329e+00,  2.550800687794925e-01
sample_48   , -5.968137575484606e-02, -9.103873266452347e-01,  1.411470486798556e+00,  8.794713567500964e-01,  1.239910344446205e+00
sample_49   , -6.916559537987194e-03,  2.703110482558373e-02, -7.804674076042072e-01,  9.976184747269773e-01, -6.853325848803026e-01
sample_50   , -3.249802942992621e-02, -1.045714497102475e+00,  9.610242934121745e-02,  2.247497102638268e-01,  1.863462414562801e+00
sample_51   , -2.636354303490760e-01, -4.268496238691397e-01,  1.892147928079311e-01,  3.283252447857664e-01,  4.689735664124490e-01
sample_52   , -2.217746596587099e-02, -6.967796593290655e-02, -6.245202705144998e-01, -2.491541832715602e+00,  7.416812218883735e-01
sample_53   , -4.183902774759799e-01, -1.785698493264946e-01, -2.221458192408151e-02, -2.582656393539783e+00,  9.667016828446762e-01
sample_54   , -5.727177864666465e-02,  3.794702293507951e-01, -6.295894713713145e-01, -3.407044111003175e-01, -9.951923851816474e-01
sample_55   ,  6.799816762857267e-01,  6.670957177473386e-02, -3.683156160088389e+00, -1.043664613728183e+00,  1.619122607455190e-01
sample_56   , -2.873477481567056e-01, -4.268496238691397e-01,  1.892147928079311e-01,  3.283252447857664e-01,  4.689735664124490e-01
sample_57   , -6.156886386605922e-02,  1.174218778832433e-01,  3.105051138549685e-01, -2.467051334276329e+00,  2.550800687794925e-01
sample_58   , -2.403675740849142e-01,  2.152027645109479e-01,  2.465693105169056e+00, -3.018066868233991e+00,  7.524696220600474e-02
sample_59   , -1.066415298780115e-01, -1.506639031336075e-01,  2.641177221344665e+01, -4.213432112580008e+00, -4.854006277169843e-01
sample_60   ,  2.475696159358087e-02, -5.084772381806132e-02,  1.336403976627464e+00,  6.735364353761883e-01, -5.586441846033273e-01
sample_61   ,  5.341074145248265e-03, -6.973273696023490e-02,  1.121848601293315e+00, -2.477721033808246e+00,  6.071287331620091e-01
sample_62   , -9.410380402467980e-02,  1.130982462450232e-01, -1.272921721646502e+00, -4.410956441372215e-01, -3.305016542328268e-01
sample_63   , -1.559071969320354e-03, -6.973273696023490e-02,  1.121848601293315e+00, -2.477721033808246e+00,  6.071287331620091e-01
sample_64   , -5.532722432131539e-02,  2.410437400116869e-02,  1.280325342727654e+00, -1.204429540277384e-01, -4.387968116292067e-01
sample_65   , -1.237836842012775e+00, -9.664740443209079e-01,  1.011805475540378e+00,  7.896944433014113e-01,  1.423651745144264e+00
sample_66   , -1.198272845742591e-01,  6.820002994914504e-01, -1.001638605881952e+00, -5.298703702581883e-01, -1.561485649998184e+00
sample_67   , -4.262215382380523e-01, -9.114341011332233e-01,  1.226034309761830e+00,  1.116424575191324e+00,  1.172620652851107e+00
sample_68   , -5.458190573704150e-03,  1.392996433941154e-01, -1.486314818675077e+00,  1.155242264961681e+00, -9.334262591752341e-01
sample_69   , -7.877745821939172e-01, -8.900640293680078e-01, -1.000693873370944e+00,  2.206562262592551e+00,  9.079762633657076e-01
sample_70   , -2.285972573737576e+00, -1.279053142299459e+00, -1.581500903971417e+00,  4.887603770659156e+00,  8.572299994531075e-01
sample_71   , -1.270759177511728e+00,  2.152027645109479e-01,  2.465693105169056e+00, -3.018066868233991e+00,  7.524696220600474e-02
sample_72   , -6.393318221215945e-02,  2.831452372076738e-01, -9.246464734102428e+00, -3.410364694882204e-01, -1.442708775938548e-01
