# c0 + a0 * (site_d_fill - CN_p_fill) + a1 * (CN_p_var / Tx_tot_center) + a2 * (surf_charge_min / Tx_s_skew) + a3 * surf_tot_center
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.586024856497595; Max AE: 2.667718058067
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  2.256577913868844e-01, -3.806418618345165e-02, -1.621188097232084e-01, -5.287387342308726e-01, -1.731940934647200e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         42|28|sub; (site_d_fill - CN_p_fill); $\left(site_{d, fill} - CN_{p, fill}\right)$; (site_d_fill - CN_p_fill); site_d_fill,CN_p_fill
# 1;  1; Unitless;                                         110|62|div; (CN_p_var / Tx_tot_center); $\left(\frac{ CN_{p, var} }{ Tx_{tot, center} } \right)$; (CN_p_var ./ Tx_tot_center); CN_p_var,Tx_tot_center
# 2;  1; Unitless;                                         136|36|div; (surf_charge_min / Tx_s_skew); $\left(\frac{ surf_{charge, min} }{ Tx_{s, skew} } \right)$; (surf_charge_min ./ Tx_s_skew); surf_charge_min,Tx_s_skew
# 3;  0; Unitless;                                         113; surf_tot_center; $surf_{tot, center}$; surf_tot_center; surf_tot_center
# Number of Samples Per Task
# Task, n_samples               
# all , 214                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    , -1.604369091098126e-02,  1.130519001039262e-02,  3.579418768693317e-01, -2.616120525368166e+00, -2.623765702377654e+00,  7.966417704101486e-01
sample_1    , -3.202941263068643e-01,  1.346496539140450e-01, -3.302697002027389e-01, -9.990851842476437e-01,  7.079825945605884e-01, -8.683298193104025e-01
sample_2    ,  1.566373447609220e+00,  8.148459654852529e-01, -4.999044173587370e-01,  5.922033383283790e-01, -6.675921036752317e-01, -1.919965042947992e+00
sample_3    , -1.229988929140020e+00, -8.386036837027534e-01, -1.608452129612679e-01, -8.876455285582645e-01,  1.274989146286405e+00,  8.628106228071989e-01
sample_4    , -5.015740038132262e-02, -1.032632935926537e-01, -5.509118995464863e-01,  1.504999383497108e+00, -1.204429540277384e-01, -4.387968116292067e-01
sample_5    ,  1.550035541557961e-02,  3.409711800959420e-02,  1.794709251347639e+00,  8.157666609555282e-02, -2.318338391476439e+00,  1.078869370808406e+00
sample_6    , -2.849253345366325e-01, -6.862780714719639e-02, -1.144259512661074e+00, -1.484998066397328e+00,  1.155242264961681e+00, -9.334262591752341e-01
sample_7    , -8.596644739960076e-03,  2.604562718417726e-02, -2.035791998563344e-01, -6.996888952197570e-01, -2.659715795459919e+00,  4.021723401608773e-01
sample_8    , -4.879038376897022e-01, -5.194140323720031e-01,  1.942437417271806e+00, -1.579945368553599e-01,  4.539509507550522e-01,  1.355992999258352e+00
sample_9    , -3.337341530470113e-01, -1.179303744926503e-01,  1.206952490355574e+00, -6.030522138946099e-01, -3.738277474114718e-02,  4.654655334863714e-01
sample_10   , -4.485894358631982e-02, -4.011384301225449e-01, -1.195832534015845e+00,  1.375586224622591e+00,  4.696037836926261e-01, -3.222702583040908e-01
sample_11   , -1.889081706965685e-01,  4.879008226782290e-01,  2.632002831788932e+00, -9.612916341027374e-01,  1.270886502822423e-01, -9.678815615406083e-02
sample_12   , -8.803093077721602e-02,  7.974868580106474e-01,  1.380311597317519e+00,  1.444014229186204e-01, -7.666831178701411e-02, -1.233633910223253e+00
sample_13   ,  7.030961086560218e-01,  2.961719180245118e-01, -3.317710025488640e+00, -4.769838162602633e+00, -6.258298363226219e+00, -4.139140460322023e-02
sample_14   ,  1.654107030850625e+00,  8.148438467905905e-01, -4.999138063306374e-01,  5.922033383283790e-01, -6.675921036752317e-01, -1.919965042947992e+00
sample_15   , -2.721548534224627e-01,  1.775963385148683e-01,  2.516575841675386e+00, -6.030522138946099e-01, -3.738277474114718e-02,  4.654655334863714e-01
sample_16   , -1.091377553569199e-01, -5.780571445196836e-01, -1.017227007394772e+00,  3.496835559510241e-01, -2.301377654644091e+00,  1.012038654820767e+00
sample_17   , -1.016940770210921e-01, -3.363509377870257e-01,  5.389136723408701e-02,  3.496835559510241e-01, -2.301377654644091e+00,  1.012038654820767e+00
sample_18   , -3.085037806422997e-01, -4.134592269157548e-01, -1.026803417606806e-01, -6.030522138946099e-01, -3.738277474114718e-02,  4.654655334863714e-01
sample_19   , -3.700463146583963e-01, -3.005694072740213e-01, -1.024126942326514e+00, -2.616120525368166e+00, -2.623765702377654e+00,  7.966417704101486e-01
sample_20   , -1.228134374597548e-01, -6.316641533397678e-02,  7.015948949270855e-01,  2.216438904044707e-02, -2.542075316431228e+00,  8.691764034855979e-01
sample_21   , -1.679966809266178e-01, -1.864164522191636e-01, -7.545371684348758e-01,  7.655243569343669e-01,  6.735364353761883e-01, -5.586441846033273e-01
sample_22   , -7.329624959252305e-02,  4.241374112701449e-01,  5.401817881724104e-01, -8.358876986825015e-01, -3.008581014764771e-01, -7.467641532727108e-01
sample_23   , -1.253198409486902e+00, -9.563272274107208e-01,  6.041180082562012e-01,  1.106272290884084e+00,  6.452200124444272e-01,  1.461488187872825e+00
sample_24   , -1.139675111481394e+00, -1.016727587911314e+00, -1.121657298720450e+00, -1.742144471310865e+00,  5.856896081832168e-01,  1.062499791905900e+00
sample_25   , -3.094527088114199e-03,  2.838960139520300e-01, -1.476745405508823e+00,  6.856774268010156e-01, -2.648382205451934e-01, -1.462903434417953e+00
sample_26   ,  2.767472857125728e-02,  3.648231988398667e-01,  6.897418115256339e-01, -9.990851842476437e-01,  7.079825945605884e-01, -8.683298193104025e-01
sample_27   ,  7.064099332708291e-03,  4.692744388979083e-01,  1.877613491009457e+00,  2.585369225547635e-02,  4.718780644286448e-01, -5.603047585105856e-01
sample_28   , -2.132166347170482e-03,  2.444103475061186e-01,  1.734322929609589e+00,  8.258783544857442e-01, -2.471089962509259e+00,  6.485865223516843e-01
sample_29   , -3.361241423951178e-03,  1.111435883871345e-01, -1.806634283545934e+00,  1.474217609986320e+00, -2.935271730248496e-01, -1.324940573549884e+00
sample_30   ,  1.213059173271408e+00,  2.297811363686444e-01,  8.163015768169676e-01,  2.585369225547635e-02,  4.718780644286448e-01, -5.603047585105856e-01
sample_31   ,  3.457564968314577e+00,  2.605970402246069e+00, -1.192179118899100e+00,  7.643824020897293e+00, -1.794383481911269e+01, -8.134675459049622e-01
sample_32   , -4.012693904379927e-02,  4.015564411724352e-01, -7.135630602541391e-01,  1.210990110358226e+00, -4.287260506637540e-01, -1.347286190147691e+00
sample_33   , -5.547166731033191e-02, -7.260931108842332e-01,  2.349821359621047e+00,  1.613947594016449e+00,  2.247497102638268e-01,  1.863462414562801e+00
sample_34   , -5.961656316083226e-01, -6.488829921969612e-01,  1.785455393552451e+00, -1.434288154265113e-01,  4.366155128951779e-01,  1.538125884651358e+00
sample_35   , -1.241125445779972e+00, -5.913198443347153e-01,  2.111004035522247e+00,  3.606044317454945e-01,  7.896944433014113e-01,  1.423651745144264e+00
sample_36   , -1.133119143579825e-01,  3.491522736090057e-02,  6.142468366792070e-02,  1.504999383497108e+00, -1.204429540277384e-01, -4.387968116292067e-01
sample_37   , -8.178414592916317e-02, -4.244353205390121e-02, -1.135578804259725e+00,  6.457753801156699e-02,  1.297215304126001e+00, -1.134329338833194e+00
sample_38   , -1.001493603417651e-01,  8.483295133316957e-02,  2.974721828872885e-01,  6.226648227296656e+00, -2.004703029403109e+00, -1.946374471799319e-01
sample_39   , -1.040065680316376e-01, -2.497118458190306e-01, -5.247873049862952e-01,  1.375586224622591e+00,  4.696037836926261e-01, -3.222702583040908e-01
sample_40   , -2.094987235152617e+00, -1.921509701852374e+00, -4.353103816167858e+00, -1.886383486457811e+00,  2.206562262592551e+00,  9.079762633657076e-01
sample_41   ,  1.242893291576708e+00,  9.594994793884878e-01, -2.747938416854977e+00, -3.356204436139741e+01, -1.894109945773263e+00, -3.181240957301995e-01
sample_42   , -4.030159905679299e-02, -8.103352233762712e-02, -3.023874704399917e-01, -2.017862101521561e+00, -1.043664613728183e+00,  1.619122607455190e-01
sample_43   , -1.332563187008458e+00, -1.306555580476346e+00, -2.224916370834387e-01,  1.613947594016449e+00,  2.247497102638268e-01,  1.863462414562801e+00
sample_44   ,  1.989044019254788e-01,  6.889293479504087e-02, -4.324894319160144e+00, -4.769838162602633e+00, -6.258298363226219e+00, -4.139140460322023e-02
sample_45   , -5.196742813319786e-02,  1.310074557213422e-01, -7.588203590489939e-01, -8.358876986825015e-01, -3.008581014764771e-01, -7.467641532727108e-01
sample_46   , -1.099738220333370e-01, -1.924829534878565e-01, -9.946021842641937e-01,  7.577114903221170e-02,  1.221913707512737e+00, -7.681113730920467e-01
