# c0 + a0 * (M_sp_skew * CN_p_kurt) + a1 * (Tx_charge_min / Tx_tot_kurt) + a2 * (M_s_fill / Tx_tot_center) + a3 * (surf_charge_min / Tx_s_skew) + a4 * (surf_tot_skew - site_d_fill)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.534518961152487; Max AE: 2.10931820444001
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  2.781843988261722e-01, -7.733610082539015e-02, -9.249823383748079e-02, -1.491234529612200e-01, -4.039860068747840e-01, -2.540063987808865e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         105|91|mult; (M_sp_skew * CN_p_kurt); $\left(M_{sp, skew} CN_{p, kurt}\right)$; (M_sp_skew .* CN_p_kurt); M_sp_skew,CN_p_kurt
# 1;  1; Unitless;                                         128|9|div; (Tx_charge_min / Tx_tot_kurt); $\left(\frac{ Tx_{charge, min} }{ Tx_{tot, kurt} } \right)$; (Tx_charge_min ./ Tx_tot_kurt); Tx_charge_min,Tx_tot_kurt
# 2;  1; Unitless;                                         67|62|div; (M_s_fill / Tx_tot_center); $\left(\frac{ M_{s, fill} }{ Tx_{tot, center} } \right)$; (M_s_fill ./ Tx_tot_center); M_s_fill,Tx_tot_center
# 3;  1; Unitless;                                         136|36|div; (surf_charge_min / Tx_s_skew); $\left(\frac{ surf_{charge, min} }{ Tx_{s, skew} } \right)$; (surf_charge_min ./ Tx_s_skew); surf_charge_min,Tx_s_skew
# 4;  1; Unitless;                                         92|42|sub; (surf_tot_skew - site_d_fill); $\left(surf_{tot, skew} - site_{d, fill}\right)$; (surf_tot_skew - site_d_fill); surf_tot_skew,site_d_fill
# Number of Samples Per Task
# Task, n_samples               
# all , 214                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    , -1.604369091098126e-02, -1.494739403171399e-01,  6.269807339978314e-01,  1.389546139973911e+00,  2.921226891314894e+00, -2.623765702377654e+00,  2.066368426393208e-01
sample_1    , -3.202941263068643e-01, -3.841535265925138e-01, -6.419764310328795e-02, -1.701995329281686e+00,  4.411345104036680e-01,  7.079825945605884e-01,  2.414268156678124e-01
sample_2    ,  1.566373447609220e+00,  1.114468668311395e+00,  2.466406655146888e+00,  7.548764107800642e-01,  5.729392551806489e-01, -6.675921036752317e-01, -1.718328433167757e+00
sample_3    , -1.229988929140020e+00, -4.574922250290159e-01,  1.840624052668566e+00,  1.629279395005051e+00,  3.741431102131269e+00,  1.274989146286405e+00,  1.319601480710220e-01
sample_4    , -5.015740038132262e-02, -1.874174306805145e-01,  3.609614217939283e-01,  3.543781329087602e-01, -1.028481601661080e+00, -1.204429540277384e-01,  2.958326373872870e-01
sample_5    ,  1.550035541557961e-02,  1.794466340401410e-01,  7.727761414889339e-01,  2.789627455887036e+00, -4.039958903243913e-01, -2.318338391476439e+00, -1.265641467655834e-01
sample_6    , -2.849253345366325e-01, -5.570630447677730e-01, -4.279328718969769e-01, -1.958208974833974e+00,  3.458351204472025e-01,  1.155242264961681e+00,  3.247384522348322e-01
sample_7    , -8.596644739960076e-03,  2.353497147765848e-02,  9.245938828001407e-01,  1.362618126183611e+00,  3.529543938426088e+00, -2.659715795459919e+00, -1.375392362671905e-01
sample_8    , -4.879038376897022e-01, -2.488805676024317e-01, -3.154556153089160e-02,  1.629279395005051e+00, -1.833347421676366e-01,  4.539509507550522e-01, -4.718975904345029e-01
sample_9    , -3.337341530470113e-01, -1.572116116187804e-02,  2.539544074403382e+00,  4.385286065692579e-01,  1.288398410446243e+00, -3.738277474114718e-02,  7.937460135439099e-01
