# c0 + a0 * (surf_bond_length_sum + lattice_param_c)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.863534203173803; Max AE: 4.36114801251555
# Coefficients
# Task   a0                      c0
# all ,  3.054959349264523e-01,  4.454737417144731e-17, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         37|14|add; (surf_bond_length_sum + lattice_param_c); $\left(surf_{bond, length, sum} + lattice_{param, c}\right)$; (surf_bond_length_sum + lattice_param_c); surf_bond_length_sum,lattice_param_c
# Number of Samples Per Task
# Task, n_samples               
# all , 214                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
sample_0    , -1.604369091098126e-02, -1.618635707737058e-01, -5.298387057512706e-01
sample_1    , -3.202941263068643e-01,  6.220864458592328e-01,  2.036316607646511e+00
sample_2    ,  1.566373447609220e+00,  8.408944949588155e-01,  2.752555431420911e+00
sample_3    , -1.229988929140020e+00, -8.023789273082667e-01, -2.626479882625732e+00
sample_4    , -5.015740038132262e-02, -1.078203208630435e-01, -3.529353701187583e-01
sample_5    ,  1.550035541557961e-02, -2.546169322018290e-01, -8.334544034542642e-01
sample_6    , -2.849253345366325e-01,  7.267417822630130e-01,  2.378891825313404e+00
sample_7    , -8.596644739960076e-03, -1.900893446885686e-01, -6.222319938048679e-01
sample_8    , -4.879038376897022e-01, -7.458039389613116e-01, -2.441289240529052e+00
sample_9    , -3.337341530470113e-01, -8.905944837013234e-02, -2.915241683709255e-01
sample_10   , -4.485894358631982e-02,  5.439198749375470e-01,  1.780448813724788e+00
sample_11   , -1.889081706965685e-01, -5.033221097829617e-02, -1.647557470459095e-01
sample_12   , -8.803093077721602e-02,  8.129606077107121e-02,  2.661117595251900e-01
sample_13   ,  7.030961086560218e-01, -1.290819216429949e-01, -4.225323707632024e-01
sample_14   ,  1.654107030850625e+00,  8.408944949588155e-01,  2.752555431420911e+00
sample_15   , -2.721548534224627e-01, -8.905944837013234e-02, -2.915241683709255e-01
sample_16   , -1.091377553569199e-01, -2.617611354874460e-01, -8.568399954338659e-01
sample_17   , -1.016940770210921e-01, -2.617611354874460e-01, -8.568399954338659e-01
sample_18   , -3.085037806422997e-01, -8.905944837013234e-02, -2.915241683709255e-01
sample_19   , -3.700463146583963e-01, -1.618635707737058e-01, -5.298387057512706e-01
sample_20   , -1.228134374597548e-01, -1.120091133494064e-01, -3.666468209351867e-01
sample_21   , -1.679966809266178e-01,  7.258363234331379e-01,  2.375927927184634e+00
sample_22   , -7.329624959252305e-02, -7.803511179807419e-02, -2.554374800989122e-01
sample_23   , -1.253198409486902e+00, -7.517861793397379e-01, -2.460871302659819e+00
sample_24   , -1.139675111481394e+00, -5.741061406731172e-01, -1.879259509005684e+00
sample_25   , -3.094527088114199e-03,  7.740830371538124e-01,  2.533857078458905e+00
sample_26   ,  2.767472857125728e-02,  6.220864458592328e-01,  2.036316607646511e+00
sample_27   ,  7.064099332708291e-03,  6.310547998261314e-01,  2.065673312406127e+00
sample_28   , -2.132166347170482e-03, -1.010381660163043e-01, -3.307348951815975e-01
sample_29   , -3.361241423951178e-03,  6.985172215979512e-01,  2.286502508670428e+00
sample_30   ,  1.213059173271408e+00,  6.310547998261314e-01,  2.065673312406127e+00
sample_31   ,  3.457564968314577e+00,  6.760323805454753e-01,  2.212901394934204e+00
sample_32   , -4.012693904379927e-02,  8.712111468314757e-01,  2.851792928247043e+00
sample_33   , -5.547166731033191e-02, -7.744284441515926e-01, -2.534987721974222e+00
sample_34   , -5.961656316083226e-01, -8.678911838694735e-01, -2.840925474436892e+00
sample_35   , -1.241125445779972e+00, -7.501920052881380e-01, -2.455652987555287e+00
sample_36   , -1.133119143579825e-01, -1.078203208630435e-01, -3.529353701187583e-01
sample_37   , -8.178414592916317e-02,  6.945373499280301e-01,  2.273474932146769e+00
sample_38   , -1.001493603417651e-01, -1.341327859236864e-02, -4.390656980623298e-02
sample_39   , -1.040065680316376e-01,  5.439198749375470e-01,  1.780448813724788e+00
sample_40   , -2.094987235152617e+00,  1.076908748358766e-01,  3.525116458973603e-01
sample_41   ,  1.242893291576708e+00, -4.605462557099206e-01, -1.507536445029281e+00
sample_42   , -4.030159905679299e-02, -1.649118881198400e-01, -5.398169640441937e-01
sample_43   , -1.332563187008458e+00, -7.744284441515926e-01, -2.534987721974222e+00
sample_44   ,  1.989044019254788e-01, -1.290819216429949e-01, -4.225323707632024e-01
sample_45   , -5.196742813319786e-02, -7.803511179807419e-02, -2.554374800989122e-01
sample_46   , -1.099738220333370e-01,  5.180453928261830e-01,  1.695752164266610e+00
sample_47   ,  1.193209395566249e+00, -6.494361643795345e-03, -2.125842245776166e-02
sample_48   , -5.968137575484606e-02, -7.369676997388361e-01, -2.412364995679108e+00
sample_49   , -6.916559537987194e-03,  6.397164291517057e-01,  2.094025995160022e+00
sample_50   , -3.249802942992621e-02, -7.744284441515926e-01, -2.534987721974222e+00
sample_51   , -2.636354303490760e-01,  4.669251225425151e-01,  1.528416810701349e+00
sample_52   , -2.217746596587099e-02, -8.548357670288442e-02, -2.798190317113859e-01
sample_53   , -4.183902774759799e-01, -1.243851677929299e-01, -4.071581765003699e-01
sample_54   , -5.727177864666465e-02, -1.106285296076706e-01, -3.621276650843301e-01
