# c0 + a0 * (surf_bond_length_std / surf_bond_length_min) + a1 * (site_bond_length_max + surf_bond_length_sum)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.79184340175268; Max AE: 4.28000306237872
# Coefficients
# Task   a0                      a1                      c0
# all , -3.075184245894514e-02,  3.001831023804441e-01, -4.914047446775508e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         12|33|div; (surf_bond_length_std / surf_bond_length_min); $\left(\frac{ surf_{bond, length, std} }{ surf_{bond, length, min} } \right)$; (surf_bond_length_std ./ surf_bond_length_min); surf_bond_length_std,surf_bond_length_min
# 1;  1; Unitless;                                         45|37|add; (site_bond_length_max + surf_bond_length_sum); $\left(site_{bond, length, max} + surf_{bond, length, sum}\right)$; (site_bond_length_max + surf_bond_length_sum); site_bond_length_max,surf_bond_length_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 214                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    , -1.604369091098126e-02,  1.161374229258329e-01,  5.198313738608086e-01,  6.038436823070868e-01
sample_1    , -3.202941263068643e-01,  9.419628393394826e-02, -2.089128919050554e+00,  2.634798374040221e-01
sample_2    ,  1.566373447609220e+00,  6.254092666719879e-01, -4.998421396801265e-01,  2.195921986210044e+00
sample_3    , -1.229988929140020e+00, -5.457012189715496e-01,  1.980425007449610e+00, -1.451310960604325e+00
sample_4    , -5.015740038132262e-02,  2.168051512512491e-01, -9.803875956347241e-01,  7.855102401150428e-01
sample_5    ,  1.550035541557961e-02, -2.829025401771460e-02,  7.076614162127990e-01,  1.419537358957834e-01
sample_6    , -2.849253345366325e-01,  5.237165926262469e-02, -8.951492720649415e-01,  2.464650533354575e-01
sample_7    , -8.596644739960076e-03,  6.802010130366599e-02,  7.664992929544167e-01,  4.688199973857567e-01
sample_8    , -4.879038376897022e-01, -4.159189828057790e-01,  1.369208262738756e-01, -1.207822618208510e+00
sample_9    , -3.337341530470113e-01,  3.825754711050801e-01, -7.203345877067638e+00,  7.002385754463872e-01
sample_10   , -4.485894358631982e-02,  7.284976696881222e-02, -5.531620210950216e+00, -1.602930726337423e-01
sample_11   , -1.889081706965685e-01,  3.946453438386752e-01, -2.229422069617893e+00,  1.249993684093159e+00
sample_12   , -8.803093077721602e-02,  5.203398388994224e-01, -1.214579430932258e+00,  1.772683918027026e+00
sample_13   ,  7.030961086560218e-01,  1.772446308185643e-01, -8.403699137315834e-01,  6.680661919398998e-01
sample_14   ,  1.654107030850625e+00,  6.254092666719879e-01, -4.998421396801265e-01,  2.195921986210044e+00
sample_15   , -2.721548534224627e-01,  3.825754711050799e-01, -7.203345877067638e+00,  7.002385754463867e-01
sample_16   , -1.091377553569199e-01, -3.434530616617510e-01,  1.943405572583728e-01, -9.605346027384749e-01
sample_17   , -1.016940770210921e-01, -6.088819205785301e-02,  1.943405572583728e-01, -1.922622340877250e-02
sample_18   , -3.085037806422997e-01,  1.159352706114342e-01, -7.203345877067638e+00, -1.880199520296637e-01
sample_19   , -3.700463146583963e-01, -2.144849679091148e-01,  5.198313738608086e-01, -4.975587224689343e-01
sample_20   , -1.228134374597548e-01,  1.489124038549519e-01, -1.360162461966860e+00,  5.204336131343436e-01
sample_21   , -1.679966809266178e-01,  1.411894624760965e-01, -1.674369781699291e-01,  6.168932891321599e-01
sample_22   , -7.329624959252305e-02,  2.625077164796361e-01, -3.057111798216620e+00,  7.250120637151143e-01
sample_23   , -1.253198409486902e+00, -4.344614810519284e-01,  1.657304548589308e-02, -1.281922106370353e+00
sample_24   , -1.139675111481394e+00, -1.434072067542081e+00, -1.202352035686529e+00, -4.736796049412082e+00
sample_25   , -3.094527088114199e-03, -5.487274890953119e-01, -8.817464695059232e-01, -1.754603570186990e+00
sample_26   ,  2.767472857125728e-02,  3.818646148910579e-01, -2.089128919050554e+00,  1.221789378067395e+00
sample_27   ,  7.064099332708291e-03,  3.770023900444687e-01, -1.503923839337104e+00,  1.265542372379139e+00
sample_28   , -2.132166347170482e-03,  2.061168648600935e-01,  4.535378228379480e-03,  8.508034214428775e-01
sample_29   , -3.361241423951178e-03, -5.880202089025462e-01, -2.018102999611382e+00, -2.001911883711394e+00
sample_30   ,  1.213059173271408e+00,  3.763248335386477e-01, -1.503923839337104e+00,  1.263285228321236e+00
sample_31   ,  3.457564968314577e+00,  4.085583779517840e-01, -1.477578077405340e+00,  1.373363793275382e+00
sample_32   , -4.012693904379927e-02,  4.061835189671044e-01, -4.239750261993890e-01,  1.473387331649692e+00
sample_33   , -5.547166731033191e-02, -5.129161107221515e-01, -5.380485330284758e-02, -1.550487788739082e+00
sample_34   , -5.961656316083226e-01, -6.317530375143665e-01,  9.071319516909264e-01, -1.847927414234341e+00
sample_35   , -1.241125445779972e+00, -5.472381730983147e-01,  9.210227861460620e-01, -1.564960010355671e+00
sample_36   , -1.133119143579825e-01,  2.168051512512491e-01, -9.803875956347241e-01,  7.855102401150428e-01
sample_37   , -8.178414592916317e-02,  1.148238827786898e-01, -3.766711209272348e-01,  5.076269285928445e-01
sample_38   , -1.001493603417651e-01,  4.218418900199614e-01, -3.433701340061413e+00,  1.217222818105177e+00
sample_39   , -1.040065680316376e-01,  3.624585071166324e-01, -5.531620210950216e+00,  8.044805533672901e-01
