# c0 + a0 * (lattice_param_gamma / surf_M_Tx_length_min) + a1 * (surf_bond_length_std / surf_bond_length_min) + a2 * (surf_bond_length_sum + lattice_param_c)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.756928943636538; Max AE: 4.10950305998337
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  3.732243942792688e-02, -2.834601515666321e-02,  2.835138505297440e-01, -6.087933934957380e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         34|36|div; (lattice_param_gamma / surf_M_Tx_length_min); $\left(\frac{ lattice_{param, gamma} }{ surf_{M, Tx, length, min} } \right)$; (lattice_param_gamma ./ surf_M_Tx_length_min); lattice_param_gamma,surf_M_Tx_length_min
# 1;  1; Unitless;                                         12|33|div; (surf_bond_length_std / surf_bond_length_min); $\left(\frac{ surf_{bond, length, std} }{ surf_{bond, length, min} } \right)$; (surf_bond_length_std ./ surf_bond_length_min); surf_bond_length_std,surf_bond_length_min
# 2;  1; Unitless;                                         37|14|add; (surf_bond_length_sum + lattice_param_c); $\left(surf_{bond, length, sum} + lattice_{param, c}\right)$; (surf_bond_length_sum + lattice_param_c); surf_bond_length_sum,lattice_param_c
# Number of Samples Per Task
# Task, n_samples               
# all , 214                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    , -1.604369091098126e-02, -4.975782093069625e-01, -7.281065077553452e+00,  5.198313738608086e-01, -5.298387057512706e-01
sample_1    , -3.202941263068643e-01,  5.641655092304224e-01, -3.080611538633602e-01, -2.089128919050554e+00,  2.036316607646511e+00
sample_2    ,  1.566373447609220e+00,  7.406894415744127e-01,  1.878939052607693e-01, -4.998421396801265e-01,  2.752555431420911e+00
sample_3    , -1.229988929140020e+00, -8.624193567339734e-01, -2.034795303059845e-02,  1.980425007449610e+00, -2.626479882625732e+00
sample_4    , -5.015740038132262e-02, -1.277132113839114e-01,  1.457062339509442e-01, -9.803875956347241e-01, -3.529353701187583e-01
sample_5    ,  1.550035541557961e-02, -3.232699739188317e-01, -1.617093166396531e-01,  7.076614162127990e-01, -8.334544034542642e-01
sample_6    , -2.849253345366325e-01,  6.556489938155758e-01,  4.476030291547984e-01, -8.951492720649415e-01,  2.378891825313404e+00
sample_7    , -8.596644739960076e-03, -2.726815390366955e-01, -3.660963976224517e-01,  7.664992929544167e-01, -6.222319938048679e-01
sample_8    , -4.879038376897022e-01, -7.475534489429455e-01,  2.504220840313815e-01,  1.369208262738756e-01, -2.441289240529052e+00
sample_9    , -3.337341530470113e-01, -1.079907944283815e-01, -4.518634622402000e+00, -7.203345877067638e+00, -2.915241683709255e-01
sample_10   , -4.485894358631982e-02,  5.650328502729682e-01, -9.557011844594758e-01, -5.531620210950216e+00,  1.780448813724788e+00
sample_11   , -1.889081706965685e-01, -4.810011170075600e-02, -9.928257482836193e-02, -2.229422069617893e+00, -1.647557470459095e-01
sample_12   , -8.803093077721602e-02,  4.521158938956334e-02, -1.013847940078789e-01, -1.214579430932258e+00,  2.661117595251900e-01
sample_13   ,  7.030961086560218e-01, -2.045918038269831e-01, -1.279118517236838e+00, -8.403699137315834e-01, -4.225323707632024e-01
sample_14   ,  1.654107030850625e+00,  7.406894415744127e-01,  1.878939052607693e-01, -4.998421396801265e-01,  2.752555431420911e+00
sample_15   , -2.721548534224627e-01, -1.079907944283815e-01, -4.518634622402000e+00, -7.203345877067638e+00, -2.915241683709255e-01
sample_16   , -1.091377553569199e-01, -3.142387965039070e-01, -1.319493166811718e-01,  1.943405572583728e-01, -8.568399954338659e-01
sample_17   , -1.016940770210921e-01, -3.142387965039070e-01, -1.319493166811718e-01,  1.943405572583728e-01, -8.568399954338659e-01
