# c0 + a0 * (surf_M_M_length_sum / surf_bond_length_avg) + a1 * (lattice_param_a * lattice_param_c) + a2 * (surf_bond_length_std / surf_bond_length_min) + a3 * (site_bond_length_max + surf_bond_length_sum)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.715729038271123; Max AE: 3.88920522101721
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  1.200534939900637e-01,  2.940685417801578e-01, -3.091904951199820e-02,  2.621221045611341e-01, -2.307009370617445e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         22|1|div; (surf_M_M_length_sum / surf_bond_length_avg); $\left(\frac{ surf_{M, M, length, sum} }{ surf_{bond, length, avg} } \right)$; (surf_M_M_length_sum ./ surf_bond_length_avg); surf_M_M_length_sum,surf_bond_length_avg
# 1;  1; Unitless;                                         19|14|mult; (lattice_param_a * lattice_param_c); $\left(lattice_{param, a} lattice_{param, c}\right)$; (lattice_param_a .* lattice_param_c); lattice_param_a,lattice_param_c
# 2;  1; Unitless;                                         12|33|div; (surf_bond_length_std / surf_bond_length_min); $\left(\frac{ surf_{bond, length, std} }{ surf_{bond, length, min} } \right)$; (surf_bond_length_std ./ surf_bond_length_min); surf_bond_length_std,surf_bond_length_min
# 3;  1; Unitless;                                         45|37|add; (site_bond_length_max + surf_bond_length_sum); $\left(site_{bond, length, max} + surf_{bond, length, sum}\right)$; (site_bond_length_max + surf_bond_length_sum); site_bond_length_max,surf_bond_length_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 214                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    , -1.604369091098126e-02,  1.042340654063432e-02,  3.997827480815362e-01,  1.731601166993335e-01,  5.198313738608086e-01,  6.038436823070868e-01
sample_1    , -3.202941263068643e-01, -5.901743348790618e-01, -6.788156533634765e+00,  1.094339230827206e+00, -2.089128919050554e+00,  2.634798374040221e-01
sample_2    ,  1.566373447609220e+00,  1.339521915180007e+00,  5.895650667167509e-01,  3.089038916595935e+00, -4.998421396801265e-01,  2.195921986210044e+00
sample_3    , -1.229988929140020e+00, -1.010290478254993e+00, -3.712996192032584e+00,  3.666565842294419e-01,  1.980425007449610e+00, -1.451310960604325e+00
sample_4    , -5.015740038132262e-02, -5.443425128495489e-03, -4.740406026302755e-01,  1.562747663871816e-01, -9.803875956347241e-01,  7.855102401150428e-01
sample_5    ,  1.550035541557961e-02,  6.985617831746907e-02,  6.440428678150647e-01,  7.070070260570763e-01,  7.076614162127990e-01,  1.419537358957834e-01
sample_6    , -2.849253345366325e-01, -2.855619231527782e-01,  2.037732810032697e+00, -1.332271145110130e+00, -8.951492720649415e-01,  2.464650533354575e-01
sample_7    , -8.596644739960076e-03,  2.496923646566728e-02,  5.252884157495087e-01,  3.176769895662155e-01,  7.664992929544167e-01,  4.688199973857567e-01
sample_8    , -4.879038376897022e-01, -5.901709806047838e-01,  7.926574706827974e-02, -1.637567375029869e-01,  1.369208262738756e-01, -1.207822618208510e+00
sample_9    , -3.337341530470113e-01,  3.322516427822424e-01, -2.878516058963220e-01,  6.503298612248747e-01, -7.203345877067638e+00,  7.002385754463872e-01
sample_10   , -4.485894358631982e-02, -7.303451493129873e-02,  6.163476401108907e-01, -1.541965248697300e-01, -5.531620210950216e+00, -1.602930726337423e-01
sample_11   , -1.889081706965685e-01,  1.885910541621419e-01,  2.085746324005912e+00, -7.742811512169694e-01, -2.229422069617893e+00,  1.249993684093159e+00
sample_12   , -8.803093077721602e-02, -4.686511074356292e-02,  2.039995829244253e-03, -1.083496933253107e+00, -1.214579430932258e+00,  1.772683918027026e+00
sample_13   ,  7.030961086560218e-01,  1.494669767083074e-02, -4.063904283878531e-01,  3.174017520920158e-01, -8.403699137315834e-01,  6.680661919398998e-01
sample_14   ,  1.654107030850625e+00,  1.339521915180007e+00,  5.895650667167509e-01,  3.089038916595935e+00, -4.998421396801265e-01,  2.195921986210044e+00
sample_15   , -2.721548534224627e-01,  3.322516427822422e-01, -2.878516058963220e-01,  6.503298612248747e-01, -7.203345877067638e+00,  7.002385754463867e-01
sample_16   , -1.091377553569199e-01, -7.618400625561039e-02,  5.695439230250857e-01,  1.169548322543605e+00,  1.943405572583728e-01, -9.605346027384749e-01
sample_17   , -1.016940770210921e-01,  1.705537271753215e-01,  5.695439230250857e-01,  1.169548322543605e+00,  1.943405572583728e-01, -1.922622340877250e-02
sample_18   , -3.085037806422997e-01,  9.941944816584600e-02, -2.878516058963220e-01,  6.503298612248747e-01, -7.203345877067638e+00, -1.880199520296637e-01
sample_19   , -3.700463146583963e-01, -2.782785097679504e-01,  3.997827480815362e-01,  1.731601166993335e-01,  5.198313738608086e-01, -4.975587224689343e-01
sample_20   , -1.228134374597548e-01,  2.143475679537682e-01, -2.336711244362013e-01,  1.001907425051549e+00, -1.360162461966860e+00,  5.204336131343436e-01
sample_21   , -1.679966809266178e-01,  6.505694151875476e-01,  1.146831189807395e+00,  1.961144493558707e+00, -1.674369781699291e-01,  6.168932891321599e-01
sample_22   , -7.329624959252305e-02,  1.549773134693850e-01, -8.396984641306300e-01,  6.866504822303171e-01, -3.057111798216620e+00,  7.250120637151143e-01
sample_23   , -1.253198409486902e+00, -5.606845875747053e-01,  5.911980473130569e-03,  1.985638708130141e-02,  1.657304548589308e-02, -1.281922106370353e+00
sample_24   , -1.139675111481394e+00, -1.614512453348776e+00, -1.458301325315369e+00, -1.460196877935292e-02, -1.202352035686529e+00, -4.736796049412082e+00
