# c0 + a0 * (M_cov_radius_cordero / atomic_radius_av) + a1 * (Tx_heat_form / dipole_polarizability_av) + a2 * (Tx_boiling_pt / ne_d_std) + a3 * (Tx_cov_radius_cordero^3)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.593782852601802; Max AE: 2.314467629836
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  8.360408055465572e-02, -1.378110074214109e-02, -2.276268127767201e-01,  2.594692316337949e-01,  2.837607250881325e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         136|47|div; (M_cov_radius_cordero / atomic_radius_av); $\left(\frac{ M_{cov, radius, cordero} }{ atomic_{radius, av} } \right)$; (M_cov_radius_cordero ./ atomic_radius_av); M_cov_radius_cordero,atomic_radius_av
# 1;  1; Unitless;                                         7|164|div; (Tx_heat_form / dipole_polarizability_av); $\left(\frac{ Tx_{heat, form} }{ dipole_{polarizability, av} } \right)$; (Tx_heat_form ./ dipole_polarizability_av); Tx_heat_form,dipole_polarizability_av
# 2;  1; Unitless;                                         19|33|div; (Tx_boiling_pt / ne_d_std); $\left(\frac{ Tx_{boiling, pt} }{ ne_{d, std} } \right)$; (Tx_boiling_pt ./ ne_d_std); Tx_boiling_pt,ne_d_std
# 3;  1; Unitless;                                         107|cb; (Tx_cov_radius_cordero^3); $\left(Tx_{cov, radius, cordero}^3\right)$; (Tx_cov_radius_cordero).^3; Tx_cov_radius_cordero
# Number of Samples Per Task
# Task, n_samples               
# all , 214                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    , -1.604369091098126e-02, -1.574175494052074e-01,  1.750116931605877e-01,  1.935673248210537e+00,  4.696443875723348e-01, -2.576257310629682e-01
sample_1    , -3.202941263068643e-01, -1.799516409933778e-02,  1.307261421931825e+00,  9.855935054075978e-01,  6.263365923044401e-01,  1.888238478587975e-03
sample_2    ,  1.566373447609220e+00,  1.050404858941292e+00,  1.074274330678504e+00, -4.901801855710898e-01, -6.703967341442952e-01,  2.978617424030741e+00
sample_3    , -1.229988929140020e+00, -1.066974677480396e+00, -3.267108224496368e-01, -5.495854799682865e-01,  5.431546972577961e-01, -3.668927164739889e+00
sample_4    , -5.015740038132262e-02, -4.972410611710545e-02, -3.430471269508328e-01,  2.946908339195541e+00,  1.045826670739398e-01,  5.780038270174503e-02
sample_5    ,  1.550035541557961e-02, -4.851984736938290e-01,  6.135697176868956e-01, -7.726253749333044e-01,  2.234680307389277e+00, -2.576257310629682e-01
sample_6    , -2.849253345366325e-01, -1.931402786990977e-02,  1.254969010198037e+00,  7.640585722014910e-01,  6.263365923044401e-01,  1.888238478587975e-03
sample_7    , -8.596644739960076e-03, -5.041975999857316e-02,  1.777320163092475e-01, -5.811919726310505e+00,  4.696443875723348e-01, -2.576257310629682e-01
sample_8    , -4.879038376897022e-01, -5.919656737423069e-01,  4.685158699694880e-01, -5.742925550086191e-01, -1.250062506007634e+00, -3.668927164739889e+00
sample_9    , -3.337341530470113e-01, -5.560039655614948e-01, -7.451947740982967e+00, -4.537454637903893e-01, -7.636476612015508e-02,  5.780038270174503e-02
sample_10   , -4.485894358631982e-02,  4.513758493652399e-02, -3.430471269508328e-01, -5.436045280867146e+00,  1.316320121201661e-01,  1.888238478587975e-03
sample_11   , -1.889081706965685e-01, -5.802812923891917e-01, -7.451947740982967e+00,  5.814195274347764e-01, -9.611581059005815e-02,  1.888238478587975e-03
sample_12   , -8.803093077721602e-02,  5.641160031913694e-02, -7.451947740982967e+00,  7.535155460141292e-01,  4.895140967714118e-01,  2.978617424030741e+00
sample_13   ,  7.030961086560218e-01,  1.425891890319019e-02,  8.710720174323043e-01, -4.312424015721038e+00,  8.154219572325354e-01,  1.512303498279833e-01
