# c0 + a0 * (Tx_heat_form / heat_of_formation_sum) + a1 * (c6_gb_std / M_en_mulliken) + a2 * (Tx_heat_form / dipole_polarizability_av) + a3 * (Tx_boiling_pt / ne_d_std) + a4 * (Tx_cov_radius_cordero^3)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.552244952659506; Max AE: 1.96206374331012
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -3.917411587995390e-02,  2.165629124207079e-01, -1.350212344627867e-02, -1.957713744537096e-01,  2.637295806231811e-01,  1.928139028648876e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         7|131|div; (Tx_heat_form / heat_of_formation_sum); $\left(\frac{ Tx_{heat, form} }{ heat_{of, formation, sum} } \right)$; (Tx_heat_form ./ heat_of_formation_sum); Tx_heat_form,heat_of_formation_sum
# 1;  1; Unitless;                                         148|145|div; (c6_gb_std / M_en_mulliken); $\left(\frac{ c6_{gb, std} }{ M_{en, mulliken} } \right)$; (c6_gb_std ./ M_en_mulliken); c6_gb_std,M_en_mulliken
# 2;  1; Unitless;                                         7|164|div; (Tx_heat_form / dipole_polarizability_av); $\left(\frac{ Tx_{heat, form} }{ dipole_{polarizability, av} } \right)$; (Tx_heat_form ./ dipole_polarizability_av); Tx_heat_form,dipole_polarizability_av
# 3;  1; Unitless;                                         19|33|div; (Tx_boiling_pt / ne_d_std); $\left(\frac{ Tx_{boiling, pt} }{ ne_{d, std} } \right)$; (Tx_boiling_pt ./ ne_d_std); Tx_boiling_pt,ne_d_std
# 4;  1; Unitless;                                         107|cb; (Tx_cov_radius_cordero^3); $\left(Tx_{cov, radius, cordero}^3\right)$; (Tx_cov_radius_cordero).^3; Tx_cov_radius_cordero
# Number of Samples Per Task
# Task, n_samples               
# all , 214                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    , -1.604369091098126e-02, -3.595949951085656e-01, -7.481969225353677e-01, -1.827167422507198e+00,  1.935673248210537e+00,  4.696443875723348e-01, -2.576257310629682e-01
sample_1    , -3.202941263068643e-01, -2.801791698512355e-02, -1.416028762791666e+00, -6.505042656491662e-01,  9.855935054075978e-01,  6.263365923044401e-01,  1.888238478587975e-03
sample_2    ,  1.566373447609220e+00,  7.557308014980583e-01,  4.793434551850183e-01, -1.577914376072888e+00, -4.901801855710898e-01, -6.703967341442952e-01,  2.978617424030741e+00
sample_3    , -1.229988929140020e+00, -1.179773319384594e+00,  5.818999338971657e-01, -1.308043055571635e+00, -5.495854799682865e-01,  5.431546972577961e-01, -3.668927164739889e+00
sample_4    , -5.015740038132262e-02, -1.451993958876156e-01, -2.222891680251502e+00, -1.755023373147629e+00,  2.946908339195541e+00,  1.045826670739398e-01,  5.780038270174503e-02
sample_5    ,  1.550035541557961e-02, -1.233459700411973e-01, -1.693225734457349e+00,  5.195136266265969e-01, -7.726253749333044e-01,  2.234680307389277e+00, -2.576257310629682e-01
sample_6    , -2.849253345366325e-01, -2.598100047791260e-01,  4.758940749432866e+00, -6.176468786768829e-01,  7.640585722014910e-01,  6.263365923044401e-01,  1.888238478587975e-03
sample_7    , -8.596644739960076e-03, -2.889299299981908e-01, -2.872194847029172e-01, -1.900520278256463e+00, -5.811919726310505e+00,  4.696443875723348e-01, -2.576257310629682e-01
sample_8    , -4.879038376897022e-01, -8.811818676065707e-01,  7.095418627198756e+00, -3.736328602190251e-01, -5.742925550086191e-01, -1.250062506007634e+00, -3.668927164739889e+00
sample_9    , -3.337341530470113e-01,  1.950917308209646e-01,  7.078096230453789e-01, -2.915821992542256e-02, -4.537454637903893e-01, -7.636476612015508e-02,  5.780038270174503e-02
sample_10   , -4.485894358631982e-02, -1.734094727886581e-01,  6.208911437204262e-01, -1.800986459454084e+00, -5.436045280867146e+00,  1.316320121201661e-01,  1.888238478587975e-03
sample_11   , -1.889081706965685e-01,  7.321026503509953e-02,  4.626064965899137e+00,  2.315911630361999e-01,  5.814195274347764e-01, -9.611581059005815e-02,  1.888238478587975e-03
sample_12   , -8.803093077721602e-02,  4.182439909673278e-01, -5.767723044319705e+00, -3.140232885741066e+00,  7.535155460141292e-01,  4.895140967714118e-01,  2.978617424030741e+00
sample_13   ,  7.030961086560218e-01,  9.205356248755972e-02,  4.121122860749606e+00,  5.643001469446114e-01, -4.312424015721038e+00,  8.154219572325354e-01,  1.512303498279833e-01
sample_14   ,  1.654107030850625e+00,  7.557308014980583e-01,  4.793434551850183e-01, -1.577914376072888e+00, -4.901801855710898e-01, -6.703967341442952e-01,  2.978617424030741e+00
sample_15   , -2.721548534224627e-01,  1.950917308209646e-01,  7.078096230453789e-01, -2.915821992542256e-02, -4.537454637903893e-01, -7.636476612015508e-02,  5.780038270174503e-02
sample_16   , -1.091377553569199e-01, -1.904822494846710e-01, -3.655371406324246e-01,  4.664009839858589e-01, -5.042954300724416e-01,  2.234680307389277e+00, -2.576257310629682e-01
sample_17   , -1.016940770210921e-01, -1.904822494846710e-01, -3.655371406324246e-01,  4.664009839858589e-01, -5.042954300724416e-01,  2.234680307389277e+00, -2.576257310629682e-01
sample_18   , -3.085037806422997e-01,  1.950917308209646e-01,  7.078096230453789e-01, -2.915821992542256e-02, -4.537454637903893e-01, -7.636476612015508e-02,  5.780038270174503e-02
sample_19   , -3.700463146583963e-01, -3.595949951085656e-01, -7.481969225353677e-01, -1.827167422507198e+00,  1.935673248210537e+00,  4.696443875723348e-01, -2.576257310629682e-01
sample_20   , -1.228134374597548e-01,  5.465835150583633e-01, -4.600947849926658e+00,  7.915612947928017e-01, -2.160286525774422e-01, -3.429276076048896e-01, -2.576257310629682e-01
sample_21   , -1.679966809266178e-01, -2.734058048209779e-01,  1.714079005520275e+00, -1.854078802635325e+00, -2.053330571527666e+00,  1.316320121201661e-01,  1.888238478587975e-03
