# c0 + a0 * (site_d_skew / Tx_boiling_pt) + a1 * (lattice_constant_sum + Tx_tot_fill)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.380057476581893; Max AE: 1.45206862289577
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.275953763272452e-01,  4.505687326659475e-01, -3.243497871074003e-03, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         7|173|div; (site_d_skew / Tx_boiling_pt); $\left(\frac{ site_{d, skew} }{ Tx_{boiling, pt} } \right)$; (site_d_skew ./ Tx_boiling_pt); site_d_skew,Tx_boiling_pt
# 1;  1; Unitless;                                         367|155|add; (lattice_constant_sum + Tx_tot_fill); $\left(lattice_{constant, sum} + Tx_{tot, fill}\right)$; (lattice_constant_sum + Tx_tot_fill); lattice_constant_sum,Tx_tot_fill
# Number of Samples Per Task
# Task, n_samples               
# all , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
sample_0    ,  6.471147974019836e-01,  1.189868989721829e+00,  8.337821113738740e-01,  2.411897822752226e+00
sample_1    , -1.211346759298101e+00, -1.062426189508717e+00,  3.153571433547866e-01, -2.440073456754031e+00
sample_2    , -7.586258986840756e-01, -5.371586424382829e-01, -8.829042724478493e-02, -1.159977726781833e+00
sample_3    ,  1.160849504833733e+00,  1.272505448446243e+00,  4.401510355290550e+00,  1.584967008030746e+00
sample_4    , -7.548356813046568e-01, -7.849823135292123e-01, -4.693387284543421e+00, -4.058965604541929e-01
sample_5    , -6.770948454104094e-01, -5.747837468486457e-01, -9.969475557376910e-01, -9.861633047540473e-01
sample_6    , -1.682203336469330e+00, -1.234115927475147e+00, -1.096509570224323e+00, -2.421301788718917e+00
sample_7    , -4.637411876033378e-01, -4.025411535255075e-01,  7.608229086691252e-01, -1.101663531038833e+00
sample_8    ,  1.243136085642117e+00,  3.003780693810775e-01, -3.463210023065269e+00,  1.654600284920737e+00
sample_9    , -1.150091200885186e+00, -1.100641297209963e+00,  1.484290385823549e-01, -2.477616792824259e+00
sample_10   ,  1.120476158198867e+00,  1.044929415189695e+00, -5.005071971737283e-01,  2.468070322276691e+00
sample_11   , -7.836939209364374e-01, -1.199741018991347e+00, -9.028606522235099e-01, -2.399848453821644e+00
sample_12   , -6.014333599221068e-01, -1.100640002066769e+00,  1.484391889751938e-01, -2.477616792824259e+00
sample_13   ,  3.144920332825995e-01,  5.573502637787046e-01,  2.769196948010229e+00,  4.599898304479445e-01
sample_14   ,  1.313590629906779e+00,  1.444332655201410e+00,  5.452332014739239e+00,  1.668743841460015e+00
sample_15   ,  1.202272944705296e+00,  1.088376808711476e+00,  1.349000982647560e-01,  2.384558891649598e+00
sample_16   , -9.301172910850198e-01, -5.722733135658673e-01, -3.661377710912935e-01, -1.159228972490695e+00
sample_17   , -5.618988526743032e-01, -5.915509835866901e-01, -9.293083976709897e-01, -1.042531354120786e+00
sample_18   , -1.450899276504839e+00, -1.108612185498119e+00, -1.791893767383799e-01, -2.402530120683803e+00
sample_19   ,  9.612569931124243e-01,  1.044959994973277e+00, -5.002675350130567e-01,  2.468070322276691e+00
sample_20   ,  1.113394814341984e+00,  7.134658516019406e-01, -1.033707965078757e-01,  1.619950369915776e+00
sample_21   ,  7.050383698082120e-01,  1.091471702635914e+00,  3.092449755601607e-01,  2.342055484474661e+00
sample_22   , -1.910238471282477e+00, -4.581698483867068e-01, -9.471025346156587e+00,  1.672403427271917e+00
sample_23   ,  3.603589879841972e-01,  1.055988778944909e-01, -5.057319569671558e+00,  1.673735691784154e+00
sample_24   ,  1.888270611039470e-01, -4.883263584926505e-03,  1.691838166646311e+00, -4.827465323323885e-01
sample_25   ,  8.080324448298829e-01,  1.187387284519598e+00,  6.243592103279160e-01,  2.465695804970940e+00
sample_26   , -1.247394618919144e+00, -1.276721788656290e+00, -1.274648732828624e+00, -2.465415208601435e+00
sample_27   ,  8.919970619715032e-01,  1.139057463494331e+00,  2.567009177677713e-01,  2.462547954879722e+00
sample_28   , -5.936231431133940e-01, -4.817371050436097e-01, -2.522080010204590e-02, -1.054834734936237e+00
sample_29   , -5.744786804364913e-01, -5.914034608198506e-01, -9.281522212397914e-01, -1.042531354120786e+00
sample_30   ,  1.274992153767564e+00,  1.047084578770884e+00, -2.565913900184318e-01,  2.403779652452446e+00
sample_31   ,  9.039863930935171e-01,  7.381013752079373e-01,  2.075695827940401e-01,  1.586572485442115e+00
sample_32   , -1.231648551182150e+00, -1.366260155307733e+00, -1.985855082957016e+00, -2.462733541739276e+00
sample_33   , -1.680752546758683e+00, -1.408569304096122e+00, -1.976538445721566e+00, -2.559273548777004e+00
sample_34   ,  1.000664370980082e+00,  1.188604562464432e+00,  3.822009083465563e+00,  1.562863381216126e+00
sample_35   , -4.582114196258733e-02,  2.978189525434957e-01,  3.909905292159706e+00, -4.390526292668921e-01
sample_36   , -1.649980605237195e+00, -1.199723617593001e+00, -9.027242726865164e-01, -2.399848453821644e+00
sample_37   ,  1.310516023197298e+00,  1.012630255475450e+00, -2.273404201213594e-01,  2.319027628978817e+00
sample_38   ,  1.202465930421095e+00,  7.134658516019406e-01, -1.033707965078757e-01,  1.619950369915776e+00
sample_39   , -5.975129901431819e-01, -4.022951348407465e-01,  7.627510246545350e-01, -1.101663531038833e+00
sample_40   ,  8.169730762088728e-01,  1.187407194310704e+00,  6.245152488277370e-01,  2.465695804970940e+00
sample_41   , -6.678328637255340e-01, -4.054125636003981e-01,  7.334857706768840e-01, -1.100294855650973e+00
sample_42   , -3.074498989691304e-01,  2.866801817922758e-01,  1.551026485465591e+00,  2.042304866837417e-01
sample_43   , -5.114856329606416e-01, -1.030757179486132e+00,  5.730254555495704e-01, -2.442755123616190e+00
sample_44   , -6.213527234794211e-01, -6.831433911916562e-01, -1.415052087016312e+00, -1.108256640003686e+00
sample_45   , -1.670792832474174e+00, -1.277999481379034e+00, -1.175288656793092e+00, -2.496388460859372e+00
sample_46   ,  2.564616474882058e-01, -6.400338540082015e-01, -8.176008369802865e-01, -1.181769241968084e+00
sample_47   , -1.647019150504399e+00, -1.408579986508961e+00, -1.976622166724206e+00, -2.559273548777004e+00
sample_48   , -6.380347248141381e-01, -6.400345633304388e-01, -8.176063961334302e-01, -1.181769241968084e+00
sample_49   ,  6.290852116167501e-01,  1.057454945078816e+00,  3.092449755601607e-01,  2.266558107291326e+00
sample_50   ,  1.035495773725665e+00,  1.080992829435633e+00,  8.165483906153386e-03,  2.404060403627451e+00
sample_51   ,  6.731337708317935e-01,  1.139057892679255e+00,  2.567042814078617e-01,  2.462547954879722e+00
sample_52   , -3.499379620903641e-01, -5.372131893470109e-01, -8.871792634622591e-02, -1.159977726781833e+00
sample_53   ,  1.010920146224281e+00,  1.170819996802743e+00,  2.982055905980311e-01,  2.521288668649840e+00
sample_54   , -1.475753379433461e+00, -1.276721788656290e+00, -1.274648732828624e+00, -2.465415208601435e+00
sample_55   , -1.160854811038070e+00, -1.288018571629362e+00, -8.711439779253523e+00, -3.844821538043522e-01
sample_56   ,  1.127082595308681e+00,  1.044959994973277e+00, -5.002675350130567e-01,  2.468070322276691e+00
sample_57   ,  1.113333248749128e+00,  7.134674658066911e-01, -1.033581455420110e-01,  1.619950369915776e+00
sample_58   ,  6.868492790716176e-01,  1.740702967314764e-01, -4.685097194330740e-01,  5.262093247432841e-01
sample_59   , -7.608867278208071e-01, -5.372131893470109e-01, -8.871792634622591e-02, -1.159977726781833e+00
sample_60   ,  1.060096040465768e+00,  6.287709025324266e-01, -7.640321238659673e-01,  1.619067888838919e+00
sample_61   ,  1.451440598076227e-01,  2.771644245906223e-01,  8.317900066264061e-01,  3.867897412894078e-01
sample_62   ,  1.163721211611933e+00,  1.047083229853410e+00, -2.566019618550665e-01,  2.403779652452446e+00
sample_63   , -8.981780736465206e-01, -4.054156899498983e-01,  7.334612686174039e-01, -1.100294855650973e+00
sample_64   , -1.717450225724758e+00, -1.199760794630496e+00, -9.030156393376110e-01, -2.399848453821644e+00
sample_65   ,  1.189139449145727e+00,  1.027685585641929e+00,  7.593433144608923e-02,  2.266558107291326e+00
sample_66   , -1.456249553720251e-01, -5.372078523590224e-01, -8.867609890590566e-02, -1.159977726781833e+00
sample_67   , -1.670851310037400e+00, -1.278019505489605e+00, -1.175445591245950e+00, -2.496388460859372e+00
sample_68   ,  3.436486417661265e-01,  1.904725989934460e-01,  2.847615365718859e+00, -3.764718788984084e-01
sample_69   , -1.190561686191609e-02, -6.038247993473496e-01, -8.146972317402278e-01, -1.102228507204956e+00
sample_70   ,  6.121225244678702e-01,  1.189868847780218e+00,  8.337809989384901e-01,  2.411897822752226e+00
sample_71   ,  5.058499676489997e-01,  3.169045001117694e-01,  6.212053749252316e-01,  5.346244577768862e-01
sample_72   , -1.475664119073807e+00, -1.276717187468259e+00, -1.274612672054611e+00, -2.465415208601435e+00
sample_73   ,  3.602432680648199e-01,  8.680164335286110e-02,  2.294035345783594e-01,  1.348835515927096e-01
sample_74   , -1.195524660971759e+00, -1.030720595357896e+00,  5.733121754079976e-01, -2.442755123616190e+00
sample_75   , -4.019975576780604e-01,  1.713763939244108e-02, -1.928312261145890e+00,  5.913079328085421e-01
sample_76   ,  1.592214203272649e-01, -4.992187842137707e-01,  8.602115231796367e-02, -1.125136190976361e+00
sample_77   ,  1.858250802780536e+00,  1.445212514155830e+00,  5.524275114502885e+00,  1.650323238048494e+00
sample_78   ,  7.382393894293018e-01,  1.170966601662816e+00,  2.993545731418593e-01,  2.521288668649840e+00
sample_79   , -1.506539330867606e+00, -1.199760794630496e+00, -9.030156393376110e-01, -2.399848453821644e+00
sample_80   ,  1.690006426761778e+00,  1.137099266213924e+00,  3.094403747255831e+00,  1.654600284920737e+00
sample_81   ,  9.877121916268211e-01,  1.080995541257056e+00,  8.186737195272348e-03,  2.404060403627451e+00
sample_82   ,  2.654166788443393e-01, -4.879827794911234e-03,  1.691865093876075e+00, -4.827465323323885e-01
sample_83   ,  5.702910093527966e-01,  1.619853220698606e-01,  9.705592376553094e-01,  9.186156464857875e-02
sample_84   , -1.249265575955521e+00, -1.292482963328332e+00, -1.133025011385610e+00, -2.540501880741890e+00
sample_85   , -3.767992068171008e-02,  1.382194523233536e-01,  5.701985865798117e-01,  1.524922658347303e-01
sample_86   , -1.355512095792173e+00, -1.100637544666065e+00,  1.484584482992763e-01, -2.477616792824259e+00
sample_87   , -6.782121602266206e-01, -5.747495300100808e-01, -9.966793889784415e-01, -9.861633047540473e-01
sample_88   , -1.416204819833983e+00, -1.292481785959327e+00, -1.133015784021432e+00, -2.540501880741890e+00
sample_89   , -1.585214475076070e+00, -1.433602256643418e+00, -2.437876943620993e+00, -2.484186876636549e+00
sample_90   ,  5.392214791123578e-01,  1.619700242055690e-01,  9.704393440922987e-01,  9.186156464857875e-02
sample_91   , -1.636118691795776e+00, -1.108612185498119e+00, -1.791893767383799e-01, -2.402530120683803e+00
sample_92   , -6.875458817656914e-01, -6.831628248342902e-01, -1.415204393809813e+00, -1.108256640003686e+00
sample_93   ,  1.180761197068343e+00,  1.170866023497362e+00,  2.985663144419782e-01,  2.521288668649840e+00
sample_94   ,  2.740108655901116e-01,  2.709842233888585e-01,  3.743777795794640e+00, -4.515648795162083e-01
sample_95   , -5.960358383932338e-01, -4.029320761674475e-01,  7.577591405829097e-01, -1.101663531038833e+00
sample_96   , -1.353984885425781e+00, -1.100641297209963e+00,  1.484290385823549e-01, -2.477616792824259e+00
sample_97   ,  3.545930805447097e-01,  3.169072749021020e-01,  6.212271217189825e-01,  5.346244577768862e-01
sample_98   ,  1.444321547708520e-01,  2.978279995912272e-01,  3.909976196356957e+00, -4.390526292668921e-01
sample_99   , -4.816860638075396e-01, -1.173718136689636e+00, -3.253370567634506e-01, -2.505640211533822e+00
sample_100  , -7.275663801637721e-01, -1.288019276789849e+00, -8.711445305789880e+00, -3.844821538043522e-01
sample_101  ,  8.983969910382459e-01, -2.643556453491274e-02, -2.376237110566478e-01,  1.581916288451213e-02
sample_102  ,  1.029115445531244e+00,  1.016280299270859e+00,  1.934852896689582e+00,  1.714822750969286e+00
sample_103  ,  1.465824992751343e+00,  1.264384285404454e+00,  4.154757734912796e+00,  1.636819985659280e+00
sample_104  ,  7.633789239867739e-01,  1.189868847780218e+00,  8.337809989384901e-01,  2.411897822752226e+00
sample_105  ,  8.757577868396285e-01,  9.072197577197667e-01, -1.134788109491405e+00,  2.342055484474661e+00
sample_106  ,  3.099629312221376e-01,  1.904725989934460e-01,  2.847615365718859e+00, -3.764718788984084e-01
sample_107  , -7.668529997456558e-01, -1.087142578251044e-01, -2.606821364995706e+00,  5.041352776223543e-01
sample_108  , -6.542011224042100e-01, -1.276721020744068e+00, -1.274642714489681e+00, -2.465415208601435e+00
sample_109  ,  1.470443368866583e-01,  2.771547909389184e-01,  8.317145050527506e-01,  3.867897412894078e-01
sample_110  ,  1.435662382281744e-01,  2.978339300433502e-01,  3.910022674938656e+00, -4.390526292668921e-01
sample_111  , -5.791609163515538e-01, -4.992203800441837e-01,  8.600864535682599e-02, -1.125136190976361e+00
sample_112  ,  1.113384835128178e+00,  6.298915050134745e-01, -7.552496545218288e-01,  1.619067888838919e+00
sample_113  ,  8.394918796865621e-01,  1.265808140336429e+00,  4.165916876983299e+00,  1.636819985659280e+00
sample_114  , -1.147306706610884e+00, -7.849686161796513e-01, -4.693279934653830e+00, -4.058965604541929e-01
sample_115  ,  3.376840926385163e-01,  2.068382358746419e-01,  1.506086438343690e+00,  3.975435170103658e-02
sample_116  ,  9.702088064155208e-01,  4.067649413067890e-02, -3.006073996229094e-01,  1.826050063362747e-01
sample_117  ,  1.124065816054948e+00,  1.012568777448864e+00, -2.278222402966299e-01,  2.319027628978817e+00
sample_118  ,  1.033066533099194e+00,  1.016281755627860e+00,  1.934864310559295e+00,  1.714822750969286e+00
sample_119  ,  5.571273486027266e-01,  1.189868061521284e+00,  8.337748368113344e-01,  2.411897822752226e+00
sample_120  , -9.286847045079734e-01, -1.173718344638670e+00, -3.253386865171339e-01, -2.505640211533822e+00
sample_121  , -1.415936356126881e+00, -1.292482963328332e+00, -1.133025011385610e+00, -2.540501880741890e+00
sample_122  ,  1.122894639469181e+00,  2.068307029224911e-01,  1.506027400529252e+00,  3.975435170103658e-02
sample_123  , -4.745781953878296e-01, -4.816902232124688e-01, -2.485337431836642e-02, -1.054834734936237e+00
sample_124  , -1.582185961300186e+00, -1.434672246088667e+00, -2.446262744706021e+00, -2.484186876636549e+00
sample_125  ,  1.486494650452379e+00,  1.272529539718660e+00,  4.401699165207576e+00,  1.584967008030746e+00
sample_126  ,  8.848275629462781e-01,  1.224786942342568e+00,  3.865995777751394e+00,  1.630710701394041e+00
sample_127  ,  1.300113777743623e+00,  1.188611314114015e+00,  3.822061997997248e+00,  1.562863381216126e+00
sample_128  ,  5.622685310101794e-01,  1.740992136003872e-01, -4.682830899912931e-01,  5.262093247432841e-01
sample_129  , -1.021152850287434e+00, -1.173717953258968e+00, -3.253356191669373e-01, -2.505640211533822e+00
sample_130  , -1.635960259529398e+00, -1.108459417857010e+00, -1.779920947873664e-01, -2.402530120683803e+00
sample_131  ,  1.699543275762102e+00,  1.106448066816788e+00,  3.094403747255831e+00,  1.586572485442115e+00
sample_132  ,  7.388827726692149e-01,  1.081063341080540e+00,  8.718103028704734e-03,  2.404060403627451e+00
sample_133  , -7.238328200361301e-01, -1.292482911598944e+00, -1.133024605968189e+00, -2.540501880741890e+00
sample_134  ,  9.205689598163199e-01,  1.139058411768465e+00,  2.567083496525421e-01,  2.462547954879722e+00
sample_135  , -2.823214488139094e-01,  6.693512381302853e-03, -5.952122448394844e+00,  1.707620299013505e+00
sample_136  , -1.511238307164410e+00, -1.366256129553870e+00, -1.985823532018582e+00, -2.462733541739276e+00
sample_137  , -1.122577295143122e+00, -1.030720595357896e+00,  5.733121754079976e-01, -2.442755123616190e+00
sample_138  ,  9.872839629225001e-01,  1.081019664663470e+00,  8.375798955256317e-03,  2.404060403627451e+00
sample_139  ,  4.762218330002200e-01,  1.175012485113774e-01,  7.848199615655768e-01,  4.573186407196683e-02
sample_140  ,  7.084140570182394e-02, -4.379612565386183e-01,  2.918736007631218e-01, -1.047474994113306e+00
sample_141  , -1.681154640966576e+00, -1.408579986508961e+00, -1.976622166724206e+00, -2.559273548777004e+00
sample_142  ,  1.254493085432562e+00,  1.224797123211889e+00,  3.866075568019774e+00,  1.630710701394041e+00
sample_143  , -7.603836712326606e-01, -1.108110426280388e+00, -1.752569519736723e-01, -2.402530120683803e+00
sample_144  ,  9.381309201146129e-01,  1.329990386989008e+00,  4.958387782539741e+00,  1.554849413596371e+00
sample_145  , -8.260895894726673e-02, -8.366960373653548e-01, -2.645262157010155e+00, -1.100674066200755e+00
sample_146  ,  9.612804296456203e-01,  1.205516778228360e+00,  3.348664213515438e+00,  1.734443934798620e+00
sample_147  ,  2.268320500899568e-01,  1.818484212603255e-01,  2.775242472069539e+00, -3.751174376695524e-01
sample_148  ,  1.483265200777105e-01,  2.771529411490855e-01,  8.317000077419061e-01,  3.867897412894078e-01
sample_149  ,  1.771413048610887e+00,  1.016364499086896e+00, -1.804454250257841e-01,  2.314035402992942e+00
sample_150  ,  8.523505079354604e-01,  1.088407123715747e+00,  1.351376852772620e-01,  2.384558891649598e+00
sample_151  , -1.255573351661400e+00, -1.062426189508717e+00,  3.153571433547866e-01, -2.440073456754031e+00
sample_152  , -5.833815078062150e-01, -4.386356572448734e-01,  2.865881372481632e-01, -1.047474994113306e+00
sample_153  , -1.195457114348063e+00, -1.030983207139283e+00,  5.712540147681164e-01, -2.442755123616190e+00
