# c0 + a0 * (CN_p_var / lattice_constant_std) + a1 * (M_d_skew - CN_p_skew) + a2 * (en_allen_sum + lattice_constant_std)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.339293152539453; Max AE: 1.10868181607746
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.070343567346937e-01, -2.638302064826203e-01,  5.089936710054854e-01, -2.531578618360743e-03, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         154|106|div; (CN_p_var / lattice_constant_std); $\left(\frac{ CN_{p, var} }{ lattice_{constant, std} } \right)$; (CN_p_var ./ lattice_constant_std); CN_p_var,lattice_constant_std
# 1;  1; Unitless;                                         282|24|sub; (M_d_skew - CN_p_skew); $\left(M_{d, skew} - CN_{p, skew}\right)$; (M_d_skew - CN_p_skew); M_d_skew,CN_p_skew
# 2;  1; Unitless;                                         272|106|add; (en_allen_sum + lattice_constant_std); $\left(en_{allen, sum} + lattice_{constant, std}\right)$; (en_allen_sum + lattice_constant_std); en_allen_sum,lattice_constant_std
# Number of Samples Per Task
# Task, n_samples               
# all , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
sample_0    ,  6.471147974019836e-01,  9.448391252208671e-01, -6.870973394309815e-01,  5.131723763832323e-01,  1.982771326267831e+00
sample_1    , -1.211346759298101e+00, -1.097783204707377e+00, -2.419753440161292e+00,  9.713131591204834e-01, -2.157171474282174e+00
sample_2    , -7.586258986840756e-01, -9.050260264426553e-02, -1.015409400345082e+00, -6.900337766300187e-01, -7.440298207134300e-01
sample_3    ,  1.160849504833733e+00,  1.093761063216820e+00,  3.457730403192460e+00, -2.811683964259831e+00,  1.423556856840616e+00
sample_4    , -7.548356813046568e-01, -7.317364628673509e-01,  4.253610212166016e+00,  1.357585844816307e+00,  1.655221020718427e-01
sample_5    , -6.770948454104094e-01, -7.816108221000727e-01,  3.786605741393042e-01,  1.889057426390962e+00, -4.718312924623352e-01
sample_6    , -1.682203336469330e+00, -1.612517474000817e+00,  8.116350319063120e-01,  1.349525939436039e+00, -2.292891682284556e+00
sample_7    , -4.637411876033378e-01, -2.569996743297160e-01, -2.206573992349652e-01,  1.265755678263061e-01, -4.807359585013661e-01
sample_8    ,  1.243136085642117e+00,  5.813246106843205e-01, -2.342959009192263e-01, -8.778674799688297e-01,  6.427791510871980e-01
sample_9    , -1.150091200885186e+00, -1.091771036535970e+00, -1.574574856680672e+00,  8.051612771711628e-01, -2.053752842859816e+00
sample_10   ,  1.120476158198867e+00,  8.131491173843395e-01,  6.058177310129325e-01,  7.439453336805534e-01,  2.115545476252609e+00
sample_11   , -7.836939209364374e-01, -1.322665333422709e+00, -1.684132515422415e+00,  1.233806239130464e+00, -2.308237817767621e+00
sample_12   , -6.014333599221068e-01, -1.091771036535970e+00, -1.574574856680672e+00,  8.051612771711628e-01, -2.053752842859816e+00
sample_13   ,  3.144920332825995e-01,  4.497510760553370e-01,  3.821750934292225e-01, -2.007161851270987e+00, -7.143783464756481e-02
sample_14   ,  1.313590629906779e+00,  7.288365801506810e-01,  2.823522067811771e+00, -1.149586288661381e+00,  1.434765264710915e+00
sample_15   ,  1.202272944705296e+00,  1.031364518116566e+00,  1.537202395627838e-01, -1.687116111263983e-01,  1.976131102980451e+00
sample_16   , -9.301172910850198e-01, -2.818536435658454e-02, -2.234234075032830e+00, -4.489818506262550e-01, -7.529535020635642e-01
sample_17   , -5.618988526743032e-01, -7.133834126326001e-01,  3.547831140598096e-01,  1.344723552511221e+00, -6.249570028465240e-01
sample_18   , -1.450899276504839e+00, -1.336834449070237e+00, -4.521084206667556e-02,  7.298782408351325e-01, -2.252637158725801e+00
sample_19   ,  9.612569931124243e-01,  8.131491173843395e-01,  6.058177310129325e-01,  7.439453336805534e-01,  2.115545476252609e+00
sample_20   ,  1.113394814341984e+00,  1.121016990259664e+00, -3.257248519337906e+00, -1.925096155113817e-01,  1.422652693981330e+00
sample_21   ,  7.050383698082120e-01,  1.062426319216086e+00,  6.160561722995472e-01,  5.932853864608534e-02,  2.252581514982961e+00
sample_22   , -1.910238471282477e+00, -9.324503633995761e-01,  1.043438313562047e+01,  8.170888787126611e-01,  7.907592030635165e-01
sample_23   ,  3.603589879841972e-01,  2.237081838576633e-02,  3.512508123211389e+00, -2.947623451358644e-01,  6.347706317815213e-01
sample_24   ,  1.888270611039470e-01,  1.977049519600034e-01,  1.853647629039633e+00, -1.028097009163471e+00,  2.502928291858377e-01
sample_25   ,  8.080324448298829e-01,  9.148941274864696e-01, -1.143096952905469e+00,  1.051441063127839e+00,  2.107053649087457e+00
sample_26   , -1.247394618919144e+00, -1.371712519288525e+00,  7.102431307385208e-02,  9.210926879762826e-02, -2.627297288314471e+00
sample_27   ,  8.919970619715032e-01,  9.408052321656587e-01, -7.697999115595803e-01,  8.331935489332958e-01,  2.123333668090397e+00
sample_28   , -5.936231431133940e-01, -3.938479150555265e-01, -2.103504431854360e+00,  1.102878474945672e+00, -6.394793156781957e-01
sample_29   , -5.744786804364913e-01, -7.133834126326001e-01,  3.547831140598096e-01,  1.344723552511221e+00, -6.249570028465240e-01
sample_30   ,  1.274992153767564e+00,  1.054200968289394e+00, -4.053676139131080e-01,  3.459408248854767e-01,  2.170191865430653e+00
sample_31   ,  9.039863930935171e-01,  7.663474206732541e-01, -2.784649422764659e+00, -3.832827597398094e-01,  7.263435500497544e-01
sample_32   , -1.231648551182150e+00, -1.265323552573833e+00, -1.555626799652397e+00,  2.415167446785664e-01, -2.682897947356291e+00
sample_33   , -1.680752546758683e+00, -1.910060713003403e+00,  2.511690970388327e+00,  1.360572391840676e+00, -2.514239144567908e+00
sample_34   ,  1.000664370980082e+00,  1.313494941444009e+00,  1.123018638914889e+00, -2.682006392375607e+00,  1.431518384014797e+00
sample_35   , -4.582114196258733e-02,  3.866794314711948e-01, -3.334782861789536e-02, -1.182419721471818e+00,  1.447633077526302e-01
sample_36   , -1.649980605237195e+00, -1.322665333422709e+00, -1.684132515422415e+00,  1.233806239130464e+00, -2.308237817767621e+00
sample_37   ,  1.310516023197298e+00,  1.030978965007563e+00,  2.533614846959901e-02,  5.934603438714258e-01,  2.343438072002063e+00
sample_38   ,  1.202465930421095e+00,  1.121016990259664e+00, -3.257248519337906e+00, -1.925096155113817e-01,  1.422652693981330e+00
sample_39   , -5.975129901431819e-01, -2.569996743297160e-01, -2.206573992349652e-01,  1.265755678263061e-01, -4.807359585013661e-01
sample_40   ,  8.169730762088728e-01,  9.148941274864696e-01, -1.143096952905469e+00,  1.051441063127839e+00,  2.107053649087457e+00
sample_41   , -6.678328637255340e-01, -2.284304548383345e-01, -1.513548478433655e+00,  5.257088789321414e-01, -4.895987830756250e-01
sample_42   , -3.074498989691304e-01,  2.987058874012573e-01, -1.206234770634028e-01,  6.011200213025926e-01,  8.780467313145006e-01
sample_43   , -5.114856329606416e-01, -1.133175021171200e+00, -8.288656452985225e-01,  4.772021176241401e-01, -2.148278599083697e+00
sample_44   , -6.213527234794211e-01, -3.787310523127868e-01, -1.541285716619631e+00,  3.075971267132663e-01, -9.037766315526549e-01
sample_45   , -1.670792832474174e+00, -1.769903052967871e+00,  1.601136918897648e+00,  1.921548876868061e+00, -2.139579014979238e+00
sample_46   ,  2.564616474882058e-01, -1.504874448702980e-01, -3.437746615792543e-01, -5.514067315376210e-01, -6.487886523242805e-01
sample_47   , -1.647019150504399e+00, -1.910060713003403e+00,  2.511690970388327e+00,  1.360572391840676e+00, -2.514239144567908e+00
sample_48   , -6.380347248141381e-01, -1.504874448702980e-01, -3.437746615792543e-01, -5.514067315376210e-01, -6.487886523242805e-01
sample_49   ,  6.290852116167501e-01,  1.234279368726002e+00, -4.560441878617295e-01, -2.586757174370761e-01,  2.199933215080106e+00
sample_50   ,  1.035495773725665e+00,  1.158576732888762e+00, -4.129451452583990e-01, -3.158454043810863e-01,  2.030633177071642e+00
sample_51   ,  6.731337708317935e-01,  9.408052321656587e-01, -7.697999115595803e-01,  8.331935489332958e-01,  2.123333668090397e+00
sample_52   , -3.499379620903641e-01, -9.050260264426553e-02, -1.015409400345082e+00, -6.900337766300187e-01, -7.440298207134300e-01
sample_53   ,  1.010920146224281e+00,  8.486924417818484e-01, -7.896991902616740e-01,  1.437699952388382e+00,  2.251516700770474e+00
sample_54   , -1.475753379433461e+00, -1.371712519288525e+00,  7.102431307385208e-02,  9.210926879762826e-02, -2.627297288314471e+00
sample_55   , -1.160854811038070e+00, -8.454593273110467e-01,  2.455300494153457e+00,  2.214272251878671e+00,  7.987654744822104e-03
sample_56   ,  1.127082595308681e+00,  8.131491173843395e-01,  6.058177310129325e-01,  7.439453336805534e-01,  2.115545476252609e+00
sample_57   ,  1.113333248749128e+00,  1.121016990259664e+00, -3.257248519337906e+00, -1.925096155113817e-01,  1.422652693981330e+00
sample_58   ,  6.868492790716176e-01,  4.784945697777412e-01, -1.529015168947814e+00, -1.639255198507015e+00, -2.261639990969359e-01
sample_59   , -7.608867278208071e-01, -9.050260264426553e-02, -1.015409400345082e+00, -6.900337766300187e-01, -7.440298207134300e-01
sample_60   ,  1.060096040465768e+00,  1.138393776925795e+00, -9.775134454295794e-01, -1.430474921725790e+00,  1.294505956123884e+00
sample_61   ,  1.451440598076227e-01,  4.479569567060023e-01,  4.955702062997321e-01, -1.868685499695090e+00,  2.066016325139508e-02
sample_62   ,  1.163721211611933e+00,  1.054200968289394e+00, -4.053676139131080e-01,  3.459408248854767e-01,  2.170191865430653e+00
sample_63   , -8.981780736465206e-01, -2.284304548383345e-01, -1.513548478433655e+00,  5.257088789321414e-01, -4.895987830756250e-01
sample_64   , -1.717450225724758e+00, -1.322665333422709e+00, -1.684132515422415e+00,  1.233806239130464e+00, -2.308237817767621e+00
sample_65   ,  1.189139449145727e+00,  1.234279368726002e+00, -4.560441878617295e-01, -2.586757174370761e-01,  2.199933215080106e+00
sample_66   , -1.456249553720251e-01, -9.050260264426553e-02, -1.015409400345082e+00, -6.900337766300187e-01, -7.440298207134300e-01
sample_67   , -1.670851310037400e+00, -1.769903052967871e+00,  1.601136918897648e+00,  1.921548876868061e+00, -2.139579014979238e+00
sample_68   ,  3.436486417661265e-01,  1.714937200996898e-01, -1.019616602909032e-01, -6.347691576229333e-01, -8.564703601585899e-03
sample_69   , -1.190561686191609e-02, -3.927647616059007e-01, -1.574064728358791e-01, -9.351323447243365e-02, -8.482476779332532e-01
sample_70   ,  6.121225244678702e-01,  9.448391252208671e-01, -6.870973394309815e-01,  5.131723763832323e-01,  1.982771326267831e+00
sample_71   ,  5.058499676489997e-01,  2.415715025598106e-01,  4.860503549701948e-01, -1.452296836766557e+00, -1.709895643361807e-01
sample_72   , -1.475664119073807e+00, -1.371712519288525e+00,  7.102431307385208e-02,  9.210926879762826e-02, -2.627297288314471e+00
sample_73   ,  3.602432680648199e-01,  3.247488630412939e-01, -1.029009717267139e-01, -2.275929992878199e-01,  5.033866017258301e-01
sample_74   , -1.195524660971759e+00, -1.133175021171200e+00, -8.288656452985225e-01,  4.772021176241401e-01, -2.148278599083697e+00
sample_75   , -4.019975576780604e-01, -5.976530120671117e-01,  2.244968141558850e+00,  1.217562063902221e+00, -6.601862403516667e-02
sample_76   ,  1.592214203272649e-01, -2.133189806607747e-01, -1.057856620422305e+00,  4.829956542970388e-01, -3.862239806147566e-01
sample_77   ,  1.858250802780536e+00,  1.181475798503472e+00, -5.842019926801009e-01, -1.376874105214104e+00,  1.489638784024901e+00
