# c0 + a0 * (M_spec_heat / Tx_charge_std) + a1 * (site_bond_length_avg + CN_tDOS_at_EF) + a2 * (en_gordy - atomic_volume_av) + a3 * (lattice_constant_sum + en_martynov_batsanov_sum)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.294644733903227; Max AE: 0.946795942751096
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  1.029201578676754e-02, -1.399338057265077e-01,  2.062781164949244e-01,  4.941300300094033e-01,  1.479099196259692e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         126|55|div; (M_spec_heat / Tx_charge_std); $\left(\frac{ M_{spec, heat} }{ Tx_{charge, std} } \right)$; (M_spec_heat ./ Tx_charge_std); M_spec_heat,Tx_charge_std
# 1;  1; Unitless;                                         370|33|add; (site_bond_length_avg + CN_tDOS_at_EF); $\left(site_{bond, length, avg} + CN_{tDOS, at, EF}\right)$; (site_bond_length_avg + CN_tDOS_at_EF); site_bond_length_avg,CN_tDOS_at_EF
# 2;  1; Unitless;                                         345|290|sub; (en_gordy - atomic_volume_av); $\left(en_{gordy} - atomic_{volume, av}\right)$; (en_gordy - atomic_volume_av); en_gordy,atomic_volume_av
# 3;  1; Unitless;                                         367|219|add; (lattice_constant_sum + en_martynov_batsanov_sum); $\left(lattice_{constant, sum} + en_{martynov, batsanov, sum}\right)$; (lattice_constant_sum + en_martynov_batsanov_sum); lattice_constant_sum,en_martynov_batsanov_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
sample_0    ,  6.471147974019836e-01,  8.271267449042485e-01, -2.737777675088035e+00,  2.191414200451984e-01, -4.259838604737735e-01,  1.940884761185369e+00
sample_1    , -1.211346759298101e+00, -1.386875475230636e+00,  1.773172498422642e+00,  5.458632152986402e-01, -2.862358108795519e-01, -2.599492051617949e+00
sample_2    , -7.586258986840756e-01, -4.519420681152705e-01,  5.748306708222277e-01, -1.545503545926499e-01, -6.106948127978713e-01, -7.453565814792609e-01
sample_3    ,  1.160849504833733e+00,  1.300500751724032e+00, -3.655406964895327e-01, -5.458036750073896e-01,  2.121144476872096e+00,  1.569525813761140e+00
sample_4    , -7.548356813046568e-01, -6.871235223563088e-01, -5.710959566822257e+00,  4.699340455550918e+00, -1.280416953404581e+00,  5.637814878835953e-01
sample_5    , -6.770948454104094e-01, -4.904483627928977e-01, -2.400785872996625e+00, -5.660719154626501e-01, -1.239048432689477e+00, -6.155352451430366e-01
sample_6    , -1.682203336469330e+00, -1.737057116599547e+00,  2.320141225012110e-01,  9.353755636970280e-01, -1.440069665212378e+00, -2.684092041471860e+00
sample_7    , -4.637411876033378e-01, -3.893195224815124e-01,  5.698347923414537e-01, -1.390872497499500e-01, -8.931314018519008e-01, -4.962353895939758e-01
sample_8    ,  1.243136085642117e+00,  7.300158613727176e-01,  5.488152022671874e+00,  2.183786735554022e-01,  6.447941085661512e-01,  1.125801576520415e+00
sample_9    , -1.150091200885186e+00, -1.361541005728087e+00, -1.892285260525626e+00,  4.415062664243034e-01,  1.951100612555282e-01, -2.702369357561654e+00
sample_10   ,  1.120476158198867e+00,  9.039602526811259e-01, -5.695025086357993e+00, -4.719721221274981e-02, -9.553358122674839e-01,  2.303529164664968e+00
sample_11   , -7.836939209364374e-01, -9.313279101187200e-01,  1.700279872534466e+00, -2.955413063086358e+00, -5.186451939359110e-01, -2.570568829877549e+00
sample_12   , -6.014333599221068e-01, -7.810743889055962e-01, -1.892285260525626e+00, -3.706645167096899e+00,  1.951100612555282e-01, -2.702369357561654e+00
sample_13   ,  3.144920332825995e-01,  1.328948409112500e-01, -2.040296759549391e+00,  7.832854872549430e-01,  1.661736711824554e-01,  4.339601515473727e-01
sample_14   ,  1.313590629906779e+00,  1.113160352832941e+00, -3.356438257312062e-01, -1.698581091659286e-01,  8.004484027530586e-01,  1.847570227386826e+00
sample_15   ,  1.202272944705296e+00,  9.512759111865458e-01, -5.966250452245220e+00,  1.877132194865726e-01,  4.369060163120686e-02,  2.054407972779682e+00
sample_16   , -9.301172910850198e-01, -4.776624776460878e-01,  2.172534160592690e+00, -9.009383359890619e-02, -8.313110150862864e-01, -7.203349451854318e-01
sample_17   , -5.618988526743032e-01, -6.124642789502334e-01,  2.390575318585973e-01, -1.953967055274949e-01, -1.853875749639222e+00, -5.558137431540592e-01
sample_18   , -1.450899276504839e+00, -1.441166247958223e+00,  3.673861420078233e-01,  9.615759807994682e-01, -1.146256446296318e-01, -2.633996228289849e+00
sample_19   ,  9.612569931124243e-01,  8.708345025954235e-01, -5.695025086357993e+00,  1.895272155530803e-01, -9.553358122674839e-01,  2.303529164664968e+00
sample_20   ,  1.113394814341984e+00,  1.127000772538719e+00, -6.579800614967780e+00, -3.264515611386133e-01,  2.084619231508508e+00,  1.425204321918249e+00
sample_21   ,  7.050383698082120e-01,  1.395230891326862e+00, -6.800814953410511e-01, -3.249005587279190e+00, -9.266979643264629e-01,  2.274605942924566e+00
sample_22   , -1.910238471282477e+00, -1.878523851407442e+00, -2.293703877291824e+02,  2.346230678792562e-01, -9.286203840004252e-01,  1.399944404699527e+00
sample_23   ,  3.603589879841972e-01,  3.838427316478761e-01, -2.051446229987908e+01,  2.803266333582281e-01,  2.460647516278242e-01,  1.150823212814243e+00
sample_24   ,  1.888270611039470e-01,  2.822735903342958e-01,  1.220372544391061e+01, -2.877945794478481e-01, -9.572062758174726e-01,  6.052256737827799e-01
sample_25   ,  8.080324448298829e-01,  9.916718321024501e-01,  6.775542891332000e+00,  2.600849949625944e-01,  6.788054600481530e-02,  1.881163259196389e+00
sample_26   , -1.247394618919144e+00, -1.335143505764819e+00,  3.673861420078233e-01,  7.133352027399993e-01,  8.277124506964932e-01, -2.883117420175135e+00
sample_27   ,  8.919970619715032e-01,  6.822194175026778e-01, -1.899329299093367e+00,  7.372136854486302e-01, -1.415614234627977e+00,  2.190005953070655e+00
sample_28   , -5.936231431133940e-01, -3.921205059515780e-01,  1.746397911811973e+00, -4.177686322828341e-01, -1.283686211062726e+00, -4.422905315597446e-01
sample_29   , -5.744786804364913e-01, -6.125805850019105e-01,  2.390575318585973e-01, -1.945655550340647e-01, -1.853875749639222e+00, -5.558137431540592e-01
sample_30   ,  1.274992153767564e+00,  9.805239002921031e-01, -1.437121488722942e-01,  1.859700166969470e-01, -5.510330746279997e-01,  2.240101766252666e+00
sample_31   ,  9.039863930935171e-01,  6.857224218644000e-01,  6.620075385491817e+00,  2.124176686317440e-01,  5.560472523151795e-01,  1.047945906870535e+00
sample_32   , -1.231648551182150e+00, -1.352242550469506e+00,  1.700279872534466e+00,  5.619650513615201e-01,  4.236929013902122e-01, -2.819690021762833e+00
sample_33   , -1.680752546758683e+00, -1.518505604440650e+00, -2.287988086775723e+00,  9.427263272665424e-01,  4.899677588146778e-01, -2.992934735346124e+00
sample_34   ,  1.000664370980082e+00,  1.425884413916263e+00, -1.132515319467071e-01, -9.460681198905311e-01,  2.504803753463957e+00,  1.544504177467311e+00
sample_35   , -4.582114196258733e-02,  7.031352348307726e-02, -5.041886352071074e-01,  1.884755460662256e-01, -1.274052729037275e+00,  7.081029797264867e-01
sample_36   , -1.649980605237195e+00, -1.519026920785186e+00,  1.700279872534466e+00,  1.244422763683683e+00, -5.186451939359110e-01, -2.570568829877549e+00
sample_37   ,  1.310516023197298e+00,  1.025663314024020e+00,  4.176508633423071e+00, -1.470088712684126e-01, -6.098573142935073e-01,  2.171728636980859e+00
sample_38   ,  1.202465930421095e+00,  1.091455286995875e+00, -6.579800614967780e+00, -7.243513274020327e-02,  2.084619231508508e+00,  1.425204321918249e+00
sample_39   , -5.975129901431819e-01, -3.890754344333135e-01,  5.698347923414537e-01, -1.408315605469843e-01, -8.931314018519008e-01, -4.962353895939758e-01
sample_40   ,  8.169730762088728e-01,  1.044987833313985e+00,  6.775542891332000e+00, -1.209237322333044e-01,  6.788054600481530e-02,  1.881163259196389e+00
sample_41   , -6.678328637255340e-01, -3.644574803167437e-01,  1.875027018496701e+00, -4.433700956001394e-01, -1.104081628181516e+00, -4.712137533001463e-01
sample_42   , -3.074498989691304e-01,  4.720621275575667e-01,  9.755392295519635e-01, -2.272961458736866e-02,  1.387045425184367e+00,  3.196185246400920e-01
sample_43   , -5.114856329606416e-01, -7.404691215343554e-01,  5.444110905933932e-01, -3.602886579536340e+00,  1.542684032477523e-01, -2.624513687911779e+00
sample_44   , -6.213527234794211e-01, -5.013616433557264e-01,  1.776500975256509e+00, -1.086211432494019e-01, -1.008293507995532e+00, -6.914117234450301e-01
sample_45   , -1.670792832474174e+00, -1.564847018633487e+00, -2.287988086775723e+00,  7.644702506831091e-01, -4.523703365114444e-01, -2.743813543460838e+00
sample_46   ,  2.564616474882058e-01, -3.862589025088671e-01, -1.939800629090473e+00, -1.002537653900616e+00, -5.555628132584374e-01, -8.232122511291371e-01
sample_47   , -1.647019150504399e+00, -1.518624475437504e+00, -2.287988086775723e+00,  9.435758074635383e-01,  4.899677588146778e-01, -2.992934735346124e+00
sample_48   , -6.380347248141381e-01, -4.493797672144246e-01, -1.939800629090473e+00, -5.514610582356378e-01, -5.555628132584374e-01, -8.232122511291371e-01
sample_49   ,  6.290852116167501e-01,  1.575881154367846e+00,  4.316210400627548e+00, -3.461505280422154e+00,  3.988206613848561e-01,  1.922607445095573e+00
sample_50   ,  1.035495773725665e+00,  1.028783065706217e+00, -1.566256274500031e+00,  3.064224843314710e-01,  4.323656963460480e-01,  1.990980574367381e+00
sample_51   ,  6.731337708317935e-01,  7.127949341399833e-01, -1.899329299093367e+00,  5.187138277583196e-01, -1.415614234627977e+00,  2.190005953070655e+00
