# c0 + a0 * (Tx_p_skew * period_std) + a1 * (site_charge_std * site_s_kurt) + a2 * (M_spec_heat / Tx_charge_std) + a3 * (CN_p_skew - site_d_skew) + a4 * (lattice_constant_std + en_gordy_sum)
# Property Label: $E_{ads}$; Unit of the Property: eV
# RMSE: 0.266423668507174; Max AE: 0.772926518830413
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.791997667728426e-01, -3.185764873796647e-01,  8.847344713351444e-03,  2.126978380368226e-01,  4.897846839713285e-01, -4.482914092871937e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         66|11|mult; (Tx_p_skew * period_std); $\left(Tx_{p, skew} period_{std}\right)$; (Tx_p_skew .* period_std); Tx_p_skew,period_std
# 1;  1; Unitless;                                         360|251|mult; (site_charge_std * site_s_kurt); $\left(site_{charge, std} site_{s, kurt}\right)$; (site_charge_std .* site_s_kurt); site_charge_std,site_s_kurt
# 2;  1; Unitless;                                         126|55|div; (M_spec_heat / Tx_charge_std); $\left(\frac{ M_{spec, heat} }{ Tx_{charge, std} } \right)$; (M_spec_heat ./ Tx_charge_std); M_spec_heat,Tx_charge_std
# 3;  1; Unitless;                                         24|7|sub; (CN_p_skew - site_d_skew); $\left(CN_{p, skew} - site_{d, skew}\right)$; (CN_p_skew - site_d_skew); CN_p_skew,site_d_skew
# 4;  1; Unitless;                                         106|17|add; (lattice_constant_std + en_gordy_sum); $\left(lattice_{constant, std} + en_{gordy, sum}\right)$; (lattice_constant_std + en_gordy_sum); lattice_constant_std,en_gordy_sum
# Number of Samples Per Task
# Task, n_samples               
# all , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
sample_0    ,  6.471147974019836e-01,  7.171718928521119e-01, -5.467132525619217e-01,  2.629735718679336e-01, -2.737777675088035e+00, -5.019830637355476e-01,  2.194315029298686e+00
sample_1    , -1.211346759298101e+00, -1.234990064117680e+00,  1.618582216818923e-01,  3.739218110972194e-01,  1.773172498422642e+00, -9.383423946070624e-01, -1.870511025091223e+00
sample_2    , -7.586258986840756e-01, -3.423449401928521e-01,  1.432396558845410e-01, -7.892137689659109e-01,  5.748306708222277e-01,  7.196779999899567e-01, -1.496104239797106e+00
sample_3    ,  1.160849504833733e+00,  1.314250745189748e+00, -1.745039353710837e-01,  1.802291711477668e-02, -3.655406964895327e-01,  2.861051616322372e+00,  1.614560898674482e+00
sample_4    , -7.548356813046568e-01, -6.061115701503412e-01, -1.755259408675646e+00, -1.026644018905440e-01, -5.710959566822257e+00, -1.349361019874172e+00,  1.185953428040543e-01
sample_5    , -6.770948454104094e-01, -7.848844003888177e-01, -2.548659915586336e-02, -6.300994999485120e-01, -2.400785872996625e+00, -1.866298240389789e+00, -1.057658167185480e+00
sample_6    , -1.682203336469330e+00, -1.565630139395356e+00, -5.041234516666296e-03,  7.040511014532941e-01,  2.320141225012110e-01, -1.327848239652146e+00, -2.072800101574390e+00
sample_7    , -4.637411876033378e-01, -3.250685429563392e-01,  1.432396558845410e-01, -9.359280629950494e-01,  5.698347923414537e-01, -9.202370310802732e-02, -1.203673555207711e+00
sample_8    ,  1.243136085642117e+00,  7.738952919997809e-01,  5.376704760644612e-01, -1.278861663218587e-01,  5.488152022671874e+00,  9.158971484499510e-01,  8.948168074366363e-01
sample_9    , -1.150091200885186e+00, -1.200821904952210e+00, -1.719406907152248e-01,  1.326645878875517e-01, -1.892285260525626e+00, -7.735929964742311e-01, -1.840878217674307e+00
sample_10   ,  1.120476158198867e+00,  9.360710410123273e-01,  8.617913194272769e-02,  6.448408748802407e-02, -5.695025086357993e+00, -7.015314564514409e-01,  2.420655705807419e+00
sample_11   , -7.836939209364374e-01, -6.046623992960416e-01,  1.618582216818923e-01, -2.024137066230904e+00,  1.700279872534466e+00, -1.210817620324952e+00, -2.023716532910830e+00
sample_12   , -6.014333599221068e-01, -9.857709567411491e-01, -1.719406907152248e-01, -5.423678022345808e-01, -1.892285260525626e+00, -7.735859418728959e-01, -1.840878217674307e+00
sample_13   ,  3.144920332825995e-01,  2.449853771128367e-01,  8.080071588108939e-02,  1.053597751636062e-02, -2.040296759549391e+00,  2.050521257214087e+00, -2.846121382758822e-01
sample_14   ,  1.313590629906779e+00,  1.100694401775833e+00, -4.573406568079738e-01, -5.172970250883658e-01, -3.356438257312062e-01,  1.204289738523447e+00,  1.652766964587953e+00
sample_15   ,  1.202272944705296e+00,  1.061682106144500e+00,  2.368268212485398e-01,  8.761426068574782e-02, -5.966250452245220e+00,  1.961607055236413e-01,  2.252104510157930e+00
sample_16   , -9.301172910850198e-01, -2.186977350637879e-01,  3.139389527389835e-01, -9.754428823703157e-01,  2.172534160592690e+00,  4.766989257381484e-01, -1.350580284600802e+00
sample_17   , -5.618988526743032e-01, -6.600458973347915e-01,  1.432396558845410e-01, -8.013876699923806e-01,  2.390575318585973e-01, -1.321908626014873e+00, -1.260015831487215e+00
sample_18   , -1.450899276504839e+00, -1.350911118636124e+00, -5.041234516666296e-03,  3.186467215990948e-01,  3.673861420078233e-01, -7.016438203263481e-01, -2.159474436778306e+00
sample_19   ,  9.612569931124243e-01,  9.398051963493043e-01,  8.617913194272769e-02,  5.244332284212988e-02, -5.695025086357993e+00, -7.020098307039315e-01,  2.420655705807419e+00
sample_20   ,  1.113394814341984e+00,  1.137556093559397e+00,  4.698114083935642e-01, -1.027515475095675e+00, -6.579800614967780e+00,  2.219751472088360e-01,  1.596319821251960e+00
sample_21   ,  7.050383698082120e-01,  6.243978410252236e-01, -8.245944678414250e-01, -5.741522437906313e-01, -6.800814953410511e-01, -2.885155532083287e+00,  2.559830908871932e+00
sample_22   , -1.910238471282477e+00, -1.840130986222645e+00, -9.975825314652318e-01,  7.909346820553896e-02, -2.293703877291824e+02, -7.648496557340367e-01,  1.226381318336722e+00
sample_23   ,  3.603589879841972e-01,  1.409774254956320e-01, -9.590221064296228e-01,  1.332983418997017e-01, -2.051446229987908e+01,  3.367976750415738e-01,  1.041255924677397e+00
